problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495 (A4),,1.0,So we do have another practice today. I'm going to wait a bit for everyone to join.,2023-02-19T22:00:03.990+00:00,2023-02-19T22:00:10.350+00:00,tutor,tutor,1,,,
,,,"And also I do have another thing at like 2 50 today. So i'm gonna have to end the session early, If that's okay with everyone.",2023-02-19T22:00:10.510+00:00,2023-02-19T22:00:20.650+00:00,tutor,tutor,1,,,
,,,"Thank you for returning on your camera, [STUDENT_10]. But",2023-02-19T22:00:21.040+00:00,2023-02-19T22:00:24.130+00:00,tutor,tutor,1,,,
,,,"i'm gonna wait for more people to join, and then i'll open up the test. It's test a.",2023-02-19T22:00:24.430+00:00,2023-02-19T22:00:30.860+00:00,tutor,tutor,1,,,
,,,Let me see.,2023-02-19T22:00:31.530+00:00,2023-02-19T22:00:32.690+00:00,tutor,tutor,1,,,
,,,"Yeah, it's. Test a 4. I'm going to click accept accepting responses. So just reload until you can see that again. It's about 16 questions. So i'm gonna give you guys like 20 min for it Once we have more people coming in.",2023-02-19T22:00:36.180+00:00,2023-02-19T22:00:52.930+00:00,tutor,tutor,1,,,
,,,"Yeah, I'll just wait like a minute.",2023-02-19T22:00:59.530+00:00,2023-02-19T22:01:01.199+00:00,tutor,tutor,1,,,
,,,"Okay. So with the 6 people we have right here we're just going to start then, because",2023-02-19T22:01:34.940+00:00,2023-02-19T22:01:39.710+00:00,tutor,tutor,1,,,
,,,"i'll just submit people when they come in, and they can just like work on it on their own time. But let me share my screen with the timer.",2023-02-19T22:01:40.600+00:00,2023-02-19T22:01:47.080+00:00,tutor,tutor,1,,,
,,,And,2023-02-19T22:01:48.080+00:00,2023-02-19T22:01:50.040+00:00,tutor,tutor,1,,,
,,,yeah.,2023-02-19T22:01:51.880+00:00,2023-02-19T22:01:53.450+00:00,tutor,tutor,1,,,
,,,"Oh, you guys can start.",2023-02-19T22:01:54.350+00:00,2023-02-19T22:01:55.710+00:00,tutor,tutor,1,,,
,,,"I just got to add, like 5 min to the timer, because we had, like some people show up late and like, just in case. or maybe make it 3 min, just because we don't really today. But yeah.",2023-02-19T22:21:49.610+00:00,2023-02-19T22:22:01.040+00:00,tutor,tutor,1,,,
,,,"okay. So anyone who is, I'd say more than 5 min late on you like lately, and you can like, continue on your own time. I hope you set up your own like 20 min timer.",2023-02-19T22:25:04.920+00:00,2023-02-19T22:25:15.190+00:00,tutor,tutor,1,,,
,,,"But now i'm gonna look at the problems, and we're going to kind of oh, yeah, just to make what you have right now for people who are not more than 5 min late. It's it's okay. We're just gonna go for what I think we should g0 0ver.",2023-02-19T22:25:15.190+00:00,2023-02-19T22:25:29.390+00:00,tutor,tutor,1,,,
,,,You can do something.,2023-02-19T22:25:30.740+00:00,2023-02-19T22:25:31.900+00:00,tutor,tutor,1,,,
