problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485 (A1),,1.0,Hello! So here,2023-02-11T08:09:29.090-08:00,2023-02-11T08:09:30.450-08:00,tutor,tutor,1,,,
,,,your audio still connecting.,2023-02-11T08:09:31.720-08:00,2023-02-11T08:09:33.780-08:00,tutor,tutor,1,,,
,,,Good morning.,2023-02-11T08:09:37.410-08:00,2023-02-11T08:09:39.010-08:00,tutor,tutor,1,,,
,,,See.,2023-02-11T08:09:40.630-08:00,2023-02-11T08:09:41.430-08:00,tutor,tutor,1,,,
,,,we're just gonna wait,2023-02-11T08:09:42.810-08:00,2023-02-11T08:09:44.300-08:00,tutor,tutor,1,,,
,,,for,2023-02-11T08:09:45.740-08:00,2023-02-11T08:09:47.230-08:00,tutor,tutor,1,,,
,,,a few minutes.,2023-02-11T08:09:48.190-08:00,2023-02-11T08:09:50.110-08:00,tutor,tutor,1,,,
,,,Let's see. Probably around 10 min. We'll start class. There's a 5 min. I usually wait 5 min after the start to let anyone. Yeah.,2023-02-11T08:09:50.210-08:00,2023-02-11T08:10:02.010-08:00,tutor,tutor,1,,,
,,,Good morning and phone. Now.,2023-02-11T08:10:14.720-08:00,2023-02-11T08:10:17.430-08:00,tutor,tutor,1,,,
,,,Hi: good morning.,2023-02-11T08:10:19.140-08:00,2023-02-11T08:10:20.330-08:00,student,student A,1,,,
,,,"Okay. So we are going to wait until 8 20, and then I am going to start the class.",2023-02-11T08:10:22.340-08:00,2023-02-11T08:10:30.670-08:00,tutor,tutor,1,,,
,,,It's okay.,2023-02-11T08:10:31.060-08:00,2023-02-11T08:10:31.710-08:00,tutor,tutor,1,,,
,,,Good morning. We're going to wait another 5 min to let any other people in before we start the class.,2023-02-11T08:14:37.130-08:00,2023-02-11T08:14:49.790-08:00,tutor,tutor,1,,,
,,,so you can hear me right.,2023-02-11T08:15:00.140-08:00,2023-02-11T08:15:01.830-08:00,tutor,tutor,1,,,
,,,I just saw you were connecting to the audio for a little bit.,2023-02-11T08:15:01.930-08:00,2023-02-11T08:15:05.420-08:00,tutor,tutor,1,,,
,,,No.,2023-02-11T08:15:08.100-08:00,2023-02-11T08:15:08.720-08:00,tutor,tutor,1,,,
,,,okay. It looks like you're connected now. So,2023-02-11T08:15:13.320-08:00,2023-02-11T08:15:18.330-08:00,tutor,tutor,1,,,
,,,so you can hear me right? You can type in the chat or you can unmute it Doesn't: matter.,2023-02-11T08:15:18.520-08:00,2023-02-11T08:15:24.630-08:00,tutor,tutor,1,,,
,,,Okay?,2023-02-11T08:15:28.660-08:00,2023-02-11T08:15:29.340-08:00,tutor,tutor,1,,,
,,,Okay. Good morning. It's G. And,2023-02-11T08:15:51.200-08:00,2023-02-11T08:15:55.030-08:00,tutor,tutor,1,,,
,,,[STUDENT_5]. Okay.,2023-02-11T08:15:56.060-08:00,2023-02-11T08:15:58.030-08:00,tutor,tutor,1,,,
,,,we're going to wait another 4 min before we start the class.,2023-02-11T08:15:59.420-08:00,2023-02-11T08:16:05.290-08:00,tutor,tutor,1,,,
,,,That's just to let,2023-02-11T08:16:05.520-08:00,2023-02-11T08:16:07.500-08:00,tutor,tutor,1,,,
,,,everyone,2023-02-11T08:16:08.030-08:00,2023-02-11T08:16:09.220-08:00,tutor,tutor,1,,,
,,,get into the classroom before we start.,2023-02-11T08:16:09.760-08:00,2023-02-11T08:16:12.240-08:00,tutor,tutor,1,,,
,,,Good morning.,2023-02-11T08:17:49.580-08:00,2023-02-11T08:17:51.380-08:00,tutor,tutor,1,,,
,,,"[STUDENT_6]. Is that how you pronounce it? You and type are on mute, or tell me how it's pronounced hopefully.",2023-02-11T08:17:53.680-08:00,2023-02-11T08:18:02.060-08:00,tutor,tutor,1,,,
,,,We're gonna wait for another 2 min. I think there's just,2023-02-11T08:18:02.520-08:00,2023-02-11T08:18:07.210-08:00,tutor,tutor,1,,,
,,,a few more people who have yet to arrive.,2023-02-11T08:18:07.500-08:00,2023-02-11T08:18:12.070-08:00,tutor,tutor,1,,,
,,,"Okay, good morning.",2023-02-11T08:19:36.320-08:00,2023-02-11T08:19:38.690-08:00,tutor,tutor,1,,,
,,,Is it pronounced absolute.,2023-02-11T08:19:41.900-08:00,2023-02-11T08:19:44.900-08:00,tutor,tutor,1,,,
,,,Should you let me know how to pronounce your name? So I don't.,2023-02-11T08:19:46.850-08:00,2023-02-11T08:19:50.220-08:00,tutor,tutor,1,,,
,,,"Yeah, Thank you.",2023-02-11T08:19:54.660-08:00,2023-02-11T08:19:56.339-08:00,tutor,tutor,1,,,
,,,"0 0kay, thank you. Via.",2023-02-11T08:20:31.420-08:00,2023-02-11T08:20:34.240-08:00,tutor,tutor,1,,,
,,,okay. It is now 8 21. I lost track of it,2023-02-11T08:21:01.860-08:00,2023-02-11T08:21:08.030-08:00,tutor,tutor,1,,,
,,,of time a little bit. So let's get started.,2023-02-11T08:21:08.170-08:00,2023-02-11T08:21:13.220-08:00,tutor,tutor,1,,,
,,,"So welcome to this class as a key map you can for the March sat. That is me one day one, and we are just going to do an orientation today.",2023-02-11T08:21:16.040-08:00,2023-02-11T08:21:27.940-08:00,tutor,tutor,1,,,
,,,"So since this is our first day of class, let's",2023-02-11T08:21:31.330-08:00,2023-02-11T08:21:35.400-08:00,tutor,tutor,1,,,
,,,and let's do an icebreaker.,2023-02-11T08:21:36.720-08:00,2023-02-11T08:21:39.020-08:00,tutor,tutor,1,,,
,,,"So in the chat, or by unmuting i'd like you to write your name and what you struggle with the most in.",2023-02-11T08:21:39.150-08:00,2023-02-11T08:21:50.300-08:00,tutor,tutor,1,,,
,,,so we'll take the next 4 min.,2023-02-11T08:21:55.150-08:00,2023-02-11T08:21:58.530-08:00,tutor,tutor,1,,,
,,,and we'll do this really quickly.,2023-02-11T08:21:58.840-08:00,2023-02-11T08:22:02.450-08:00,tutor,tutor,1,,,
,,,"Yeah, Go ahead, [STUDENT_4].",2023-02-11T08:22:11.720-08:00,2023-02-11T08:22:13.240-08:00,tutor,tutor,1,,,
,,,Thank you.,2023-02-11T08:22:18.680-08:00,2023-02-11T08:22:19.540-08:00,tutor,tutor,1,,,
,,,Oh. I think maybe it's your little quiet. Let me try raising my volume.,2023-02-11T08:22:24.940-08:00,2023-02-11T08:22:32.720-08:00,tutor,tutor,1,,,
,,,"Okay, Can you speak again? I didn't catch you because your Mike was",2023-02-11T08:22:36.470-08:00,2023-02-11T08:22:41.190-08:00,tutor,tutor,1,,,
,,,"I'm not sure. Maybe your mic isn't working, or",2023-02-11T08:22:41.290-08:00,2023-02-11T08:22:44.630-08:00,tutor,tutor,1,,,
,,,"can you hear me now. Yeah, I can hear you now. Okay. My name is [STUDENT_4] and I struggle the most with word problems and a statina.",2023-02-11T08:22:47.450-08:00,2023-02-11T08:22:57.150-08:00,student,student B,1,,,
,,,Okay.,2023-02-11T08:22:57.670-08:00,2023-02-11T08:22:58.410-08:00,student,student B,1,,,
,,,can definitely work on that.,2023-02-11T08:22:58.530-08:00,2023-02-11T08:22:59.970-08:00,tutor,tutor,1,,,
,,,You you want to go next.,2023-02-11T08:23:04.650-08:00,2023-02-11T08:23:06.590-08:00,tutor,tutor,1,,,
,,,"Yeah, Can you hear me?",2023-02-11T08:23:07.020-08:00,2023-02-11T08:23:08.750-08:00,student,student C,1,,,
,,,Yeah.,2023-02-11T08:23:09.160-08:00,2023-02-11T08:23:09.860-08:00,tutor,tutor,1,,,
,,,"Okay. Oh, yeah, My name is Michael. Yeah, you're pronouncing it right. And I struggle",2023-02-11T08:23:10.220-08:00,2023-02-11T08:23:15.090-08:00,student,student C,1,,,
,,,"most with also probably word problems, but like more specifically like we're problems with like lots of like ratios and proportions and stuff",2023-02-11T08:23:15.200-08:00,2023-02-11T08:23:23.140-08:00,student,student C,1,,,
,,,like that was just confused me. So,2023-02-11T08:23:23.230-08:00,2023-02-11T08:23:25.710-08:00,student,student C,1,,,
,,,that's just one thing I struggle with. So yeah.,2023-02-11T08:23:25.720-08:00,2023-02-11T08:23:27.710-08:00,student,student C,1,,,
,,,okay.,2023-02-11T08:23:40.920-08:00,2023-02-11T08:23:41.800-08:00,tutor,tutor,1,,,
,,,"[STUDENT_5], you can go ahead.",2023-02-11T08:23:51.240-08:00,2023-02-11T08:23:52.790-08:00,tutor,tutor,1,,,
,,,"Okay, Hi. My name is [STUDENT_5]. I think I struggle most with like probability problems. Kind of and stuff like that.",2023-02-11T08:23:54.340-08:00,2023-02-11T08:24:01.520-08:00,student,student D,1,,,
,,,Okay.,2023-02-11T08:24:01.950-08:00,2023-02-11T08:24:02.660-08:00,tutor,tutor,1,,,
,,,we do work on that and then see,2023-02-11T08:24:05.300-08:00,2023-02-11T08:24:09.040-08:00,tutor,tutor,1,,,
,,,It's all right. Go ahead.,2023-02-11T08:24:12.080-08:00,2023-02-11T08:24:13.230-08:00,tutor,tutor,1,,,
,,,"Hi. My name is Ivana and I'm, struggling mostly with our link problems and volume problems overall",2023-02-11T08:24:15.430-08:00,2023-02-11T08:24:22.260-08:00,tutor,tutor,1,,,
,,,problems in one. Okay. [STUDENT_4] B: do you want to go next?,2023-02-11T08:24:22.800-08:00,2023-02-11T08:24:29.280-08:00,tutor,tutor,1,,,
,,,Yeah. Okay. So my name is [STUDENT_4]. And one problem that specifically I have trouble with is mostly geometry,2023-02-11T08:24:31.530-08:00,2023-02-11T08:24:39.750-08:00,student,student E,1,,,
,,,"geometry. Okay, yeah.",2023-02-11T08:24:39.920-08:00,2023-02-11T08:24:41.790-08:00,tutor,tutor,1,,,
,,,okay.,2023-02-11T08:24:55.520-08:00,2023-02-11T08:24:56.560-08:00,tutor,tutor,1,,,
,,,absolutely. You want to go.,2023-02-11T08:24:59.340-08:00,2023-02-11T08:25:01.690-08:00,tutor,tutor,1,,,
,,,"You can type in chat, or you can unmute, it does not really matter.",2023-02-11T08:25:03.160-08:00,2023-02-11T08:25:08.660-08:00,tutor,tutor,1,,,
,,,"Yeah, my name is.",2023-02-11T08:25:16.220-08:00,2023-02-11T08:25:19.530-08:00,student,student F,1,,,
,,,I say.,2023-02-11T08:25:21.810-08:00,2023-02-11T08:25:22.880-08:00,student,student F,1,,,
,,,function.,2023-02-11T08:25:25.090-08:00,2023-02-11T08:25:26.060-08:00,student,student F,1,,,
,,,Okay?,2023-02-11T08:25:26.840-08:00,2023-02-11T08:25:27.450-08:00,tutor,tutor,1,,,
,,,Okay. So now I have an idea of what we might need to work one. and what we might need to work less on.,2023-02-11T08:25:28.360-08:00,2023-02-11T08:25:38.500-08:00,tutor,tutor,1,,,
,,,So it's just good start.,2023-02-11T08:25:38.680-08:00,2023-02-11T08:25:41.370-08:00,tutor,tutor,1,,,
,,,So the curriculum for the day is that we're going to do this Orientation Powerpoint.,2023-02-11T08:25:42.110-08:00,2023-02-11T08:25:47.230-08:00,tutor,tutor,1,,,
,,,and then we're gonna work on practice. Test a one.,2023-02-11T08:25:47.260-08:00,2023-02-11T08:25:50.660-08:00,tutor,tutor,1,,,
,,,"It's in schoolhouse, and it should be under the assessments to have when you go into this session. and then",2023-02-11T08:25:50.850-08:00,2023-02-11T08:26:00.060-08:00,tutor,tutor,1,,,
,,,"we're after we finish the practice test, which is going to take around 25 min or so, we're going to review that practice test",2023-02-11T08:26:00.920-08:00,2023-02-11T08:26:08.800-08:00,tutor,tutor,1,,,
,,,and let's go through the overview So and so let's do a short overview of this camp.,2023-02-11T08:26:14.340-08:00,2023-02-11T08:26:22.100-08:00,tutor,tutor,1,,,
,,,This boot camp runs for 4 weeks with 2 75 min sessions per week.,2023-02-11T08:26:22.250-08:00,2023-02-11T08:26:29.270-08:00,tutor,tutor,1,,,
,,,We're going to cover practice tests.,2023-02-11T08:26:29.520-08:00,2023-02-11T08:26:32.160-08:00,tutor,tutor,1,,,
,,,"or we take sections of real sat tests, and we just student. Oh, sorry we do it in class.",2023-02-11T08:26:32.500-08:00,2023-02-11T08:26:40.320-08:00,tutor,tutor,1,,,
,,,and then we are going to review the practice test. So we're going to g0 0ver the most missed test problems.,2023-02-11T08:26:40.720-08:00,2023-02-11T08:26:47.930-08:00,tutor,tutor,1,,,
,,,"If I do not get time to g0 0ver your test problems, I will send out Powerpoints with all of the work problems. So",2023-02-11T08:26:48.880-08:00,2023-02-11T08:26:58.830-08:00,tutor,tutor,1,,,
,,,"Don't worry. If your question doesn't get covered, because there's not enough time.",2023-02-11T08:26:59.150-08:00,2023-02-11T08:27:03.020-08:00,tutor,tutor,1,,,
,,,And then,2023-02-11T08:27:04.710-08:00,2023-02-11T08:27:05.820-08:00,tutor,tutor,1,,,
,,,we're gonna do target group practice where we're view and practice key sat concepts and strategies.,2023-02-11T08:27:05.900-08:00,2023-02-11T08:27:14.420-08:00,tutor,tutor,1,,,
,,,"And for this class there is no required homework, but it is highly recommended that you continue practicing or doing to us outside sessions.",2023-02-11T08:27:15.290-08:00,2023-02-11T08:27:25.370-08:00,tutor,tutor,1,,,
,,,So,2023-02-11T08:27:25.460-08:00,2023-02-11T08:27:26.540-08:00,tutor,tutor,1,,,
