problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485 (A1),,1.0,"Hey, guys, we're gonna start in like",2023-02-11T19:30:56.610-08:00,2023-02-11T19:30:58.850-08:00,tutor,tutor,1,,,
,,,5 min to let a few more people trickle in.,2023-02-11T19:30:58.860-08:00,2023-02-11T19:31:03.460-08:00,tutor,tutor,1,,,
,,,"All right. Welcome, everyone. If you could. Please turn on your cameras so we can get started. I'd appreciate it.",2023-02-11T19:35:22.580-08:00,2023-02-11T19:35:28.780-08:00,tutor,tutor,1,,,
,,,We have almost everyone here.,2023-02-11T19:35:32.660-08:00,2023-02-11T19:35:35.300-08:00,tutor,tutor,1,,,
,,,all right.,2023-02-11T19:36:30.970-08:00,2023-02-11T19:36:31.660-08:00,tutor,tutor,1,,,
,,,So going to share my screen,2023-02-11T19:36:33.520-08:00,2023-02-11T19:36:36.280-08:00,tutor,tutor,1,,,
,,,all right. Can everyone see that?,2023-02-11T19:36:39.210-08:00,2023-02-11T19:36:41.020-08:00,tutor,tutor,1,,,
,,,All right. So welcome to the sat Math Boot camp,2023-02-11T19:36:43.500-08:00,2023-02-11T19:36:48.880-08:00,tutor,tutor,1,,,
,,,Day one.,2023-02-11T19:36:50.500-08:00,2023-02-11T19:36:51.610-08:00,tutor,tutor,1,,,
,,,So we're gonna start off with some introductions just to get to know each other.,2023-02-11T19:36:51.980-08:00,2023-02-11T19:36:58.560-08:00,tutor,tutor,1,,,
,,,"We're all gonna say our name we're from, and what our hopes are for this boot camp is.",2023-02-11T19:37:00.370-08:00,2023-02-11T19:37:07.430-08:00,tutor,tutor,1,,,
,,,and then we can pass it off to the next person. Just choose somebody to go next.,2023-02-11T19:37:10.060-08:00,2023-02-11T19:37:14.800-08:00,tutor,tutor,1,,,
,,,I'll start.,2023-02-11T19:37:15.510-08:00,2023-02-11T19:37:16.450-08:00,tutor,tutor,1,,,
,,,My name is [STUDENT_6].,2023-02-11T19:37:16.660-08:00,2023-02-11T19:37:18.660-08:00,tutor,tutor,1,,,
,,,I'm. From California.,2023-02-11T19:37:20.100-08:00,2023-02-11T19:37:21.660-08:00,tutor,tutor,1,,,
,,,and my hope for this sat Boot Camp is to just help you guys with whatever you need help. You guys prepare for your math.,2023-02-11T19:37:22.000-08:00,2023-02-11T19:37:31.550-08:00,tutor,tutor,1,,,
,,,"And yeah, I'm: just gonna pass it off to [STUDENT_1]. Oh.",2023-02-11T19:37:32.170-08:00,2023-02-11T19:37:37.600-08:00,tutor,tutor,1,,,
,,,"all right. Hi. My name is [STUDENT_1]. I don't know if you can hear me well, but i'm from Jersey. and I all just to get better score on my math as it part.",2023-02-11T19:37:39.750-08:00,2023-02-11T19:37:50.980-08:00,student,student A,1,,,
,,,i'll pass it to [STUDENT_1] T.,2023-02-11T19:37:55.310-08:00,2023-02-11T19:37:57.390-08:00,student,student A,1,,,
,,,"I'm [STUDENT_1], i'm from Texas. and my hope is also just to improve my math.",2023-02-11T19:37:59.480-08:00,2023-02-11T19:38:07.190-08:00,student,student B,1,,,
,,,I'll pass it to,2023-02-11T19:38:08.310-08:00,2023-02-11T19:38:13.560-08:00,student,student B,1,,,
,,,"Hi. My name is malaria. You guys can call me Valerie, though i'm from Southern California near Los Angeles.",2023-02-11T19:38:15.370-08:00,2023-02-11T19:38:22.580-08:00,student,student C,1,,,
,,,and my hope for the sat boot camp is to better my score.,2023-02-11T19:38:22.740-08:00,2023-02-11T19:38:28.140-08:00,student,student C,1,,,
,,,Yeah.,2023-02-11T19:38:28.300-08:00,2023-02-11T19:38:29.000-08:00,student,student C,1,,,
,,,"Oh, i'll pass it to.",2023-02-11T19:38:32.430-08:00,2023-02-11T19:38:35.100-08:00,student,student C,1,,,
,,,And Ninth and Anita. I'm Sorry i'm really fishing.,2023-02-11T19:38:35.350-08:00,2023-02-11T19:38:39.650-08:00,student,student C,1,,,
,,,That's okay. Bye.,2023-02-11T19:38:39.850-08:00,2023-02-11T19:38:41.490-08:00,student,student D,1,,,
,,,"Hi, My name is Sonia I'm. From Maryland, and I hope to raise my sat Matt score. and i'll pass it to",2023-02-11T19:38:41.660-08:00,2023-02-11T19:38:49.340-08:00,student,student E,1,,,
,,,10 Linda. I think that,2023-02-11T19:38:50.310-08:00,2023-02-11T19:38:52.590-08:00,student,student E,1,,,
,,,"okay, Hi! I'm tanita. I'm from New Hampshire, and I guess i'm just trying to better my score",2023-02-11T19:38:54.000-08:00,2023-02-11T19:39:03.200-08:00,student,student D,1,,,
,,,and have a,2023-02-11T19:39:03.270-08:00,2023-02-11T19:39:04.870-08:00,student,student D,1,,,
,,,better understanding of math.,2023-02-11T19:39:05.040-08:00,2023-02-11T19:39:06.950-08:00,student,student D,1,,,
,,,I guess. and i'll pass it to,2023-02-11T19:39:07.030-08:00,2023-02-11T19:39:12.160-08:00,student,student D,1,,,
,,,[STUDENT_4].,2023-02-11T19:39:12.810-08:00,2023-02-11T19:39:15.080-08:00,student,student D,1,,,
,,,Sorry.,2023-02-11T19:39:15.120-08:00,2023-02-11T19:39:15.910-08:00,student,student D,1,,,
,,,"Oh, hi! My name is [STUDENT_4]. I'm. From Texas, and my hope for the Sat boot camp is to get a perfect score.",2023-02-11T19:39:17.930-08:00,2023-02-11T19:39:26.900-08:00,student,student F,1,,,
,,,"I don't think I don't pronounce this right, but",2023-02-11T19:39:35.960-08:00,2023-02-11T19:39:39.940-08:00,student,student F,1,,,
,,,the,2023-02-11T19:39:42.000-08:00,2023-02-11T19:39:45.880-08:00,student,student F,1,,,
,,,that is fine.,2023-02-11T19:39:47.870-08:00,2023-02-11T19:39:50.180-08:00,student,student G,1,,,
,,,"My name is Jinnucci, but you can call me Dj.",2023-02-11T19:39:50.350-08:00,2023-02-11T19:39:54.000-08:00,student,student G,1,,,
,,,"Florida, and my is to",2023-02-11T19:39:54.330-08:00,2023-02-11T19:39:57.000-08:00,student,student G,1,,,
,,,get a I score on the so t math portion,2023-02-11T19:39:57.230-08:00,2023-02-11T19:40:00.570-08:00,student,student G,1,,,
,,,and then pass it off to someone else.,2023-02-11T19:40:05.080-08:00,2023-02-11T19:40:07.850-08:00,student,student G,1,,,
,,,Is it?,2023-02-11T19:40:14.890-08:00,2023-02-11T19:40:16.120-08:00,student,student G,1,,,
,,,It's? And you'd already go.,2023-02-11T19:40:17.240-08:00,2023-02-11T19:40:18.940-08:00,student,student G,1,,,
,,,"Yeah, I think it'd already went.",2023-02-11T19:40:22.630-08:00,2023-02-11T19:40:25.130-08:00,tutor,tutor,1,,,
