problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495 (A4),,1.0,Why isn't it like you it should be.,2023-02-26T10:01:13.430-08:00,2023-02-26T10:01:17.130-08:00,student,student A,1,,,
,,,and then you can turn it off.,2023-02-26T10:01:17.210-08:00,2023-02-26T10:01:18.860-08:00,student,student A,1,,,
,,,"It's on my microphone. The only thing different is that not my air pods, but that shouldn't change everything.",2023-02-26T10:01:20.350-08:00,2023-02-26T10:01:26.830-08:00,student,student A,1,,,
,,,All this.,2023-02-26T10:01:31.660-08:00,2023-02-26T10:01:32.750-08:00,student,student A,1,,,
,,,"Oh, is it?",2023-02-26T10:01:41.010-08:00,2023-02-26T10:01:42.190-08:00,student,student A,1,,,
,,,Okay? I guess we'll just go ahead and get started. Then,2023-02-26T10:04:57.220-08:00,2023-02-26T10:05:00.290-08:00,tutor,tutor,1,,,
,,,yeah.,2023-02-26T10:05:02.220-08:00,2023-02-26T10:05:02.800-08:00,tutor,tutor,1,,,
,,,let me share my screen.,2023-02-26T10:05:06.310-08:00,2023-02-26T10:05:07.700-08:00,tutor,tutor,1,,,
,,,There's a,2023-02-26T10:05:10.130-08:00,2023-02-26T10:05:12.910-08:00,tutor,tutor,1,,,
,,,"calculator. We're doing like a 20 min. Calculator. I think so. If you don't have a calculator, I want to grab that at 1 point.",2023-02-26T10:05:13.590-08:00,2023-02-26T10:05:21.510-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-26T10:05:22.290-08:00,2023-02-26T10:05:22.920-08:00,tutor,tutor,1,,,
,,,So I just have to ask.,2023-02-26T10:05:26.150-08:00,2023-02-26T10:05:28.630-08:00,tutor,tutor,1,,,
,,,What feedback do you have for the Sat boot camp? So far. so maybe you could share like a favorite moment.,2023-02-26T10:05:29.630-08:00,2023-02-26T10:05:37.020-08:00,tutor,tutor,1,,,
,,,and maybe and also an area you think we can improve.,2023-02-26T10:05:39.090-08:00,2023-02-26T10:05:43.600-08:00,tutor,tutor,1,,,
,,,What is it? Can you guys hear me?,2023-02-26T10:05:56.610-08:00,2023-02-26T10:05:58.660-08:00,tutor,tutor,1,,,
,,,"Yeah, I can hear you.",2023-02-26T10:06:00.400-08:00,2023-02-26T10:06:01.680-08:00,student,student A,1,,,
,,,Okay.,2023-02-26T10:06:01.900-08:00,2023-02-26T10:06:02.500-08:00,tutor,tutor,1,,,
,,,Okay. Do any of you want to go first?,2023-02-26T10:06:07.600-08:00,2023-02-26T10:06:10.850-08:00,tutor,tutor,1,,,
,,,"Sure, I don't really have the favorite moment. But I need to work on some trigonometry.",2023-02-26T10:06:13.960-08:00,2023-02-26T10:06:19.830-08:00,student,student A,1,,,
,,,Okay. matassi.,2023-02-26T10:06:24.220-08:00,2023-02-26T10:06:26.680-08:00,tutor,tutor,1,,,
,,,Really.,2023-02-26T10:06:27.840-08:00,2023-02-26T10:06:28.590-08:00,tutor,tutor,1,,,
,,,we can just move on. If you guys don't really have anything to say.,2023-02-26T10:06:33.390-08:00,2023-02-26T10:06:37.290-08:00,tutor,tutor,1,,,
,,,"Yeah, we'll just we'll just move on. Then",2023-02-26T10:06:39.600-08:00,2023-02-26T10:06:41.380-08:00,tutor,tutor,1,,,
,,,targeting group practice. We'll start with,2023-02-26T10:06:44.370-08:00,2023-02-26T10:06:47.830-08:00,tutor,tutor,1,,,
,,,"some function, notation, because that's what it says",2023-02-26T10:06:49.430-08:00,2023-02-26T10:06:52.430-08:00,tutor,tutor,1,,,
,,,to work on. So,2023-02-26T10:06:52.910-08:00,2023-02-26T10:06:55.020-08:00,tutor,tutor,1,,,
,,,this is the calculator question you need to calculate for it. You don't,2023-02-26T10:06:56.680-08:00,2023-02-26T10:06:59.840-08:00,tutor,tutor,1,,,
,,,you might not need it.,2023-02-26T10:07:00.800-08:00,2023-02-26T10:07:03.070-08:00,tutor,tutor,1,,,
,,,And for,2023-02-26T10:07:03.560-08:00,2023-02-26T10:07:04.920-08:00,tutor,tutor,1,,,
,,,"Are you going to use chat today? Okay, okay.",2023-02-26T10:07:09.110-08:00,2023-02-26T10:07:12.070-08:00,tutor,tutor,1,,,
,,,"And yet you don't need a calculator for the calculator section, but it's very helpful. It's like one thing they will say if you haven't taken it yet.",2023-02-26T10:07:13.020-08:00,2023-02-26T10:07:19.710-08:00,tutor,tutor,1,,,
,,,"But yeah, if you just wanna",2023-02-26T10:07:20.510-08:00,2023-02-26T10:07:21.940-08:00,tutor,tutor,1,,,
,,,take you eliminate this office and just send me your answers and private chat.,2023-02-26T10:07:22.040-08:00,2023-02-26T10:07:25.490-08:00,tutor,tutor,1,,,
,-1.0,1.0,So you guys all got it right.,2023-02-26T10:10:49.520-08:00,2023-02-26T10:10:51.990-08:00,tutor,tutor,2,,-1.0,
,,,Are there any questions on this problem?,2023-02-26T10:10:52.980-08:00,2023-02-26T10:10:55.130-08:00,tutor,tutor,2,,-1.0,
,,,"If not, we can just move on to the next one",2023-02-26T10:11:04.290-08:00,2023-02-26T10:11:06.250-08:00,tutor,tutor,2,,-1.0,
,,,kind of like this to,2023-02-26T10:11:07.950-08:00,2023-02-26T10:11:09.010-08:00,tutor,tutor,2,,-1.0,
,,,quick review of how I would do this.,2023-02-26T10:11:09.250-08:00,2023-02-26T10:11:12.010-08:00,tutor,tutor,2,,-1.0,
,,,"It's a linear function, so it goes up by the same amount every time. so",2023-02-26T10:11:13.760-08:00,2023-02-26T10:11:18.700-08:00,tutor,tutor,2,,-1.0,
,,,you can kind of just go back,2023-02-26T10:11:19.850-08:00,2023-02-26T10:11:21.600-08:00,tutor,tutor,2,,-1.0,
,,,"3 to get. And when n is 0,",2023-02-26T10:11:21.770-08:00,2023-02-26T10:11:25.350-08:00,tutor,tutor,2,,-1.0,
,,,that because this is like,2023-02-26T10:11:26.380-08:00,2023-02-26T10:11:27.780-08:00,tutor,tutor,2,,-1.0,
,,,the slope intercept form.,2023-02-26T10:11:28.730-08:00,2023-02-26T10:11:30.920-08:00,tutor,tutor,2,,-1.0,
,,,"let's move on, we'll probably do one more.",2023-02-26T10:11:32.820-08:00,2023-02-26T10:11:36.170-08:00,tutor,tutor,2,,-1.0,
,,,We won't do that.,2023-02-26T10:11:41.710-08:00,2023-02-26T10:11:42.350-08:00,tutor,tutor,2,,-1.0,
,-1.0,1.0,This one might be a good one.,2023-02-26T10:11:51.840-08:00,2023-02-26T10:11:54.010-08:00,tutor,tutor,3,,-1.0,
,,,If you guys want to just take a couple of minutes to do this one.,2023-02-26T10:11:55.080-08:00,2023-02-26T10:11:57.460-08:00,tutor,tutor,3,,-1.0,
,,,"Okay, we can start doing all this. Sorry I had to go to the bathroom. Kaden, Would you like to go over how you got your answer.",2023-02-26T10:14:49.330-08:00,2023-02-26T10:14:56.380-08:00,tutor,tutor,3,,-1.0,
,,,sure. So I saw that when h to 0,2023-02-26T10:14:57.880-08:00,2023-02-26T10:15:03.440-08:00,student,student A,3,,-1.0,
,,,"that means that you set all the X to 0. So it was one minus g of 0, so that I went back to the G. Of X equation.",2023-02-26T10:15:03.860-08:00,2023-02-26T10:15:13.250-08:00,student,student A,3,,-1.0,
,,,"and I substitute to 0 and for X. So then it was 2 times 0, which is 0, and then minus one equals negative.",2023-02-26T10:15:13.330-08:00,2023-02-26T10:15:20.270-08:00,student,student A,3,,-1.0,
,,,"So a nice substituted negative one back into the h of X equation. So now is 1 one minus a minus one, which is just one plus one which goes to 2",2023-02-26T10:15:20.550-08:00,2023-02-26T10:15:29.930-08:00,student,student A,3,,-1.0,
,,,beautiful. The,2023-02-26T10:15:31.550-08:00,2023-02-26T10:15:33.730-08:00,tutor,tutor,3,,-1.0,
,,,any questions on that.,2023-02-26T10:15:34.000-08:00,2023-02-26T10:15:35.910-08:00,tutor,tutor,3,,-1.0,
,,,"Dave, do you have any questions? My Tossi left? For some reason.",2023-02-26T10:15:38.780-08:00,2023-02-26T10:15:42.330-08:00,tutor,tutor,3,,-1.0,
,,,No? Yeah. I understand it now.,2023-02-26T10:15:42.470-08:00,2023-02-26T10:15:44.310-08:00,student,student B,3,,-1.0,
,,,Okay.,2023-02-26T10:15:44.800-08:00,2023-02-26T10:15:45.570-08:00,tutor,tutor,3,,-1.0,
,,1.0,"If you're showing your screen, I don't know if it's just me. But I can't see anything.",2023-02-26T10:15:46.000-08:00,2023-02-26T10:15:49.560-08:00,student,student B,4,,,
,,,"Oh, I think I might have to resume.",2023-02-26T10:15:50.150-08:00,2023-02-26T10:15:52.020-08:00,tutor,tutor,4,,,
,,,There you go. Yeah.,2023-02-26T10:15:52.230-08:00,2023-02-26T10:15:53.270-08:00,tutor,tutor,4,,,
,,,see. I don't know if it's pause here. It will free it on this screen just for black. It's weird.,2023-02-26T10:15:54.480-08:00,2023-02-26T10:15:59.930-08:00,tutor,tutor,4,,,
,,,I don't know whether or not we should wait for it with us,2023-02-26T10:16:02.080-08:00,2023-02-26T10:16:04.120-08:00,tutor,tutor,4,,,
,,,on back.,2023-02-26T10:16:04.460-08:00,2023-02-26T10:16:05.100-08:00,tutor,tutor,4,,,
