problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,"Hi, everyone!",2023-02-11T10:00:44.140-08:00,2023-02-11T10:00:45.430-08:00,tutor,tutor,1,,,
,,,And starting a few minutes waiting for a few more people.,2023-02-11T10:00:45.580-08:00,2023-02-11T10:00:48.510-08:00,tutor,tutor,1,,,
,,,"It started, maybe like one. 0 3.",2023-02-11T10:00:50.580-08:00,2023-02-11T10:00:53.560-08:00,tutor,tutor,1,,,
,,,"Okay, I think i'll get started. Now let me share the",2023-02-11T10:03:36.460-08:00,2023-02-11T10:03:40.050-08:00,tutor,tutor,1,,,
,,,presentation with you guys. And you guys all see this on.,2023-02-11T10:03:40.550-08:00,2023-02-11T10:03:45.620-08:00,tutor,tutor,1,,,
,,,Okay. I hope you guys can all see the,2023-02-11T10:03:53.030-08:00,2023-02-11T10:03:56.170-08:00,tutor,tutor,1,,,
,,,"shared screen. If you can't see it, then just let me know.",2023-02-11T10:03:56.600-08:00,2023-02-11T10:03:59.600-08:00,tutor,tutor,1,,,
,,,Okay. So,2023-02-11T10:04:04.440-08:00,2023-02-11T10:04:05.760-08:00,tutor,tutor,1,,,
,,,"let's see. We're at 8 people now. 0 7 people. Okay. I'll get started. So welcome guys to the School House, I t boot camp. This is the first day.",2023-02-11T10:04:06.790-08:00,2023-02-11T10:04:16.430-08:00,tutor,tutor,1,,,
,,,the first week.,2023-02-11T10:04:16.600-08:00,2023-02-11T10:04:17.790-08:00,tutor,tutor,1,,,
,,,and we'll be doing a orientation. You guys are all here from math.,2023-02-11T10:04:18.800-08:00,2023-02-11T10:04:22.850-08:00,tutor,tutor,1,,,
,,,So let's go ahead and introduce ourselves. So,2023-02-11T10:04:23.279-08:00,2023-02-11T10:04:28.660-08:00,tutor,tutor,1,,,
,,,"hi, you guys, My name is [STUDENT_1]. I'm. From New York, United States, and my hope for the Sat boot camp is",2023-02-11T10:04:29.520-08:00,2023-02-11T10:04:37.170-08:00,tutor,tutor,1,,,
,,,help. You guys all improve your math score. So,2023-02-11T10:04:37.330-08:00,2023-02-11T10:04:40.500-08:00,tutor,tutor,1,,,
,,,i'm going to,2023-02-11T10:04:40.840-08:00,2023-02-11T10:04:42.300-08:00,tutor,tutor,1,,,
,,,"any. If anyone one of you want to go first and go ahead, and then you can call them next person to go ahead and introduce themselves.",2023-02-11T10:04:42.370-08:00,2023-02-11T10:04:48.980-08:00,tutor,tutor,1,,,
,,,"Oh, hi! My name is [STUDENT_3]",2023-02-11T10:04:54.490-08:00,2023-02-11T10:04:56.260-08:00,student,student A,1,,,
,,,"and I'm from Colorado, us",2023-02-11T10:04:56.600-08:00,2023-02-11T10:04:59.130-08:00,student,student A,1,,,
,,,and my hope with the,2023-02-11T10:04:59.950-08:00,2023-02-11T10:05:02.310-08:00,student,student A,1,,,
,,,the Sat boot camp is to get a higher math score.,2023-02-11T10:05:02.680-08:00,2023-02-11T10:05:05.630-08:00,student,student A,1,,,
,,,Thank you.,2023-02-11T10:05:07.170-08:00,2023-02-11T10:05:07.980-08:00,tutor,tutor,1,,,
,,,My name is my name is John. Right? Was my mic on.,2023-02-11T10:05:09.990-08:00,2023-02-11T10:05:15.160-08:00,student,student B,1,,,
,,,"Yeah. Okay, okay, okay. I was just making sure. My name is [STUDENT_6] and I'm from Virginia.",2023-02-11T10:05:15.500-08:00,2023-02-11T10:05:20.940-08:00,student,student B,1,,,
