problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485 (A1),,1.0,All right. I'm going to go ahead and assume that this is everyone that's going to be coming today.,2023-02-11T00:04:09.840-08:00,2023-02-11T00:04:14.570-08:00,tutor,tutor,1,,,
,,,All right.,2023-02-11T00:04:15.610-08:00,2023-02-11T00:04:16.640-08:00,tutor,tutor,1,,,
,,,"now that we are getting started. Hello, everyone, Welcome to the School House Sat Boot Camp",2023-02-11T00:04:17.890-08:00,2023-02-11T00:04:25.920-08:00,tutor,tutor,1,,,
,,,"for started. My name is Zinni Dong, and I will be a Tudor for",2023-02-11T00:04:28.140-08:00,2023-02-11T00:04:34.470-08:00,tutor,tutor,1,,,
,,,this boot camp. Basically,2023-02-11T00:04:34.820-08:00,2023-02-11T00:04:37.240-08:00,tutor,tutor,1,,,
,,,this boot camp is going to be focusing on the,2023-02-11T00:04:39.270-08:00,2023-02-11T00:04:42.170-08:00,tutor,tutor,1,,,
,,,the mathematics section of the sat.,2023-02-11T00:04:42.410-08:00,2023-02-11T00:04:45.930-08:00,tutor,tutor,1,,,
,,,And so.,2023-02-11T00:04:47.210-08:00,2023-02-11T00:04:49.560-08:00,tutor,tutor,1,,,
,,,"yeah, I would like",2023-02-11T00:04:50.680-08:00,2023-02-11T00:04:53.040-08:00,tutor,tutor,1,,,
,,,"the 3 0f you to go ahead and introduce yourself. Who are you? Where you from, and what your hopes for the S. It Boot camp will be.",2023-02-11T00:04:53.250-08:00,2023-02-11T00:05:03.450-08:00,tutor,tutor,1,,,
,,,How about this? Start with Addison.,2023-02-11T00:05:03.740-08:00,2023-02-11T00:05:06.780-08:00,tutor,tutor,1,,,
,,,Hi! My name is Addison I'm. From California.,2023-02-11T00:05:11.130-08:00,2023-02-11T00:05:16.130-08:00,student,student A,1,,,
,,,and my hope for the Sat Boot camp is that i'll be able to do good on my sat,2023-02-11T00:05:16.160-08:00,2023-02-11T00:05:22.990-08:00,student,student A,1,,,
,,,"right, [STUDENT_3].",2023-02-11T00:05:25.130-08:00,2023-02-11T00:05:26.330-08:00,tutor,tutor,1,,,
,,,"Hi. My name is [STUDENT_3] and I'm. From Washington State, and my hope for the Sat boot camp is that I can improve my math. the Sap.",2023-02-11T00:05:28.300-08:00,2023-02-11T00:05:38.730-08:00,student,student B,1,,,
,,,Okay.,2023-02-11T00:05:40.090-08:00,2023-02-11T00:05:40.860-08:00,tutor,tutor,1,,,
,,,cool. A third member just abruptly left. So i'm not sure what that's about. But,2023-02-11T00:05:41.380-08:00,2023-02-11T00:05:48.350-08:00,tutor,tutor,1,,,
,,,we can continue one right. Sorry,2023-02-11T00:05:48.580-08:00,2023-02-11T00:05:53.080-08:00,tutor,tutor,1,,,
,,,"if you haven't taken any School House boot camp before Schoolhouse is essentially a a nonprofit organization that connects students around the world for free peer tutoring. To this, like me, we volunteer for this, and",2023-02-11T00:05:53.140-08:00,2023-02-11T00:06:11.420-08:00,tutor,tutor,1,,,
