problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,Hello!,2023-03-09T14:59:25.600-08:00,2023-03-09T14:59:26.720-08:00,student,student A,1,,,
,,,Hello!,2023-03-09T14:59:27.680-08:00,2023-03-09T14:59:28.660-08:00,student,student B,1,,,
,,,I,2023-03-09T14:59:29.400-08:00,2023-03-09T14:59:30.450-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-09T14:59:33.430-08:00,2023-03-09T14:59:34.390-08:00,tutor,tutor,1,,,
,,,I would just be waiting on everyone else for a few minutes.,2023-03-09T14:59:35.390-08:00,2023-03-09T14:59:39.770-08:00,tutor,tutor,1,,,
,,,"Okay, 603. We might as well get started all right. So",2023-03-09T15:03:08.610-08:00,2023-03-09T15:03:14.500-08:00,tutor,tutor,1,,,
,,,"week, 4 day 2. This is a relaxed session for the boot camp. So",2023-03-09T15:03:15.960-08:00,2023-03-09T15:03:20.740-08:00,tutor,tutor,1,,,
,,,"today our welcome question is, how are we feeling going into test day.",2023-03-09T15:03:23.270-08:00,2023-03-09T15:03:28.270-08:00,tutor,tutor,1,,,
,,,When do you guys have your test? Actually.,2023-03-09T15:03:29.230-08:00,2023-03-09T15:03:32.700-08:00,tutor,tutor,1,,,
,,,I have mine on Saturday.,2023-03-09T15:03:34.970-08:00,2023-03-09T15:03:36.810-08:00,student,student C,1,,,
,,,"Oh, that makes sense. So what along alright.",2023-03-09T15:03:37.030-08:00,2023-03-09T15:03:43.560-08:00,tutor,tutor,1,,,
,,,"Good, yeah, how do we? How how are we feeling going into this? I guess we can",2023-03-09T15:03:45.640-08:00,2023-03-09T15:03:53.200-08:00,tutor,tutor,1,,,
,,,share something you learned,2023-03-09T15:03:54.660-08:00,2023-03-09T15:03:58.050-08:00,tutor,tutor,1,,,
,,,"during the boot camp that you'll be taking into test day. Oh, just do this same way. We always have. Go and call on someone else.",2023-03-09T15:03:58.240-08:00,2023-03-09T15:04:09.140-08:00,tutor,tutor,1,,,
,,,"I, you know, really answer this one since i'm not taking",2023-03-09T15:04:09.220-08:00,2023-03-09T15:04:14.680-08:00,tutor,tutor,1,,,
,,,the test. But how about we have? Paris can go first.,2023-03-09T15:04:14.820-08:00,2023-03-09T15:04:22.180-08:00,tutor,tutor,1,,,
,,,I would say.,2023-03-09T15:04:27.020-08:00,2023-03-09T15:04:29.450-08:00,student,student A,1,,,
