problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495.0,,1.0,We started in a couple of minutes.,2023-02-23T17:16:56.120-08:00,2023-02-23T17:16:57.760-08:00,tutor,tutor,1,,,
,,,"We're going to get started now, so",2023-02-23T17:18:04.980-08:00,2023-02-23T17:18:06.940-08:00,tutor,tutor,1,,,
,,,welcome back everyone. We're officially at the halfway Point for the session.,2023-02-23T17:18:07.090-08:00,2023-02-23T17:18:11.820-08:00,tutor,tutor,1,,,
,,,"I hope you all have learned a lot, and already to continue learning. So",2023-02-23T17:18:11.840-08:00,2023-02-23T17:18:15.250-08:00,tutor,tutor,1,,,
,,,congrats on making it to the Halfway. So today we're just going to be doing more the same stuff we've been doing.,2023-02-23T17:18:15.820-08:00,2023-02-23T17:18:20.420-08:00,tutor,tutor,1,,,
,,,"We're gonna do some more targeted review, and then we'll do another practice this as well. So let's get started on targeted with you.",2023-02-23T17:18:20.550-08:00,2023-02-23T17:18:27.970-08:00,tutor,tutor,1,,,
,,,"Okay, I'll see my screen",2023-02-23T17:18:41.750-08:00,2023-02-23T17:18:43.070-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-23T17:18:46.090-08:00,2023-02-23T17:18:46.880-08:00,student,student A,1,,,
,-1.0,1.0,at. So I have 2 min to this one get started. and I remember to message me the answer when you get it.,2023-02-23T17:18:47.750-08:00,2023-02-23T17:18:56.000-08:00,tutor,tutor,2,,-1.0,
,,,30 more seconds.,2023-02-23T17:19:45.360-08:00,2023-02-23T17:19:46.800-08:00,tutor,tutor,2,,-1.0,
,,,10 more seconds trying to get your answers in.,2023-02-23T17:20:24.550-08:00,2023-02-23T17:20:27.190-08:00,tutor,tutor,2,,-1.0,
,,,Okay. So,2023-02-23T17:20:37.480-08:00,2023-02-23T17:20:38.590-08:00,tutor,tutor,2,,-1.0,
,,,"for this one it says, an online book store sells novels and magazines. each novel sales for $4, and each magazine sells for $1. They said he purchases a total of 11 novels",2023-02-23T17:20:39.760-08:00,2023-02-23T17:20:51.140-08:00,tutor,tutor,2,,-1.0,
,,,"and magazines, and they have a combined selling price of 20.",2023-02-23T17:20:51.270-08:00,2023-02-23T17:20:55.580-08:00,tutor,tutor,2,,-1.0,
,,,How many novels did she purchase,2023-02-23T17:20:55.880-08:00,2023-02-23T17:20:57.860-08:00,tutor,tutor,2,,-1.0,
,,,so instantly when i'm reading this.,2023-02-23T17:20:58.040-08:00,2023-02-23T17:21:01.000-08:00,tutor,tutor,2,,-1.0,
,,,I'm thinking of setting up a system of equations.,2023-02-23T17:21:01.110-08:00,2023-02-23T17:21:03.640-08:00,tutor,tutor,2,,-1.0,
,,,and I think that'll help me get the answer. So,2023-02-23T17:21:05.190-08:00,2023-02-23T17:21:07.450-08:00,tutor,tutor,2,,-1.0,
,,,"so it says each novel sales for $4. So i'm gonna make novels. X, and it says each magazine source for one dollars I would make them. Why, so I get 4 x",2023-02-23T17:21:08.050-08:00,2023-02-23T17:21:18.700-08:00,tutor,tutor,2,,-1.0,
,,,"plus one y. and then that has to do with the price. and it says they have a combined selling price of $20, so I do equal t0 20,",2023-02-23T17:21:18.870-08:00,2023-02-23T17:21:30.090-08:00,tutor,tutor,2,,-1.0,
,,,and then I can also set up another equation,2023-02-23T17:21:30.790-08:00,2023-02-23T17:21:33.510-08:00,tutor,tutor,2,,-1.0,
,,,"which can help me. Also. You don't need to, but this could kind of help. You see it more. and it's just so. It it gives you 11 novels",2023-02-23T17:21:33.750-08:00,2023-02-23T17:21:42.490-08:00,tutor,tutor,2,,-1.0,
,,,"and magazines, so you know that the total number of each is going to be 11, so you could just have x plus y equals 11.",2023-02-23T17:21:44.480-08:00,2023-02-23T17:21:50.560-08:00,tutor,tutor,2,,-1.0,
,,,"So and then, once you have your equations. I would recommend doing, guess and check",2023-02-23T17:21:52.060-08:00,2023-02-23T17:21:57.900-08:00,tutor,tutor,2,,-1.0,
,,,"where you fill in the answers it gives. You see, if they work, and then, if they don't go, g0 0n to a different answer, so",2023-02-23T17:21:58.020-08:00,2023-02-23T17:22:04.750-08:00,tutor,tutor,2,,-1.0,
,,,"it says that it asks how many novels. And now was it going to be X. So you want to just try and plug these numbers in for X, and see if it works.",2023-02-23T17:22:04.870-08:00,2023-02-23T17:22:14.500-08:00,tutor,tutor,2,,-1.0,
,,,So let's start with,2023-02-23T17:22:15.850-08:00,2023-02-23T17:22:18.640-08:00,tutor,tutor,2,,-1.0,
,,,"2, just because the first one to d0 4 times 2",2023-02-23T17:22:18.920-08:00,2023-02-23T17:22:22.440-08:00,tutor,tutor,2,,-1.0,
,,,"plus one. Y equals 20, so you get 8 was one, y equals 20,",2023-02-23T17:22:23.720-08:00,2023-02-23T17:22:28.960-08:00,tutor,tutor,2,,-1.0,
,,,"and then if you plug in 2 here. 2 plus y equals 11,",2023-02-23T17:22:29.480-08:00,2023-02-23T17:22:34.640-08:00,tutor,tutor,2,,-1.0,
,,,"you know. Why, it's gonna be not",2023-02-23T17:22:35.110-08:00,2023-02-23T17:22:36.830-08:00,tutor,tutor,2,,-1.0,
,,,"So you d0 8 plus 9,",2023-02-23T17:22:37.640-08:00,2023-02-23T17:22:39.940-08:00,tutor,tutor,2,,-1.0,
,,,"and that doesn't equal 20, same move to the next one. which is 3. So you get your equation again 4 times 3. There's one Y equals 20.",2023-02-23T17:22:40.780-08:00,2023-02-23T17:22:50.670-08:00,tutor,tutor,2,,-1.0,
,,,You get 12 because one y goes 20.,2023-02-23T17:22:51.540-08:00,2023-02-23T17:22:54.080-08:00,tutor,tutor,2,,-1.0,
,,,Plug it into your second equation.,2023-02-23T17:22:54.430-08:00,2023-02-23T17:22:56.330-08:00,tutor,tutor,2,,-1.0,
,,,3 plus,2023-02-23T17:22:56.700-08:00,2023-02-23T17:22:58.360-08:00,tutor,tutor,2,,-1.0,
,,,what equals 11 3 plus 8. Who's 11. You plug in 8. Here,2023-02-23T17:22:58.380-08:00,2023-02-23T17:23:03.920-08:00,tutor,tutor,2,,-1.0,
,,,"you get 20 equals 20, so this one is kinda",2023-02-23T17:23:05.800-08:00,2023-02-23T17:23:09.440-08:00,tutor,tutor,2,,-1.0,
,,,just a it's seeing if you can set up the proper equations when you're doing these types of problems you want to make sure you're able to set that up. and you kinda attribute $4 to each novel,2023-02-23T17:23:09.710-08:00,2023-02-23T17:23:22.830-08:00,tutor,tutor,2,,-1.0,
,,,and one dollars each magazine,2023-02-23T17:23:22.920-08:00,2023-02-23T17:23:24.780-08:00,tutor,tutor,2,,-1.0,
,,,and realize that it's each one.,2023-02-23T17:23:25.510-08:00,2023-02-23T17:23:28.250-08:00,tutor,tutor,2,,-1.0,
,,,"Each magazine you buy is gonna be $4, so it's gonna be a It's going to be attached t0 4,",2023-02-23T17:23:29.080-08:00,2023-02-23T17:23:34.200-08:00,tutor,tutor,2,,-1.0,
,,,and then you kind of Don't get confused with the 11 as well.,2023-02-23T17:23:34.430-08:00,2023-02-23T17:23:37.910-08:00,tutor,tutor,2,,-1.0,
,,,Does that kind of make sense to everybody?,2023-02-23T17:23:38.170-08:00,2023-02-23T17:23:40.040-08:00,tutor,tutor,2,,-1.0,
,,,"Oh, yeah.",2023-02-23T17:23:43.840-08:00,2023-02-23T17:23:44.660-08:00,tutor,tutor,2,,-1.0,
,-1.0,1.0,go ahead and try this one.,2023-02-23T17:23:48.050-08:00,2023-02-23T17:23:49.590-08:00,tutor,tutor,3,,-1.0,
,,,It's kind of like a a problem we did before it's a little bit challenging. So,2023-02-23T17:23:50.740-08:00,2023-02-23T17:23:55.300-08:00,tutor,tutor,3,,-1.0,
,,,don't be too mad if you don't get it.,2023-02-23T17:23:55.690-08:00,2023-02-23T17:23:57.460-08:00,tutor,tutor,3,,-1.0,
,,,One more minute.,2023-02-23T17:24:30.840-08:00,2023-02-23T17:24:31.860-08:00,tutor,tutor,3,,-1.0,
,,,30 more seconds.,2023-02-23T17:24:44.730-08:00,2023-02-23T17:24:46.190-08:00,tutor,tutor,3,,-1.0,
,,,10 more seconds.,2023-02-23T17:24:59.560-08:00,2023-02-23T17:25:00.900-08:00,tutor,tutor,3,,-1.0,
,,,Okay. So for this one.,2023-02-23T17:25:09.050-08:00,2023-02-23T17:25:10.550-08:00,tutor,tutor,3,,-1.0,
,,,"Oh, there's a couple of tricks you can employ to get the right answer. You don't necessarily need to get the exact right answer. But",2023-02-23T17:25:10.900-08:00,2023-02-23T17:25:17.220-08:00,tutor,tutor,3,,-1.0,
,,,what I do is kind of use a process of elimination.,2023-02-23T17:25:17.290-08:00,2023-02-23T17:25:20.080-08:00,tutor,tutor,3,,-1.0,
,,,So if you don't really know,2023-02-23T17:25:21.870-08:00,2023-02-23T17:25:23.960-08:00,tutor,tutor,3,,-1.0,
,,,"what this is going to be equal to, I don't blame you. It means just use a calculator. But this is probably a question for the non-calculator section. So",2023-02-23T17:25:24.370-08:00,2023-02-23T17:25:31.590-08:00,tutor,tutor,3,,-1.0,
,,,"I would just use as I said process of elimination. So we know that 9 and 3 4,",2023-02-23T17:25:31.840-08:00,2023-02-23T17:25:37.460-08:00,tutor,tutor,3,,-1.0,
,,,"as I showed you the other day, we can write it in a different form.",2023-02-23T17:25:38.190-08:00,2023-02-23T17:25:41.510-08:00,tutor,tutor,3,,-1.0,
,,,which is 9 cubed. and you take that to the fourth route,2023-02-23T17:25:42.010-08:00,2023-02-23T17:25:46.810-08:00,tutor,tutor,3,,-1.0,
,,,automatically by writing that we know that,2023-02-23T17:25:48.190-08:00,2023-02-23T17:25:50.970-08:00,tutor,tutor,3,,-1.0,
