problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,Hi!,2023-03-08T08:02:04.710-08:00,2023-03-08T08:02:06.940-08:00,tutor,tutor,1,,,
,,,This is our last session.,2023-03-08T08:02:07.480-08:00,2023-03-08T08:02:10.250-08:00,tutor,tutor,1,,,
,,,"I have a couple of things to share before I start the practice test. So let's just need for 2 to 3 more minutes until more people join it, and then I can start addressing it.",2023-03-08T08:02:10.430-08:00,2023-03-08T08:02:25.260-08:00,tutor,tutor,1,,,
,,,"Okay, so I think we can begin now.",2023-03-08T08:05:03.230-08:00,2023-03-08T08:05:05.560-08:00,tutor,tutor,1,,,
,,,Give me a minute to share my screen.,2023-03-08T08:05:09.260-08:00,2023-03-08T08:05:13.260-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-08T08:05:32.500-08:00,2023-03-08T08:05:33.380-08:00,tutor,tutor,1,,,
,,,"So one thing, first of all, I like to be. If you are about",2023-03-08T08:05:33.710-08:00,2023-03-08T08:05:40.420-08:00,tutor,tutor,1,,,
,,,"2 or 3, one school, how is",2023-03-08T08:05:40.680-08:00,2023-03-08T08:05:43.850-08:00,tutor,tutor,1,,,
,,,see.,2023-03-08T08:05:45.850-08:00,2023-03-08T08:05:46.720-08:00,tutor,tutor,1,,,
,,,So basically I became a tutor on like Oh.,2023-03-08T08:05:48.070-08:00,2023-03-08T08:05:52.780-08:00,tutor,tutor,1,,,
,,,march around 17 or something,2023-03-08T08:05:53.470-08:00,2023-03-08T08:05:57.530-08:00,tutor,tutor,1,,,
,,,"in 2,021,",2023-03-08T08:05:57.590-08:00,2023-03-08T08:05:59.120-08:00,tutor,tutor,1,,,
,,,and,2023-03-08T08:06:00.230-08:00,2023-03-08T08:06:01.630-08:00,tutor,tutor,1,,,
,,,"I was a a high school junior that time, or Los Audio High School.",2023-03-08T08:06:01.720-08:00,2023-03-08T08:06:08.820-08:00,tutor,tutor,1,,,
,,,So i'm with that time like a rising sophomore.,2023-03-08T08:06:08.850-08:00,2023-03-08T08:06:11.420-08:00,tutor,tutor,1,,,
,,,"And honestly, I have learned a lot from schoolhouse. I initially started tutoring with math, and in matter like Cs. And then I also did English.",2023-03-08T08:06:11.750-08:00,2023-03-08T08:06:24.890-08:00,tutor,tutor,1,,,
,,,"and ever since I got back my Sd score I even started to drink in. Oh, is a Mbsd map. and I've been a part of like a lot of volunteer teams and everything. So let me just",2023-03-08T08:06:25.390-08:00,2023-03-08T08:06:37.920-08:00,tutor,tutor,1,,,
,,,"review like how tutoring and schoolhouse works in case anybody is interested in, you know, becoming a tutor.",2023-03-08T08:06:37.940-08:00,2023-03-08T08:06:44.820-08:00,tutor,tutor,1,,,
,,,So you can basically get started in like no time. It takes 2 h to get certified and finish the training. So you need to do a Con Academy certification.,2023-03-08T08:06:45.070-08:00,2023-03-08T08:06:55.550-08:00,tutor,tutor,1,,,
,,,"Okay, that you need to solve like a Khan Academy, a unit. Test",2023-03-08T08:06:55.950-08:00,2023-03-08T08:07:00.820-08:00,tutor,tutor,1,,,
