problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495.0,,1.0,"All right. Hello, everybody! How's everybody doing?",2023-02-23T16:03:03.280-08:00,2023-02-23T16:03:06.790-08:00,tutor,tutor,1,,,
,,,Let's get started with some practice.,2023-02-23T16:03:09.840-08:00,2023-02-23T16:03:15.850-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-23T16:03:27.980-08:00,2023-02-23T16:03:29.120-08:00,tutor,tutor,1,,,
,-1.0,1.0,"So we're gonna practice a few problems, couple of percentage problems, because it seems like. maybe that was something that people need to work on. So first problem we have here is",2023-02-23T16:03:34.640-08:00,2023-02-23T16:03:47.370-08:00,tutor,tutor,2,,-1.0,
,,,Alma bought a laptop computer at a store that gave a 20% discount off its original price.,2023-02-23T16:03:47.670-08:00,2023-02-23T16:03:54.190-08:00,tutor,tutor,2,,-1.0,
,,,"The total amount she paid to the cashier was P. Dollars, including an 8% sales tax. the discounted price. Which of the following represents the original price of the computer in terms of P.",2023-02-23T16:03:55.250-08:00,2023-02-23T16:04:07.420-08:00,tutor,tutor,2,,-1.0,
,,,Right? So it was a 20% discount. And then,2023-02-23T16:04:09.390-08:00,2023-02-23T16:04:12.410-08:00,tutor,tutor,2,,-1.0,
,,,"also, she paid an 8% sales tax.",2023-02-23T16:04:14.040-08:00,2023-02-23T16:04:17.000-08:00,tutor,tutor,2,,-1.0,
,,,So first let's look at how it would be represented,2023-02-23T16:04:23.990-08:00,2023-02-23T16:04:27.730-08:00,tutor,tutor,2,,-1.0,
,,,as a 20% discount right?,2023-02-23T16:04:27.950-08:00,2023-02-23T16:04:30.150-08:00,tutor,tutor,2,,-1.0,
,,,Anybody you have any,2023-02-23T16:04:30.780-08:00,2023-02-23T16:04:32.910-08:00,tutor,tutor,2,,-1.0,
,,,"thoughts on how, how we would.",2023-02-23T16:04:32.990-08:00,2023-02-23T16:04:34.980-08:00,tutor,tutor,2,,-1.0,
,,,how we would represent it as a,2023-02-23T16:04:36.760-08:00,2023-02-23T16:04:38.900-08:00,tutor,tutor,2,,-1.0,
,,,2020% discount,2023-02-23T16:04:39.090-08:00,2023-02-23T16:04:40.990-08:00,tutor,tutor,2,,-1.0,
,,,in terms of P.,2023-02-23T16:04:41.120-08:00,2023-02-23T16:04:42.180-08:00,tutor,tutor,2,,-1.0,
,,,"Yeah, right? Exactly. So it'd be 0 point. 8 P: Right? N0 0kay. That was terrible",2023-02-23T16:04:54.120-08:00,2023-02-23T16:05:00.020-08:00,tutor,tutor,2,,-1.0,
,,,"writing. But oh, well, so be 0 Point 8 P. Which would give you 80% of P. Which would be a 20% discount, right?",2023-02-23T16:05:00.600-08:00,2023-02-23T16:05:08.170-08:00,tutor,tutor,2,,-1.0,
,,,And then they also pay,2023-02-23T16:05:11.170-08:00,2023-02-23T16:05:14.420-08:00,tutor,tutor,2,,-1.0,
,,,a 8% sales tax.,2023-02-23T16:05:15.380-08:00,2023-02-23T16:05:18.410-08:00,tutor,tutor,2,,-1.0,
,,,all right. And so,2023-02-23T16:05:20.350-08:00,2023-02-23T16:05:22.060-08:00,tutor,tutor,2,,-1.0,
,,,"the you can see here, it kind of has in the answers right? So that one times 1.0 8",2023-02-23T16:05:24.310-08:00,2023-02-23T16:05:29.480-08:00,tutor,tutor,2,,-1.0,
,,,like 1.0 8.,2023-02-23T16:05:30.290-08:00,2023-02-23T16:05:31.890-08:00,tutor,tutor,2,,-1.0,
,,,He,2023-02-23T16:05:34.070-08:00,2023-02-23T16:05:34.970-08:00,tutor,tutor,2,,-1.0,
,,,that would be,2023-02-23T16:05:36.730-08:00,2023-02-23T16:05:38.130-08:00,tutor,tutor,2,,-1.0,
