problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,"Hey, everyone, welcome back! I hope you guys had a a good weekend. so we'll be doing the sat boot camp again. And so there's this walking question which I think was kind of similar to one that we did previously. It's asking about what is the subject or topic that deeply interests you.",2023-03-07T13:00:18.990-08:00,2023-03-07T13:00:35.520-08:00,tutor,tutor,1,,,
,,,"I guess you can say, like a topic within a subject that you already mentioned that deeply interest you so like. If I was saying that maybe I could say geometry maybe expand on that.",2023-03-07T13:00:36.990-08:00,2023-03-07T13:00:46.050-08:00,tutor,tutor,1,,,
,,,or I guess maybe you could say like a hobby that's interesting to you like,2023-03-07T13:00:46.350-08:00,2023-03-07T13:00:50.930-08:00,tutor,tutor,1,,,
,,,I think I already mentioned. I paid off cards. I played in the chess tournament over the weekend.,2023-03-07T13:00:51.090-08:00,2023-03-07T13:00:56.520-08:00,tutor,tutor,1,,,
,,,"Hello. yeah, that's kind of cool. I did somewhat well. I got like 3 1 5.",2023-03-07T13:00:57.840-08:00,2023-03-07T13:01:04.230-08:00,tutor,tutor,1,,,
,,,What are you thinking?,2023-03-07T13:01:06.340-08:00,2023-03-07T13:01:07.430-08:00,tutor,tutor,1,,,
,,,"I mean, I guess, for me",2023-03-07T13:01:10.950-08:00,2023-03-07T13:01:13.850-08:00,student,student A,1,,,
,,,I'd say that it so you that kind of interest me would be,2023-03-07T13:01:14.000-08:00,2023-03-07T13:01:17.320-08:00,student,student A,1,,,
,,,"probably like calm side, cause that's what i'm like trying to go towards. So I mean being here for Matt really does help the line. That's how? Yeah.",2023-03-07T13:01:17.700-08:00,2023-03-07T13:01:26.890-08:00,student,student A,1,,,
,,,"what about comp size, kind of interesting. Do you like like algorithms or you big algorithms?",2023-03-07T13:01:27.310-08:00,2023-03-07T13:01:32.300-08:00,tutor,tutor,1,,,
,,,"I mean, yeah, I like just like all the data and all the analytics are within concept. So that really interests me a lot. So",2023-03-07T13:01:33.370-08:00,2023-03-07T13:01:40.610-08:00,student,student A,1,,,
,,,"you have like a data scientist, maybe?",2023-03-07T13:01:42.050-08:00,2023-03-07T13:01:44.030-08:00,tutor,tutor,1,,,
,,,"Yeah, for sure. Yeah, that's like that's what i'm thinking of going towards",2023-03-07T13:01:44.830-08:00,2023-03-07T13:01:48.580-08:00,student,student A,1,,,
,,,"it. Okay, that's awesome. How about you, Siena?",2023-03-07T13:01:48.900-08:00,2023-03-07T13:01:52.240-08:00,tutor,tutor,1,,,
,,,I actually have a lot of hobbies.,2023-03-07T13:01:55.090-08:00,2023-03-07T13:01:58.560-08:00,student,student B,1,,,
,,,I like anything that's in gate culture. So i'm really into gaming.,2023-03-07T13:01:58.920-08:00,2023-03-07T13:02:04.880-08:00,student,student B,1,,,
,,,"I like collecting a lot of things, although I also do a lot of things relative to fine art. So I play a lot of piano and",2023-03-07T13:02:05.070-08:00,2023-03-07T13:02:12.380-08:00,student,student B,1,,,
,,,do a lot of digital illustration.,2023-03-07T13:02:12.450-08:00,2023-03-07T13:02:14.750-08:00,student,student B,1,,,
,,,"Oh, so that sounds pretty cool. What's your favorite game or something",2023-03-07T13:02:15.320-08:00,2023-03-07T13:02:19.540-08:00,tutor,tutor,1,,,
,,,"so for single-player I really love dishonored, and the by Shock series.",2023-03-07T13:02:19.790-08:00,2023-03-07T13:02:24.350-08:00,student,student B,1,,,
,,,"And for multiplayer I love to. I love to play a lot, but I mainly just play over watching Ballarant.",2023-03-07T13:02:24.480-08:00,2023-03-07T13:02:29.910-08:00,student,student B,1,,,
,,,That's exactly it.,2023-03-07T13:02:30.500-08:00,2023-03-07T13:02:35.150-08:00,tutor,tutor,1,,,
,,,It sounds pretty sick.,2023-03-07T13:02:36.270-08:00,2023-03-07T13:02:37.770-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-07T13:02:37.830-08:00,2023-03-07T13:02:38.890-08:00,student,student B,1,,,
,,,"then, how about you?",2023-03-07T13:02:39.340-08:00,2023-03-07T13:02:40.680-08:00,tutor,tutor,1,,,
,,,I would say.,2023-03-07T13:02:48.180-08:00,2023-03-07T13:02:49.950-08:00,student,student C,1,,,
,,,like medicine deeply interest me.,2023-03-07T13:02:50.280-08:00,2023-03-07T13:02:53.380-08:00,student,student C,1,,,
,,,because I feel like there's like so so much like that's interesting about it.,2023-03-07T13:02:54.020-08:00,2023-03-07T13:02:59.360-08:00,student,student C,1,,,
,,,"And i'd also say, like the ocean, I feel like that's very interesting, because, like we don't know really anything. Oh, yeah, like the deep ocean and South. And I can. Yeah, we know that's about the ocean that maybe even space.",2023-03-07T13:02:59.400-08:00,2023-03-07T13:03:10.830-08:00,student,student C,1,,,
,,,"Yeah, I think that's so weird.",2023-03-07T13:03:10.840-08:00,2023-03-07T13:03:12.660-08:00,student,student C,1,,,
,,,Yeah. how about you,2023-03-07T13:03:12.910-08:00,2023-03-07T13:03:15.370-08:00,tutor,tutor,1,,,
,,,subject that deeply interest me or in hobbies. Music,2023-03-07T13:03:17.440-08:00,2023-03-07T13:03:21.790-08:00,student,student D,1,,,
,,,music is a huge part of my life. Yeah.,2023-03-07T13:03:21.880-08:00,2023-03-07T13:03:24.980-08:00,student,student D,1,,,
,,,"I play the bass guitar, the guitar, and in the drum line competition or after school event, i'm playing the quitar.",2023-03-07T13:03:25.240-08:00,2023-03-07T13:03:34.580-08:00,student,student D,1,,,
,,,which I now have to learn. So that's fun.,2023-03-07T13:03:34.990-08:00,2023-03-07T13:03:37.120-08:00,student,student D,1,,,
,,,That's pretty cool.,2023-03-07T13:03:37.950-08:00,2023-03-07T13:03:39.170-08:00,tutor,tutor,1,,,
,,,"I like I know a lot of people who do music. I unfortunately don't. But yeah, it's kind of like awesome when people are actually playing",2023-03-07T13:03:39.960-08:00,2023-03-07T13:03:47.030-08:00,tutor,tutor,1,,,
,,,[STUDENT_7].,2023-03-07T13:03:47.670-08:00,2023-03-07T13:03:48.820-08:00,tutor,tutor,1,,,
,,,"I guess maybe, [STUDENT_7], do you have a goodbye to that connection",2023-03-07T13:03:53.470-08:00,2023-03-07T13:03:57.020-08:00,tutor,tutor,1,,,
,,,like you did last time.,2023-03-07T13:03:57.390-08:00,2023-03-07T13:03:58.750-08:00,tutor,tutor,1,,,
,,,"Yeah, I think our office is.",2023-03-07T13:04:03.460-08:00,2023-03-07T13:04:05.520-08:00,tutor,tutor,1,,,
,,,It's biology sick?,2023-03-07T13:04:05.690-08:00,2023-03-07T13:04:07.570-08:00,tutor,tutor,1,,,
,,,"So like, is there any specific topic in biology that's really cool for you like. Or maybe you have like a favorite animal",2023-03-07T13:04:07.710-08:00,2023-03-07T13:04:14.170-08:00,tutor,tutor,1,,,
