problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485 (A1),,1.0,Hi.,2023-02-11T09:12:23.330-08:00,2023-02-11T09:12:24.490-08:00,tutor,tutor,1,,,
,,,"yeah, I think we'll wait like 5 min more for other people to join, and then we'll start. Okay.",2023-02-11T09:12:38.610-08:00,2023-02-11T09:12:43.520-08:00,tutor,tutor,1,,,
,,,"Okay, Hi, guys.",2023-02-11T09:16:24.750-08:00,2023-02-11T09:16:26.510-08:00,tutor,tutor,1,,,
,,,I think everyone's here. So let's just start. We'll g0 0ff with the introductions first. So let me just share my screen real quick.,2023-02-11T09:16:27.280-08:00,2023-02-11T09:16:36.300-08:00,tutor,tutor,1,,,
,,,"Okay. So could you please have, like all of your videos on, if possible.",2023-02-11T09:17:13.570-08:00,2023-02-11T09:17:17.790-08:00,tutor,tutor,1,,,
,,,Thank you so much.,2023-02-11T09:17:26.080-08:00,2023-02-11T09:17:33.450-08:00,tutor,tutor,1,,,
,,,"Okay. So this is like the day one. I welcome you all from guys to this, and we'll start off with an introduction. So i'll go first. This this is your slides. Okay, so we'll just like, Use this, and we use the popcorn technique. So i'll just like, Take a random name, and then you guys will do the same. Okay, so hi! My name is Fernando. I'm from Pakistan and my home for the side food cap is just like to help you guys out.",2023-02-11T09:17:34.160-08:00,2023-02-11T09:17:55.200-08:00,tutor,tutor,1,,,
,,,"I've been on the receiving end of this, so now I just like hope to get back. Okay, so",2023-02-11T09:17:55.200-08:00,2023-02-11T09:18:00.180-08:00,tutor,tutor,1,,,
,,,"i'll take Lucy. He knows, maybe because she was there for so.",2023-02-11T09:18:00.730-08:00,2023-02-11T09:18:04.220-08:00,tutor,tutor,1,,,
,,,"Oh, hi! I'm [STUDENT_7]. I'm from California and the us, and I hope for the Sat boot camp is to get better at taking the test.",2023-02-11T09:18:05.160-08:00,2023-02-11T09:18:15.020-08:00,student,student A,1,,,
,,,"You'll have to take someone's name. Also because Popcorn. Oh, my God. Okay, [STUDENT_6].",2023-02-11T09:18:19.370-08:00,2023-02-11T09:18:25.050-08:00,student,student A,1,,,
,,,"Hi! My name is [STUDENT_6]. I'm. From Texas, and my hope for the St. Boot camp is to improve the math score",2023-02-11T09:18:27.050-08:00,2023-02-11T09:18:34.270-08:00,student,student B,1,,,
,,,miles.,2023-02-11T09:18:39.310-08:00,2023-02-11T09:18:40.280-08:00,student,student B,1,,,
,,,"Hi, My name is Miles, i'm from Illinois and the Units, and I'm. Hoping to improve my mask or and just get better at taking the test overall.",2023-02-11T09:18:45.200-08:00,2023-02-11T09:18:54.990-08:00,student,student C,1,,,
,,,[STUDENT_10].,2023-02-11T09:18:58.250-08:00,2023-02-11T09:18:59.160-08:00,student,student C,1,,,
,,,I'm going to,2023-02-11T09:19:20.190-08:00,2023-02-11T09:19:21.430-08:00,student,student D,1,,,
,,,"I'm from California, and I hope to increase my",2023-02-11T09:19:21.440-08:00,2023-02-11T09:19:26.150-08:00,student,student D,1,,,
,,,a point of,2023-02-11T09:19:35.080-08:00,2023-02-11T09:19:36.780-08:00,student,student D,1,,,
,,,Did you take a name?,2023-02-11T09:19:39.350-08:00,2023-02-11T09:19:41.540-08:00,student,student D,1,,,
,,,I'm not sure Who Hasn't gone yet?,2023-02-11T09:19:43.240-08:00,2023-02-11T09:19:45.240-08:00,student,student D,1,,,
,,,"Yeah, okay, let's g0 0n on my own. You go now.",2023-02-11T09:19:45.800-08:00,2023-02-11T09:19:49.120-08:00,tutor,tutor,1,,,
,,,"My name is Rajan, and I'm. From Illinois. I hope to be better on the math section by getting more exposure to it.",2023-02-11T09:19:50.080-08:00,2023-02-11T09:19:57.830-08:00,student,student E,1,,,
,,,That's it.,2023-02-11T09:19:58.010-08:00,2023-02-11T09:19:58.700-08:00,student,student E,1,,,
,,,"and i'll say, try them.",2023-02-11T09:19:58.919-08:00,2023-02-11T09:20:01.540-08:00,student,student E,1,,,
,,,Hello! My name is,2023-02-11T09:20:05.440-08:00,2023-02-11T09:20:10.260-08:00,student,student F,1,,,
,,,that I at least increase my score by maybe 200 300 points.,2023-02-11T09:20:10.720-08:00,2023-02-11T09:20:16.320-08:00,student,student F,1,,,
,,,Can you take a random name? We have an each left we have [STUDENT_3] left.,2023-02-11T09:20:22.860-08:00,2023-02-11T09:20:27.440-08:00,student,student F,1,,,
,,,I,2023-02-11T09:20:28.610-08:00,2023-02-11T09:20:30.340-08:00,student,student F,1,,,
,,,"No, I don't. You go go next, I think an issue is not here at the moment.",2023-02-11T09:20:38.100-08:00,2023-02-11T09:20:42.440-08:00,tutor,tutor,1,,,
,,,"Hi! My name is [STUDENT_11] I'm. From Texas, and I hope to increase my support for like 300 points.",2023-02-11T09:20:43.810-08:00,2023-02-11T09:20:49.480-08:00,student,student G,1,,,
,,,"Okay, do we have some left. We know. Why don't you go next?",2023-02-11T09:20:59.670-08:00,2023-02-11T09:21:04.150-08:00,student,student G,1,,,
,,,"Hi! I'm, Mona, i'm from Lebanon, and my hope is to to improve my score by at least 50 points.",2023-02-11T09:21:05.010-08:00,2023-02-11T09:21:11.600-08:00,student,student H,1,,,
,,,"If we have someone left, they can just expect for you to go next.",2023-02-11T09:21:13.270-08:00,2023-02-11T09:21:16.740-08:00,tutor,tutor,1,,,
,,,But,2023-02-11T09:21:17.230-08:00,2023-02-11T09:21:18.570-08:00,student,student I,1,,,
,,,"yeah, [STUDENT_5], we called out on you like 2 min ago you responded like.",2023-02-11T09:21:19.910-08:00,2023-02-11T09:21:25.380-08:00,tutor,tutor,1,,,
,,,"Yeah, no. I I just came.",2023-02-11T09:21:26.110-08:00,2023-02-11T09:21:27.690-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-11T09:21:27.910-08:00,2023-02-11T09:21:28.890-08:00,tutor,tutor,1,,,
,,,"Oh, yes, hi! My name is a niche. I'm from Texas, and",2023-02-11T09:21:29.200-08:00,2023-02-11T09:21:33.320-08:00,student,student I,1,,,
,,,I wanna my ghost in from my score by at least 2 air points.,2023-02-11T09:21:33.470-08:00,2023-02-11T09:21:37.330-08:00,student,student I,1,,,
,,,"Okay, I hope everyone's done. If you have someone left again, feel free to go. N0 0kay. Great. Okay. So",2023-02-11T09:21:40.310-08:00,2023-02-11T09:21:47.540-08:00,tutor,tutor,1,,,
,,,"if you don't know what schoolhouse it's, it's a nonprofit organization, and it's like giving everyone to train. So we have like this like 30,000 learners. There's like 4,000 tutors. I'm: one of them, and it's like all over the world. It's global, just like Khan Academy is.",2023-02-11T09:21:48.030-08:00,2023-02-11T09:22:01.240-08:00,tutor,tutor,1,,,
,,,"So yeah, that's it. Okay. So",2023-02-11T09:22:01.560-08:00,2023-02-11T09:22:03.990-08:00,tutor,tutor,1,,,
,,,"this is going to last like over like a month or 4 weeks at least, and then we'll have 75 min sessions per week.",2023-02-11T09:22:04.090-08:00,2023-02-11T09:22:10.760-08:00,tutor,tutor,1,,,
,,,"2 0kay. So there's like Saturday, 1015 for me at least. I don't know what the time is for. You guys and Sunday same. Time. Okay, 75 min. We'll do practice tests, we review them, and then we'll also do to try to get a good practice which is gonna be like to t0 0ne of our problems that everyone is facing. Okay.",2023-02-11T09:22:11.020-08:00,2023-02-11T09:22:27.840-08:00,tutor,tutor,1,,,
,,,"no required homework. But again, a majority of you, I've been, notice, want to have, like a major improvement in your scores. Right. So",2023-02-11T09:22:27.850-08:00,2023-02-11T09:22:37.130-08:00,tutor,tutor,1,,,
,,,"I would suggest, You guys do the practice again. It's not homework. S0 0kay, so i'm not going to ask you if you did it. But if you want to improve you should. That is like the general advice.",2023-02-11T09:22:37.590-08:00,2023-02-11T09:22:47.900-08:00,tutor,tutor,1,,,
,,,"It's up that. Yeah. So like, just like 3 guidelines, 3 rules participation. Please be there in class. Please come on time.",2023-02-11T09:22:48.770-08:00,2023-02-11T09:22:57.160-08:00,tutor,tutor,1,,,
