problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489 (A3),,1.0,"Hi, guys! Sorry i'm running a bit late today.",2023-02-20T00:29:22.260+00:00,2023-02-20T00:29:27.150+00:00,tutor,tutor,1,,,
,,,"Hi, everyone!",2023-02-20T00:30:12.570+00:00,2023-02-20T00:30:13.840+00:00,tutor,tutor,1,,,
,,,"If you don't mind, could you turn your cameras on we're just gonna we're gonna get started in a second.",2023-02-20T00:30:13.850+00:00,2023-02-20T00:30:21.550+00:00,tutor,tutor,1,,,
,,,Sorry,2023-02-20T00:30:21.750+00:00,2023-02-20T00:30:23.300+00:00,tutor,tutor,1,,,
,,,bit late today.,2023-02-20T00:30:27.110+00:00,2023-02-20T00:30:29.660+00:00,tutor,tutor,1,,,
,,,Okay.,2023-02-20T00:31:08.420+00:00,2023-02-20T00:31:09.140+00:00,tutor,tutor,1,,,
,,,that's that's all right.,2023-02-20T00:31:11.060+00:00,2023-02-20T00:31:12.600+00:00,tutor,tutor,1,,,
,,,Does everyone else mind turning their cameras on,2023-02-20T00:31:20.610+00:00,2023-02-20T00:31:23.950+00:00,tutor,tutor,1,,,
,,,unless you let me know that you can.,2023-02-20T00:31:24.440+00:00,2023-02-20T00:31:27.080+00:00,tutor,tutor,1,,,
,,,Thank you.,2023-02-20T00:31:34.150+00:00,2023-02-20T00:31:35.040+00:00,tutor,tutor,1,,,
,,,"Okay, cool. So let's get started. And hopefully, more people will join as we progressed. All right. So this is week.",2023-02-20T00:31:40.640+00:00,2023-02-20T00:31:49.230+00:00,tutor,tutor,1,,,
,,,This is the wrong one.,2023-02-20T00:31:51.360+00:00,2023-02-20T00:31:52.670+00:00,tutor,tutor,1,,,
,,,"This is week, 2 day, one alright.",2023-02-20T00:31:54.200+00:00,2023-02-20T00:31:57.850+00:00,tutor,tutor,1,,,
,,,cool.,2023-02-20T00:32:00.680+00:00,2023-02-20T00:32:01.350+00:00,tutor,tutor,1,,,
