problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485 (A1),,1.0,"Hello. Emily, is it?",2023-02-11T08:57:27.210-08:00,2023-02-11T08:57:30.140-08:00,tutor,tutor,1,,,
,,,Can you hear me?,2023-02-11T08:57:32.650-08:00,2023-02-11T08:57:33.880-08:00,student,student A,1,,,
,,,"Yeah, I can hear you. Can you hear me?",2023-02-11T08:57:34.690-08:00,2023-02-11T08:57:36.790-08:00,student,student A,1,,,
,,,Yeah.,2023-02-11T08:57:37.120-08:00,2023-02-11T08:57:38.050-08:00,student,student A,1,,,
,,,"All right. Well, thank you for showing up. I think we're going to wait like another, maybe 5 min or so, just if anybody else joins and then",2023-02-11T08:57:40.020-08:00,2023-02-11T08:57:47.070-08:00,tutor,tutor,1,,,
,,,we'll get started after that.,2023-02-11T08:57:47.220-08:00,2023-02-11T08:57:48.670-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-11T08:57:49.080-08:00,2023-02-11T08:57:49.980-08:00,student,student A,1,,,
,,,Hello! Is it? Pronounced,2023-02-11T08:58:47.210-08:00,2023-02-11T08:58:49.580-08:00,tutor,tutor,1,,,
,,,Tedge.,2023-02-11T08:58:49.830-08:00,2023-02-11T08:58:56.150-08:00,tutor,tutor,1,,,
,,,Hello!,2023-02-11T08:58:59.070-08:00,2023-02-11T08:58:59.880-08:00,student,student B,1,,,
,,,"We're gonna wait a few more minutes for other people to join, and then we will get rolling.",2023-02-11T08:59:07.780-08:00,2023-02-11T08:59:12.390-08:00,tutor,tutor,1,,,
,,,"Hello! Here is it, my parents. That correctly.",2023-02-11T09:00:04.140-08:00,2023-02-11T09:00:08.680-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-11T09:00:15.010-08:00,2023-02-11T09:00:15.940-08:00,student,student C,1,,,
,,,I just try to log in.,2023-02-11T09:00:17.580-08:00,2023-02-11T09:00:20.550-08:00,student,student C,1,,,
,,,Very good.,2023-02-11T09:00:21.590-08:00,2023-02-11T09:00:22.640-08:00,tutor,tutor,1,,,
,,,"Hello, [STUDENT_10].",2023-02-11T09:00:36.220-08:00,2023-02-11T09:00:37.600-08:00,tutor,tutor,1,,,
,,,Hello! I' that correctly.,2023-02-11T09:01:26.200-08:00,2023-02-11T09:01:30.320-08:00,tutor,tutor,1,,,
,,,Yes.,2023-02-11T09:01:35.430-08:00,2023-02-11T09:01:36.370-08:00,student,student D,1,,,
,,,very cool.,2023-02-11T09:01:37.020-08:00,2023-02-11T09:01:38.410-08:00,tutor,tutor,1,,,
,,,"Hello, [STUDENT_5]. Is that I'm not quite correct with you, [STUDENT_5], or",2023-02-11T09:01:45.030-08:00,2023-02-11T09:01:49.630-08:00,tutor,tutor,1,,,
,,,"Oh, yes, that's correct.",2023-02-11T09:01:50.940-08:00,2023-02-11T09:01:52.380-08:00,student,student E,1,,,
,,,Okay?,2023-02-11T09:01:52.500-08:00,2023-02-11T09:01:53.250-08:00,student,student E,1,,,
,,,And hello at me.,2023-02-11T09:01:56.780-08:00,2023-02-11T09:01:59.760-08:00,tutor,tutor,1,,,
,,,Is that right?,2023-02-11T09:02:00.170-08:00,2023-02-11T09:02:01.140-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-11T09:02:01.490-08:00,2023-02-11T09:02:02.270-08:00,student,student F,1,,,
,,,"Okay. Cool, cool.",2023-02-11T09:02:02.510-08:00,2023-02-11T09:02:03.870-08:00,tutor,tutor,1,,,
,,,I think we'll wait like one more minutes if anybody else joins. and then we'll get started.,2023-02-11T09:02:06.080-08:00,2023-02-11T09:02:11.080-08:00,tutor,tutor,1,,,
,,,Hmm! Hmm!,2023-02-11T09:02:57.400-08:00,2023-02-11T09:02:59.510-08:00,tutor,tutor,1,,,
,,,"Hello, Jacqueline.",2023-02-11T09:03:10.890-08:00,2023-02-11T09:03:12.190-08:00,tutor,tutor,1,,,
,,,All right. So I think we are going to get started now.,2023-02-11T09:03:16.530-08:00,2023-02-11T09:03:20.880-08:00,tutor,tutor,1,,,
,,,so,2023-02-11T09:03:21.730-08:00,2023-02-11T09:03:22.560-08:00,tutor,tutor,1,,,
,,,"Hello, everybody! Welcome! Welcome! This",2023-02-11T09:03:23.300-08:00,2023-02-11T09:03:27.030-08:00,tutor,tutor,1,,,
,,,is the,2023-02-11T09:03:27.140-08:00,2023-02-11T09:03:28.520-08:00,tutor,tutor,1,,,
,,,sat boot camp for the march. Sat. It's for the math portion. I believe. You guys know this already from your sign-up.,2023-02-11T09:03:28.760-08:00,2023-02-11T09:03:36.490-08:00,tutor,tutor,1,,,
,,,"So today we're going to get started with a little bit of introduction, and then a bit of overview",2023-02-11T09:03:37.040-08:00,2023-02-11T09:03:43.230-08:00,tutor,tutor,1,,,
,,,So we're going to start out with just some introductions. I'll go first.,2023-02-11T09:03:43.900-08:00,2023-02-11T09:03:47.230-08:00,tutor,tutor,1,,,
,,,My name is [STUDENT_4]. I am from Texas in the United States of America.,2023-02-11T09:03:47.440-08:00,2023-02-11T09:03:53.010-08:00,tutor,tutor,1,,,
,,,and i'm hoping that this sh boot camp. I can help You guys,2023-02-11T09:03:53.210-08:00,2023-02-11T09:03:57.810-08:00,tutor,tutor,1,,,
,,,do better,2023-02-11T09:03:58.380-08:00,2023-02-11T09:03:59.510-08:00,tutor,tutor,1,,,
,,,on the math section. Improve your test. Taking field particularly. I know time is an issue for a lot of people.,2023-02-11T09:03:59.660-08:00,2023-02-11T09:04:05.980-08:00,tutor,tutor,1,,,
,,,I hope I can help you do that.,2023-02-11T09:04:06.140-08:00,2023-02-11T09:04:07.810-08:00,tutor,tutor,1,,,
,,,"I'm interested in physics. I'm interested in that, and I like to spend time outdoors when I can going hiking, biking all that kind of stuff",2023-02-11T09:04:08.090-08:00,2023-02-11T09:04:15.700-08:00,tutor,tutor,1,,,
,,,"I'm going to popcorn over to. I think. Let's do, [STUDENT_10]? How about you? Do you want to go next? After your introduction? You can.",2023-02-11T09:04:18.100-08:00,2023-02-11T09:04:28.480-08:00,tutor,tutor,1,,,
,,,"Hi! My name is [STUDENT_10]. I'm. From Massachusetts, and my hope for the Sat boot camp is to get a better score.",2023-02-11T09:04:28.530-08:00,2023-02-11T09:04:37.500-08:00,student,student G,1,,,
,,,Pick someone else to go next.,2023-02-11T09:04:39.980-08:00,2023-02-11T09:04:41.870-08:00,student,student G,1,,,
,,,"Yeah, i'll go next. Hi! My name is Jacqueline. I'm from Texas Frisco. My hope for the sat boot camp is to gain better knowledge about what is to be tested? What is to be prepared for? Yeah.",2023-02-11T09:04:43.470-08:00,2023-02-11T09:04:57.190-08:00,student,student H,1,,,
,,,"hi! My name is Otney. I'm. From California, and my hope for this boot camp is just to meet me people and hopefully get a better score.",2023-02-11T09:05:02.750-08:00,2023-02-11T09:05:12.020-08:00,student,student F,1,,,
,,,Hi! My name is,2023-02-11T09:05:14.330-08:00,2023-02-11T09:05:23.520-08:00,student,student C,1,,,
,,,okay.,2023-02-11T09:05:23.920-08:00,2023-02-11T09:05:24.520-08:00,student,student C,1,,,
,,,"Hi! My name is Tedge. I'm from North Carolina, and my hope for the sat boo campus. You have a better math for basically",2023-02-11T09:05:29.400-08:00,2023-02-11T09:05:36.200-08:00,student,student I,1,,,
,,,"Hi. My name is Emily. I'm. From California, and my hope for the sat Boot camp is to get a better score.",2023-02-11T09:05:37.590-08:00,2023-02-11T09:05:43.570-08:00,student,student A,1,,,
,,,"Hi! My name is oh, sorry!",2023-02-11T09:05:50.550-08:00,2023-02-11T09:05:52.930-08:00,student,student E,1,,,
,,,"Hi! My name is [STUDENT_1]. I'm from Ohio, and my hope for this. It Boot camp is to be better in the writing and language. Section",2023-02-11T09:05:52.960-08:00,2023-02-11T09:06:00.570-08:00,student,student D,1,,,
,,,"Hi! My name is Louise Hong. I'm. From California, and my hope for the sat Boot Camp is to improve my understanding of the topics in math.",2023-02-11T09:06:02.700-08:00,2023-02-11T09:06:11.250-08:00,student,student E,1,,,
,,,Hi! My name is [STUDENT_2]. I am from,2023-02-11T09:06:13.010-08:00,2023-02-11T09:06:21.330-08:00,student,student B,1,,,
,,,all right. So introductions,2023-02-11T09:06:27.760-08:00,2023-02-11T09:06:30.800-08:00,tutor,tutor,1,,,
,,,I have commenced the schoolhouse. Some of you might have,2023-02-11T09:06:31.560-08:00,2023-02-11T09:06:35.530-08:00,tutor,tutor,1,,,
,,,"done received tutoring on here before, but in case you needed, this",2023-02-11T09:06:35.600-08:00,2023-02-11T09:06:39.470-08:00,tutor,tutor,1,,,
,,,"schoolhouse is basically a nonprofit to allow free tutoring the same way. Han Academy has free courses, and a native was founded by the same person",2023-02-11T09:06:39.610-08:00,2023-02-11T09:06:49.030-08:00,tutor,tutor,1,,,
,,,to date.,2023-02-11T09:06:49.460-08:00,2023-02-11T09:06:51.250-08:00,tutor,tutor,1,,,
,,,"Schoolhouse has over 4,000 tutors who have talked over 30,000 students, and",2023-02-11T09:06:51.750-08:00,2023-02-11T09:06:56.750-08:00,tutor,tutor,1,,,
,,,like 150 countries around the world.,2023-02-11T09:06:56.840-08:00,2023-02-11T09:06:59.140-08:00,tutor,tutor,1,,,
,,,"So it's kind of just schoolhouses To tutor in Wahan Academy is to classroom instructions, so to speak.",2023-02-11T09:06:59.700-08:00,2023-02-11T09:07:06.020-08:00,tutor,tutor,1,,,
,,,So that's kind of the idea of schoolhouse,2023-02-11T09:07:06.350-08:00,2023-02-11T09:07:08.570-08:00,tutor,tutor,1,,,
,,,for this particular boot camp. We're going to have 4,2023-02-11T09:07:09.560-08:00,2023-02-11T09:07:14.090-08:00,tutor,tutor,1,,,
,,,weeks each with 275 win of sessions. So a total of 2 and a half hours a week. For 4 weeks,2023-02-11T09:07:14.250-08:00,2023-02-11T09:07:20.380-08:00,tutor,tutor,1,,,
,,,"we're going to do a bunch of practice sections, both calculator and no calculator.",2023-02-11T09:07:20.570-08:00,2023-02-11T09:07:25.660-08:00,tutor,tutor,1,,,
,,,We'll then g0 0ver those sections and do a bit of trivial practice based on what seems to be the overall,2023-02-11T09:07:26.190-08:00,2023-02-11T09:07:31.370-08:00,tutor,tutor,1,,,
