problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489 (A3),,1.0,"Hey, everyone.",2023-02-21T01:16:44.340+00:00,2023-02-21T01:16:45.520+00:00,tutor,tutor,1,,,
,,,do you want to turn our cameras on?,2023-02-21T01:16:51.920+00:00,2023-02-21T01:16:54.450+00:00,tutor,tutor,1,,,
,,,If you feel comfortable?,2023-02-21T01:16:55.879+00:00,2023-02-21T01:16:57.450+00:00,tutor,tutor,1,,,
,,,"Alright, it looks like we have a couple of new people that do you want to introduce yourself If you're new.",2023-02-21T01:17:19.710+00:00,2023-02-21T01:17:25.480+00:00,tutor,tutor,1,,,
,,,hey? I'm vet i'm from New Jersey.,2023-02-21T01:17:34.500+00:00,2023-02-21T01:17:37.950+00:00,student,student A,1,,,
,,,and I mean i'm a junior in high school.,2023-02-21T01:17:39.060+00:00,2023-02-21T01:17:41.790+00:00,student,student A,1,,,
,,,"cool, nice to meet you.",2023-02-21T01:17:44.330+00:00,2023-02-21T01:17:45.770+00:00,tutor,tutor,1,,,
,,,I we can get started. Let me share my screen.,2023-02-21T01:17:50.670+00:00,2023-02-21T01:17:55.570+00:00,tutor,tutor,1,,,
,,,Alright.,2023-02-21T01:18:05.710+00:00,2023-02-21T01:18:06.440+00:00,tutor,tutor,1,,,
,,,alright.,2023-02-21T01:18:11.790+00:00,2023-02-21T01:18:12.530+00:00,tutor,tutor,1,,,
,,,"quick question, just to start off the session.",2023-02-21T01:18:12.670+00:00,2023-02-21T01:18:15.780+00:00,tutor,tutor,1,,,
,,,What is your favorite subject in school. Anyone can answer,2023-02-21T01:18:15.980+00:00,2023-02-21T01:18:21.510+00:00,tutor,tutor,1,,,
,,,algebra.,2023-02-21T01:18:29.860+00:00,2023-02-21T01:18:30.770+00:00,student,student B,1,,,
,,,Nice,2023-02-21T01:18:32.950+00:00,2023-02-21T01:18:33.790+00:00,tutor,tutor,1,,,
,,,anyone else.,2023-02-21T01:18:34.920+00:00,2023-02-21T01:18:36.090+00:00,tutor,tutor,1,,,
,,,Physics,2023-02-21T01:18:36.430+00:00,2023-02-21T01:18:38.400+00:00,tutor,tutor,1,,,
,,,nice. Yeah. I took physics last year. It was very hard,2023-02-21T01:18:39.710+00:00,2023-02-21T01:18:43.330+00:00,tutor,tutor,1,,,
,,,English.,2023-02-21T01:18:44.680+00:00,2023-02-21T01:18:45.850+00:00,student,student C,1,,,
,,,"Well, Brian, says Matt.",2023-02-21T01:18:48.120+00:00,2023-02-21T01:18:50.710+00:00,tutor,tutor,1,,,
,,,I like to,2023-02-21T01:18:51.080+00:00,2023-02-21T01:18:52.520+00:00,tutor,tutor,1,,,
,,,hey? Last,2023-02-21T01:18:54.470+00:00,2023-02-21T01:18:55.390+00:00,tutor,tutor,1,,,
,,,cool and move to the Oh.,2023-02-21T01:18:58.690+00:00,2023-02-21T01:19:02.140+00:00,tutor,tutor,1,,,
,,,"yeah, Ap: Psych, we count that's a pretty cool class. We don't have that at my school. But",2023-02-21T01:19:03.350+00:00,2023-02-21T01:19:08.570+00:00,tutor,tutor,1,,,
,,,all right.,2023-02-21T01:19:09.480+00:00,2023-02-21T01:19:10.050+00:00,tutor,tutor,1,,,
,,,Yeah. it sounds like your whole class,2023-02-21T01:19:10.410+00:00,2023-02-21T01:19:13.410+00:00,tutor,tutor,1,,,
,,,alright.,2023-02-21T01:19:15.040+00:00,2023-02-21T01:19:16.910+00:00,tutor,tutor,1,,,
,,,Next slide.,2023-02-21T01:19:17.200+00:00,2023-02-21T01:19:18.600+00:00,tutor,tutor,1,,,
,,,See?,2023-02-21T01:19:19.910+00:00,2023-02-21T01:19:20.860+00:00,tutor,tutor,1,,,
,,,Alright. This is start off the session. We are going to talk a little about on the schoolhouse in general,2023-02-21T01:19:25.370+00:00,2023-02-21T01:19:31.090+00:00,tutor,tutor,1,,,
