problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490 (B1),,1.0,But it's so good.,2023-03-02T15:39:12.210-08:00,2023-03-02T15:39:14.520-08:00,tutor,tutor,1,,,
,,,So,2023-03-02T15:39:21.320-08:00,2023-03-02T15:39:22.270-08:00,tutor,tutor,1,,,
,,,you know.,2023-03-02T15:39:41.360-08:00,2023-03-02T15:39:42.630-08:00,tutor,tutor,1,,,
,,,Hmm.,2023-03-02T15:40:37.350-08:00,2023-03-02T15:40:38.170-08:00,tutor,tutor,1,,,
,,,I'm: doing.,2023-03-02T15:40:48.400-08:00,2023-03-02T15:40:49.110-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-02T15:40:50.560-08:00,2023-03-02T15:40:51.220-08:00,tutor,tutor,1,,,
,,,The,2023-03-02T15:40:56.280-08:00,2023-03-02T15:40:57.030-08:00,tutor,tutor,1,,,
,,,you.,2023-03-02T15:43:54.630-08:00,2023-03-02T15:43:55.460-08:00,tutor,tutor,1,,,
,,,you know.,2023-03-02T15:44:29.140-08:00,2023-03-02T15:44:30.260-08:00,tutor,tutor,1,,,
,,,Jason.,2023-03-02T15:44:40.470-08:00,2023-03-02T15:44:41.820-08:00,tutor,tutor,1,,,
,,,Okay. you,2023-03-02T15:44:41.860-08:00,2023-03-02T15:44:46.150-08:00,tutor,tutor,1,,,
,,,should. I give?,2023-03-02T15:44:54.150-08:00,2023-03-02T15:44:57.900-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-02T15:44:58.900-08:00,2023-03-02T15:45:03.860-08:00,tutor,tutor,1,,,
,,,Should I give up.,2023-03-02T15:45:23.240-08:00,2023-03-02T15:45:25.580-08:00,tutor,tutor,1,,,
,,,They,2023-03-02T15:45:34.900-08:00,2023-03-02T15:45:36.440-08:00,tutor,tutor,1,,,
,,,hi everyone!,2023-03-02T15:45:56.020-08:00,2023-03-02T15:45:57.440-08:00,tutor,tutor,1,,,
,,,Hi! [STUDENT_1]!,2023-03-02T15:47:11.560-08:00,2023-03-02T15:47:12.890-08:00,tutor,tutor,1,,,
,,,"Alright, we're just waiting on 4 more people. So give them a couple of minutes, and then we'll do the welcome slides.",2023-03-02T15:47:29.710-08:00,2023-03-02T15:47:35.820-08:00,tutor,tutor,1,,,
,,,"Okay, we can get started with the welcome slides and just share my screen.",2023-03-02T15:49:18.720-08:00,2023-03-02T15:49:23.830-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-02T15:49:25.080-08:00,2023-03-02T15:49:25.680-08:00,tutor,tutor,1,,,
,,,you guys can see this.,2023-03-02T15:49:29.460-08:00,2023-03-02T15:49:30.860-08:00,tutor,tutor,1,,,
,,,"Okay, all right. This is we 3",2023-03-02T15:49:31.870-08:00,2023-03-02T15:49:34.370-08:00,tutor,tutor,1,,,
,,,"day 2. So just 3 more sessions. Let's talk obstacle. So there should be a picture there. Oh, there we go, all right. What was the big challenge you faced. And how did you overcome it? You guys can share in the chat.",2023-03-02T15:49:34.450-08:00,2023-03-02T15:49:50.500-08:00,tutor,tutor,1,,,
,,,"Then i'll share 1, 2 in this chat.",2023-03-02T15:50:06.420-08:00,2023-03-02T15:50:09.320-08:00,tutor,tutor,1,,,
,,,"Good answer. Scott: yeah, there's just. I don't know. There's always something you can learn, I guess, from",2023-03-02T15:52:01.310-08:00,2023-03-02T15:52:07.510-08:00,tutor,tutor,1,,,
,,,the hard stuff.,2023-03-02T15:52:07.750-08:00,2023-03-02T15:52:09.350-08:00,tutor,tutor,1,,,
,,,so I guess that relates to the sat. You can always learn from your mistakes. and they are hard. So,2023-03-02T15:52:10.390-08:00,2023-03-02T15:52:19.370-08:00,tutor,tutor,1,,,
,,,"okay. So the curriculum for today is, we're doing a practice test.",2023-03-02T15:52:20.170-08:00,2023-03-02T15:52:25.310-08:00,tutor,tutor,1,,,
,,,"First it's a no calculator. 25 min long, and then we're going to review it and then do some targeted o do some targeting your practice. Okay. so good. Alright, so you guys can go to your assessments. Tab on schoolhouse",2023-03-02T15:52:25.860-08:00,2023-03-02T15:52:41.600-08:00,tutor,tutor,1,,,
,,,and let me just,2023-03-02T15:52:41.900-08:00,2023-03-02T15:52:44.470-08:00,tutor,tutor,1,,,
,,,so accepting responses. All right. So this is practice. Just b one.,2023-03-02T15:52:44.640-08:00,2023-03-02T15:52:49.290-08:00,tutor,tutor,1,,,
,,,"No calculator. So just put a thumbs up with the little reaction thing once you've gotten to the test, and then i'll screen. Share the timer.",2023-03-02T15:52:49.380-08:00,2023-03-02T15:52:59.190-08:00,tutor,tutor,1,,,
,,,"or you guys can put in the chat if I don't know [STUDENT_5], if your reactions are working. But yeah, either thumbs up or right in the chat that you're at the test.",2023-03-02T15:53:24.420-08:00,2023-03-02T15:53:35.240-08:00,tutor,tutor,1,,,
,,,"Okay, perfect, [STUDENT_1], are you on the test",2023-03-02T15:53:42.160-08:00,2023-03-02T15:53:45.150-08:00,tutor,tutor,1,,,
,,,page?,2023-03-02T15:53:45.810-08:00,2023-03-02T15:53:46.900-08:00,tutor,tutor,1,,,
,,,"Alright, perfect? Okay, let me get the timer open.",2023-03-02T15:53:48.080-08:00,2023-03-02T15:53:51.700-08:00,tutor,tutor,1,,,
,,,It is 25 min and no calculator. Just a reminder.,2023-03-02T15:53:55.500-08:00,2023-03-02T15:53:59.710-08:00,tutor,tutor,1,,,
,,,"Okay, let's share.",2023-03-02T15:54:02.680-08:00,2023-03-02T15:54:04.640-08:00,tutor,tutor,1,,,
,,,All right. You guys can go ahead and start.,2023-03-02T15:54:07.530-08:00,2023-03-02T15:54:10.340-08:00,tutor,tutor,1,,,
,,,You guys have 5 min left.,2023-03-02T16:13:58.430-08:00,2023-03-02T16:14:00.340-08:00,tutor,tutor,1,,,
,,,"Alright, Time is up. You guys can turn those in and view results.",2023-03-02T16:19:17.470-08:00,2023-03-02T16:19:23.840-08:00,tutor,tutor,1,,,
,,,How is that one? How do you guys feel about it?,2023-03-02T16:19:25.320-08:00,2023-03-02T16:19:28.160-08:00,tutor,tutor,1,,,
,,,"Alright, Lex",2023-03-02T16:19:32.020-08:00,2023-03-02T16:19:34.020-08:00,tutor,tutor,1,,,
,,,Review some of those problems now?,2023-03-02T16:19:36.140-08:00,2023-03-02T16:19:39.780-08:00,tutor,tutor,1,,,
,3.0,1.0,"Okay, Our first one that we're going to go over is question number 3. So let me share my screen.",2023-03-02T16:19:40.500-08:00,2023-03-02T16:19:47.570-08:00,tutor,tutor,2,,3.0,
,,,Is the shipping charges. Okay.,2023-03-02T16:19:50.530-08:00,2023-03-02T16:19:54.010-08:00,tutor,tutor,2,,3.0,
,,,share screen,2023-03-02T16:19:54.030-08:00,2023-03-02T16:19:55.350-08:00,tutor,tutor,2,,3.0,
,,,"oops, alright, annotate.",2023-03-02T16:19:57.360-08:00,2023-03-02T16:20:00.020-08:00,tutor,tutor,2,,3.0,
,,,"Oh, shit.",2023-03-02T16:20:02.610-08:00,2023-03-02T16:20:03.920-08:00,tutor,tutor,2,,3.0,
,,,Okay. The table above shows shipping charges for an online retailer that sells sporting goods. There is a linear relationship between the shipping charge and the weight of the merchandise which function can be used to determine the total shipping charge F. Of X in dollars for an order with a merchandise weight of X pounds.,2023-03-02T16:20:05.640-08:00,2023-03-02T16:20:25.630-08:00,tutor,tutor,2,,3.0,
