problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488 (A2),,1.0,I'm going. I'll get started a few minutes.,2023-02-12T09:59:17.120-08:00,2023-02-12T09:59:19.870-08:00,tutor,tutor,1,,,
,,,"You guys can hear me, right?",2023-02-12T09:59:25.390-08:00,2023-02-12T09:59:26.670-08:00,tutor,tutor,1,,,
,,,Hey? We can hear you.,2023-02-12T09:59:28.960-08:00,2023-02-12T09:59:29.930-08:00,student,student A,1,,,
,,,Okay.,2023-02-12T09:59:30.750-08:00,2023-02-12T09:59:31.330-08:00,student,student A,1,,,
,,,"Okay, I'll get started now.",2023-02-12T10:00:10.110-08:00,2023-02-12T10:00:12.000-08:00,tutor,tutor,1,,,
,,,Okay. So good afternoon or good morning where you are,2023-02-12T10:00:14.540-08:00,2023-02-12T10:00:19.840-08:00,tutor,tutor,1,,,
,,,"welcome to week. One day, 2. So",2023-02-12T10:00:21.130-08:00,2023-02-12T10:00:25.710-08:00,tutor,tutor,1,,,
,,,"I get started. What's one word to describe how you guys are feeling about, sat math. And how do you hope that changes",2023-02-12T10:00:26.330-08:00,2023-02-12T10:00:33.570-08:00,tutor,tutor,1,,,
,,,over the course of this? As a you can so feel free to on mute or right in the chat,2023-02-12T10:00:33.580-08:00,2023-02-12T10:00:39.510-08:00,tutor,tutor,1,,,
,,,to hear from all you guys.,2023-02-12T10:00:40.910-08:00,2023-02-12T10:00:42.640-08:00,tutor,tutor,1,,,
,,,this is kind of nervous. That's okay. I'm.,2023-02-12T10:00:47.400-08:00,2023-02-12T10:00:50.360-08:00,tutor,tutor,1,,,
,,,So I can help you in. You can continue for paying,2023-02-12T10:00:50.440-08:00,2023-02-12T10:00:54.930-08:00,tutor,tutor,1,,,
,,,until the sat comes around. And hopefully I think he'll be doing,2023-02-12T10:00:54.960-08:00,2023-02-12T10:00:58.680-08:00,tutor,tutor,1,,,
,,,a better and hopefully it on any changes.,2023-02-12T10:00:58.790-08:00,2023-02-12T10:01:00.940-08:00,tutor,tutor,1,,,
,,,"So this is quite frustrating. Yeah, when I when I was preparing. I I agree with that. It is",2023-02-12T10:01:01.770-08:00,2023-02-12T10:01:07.830-08:00,tutor,tutor,1,,,
,,,pretty frustrating a lot of time.,2023-02-12T10:01:08.370-08:00,2023-02-12T10:01:09.960-08:00,tutor,tutor,1,,,
,,,"The things I study for hard on the test, because they change the questions.",2023-02-12T10:01:10.930-08:00,2023-02-12T10:01:14.950-08:00,tutor,tutor,1,,,
,,,See. [STUDENT_8] is going good. That's great.,2023-02-12T10:01:15.560-08:00,2023-02-12T10:01:18.510-08:00,tutor,tutor,1,,,
,,,"Okay. it's good to hear from you guys. So for today this is what you're going to be doing today. First I'll be telling you about some sat testing tips, especially for the section.",2023-02-12T10:01:25.520-08:00,2023-02-12T10:01:38.570-08:00,tutor,tutor,1,,,
,,,"and then oh, I have some one message in the chat.",2023-02-12T10:01:38.760-08:00,2023-02-12T10:01:41.890-08:00,tutor,tutor,1,,,
,,,"Johnson says, overwhelming sometimes. Yeah, I definitely see it. It can be over.",2023-02-12T10:01:44.210-08:00,2023-02-12T10:01:48.770-08:00,tutor,tutor,1,,,
,,,"I feel that, too.",2023-02-12T10:01:49.490-08:00,2023-02-12T10:01:50.610-08:00,tutor,tutor,1,,,
,,,"Hope Andy says I hope to improve my math by understanding the concepts. Also, how did you study for the sat and balance school, etc.,",2023-02-12T10:01:50.810-08:00,2023-02-12T10:01:59.529-08:00,tutor,tutor,1,,,
,,,"For me Personally, I studied for the sat over the summer is a good time to study. I started last summer.",2023-02-12T10:02:00.960-08:00,2023-02-12T10:02:08.060-08:00,tutor,tutor,1,,,
,,,I work. I can share some of the resources I used with you guys. You did. I did you some books that you have to buy.,2023-02-12T10:02:08.600-08:00,2023-02-12T10:02:16.010-08:00,tutor,tutor,1,,,
,,,but I think there really was,2023-02-12T10:02:16.160-08:00,2023-02-12T10:02:18.140-08:00,tutor,tutor,1,,,
,,,"your time if you buy them, and you're really really looking for a great score, I can give you some of my personal advice like ways of studying.",2023-02-12T10:02:18.300-08:00,2023-02-12T10:02:28.050-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-12T10:02:30.210-08:00,2023-02-12T10:02:30.900-08:00,tutor,tutor,1,,,
,,,"Alright, okay, Sorry about that. Yeah. So i'll. I'll share those on after today's session. I'll make a note of that.",2023-02-12T10:02:33.780-08:00,2023-02-12T10:02:39.840-08:00,tutor,tutor,1,,,
,,,Okay. So first i'll be telling you about some testing tips.,2023-02-12T10:02:40.430-08:00,2023-02-12T10:02:44.700-08:00,tutor,tutor,1,,,
