problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491 (B2),,1.0,"Oh, hello, everybody! We'll get started in a few minutes.",2023-03-04T16:29:49.670-08:00,2023-03-04T16:29:54.080-08:00,tutor,tutor,1,,,
,,,all right. So today,2023-03-04T16:31:26.350-08:00,2023-03-04T16:31:28.580-08:00,tutor,tutor,1,,,
,,,i'm going to take,2023-03-04T16:31:28.780-08:00,2023-03-04T16:31:30.820-08:00,tutor,tutor,1,,,
,,,the V 2 practices which is with the calculator. Then we're going to,2023-03-04T16:31:30.960-08:00,2023-03-04T16:31:35.310-08:00,tutor,tutor,1,,,
,,,go over that. and if we have some time remaining we'll go back to that document of and do some of those. So let me know when you guys are ready to start the process,2023-03-04T16:31:35.360-08:00,2023-03-04T16:31:47.740-08:00,tutor,tutor,1,,,
,,,for those of you who just joined. We will be starting the,2023-03-04T16:32:30.210-08:00,2023-03-04T16:32:34.300-08:00,tutor,tutor,1,,,
,,,"B 2 practice test, which is with with the calculator. We'll be starting that in about",2023-03-04T16:32:34.560-08:00,2023-03-04T16:32:41.090-08:00,tutor,tutor,1,,,
,,,a few seconds. Here.,2023-03-04T16:32:41.100-08:00,2023-03-04T16:32:42.310-08:00,tutor,tutor,1,,,
,,,All right.,2023-03-04T16:33:01.520-08:00,2023-03-04T16:33:02.290-08:00,tutor,tutor,1,,,
,,,"you guys, i'll give you guys a 5 min. One.",2023-03-04T16:33:04.030-08:00,2023-03-04T16:33:06.840-08:00,tutor,tutor,1,,,
,,,All right. Please submit your tasks.,2023-03-04T16:58:46.610-08:00,2023-03-04T16:58:49.490-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-04T16:59:26.480-08:00,2023-03-04T16:59:27.220-08:00,tutor,tutor,1,,,
,,,Okay. So,2023-03-04T16:59:44.870-08:00,2023-03-04T16:59:46.380-08:00,tutor,tutor,1,,,
,,,"number one number 2,",2023-03-04T16:59:46.400-08:00,2023-03-04T16:59:48.450-08:00,tutor,tutor,1,,,
,,,or do we have any palm request for it? Okay.,2023-03-04T16:59:48.630-08:00,2023-03-04T16:59:51.540-08:00,tutor,tutor,1,,,
,18.0,1.0,Number 18.,2023-03-04T16:59:51.570-08:00,2023-03-04T16:59:53.110-08:00,tutor,tutor,2,,18.0,
,,,But so,2023-03-04T16:59:55.000-08:00,2023-03-04T16:59:57.240-08:00,tutor,tutor,2,,18.0,
,,,the table.,2023-03-04T16:59:57.380-08:00,2023-03-04T16:59:59.650-08:00,tutor,tutor,2,,18.0,
,,,The table above shows the results of a survey in which tablet users were asked how often they would watch ads in order to access your content portray It's on the table which on the phone it closes to the probability that a tablet user,2023-03-04T17:00:00.740-08:00,2023-03-04T17:00:14.850-08:00,tutor,tutor,2,,18.0,
,,,"answered, Always",2023-03-04T17:00:15.090-08:00,2023-03-04T17:00:16.800-08:00,tutor,tutor,2,,18.0,
,,,do not. Internet okay. So,2023-03-04T17:00:19.220-08:00,2023-03-04T17:00:21.840-08:00,tutor,tutor,2,,18.0,
,,,"it's saying, we have this table. Oh, yeah, [STUDENT_6].",2023-03-04T17:00:23.070-08:00,2023-03-04T17:00:26.320-08:00,tutor,tutor,2,,18.0,
,,,you have a question.,2023-03-04T17:00:28.430-08:00,2023-03-04T17:00:29.400-08:00,tutor,tutor,2,,18.0,
,,,"Oh, okay. So So we're. We want the probability",2023-03-04T17:00:35.120-08:00,2023-03-04T17:00:42.350-08:00,tutor,tutor,2,,18.0,
,,,"if we know that a tablet user. Did not answer. Never! What's the chance that they answered, Always right. So",2023-03-04T17:00:42.530-08:00,2023-03-04T17:00:50.490-08:00,tutor,tutor,2,,18.0,
,,,the chance that they answered never. So let's add it these percentages right. We have 24.3 plus 13.5 plus 30.9 right. That's going to be like,2023-03-04T17:00:52.110-08:00,2023-03-04T17:01:02.730-08:00,tutor,tutor,2,,18.0,
,,,37.8 plus 30.9. So that's going to be,2023-03-04T17:01:03.120-08:00,2023-03-04T17:01:09.010-08:00,tutor,tutor,2,,18.0,
,,,68.7,2023-03-04T17:01:10.540-08:00,2023-03-04T17:01:12.500-08:00,tutor,tutor,2,,18.0,
,,,other people.,2023-03-04T17:01:12.540-08:00,2023-03-04T17:01:13.770-08:00,tutor,tutor,2,,18.0,
,,,Did you hear what I was trying to see?,2023-03-04T17:01:15.470-08:00,2023-03-04T17:01:16.990-08:00,tutor,tutor,2,,18.0,
,,,"Yeah, this is some cool",2023-03-04T17:01:25.900-08:00,2023-03-04T17:01:27.280-08:00,tutor,tutor,2,,18.0,
,,,68.7% did not answer the number right?,2023-03-04T17:01:28.400-08:00,2023-03-04T17:01:33.230-08:00,tutor,tutor,2,,18.0,
,,,So,2023-03-04T17:01:33.770-08:00,2023-03-04T17:01:34.540-08:00,tutor,tutor,2,,18.0,
,,,given the 68.7% of the users.,2023-03-04T17:01:37.980-08:00,2023-03-04T17:01:41.170-08:00,tutor,tutor,2,,18.0,
,,,"what fraction of them answered, always essentially what we want to find right?",2023-03-04T17:01:41.250-08:00,2023-03-04T17:01:45.179-08:00,tutor,tutor,2,,18.0,
,,,That'd be 30.9%,2023-03-04T17:01:45.219-08:00,2023-03-04T17:01:47.969-08:00,tutor,tutor,2,,18.0,
,,,"over 68.7, right? So the people who entered always out of people who didn't answer never.",2023-03-04T17:01:48.290-08:00,2023-03-04T17:01:55.080-08:00,tutor,tutor,2,,18.0,
,,,"So that would give you 0 point 4, 5,",2023-03-04T17:01:56.940-08:00,2023-03-04T17:02:01.400-08:00,tutor,tutor,2,,18.0,
,,,"alright? Oh, are there any other questions?",2023-03-04T17:02:12.000-08:00,2023-03-04T17:02:16.050-08:00,tutor,tutor,2,,18.0,
,,,All right. There's no there,2023-03-04T17:02:21.820-08:00,2023-03-04T17:02:23.820-08:00,tutor,tutor,2,,18.0,
,12.0,1.0,"requested questions. Then i'll just go down to this. Oh, okay. cool. Got it",2023-03-04T17:02:26.470-08:00,2023-03-04T17:02:31.930-08:00,tutor,tutor,3,,12.0,
,,,all right.,2023-03-04T17:02:36.810-08:00,2023-03-04T17:02:37.520-08:00,tutor,tutor,3,,12.0,
,,,A book was on sale for 40% off its original price.,2023-03-04T17:02:38.230-08:00,2023-03-04T17:02:42.230-08:00,tutor,tutor,3,,12.0,
,,,and this is the price of the book was $18. What was the original price?,2023-03-04T17:02:42.250-08:00,2023-03-04T17:02:47.060-08:00,tutor,tutor,3,,12.0,
