problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485 (A1),,1.0,"Hi, [STUDENT_7]! Hi, [STUDENT_2], would you guys mind turning your cameras on?",2023-02-10T15:56:59.000-08:00,2023-02-10T15:57:02.249-08:00,tutor,tutor,1,,,
,,,Hi! How are you? Would you mind turning your cameras on guys? I just wanted to make sure that I had,2023-02-10T15:57:10.900-08:00,2023-02-10T15:57:16.069-08:00,tutor,tutor,1,,,
,,,"that. You guys are all on camera, so we can proceed with this session.",2023-02-10T15:57:16.370-08:00,2023-02-10T15:57:19.689-08:00,tutor,tutor,1,,,
,,,We'll be waiting for the rest of the people to join. We have both,2023-02-10T15:57:22.920-08:00,2023-02-10T15:57:26.460-08:00,tutor,tutor,1,,,
,,,"people in totally attending this boot camp, so we have another one month to wait.",2023-02-10T15:57:26.950-08:00,2023-02-10T15:57:30.440-08:00,tutor,tutor,1,,,
,,,so as more people trickle in. I'm going to be starting the meeting soon.,2023-02-10T15:57:53.140-08:00,2023-02-10T15:57:57.680-08:00,tutor,tutor,1,,,
,,,"Usually it's. Let's start around 70'clock, but",2023-02-10T15:57:57.860-08:00,2023-02-10T15:58:00.469-08:00,tutor,tutor,1,,,
,,,"since it's the first meeting, learners might not join not. Everyone might join at 7. It will take",2023-02-10T15:58:00.760-08:00,2023-02-10T15:58:06.659-08:00,tutor,tutor,1,,,
,,,possibly it,2023-02-10T15:58:06.970-08:00,2023-02-10T15:58:08.110-08:00,tutor,tutor,1,,,
,,,few minutes after 7. So,2023-02-10T15:58:08.150-08:00,2023-02-10T15:58:10.370-08:00,tutor,tutor,1,,,
,,,"once everyone joins, or at least a majority joins. I'll be moving on to the",2023-02-10T15:58:10.710-08:00,2023-02-10T15:58:14.969-08:00,tutor,tutor,1,,,
,,,first part of the session.,2023-02-10T15:58:15.340-08:00,2023-02-10T15:58:16.610-08:00,tutor,tutor,1,,,
,,,"Hey, Jase, [STUDENT_2] could, If you guys have cameras, could you turn them on, please?",2023-02-10T15:58:23.470-08:00,2023-02-10T15:58:28.420-08:00,tutor,tutor,1,,,
,,,"Thank you, Jake.",2023-02-10T15:58:29.790-08:00,2023-02-10T15:58:31.439-08:00,tutor,tutor,1,,,
,,,"Okay, that's totally fine, [STUDENT_2].",2023-02-10T15:58:39.270-08:00,2023-02-10T15:58:41.470-08:00,tutor,tutor,1,,,
,,,So understand that your computer does not have a video that works at the moment.,2023-02-10T15:58:42.880-08:00,2023-02-10T15:58:46.499-08:00,tutor,tutor,1,,,
,,,"[STUDENT_9], [STUDENT_1]. Hi, Guys welcome to the session. Have you guys turning on your cameras, please.",2023-02-10T15:58:49.030-08:00,2023-02-10T15:58:53.969-08:00,tutor,tutor,1,,,
,,,If your camera doesn't work. That's certainly fine. Just message me and,2023-02-10T15:58:56.440-08:00,2023-02-10T15:59:00.610-08:00,tutor,tutor,1,,,
,,,[STUDENT_2]. You don't need your Mick on right my microphone on right now. We're gonna be just a meeting when you need to answer questions.,2023-02-10T15:59:01.760-08:00,2023-02-10T15:59:08.779-08:00,tutor,tutor,1,,,
,,,So we have,2023-02-10T15:59:09.980-08:00,2023-02-10T15:59:11.489-08:00,tutor,tutor,1,,,
,,,5 people. We're going to be waiting for,2023-02-10T15:59:11.650-08:00,2023-02-10T15:59:13.979-08:00,tutor,tutor,1,,,
,,,"7 more people to ride, and then we'll start this session.",2023-02-10T15:59:14.310-08:00,2023-02-10T15:59:17.280-08:00,tutor,tutor,1,,,
,,,"Hi, Sonya, Would you mind? Would you mind turning on your camera?",2023-02-10T15:59:41.839-08:00,2023-02-10T15:59:44.879-08:00,tutor,tutor,1,,,
,,,"Okay, Thank you.",2023-02-10T15:59:47.180-08:00,2023-02-10T15:59:48.820-08:00,tutor,tutor,1,,,
,,,It,2023-02-10T15:59:52.620-08:00,2023-02-10T15:59:53.650-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-10T15:59:54.100-08:00,2023-02-10T15:59:54.650-08:00,tutor,tutor,1,,,
,,,Okay. So half the class arrived we should be waiting for on,2023-02-10T15:59:54.990-08:00,2023-02-10T15:59:58.450-08:00,tutor,tutor,1,,,
,,,"the other half, so i'll give you. I'll give them another 5 min, and",2023-02-10T15:59:59.710-08:00,2023-02-10T16:00:03.930-08:00,tutor,tutor,1,,,
,,,but then of the,2023-02-10T16:00:04.490-08:00,2023-02-10T16:00:06.470-08:00,tutor,tutor,1,,,
,,,I'll be starting the orientation because I don't wanna that you get. I don't want to start a bit too late.,2023-02-10T16:00:07.670-08:00,2023-02-10T16:00:12.060-08:00,tutor,tutor,1,,,
,,,Also some people might not be here because they have.,2023-02-10T16:00:12.750-08:00,2023-02-10T16:00:16.409-08:00,tutor,tutor,1,,,
,,,They message me that they were going to be available for this session.,2023-02-10T16:00:16.710-08:00,2023-02-10T16:00:20.820-08:00,tutor,tutor,1,,,
,,,and in regards to I know a couple of you guys have sent questions regarding whether you have,2023-02-10T16:00:21.470-08:00,2023-02-10T16:00:26.720-08:00,tutor,tutor,1,,,
,,,"extenuating circumstances, which means that you'll miss Session so i'll be addressing that pretty soon.",2023-02-10T16:00:26.810-08:00,2023-02-10T16:00:32.169-08:00,tutor,tutor,1,,,
,,,"Hello, Theresa! Could you my Would you mind turning on your camera.",2023-02-10T16:01:00.160-08:00,2023-02-10T16:01:03.289-08:00,tutor,tutor,1,,,
,,,One is,2023-02-10T16:01:09.760-08:00,2023-02-10T16:01:10.690-08:00,tutor,tutor,1,,,
,,,"Hello, Hamish! Would you mind turning on your camera",2023-02-10T16:01:11.400-08:00,2023-02-10T16:01:13.859-08:00,tutor,tutor,1,,,
,,,again? Welcome on you attendees,2023-02-10T16:01:19.280-08:00,2023-02-10T16:01:21.370-08:00,tutor,tutor,1,,,
,,,so.,2023-02-10T16:01:21.460-08:00,2023-02-10T16:01:22.380-08:00,tutor,tutor,1,,,
,,,and give it around another 2 min before we start this session.,2023-02-10T16:01:23.310-08:00,2023-02-10T16:01:26.310-08:00,tutor,tutor,1,,,
,,,"Hello, [STUDENT_10]!",2023-02-10T16:02:01.220-08:00,2023-02-10T16:02:02.920-08:00,tutor,tutor,1,,,
,,,Would you guys mind turning on your cameras if it's possible,2023-02-10T16:02:02.940-08:00,2023-02-10T16:02:06.429-08:00,tutor,tutor,1,,,
,,,and wonderful? We have one more 10 to you. Join.,2023-02-10T16:02:09.100-08:00,2023-02-10T16:02:11.920-08:00,tutor,tutor,1,,,
,,,"Hi, [STUDENT_8], would you mind turning on your camera?",2023-02-10T16:02:12.040-08:00,2023-02-10T16:02:14.190-08:00,tutor,tutor,1,,,
,,,"If not, that's really fine.",2023-02-10T16:02:17.270-08:00,2023-02-10T16:02:19.239-08:00,tutor,tutor,1,,,
,,,You don't need to. But that's what at least at what I prefer?,2023-02-10T16:02:19.470-08:00,2023-02-10T16:02:23.180-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-10T16:02:26.160-08:00,2023-02-10T16:02:26.890-08:00,tutor,tutor,1,,,
,,,I think we're waiting for one more person to,2023-02-10T16:02:28.560-08:00,2023-02-10T16:02:30.800-08:00,tutor,tutor,1,,,
,,,at.,2023-02-10T16:02:31.220-08:00,2023-02-10T16:02:32.030-08:00,tutor,tutor,1,,,
,,,"I'd give your take 2 min If they don't show up, then we'll start the session.",2023-02-10T16:02:32.640-08:00,2023-02-10T16:02:36.430-08:00,tutor,tutor,1,,,
,,,"Okay, I'm: just gonna say this one more time.",2023-02-10T16:03:21.620-08:00,2023-02-10T16:03:24.370-08:00,tutor,tutor,1,,,
