problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491 (B2),,1.0,"Hey, Mero?",2023-03-04T10:55:38.790-08:00,2023-03-04T10:55:39.820-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-04T10:55:46.190-08:00,2023-03-04T10:55:47.050-08:00,student,student A,1,,,
,,,"Hi, guys.",2023-03-04T10:59:15.060-08:00,2023-03-04T10:59:16.060-08:00,tutor,tutor,1,,,
,,,we are going to wait a couple more minutes for more people to show up.,2023-03-04T11:00:16.160-08:00,2023-03-04T11:00:20.010-08:00,tutor,tutor,1,,,
,,,"I think we are going to get started, and if more people show up, then I'm going to let them in when they come. So i'm going to share my screen now, and please let me know if you can sit",2023-03-04T11:02:07.750-08:00,2023-03-04T11:02:22.360-08:00,tutor,tutor,1,,,
,,,"so if somebody can tell me the chat, if you can see. Okay, thank you so much.",2023-03-04T11:02:31.560-08:00,2023-03-04T11:02:36.230-08:00,tutor,tutor,1,,,
,,,"So we are going to have a short introduction, and then we are going to move on to a practice test",2023-03-04T11:02:37.820-08:00,2023-03-04T11:02:43.780-08:00,tutor,tutor,1,,,
,,,and some exercises. So today we I want to share with you guys.,2023-03-04T11:02:43.970-08:00,2023-03-04T11:02:50.890-08:00,tutor,tutor,1,,,
,,,Maybe you want to get involved in tutoring as well. So the next generation of tutors and I want to talk about a bit about tutoring on schoolhouse. So,2023-03-04T11:02:51.000-08:00,2023-03-04T11:03:02.850-08:00,tutor,tutor,1,,,
,,,"for me, a subject or topic that deeply interested me was",2023-03-04T11:03:03.840-08:00,2023-03-04T11:03:08.460-08:00,tutor,tutor,1,,,
,,,"math, of course, because this is what i'm doing, i'm to to format, but something else I want to get involved with is some chemistry tutoring, because I know that chemistry can seem a bit scary at first, and",2023-03-04T11:03:08.490-08:00,2023-03-04T11:03:22.180-08:00,tutor,tutor,1,,,
,,,"a lot of people feel overwhelmed in it. So I definitely want to get involved in some chemistry, tutoring and helping people with chemistry.",2023-03-04T11:03:22.180-08:00,2023-03-04T11:03:31.540-08:00,tutor,tutor,1,,,
,,,"So if you guys, I will name someone, and then that person can popcorn to another one of you. After you tell me a bit about yourself, and what is the top subject to to that deeply interest you.",2023-03-04T11:03:31.590-08:00,2023-03-04T11:03:46.270-08:00,tutor,tutor,1,,,
,,,So I will pass it on to something.,2023-03-04T11:03:46.610-08:00,2023-03-04T11:03:49.960-08:00,tutor,tutor,1,,,
,,,So us a topic that deeply interest me is like psychology.,2023-03-04T11:03:53.110-08:00,2023-03-04T11:03:58.040-08:00,student,student B,1,,,
,,,and I want to study it when I go to college. Yes.,2023-03-04T11:03:58.060-08:00,2023-03-04T11:04:03.250-08:00,student,student B,1,,,
,,,"okay, great. Thank you so much.",2023-03-04T11:04:03.770-08:00,2023-03-04T11:04:05.620-08:00,tutor,tutor,1,,,
,,,And can you popcorn it to someone else? Someone from,2023-03-04T11:04:05.880-08:00,2023-03-04T11:04:10.380-08:00,student,student B,1,,,
,,,[STUDENT_8]?,2023-03-04T11:04:11.140-08:00,2023-03-04T11:04:12.060-08:00,student,student B,1,,,
,,,"A topic that interests me is probably chemistry, physics.",2023-03-04T11:04:14.450-08:00,2023-03-04T11:04:19.270-08:00,student,student C,1,,,
,,,and i'll pop into [STUDENT_2].,2023-03-04T11:04:20.000-08:00,2023-03-04T11:04:25.350-08:00,student,student C,1,,,
,,,I'm really interested in physiology.,2023-03-04T11:04:26.300-08:00,2023-03-04T11:04:29.410-08:00,student,student D,1,,,
