problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485 (A1),,1.0,Hey? Soma? Hey?,2023-02-11T08:57:23.650-08:00,2023-02-11T08:57:25.930-08:00,tutor,tutor,1,,,
,,,Hello.,2023-02-11T08:57:27.530-08:00,2023-02-11T08:57:28.550-08:00,student,student A,1,,,
,,,yeah. Can you please turn on your cameras? Great? Thank you.,2023-02-11T08:57:28.860-08:00,2023-02-11T08:57:34.110-08:00,tutor,tutor,1,,,
,,,"Yeah, Thank you so much as well just wait for the other people to join.",2023-02-11T08:57:34.590-08:00,2023-02-11T08:57:39.790-08:00,tutor,tutor,1,,,
,,,Then we'll get started around at 12.,2023-02-11T08:57:40.440-08:00,2023-02-11T08:57:43.310-08:00,tutor,tutor,1,,,
,,,Would you like to introduce yourself book with?,2023-02-11T08:58:06.530-08:00,2023-02-11T08:58:09.540-08:00,tutor,tutor,1,,,
,,,I'm: the lady I've a,2023-02-11T08:58:13.330-08:00,2023-02-11T08:58:15.620-08:00,student,student B,1,,,
,,,junior and Texas. And,2023-02-11T08:58:15.650-08:00,2023-02-11T08:58:19.590-08:00,student,student B,1,,,
,,,Yeah.,2023-02-11T08:58:19.620-08:00,2023-02-11T08:58:20.660-08:00,student,student B,1,,,
,,,So well.,2023-02-11T08:58:22.660-08:00,2023-02-11T08:58:23.660-08:00,student,student B,1,,,
,,,"yeah, I'm. [STUDENT_8]. I'm: also a junior and I'm: in Colorado.",2023-02-11T08:58:25.480-08:00,2023-02-11T08:58:30.760-08:00,student,student A,1,,,
,,,There we go.,2023-02-11T08:58:31.080-08:00,2023-02-11T08:58:32.010-08:00,tutor,tutor,1,,,
,,,Everybody Can you please turn on your cameras,2023-02-11T09:00:45.420-08:00,2023-02-11T09:00:48.420-08:00,tutor,tutor,1,,,
,,,if you can.,2023-02-11T09:00:50.300-08:00,2023-02-11T09:00:51.390-08:00,tutor,tutor,1,,,
,,,"Yeah, I guess we'll just get started while we wait for other people.",2023-02-11T09:01:25.060-08:00,2023-02-11T09:01:29.940-08:00,tutor,tutor,1,,,
,,,Can you all see my screen?,2023-02-11T09:01:40.050-08:00,2023-02-11T09:01:42.130-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-11T09:01:44.580-08:00,2023-02-11T09:01:45.520-08:00,tutor,tutor,1,,,
