problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492 (B3),,1.0,"All right. We'll get started, and",2023-03-09T16:47:02.660-08:00,2023-03-09T16:47:05.850-08:00,tutor,tutor,1,,,
,,,maybe one or 2 more minutes.,2023-03-09T16:47:07.200-08:00,2023-03-09T16:47:09.830-08:00,tutor,tutor,1,,,
,,,Okay. I'm gonna go ahead and start now.,2023-03-09T16:49:00.410-08:00,2023-03-09T16:49:04.460-08:00,tutor,tutor,1,,,
,,,"Okay. So welcome to our last session of the maths. It boot camp today. We'll just briefly talk about how you should best best prepare for the test, and then",2023-03-09T16:49:14.020-08:00,2023-03-09T16:49:26.600-08:00,tutor,tutor,1,,,
,,,we'll just do another test and review that. Okay. So just a welcome question. How are you feeling about going into test day?,2023-03-09T16:49:27.280-08:00,2023-03-09T16:49:39.740-08:00,tutor,tutor,1,,,
,,,"I'm sure something you learned, or maybe feelings that you have about the upcoming test.",2023-03-09T16:49:39.800-08:00,2023-03-09T16:49:44.830-08:00,tutor,tutor,1,,,
,,,You can go ahead and put your answers in the chat.,2023-03-09T16:49:47.310-08:00,2023-03-09T16:49:50.120-08:00,tutor,tutor,1,,,
,,,Nice? That's good.,2023-03-09T16:50:14.750-08:00,2023-03-09T16:50:17.530-08:00,tutor,tutor,1,,,
,,,"Yeah, it's definitely understandable. But everyone should feel pretty confident, and they're like math skills. It's normal to have",2023-03-09T16:50:25.570-08:00,2023-03-09T16:50:34.760-08:00,tutor,tutor,1,,,
,,,nerves and anxiety about the upcoming test.,2023-03-09T16:50:35.010-08:00,2023-03-09T16:50:37.910-08:00,tutor,tutor,1,,,
,,,But I think you guys all do amazing. So,2023-03-09T16:50:38.040-08:00,2023-03-09T16:50:42.610-08:00,tutor,tutor,1,,,
,,,no need to worry so much. Just try to relax. We'll actually talk about some more tips in a second.,2023-03-09T16:50:43.760-08:00,2023-03-09T16:50:51.560-08:00,tutor,tutor,1,,,
,,,"Okay. So just to reform your best, remember to get a good night of sleep",2023-03-09T16:50:52.680-08:00,2023-03-09T16:50:59.360-08:00,tutor,tutor,1,,,
,,,"at least 8 h, or whatever works for you, cause you don't want to be tired for Test day. You want to try to be as awake as possible.",2023-03-09T16:50:59.380-08:00,2023-03-09T16:51:07.590-08:00,tutor,tutor,1,,,
,,,"E. A good breakfast. Good food equals a good brain and get to the test site early, so you're not like rushing around, adding any extra stress to yourself before you have to take the test. And",2023-03-09T16:51:07.720-08:00,2023-03-09T16:51:20.870-08:00,tutor,tutor,1,,,
,,,"yeah, just to make sure that you can do your best and just some other tips.",2023-03-09T16:51:21.100-08:00,2023-03-09T16:51:29.200-08:00,tutor,tutor,1,,,
,,,Yeah. So relax.,2023-03-09T16:51:30.810-08:00,2023-03-09T16:51:33.440-08:00,tutor,tutor,1,,,
,,,study a little bit like today.,2023-03-09T16:51:33.590-08:00,2023-03-09T16:51:36.470-08:00,tutor,tutor,1,,,
,,,"But don't study like Friday night, or like in the morning before the test because you want to have your brain as fresh as possible. Try to avoid your like phones or TV.",2023-03-09T16:51:38.300-08:00,2023-03-09T16:51:49.760-08:00,tutor,tutor,1,,,
,,,I would definitely organize your bag as well. Pencils. Calculator: Your mission ticket you like student Id or your permit water and stacks. Try to do that like the day before the test. Just so you don't have to prepare anything the morning before.,2023-03-09T16:51:49.830-08:00,2023-03-09T16:52:06.040-08:00,tutor,tutor,1,,,
,,,"and so you can just relax. Yeah. And then, just like eating well.",2023-03-09T16:52:06.060-08:00,2023-03-09T16:52:11.810-08:00,tutor,tutor,1,,,
,,,and just like little tips that we've gone over so far underline or,2023-03-09T16:52:13.410-08:00,2023-03-09T16:52:19.170-08:00,tutor,tutor,1,,,
,,,just keeping your mind what the question is asking for and important,2023-03-09T16:52:19.890-08:00,2023-03-09T16:52:26.240-08:00,tutor,tutor,1,,,
,,,parts of the question.,2023-03-09T16:52:26.420-08:00,2023-03-09T16:52:28.800-08:00,tutor,tutor,1,,,
,,,"Yeah. And as you mentioned, as I mentioned before.",2023-03-09T16:52:30.950-08:00,2023-03-09T16:52:33.870-08:00,tutor,tutor,1,,,
,,,"The map test kind of goes from like, easier to more difficult. so",2023-03-09T16:52:33.930-08:00,2023-03-09T16:52:38.240-08:00,tutor,tutor,1,,,
,,,"definitely try to do all the questions that are like easiest. First, because every question is worth the same amount of points. So just remember that. And if you don't know how to do something at first, just skip it and go back to it later if you have time or just do your best to guess.",2023-03-09T16:52:38.420-08:00,2023-03-09T16:52:55.080-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-09T16:52:56.110-08:00,2023-03-09T16:52:57.050-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-09T16:52:58.340-08:00,2023-03-09T16:52:59.170-08:00,tutor,tutor,1,,,
,,,here's the schedule for the day. We're just gonna do that practice calculator test. I'll review that test. And then we're gonna do like a quick wrap up.,2023-03-09T16:53:01.640-08:00,2023-03-09T16:53:10.560-08:00,tutor,tutor,1,,,
,,,"Okay, so any questions.",2023-03-09T16:53:11.300-08:00,2023-03-09T16:53:13.660-08:00,tutor,tutor,1,,,
,,,"Okay, cool.",2023-03-09T16:53:17.700-08:00,2023-03-09T16:53:18.960-08:00,tutor,tutor,1,,,
,,,I'm going to open up that test right now.,2023-03-09T16:53:20.620-08:00,2023-03-09T16:53:23.360-08:00,tutor,tutor,1,,,
,,,It's called practice test. B: 3 Calculator.,2023-03-09T16:53:24.560-08:00,2023-03-09T16:53:28.320-08:00,tutor,tutor,1,,,
