problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495 (A4),,1.0,"I'm Sorry, you guys, it took me a little bit there to get it started. Give me one moment.",2023-02-23T17:12:27.090-08:00,2023-02-23T17:12:32.680-08:00,tutor,tutor,1,,,
,,,I'm gonna get certain. Just 1 s. Sorry.,2023-02-23T17:13:11.130-08:00,2023-02-23T17:13:13.630-08:00,tutor,tutor,1,,,
,,,"Okay. So today it's going to be pretty similar t0 0ur last session. We're going to be doing some targeted group practice and then another practice test, and then we'll be reviewing that on any questions you guys have.",2023-02-23T17:14:10.330-08:00,2023-02-23T17:14:24.020-08:00,tutor,tutor,1,,,
,,,That's all we have in terms of the slides for today. Let me pull up a few practice questions over some topics that we had trouble with last time.,2023-02-23T17:14:26.570-08:00,2023-02-23T17:14:37.510-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-23T17:14:40.700-08:00,2023-02-23T17:14:41.450-08:00,tutor,tutor,1,,,
,,,"Okay, I'm going to post in the chat",2023-02-23T17:15:07.510-08:00,2023-02-23T17:15:11.400-08:00,tutor,tutor,1,,,
,-1.0,1.0,"the question. It's also about the equation of a line which we went over last time. And I want you guys to spend, maybe just 2 0r 3 min and",2023-02-23T17:15:14.170-08:00,2023-02-23T17:15:25.000-08:00,tutor,tutor,2,,-1.0,
,,,try and finish that question.,2023-02-23T17:15:25.230-08:00,2023-02-23T17:15:27.900-08:00,tutor,tutor,2,,-1.0,
,,,So one in a moment.,2023-02-23T17:15:29.080-08:00,2023-02-23T17:15:32.760-08:00,tutor,tutor,2,,-1.0,
,,,"Okay. I've just posted the question in the chat. I want you guys to go ahead and work through, and I'll give you guys about 3 0r 4 min",2023-02-23T17:16:38.420-08:00,2023-02-23T17:16:46.270-08:00,tutor,tutor,2,,-1.0,
,,,if you when you finish just private message me your response.,2023-02-23T17:16:52.210-08:00,2023-02-23T17:16:57.520-08:00,tutor,tutor,2,,-1.0,
,,,Sorry for this late start today.,2023-02-23T17:17:04.370-08:00,2023-02-23T17:17:06.770-08:00,tutor,tutor,2,,-1.0,
,,,"This is a calculator question. So if you feel the need to use your calculator, go ahead.",2023-02-23T17:17:11.070-08:00,2023-02-23T17:17:15.790-08:00,tutor,tutor,2,,-1.0,
,,,So let's take about just one more minute,2023-02-23T17:19:12.990-08:00,2023-02-23T17:19:15.430-08:00,tutor,tutor,2,,-1.0,
,,,"to either solve the question, or if you're unsure. try and figure out the best guess that you could give.",2023-02-23T17:19:16.810-08:00,2023-02-23T17:19:23.590-08:00,tutor,tutor,2,,-1.0,
,,,"So getting a couple of responses. But again at this point, this would be about the amount of time that you're going to have for this type of question.",2023-02-23T17:20:51.410-08:00,2023-02-23T17:20:59.180-08:00,tutor,tutor,2,,-1.0,
,,,if possible. Could we have,2023-02-23T17:21:48.850-08:00,2023-02-23T17:21:51.580-08:00,tutor,tutor,2,,-1.0,
,,,someone who feels confident going over this question.,2023-02-23T17:21:52.850-08:00,2023-02-23T17:21:56.730-08:00,tutor,tutor,2,,-1.0,
,,,Walk us through how you got to the correct answer,2023-02-23T17:21:57.610-08:00,2023-02-23T17:22:02.690-08:00,tutor,tutor,2,,-1.0,
,,,or any answer.,2023-02-23T17:22:05.260-08:00,2023-02-23T17:22:07.010-08:00,tutor,tutor,2,,-1.0,
,,,"Yeah, I can explain.",2023-02-23T17:22:16.990-08:00,2023-02-23T17:22:18.350-08:00,student,student A,2,,-1.0,
,,,Okay?,2023-02-23T17:22:18.740-08:00,2023-02-23T17:22:19.610-08:00,tutor,tutor,2,,-1.0,
,,,"Well, I just plugged in all the functions into that option. And each statement was true. So I got see.",2023-02-23T17:22:20.270-08:00,2023-02-23T17:22:26.850-08:00,student,student A,2,,-1.0,
,,,Okay.,2023-02-23T17:22:27.420-08:00,2023-02-23T17:22:28.350-08:00,tutor,tutor,2,,-1.0,
,,,"that's one way of doing it. That's a really great method. Always, when possible, Take advantage of answer choices",2023-02-23T17:22:28.720-08:00,2023-02-23T17:22:35.890-08:00,tutor,tutor,2,,-1.0,
,,,that are available to you to solve the question. I like that idea.,2023-02-23T17:22:36.260-08:00,2023-02-23T17:22:40.400-08:00,tutor,tutor,2,,-1.0,
,,,Does anyone else have a different approach?,2023-02-23T17:22:41.970-08:00,2023-02-23T17:22:44.020-08:00,tutor,tutor,2,,-1.0,
,,,Say this was a free response question. and we did not have the answer choices. What would be another way? We could solve this question.,2023-02-23T17:22:50.120-08:00,2023-02-23T17:22:58.090-08:00,tutor,tutor,2,,-1.0,
,,,"Okay, I can g0 0ver it.",2023-02-23T17:23:06.970-08:00,2023-02-23T17:23:09.980-08:00,tutor,tutor,2,,-1.0,
,,,We're going to come back to the same idea of slope slope is super important. When you see questions regarding the formula of a line.,2023-02-23T17:23:10.960-08:00,2023-02-23T17:23:23.060-08:00,tutor,tutor,2,,-1.0,
,,,so does anyone remember from the last couple of sessions. What the equation for the slope of a line is,2023-02-23T17:23:23.240-08:00,2023-02-23T17:23:32.630-08:00,tutor,tutor,2,,-1.0,
,,,There's also a saying for it. Even one is acceptable.,2023-02-23T17:23:34.200-08:00,2023-02-23T17:23:38.580-08:00,tutor,tutor,2,,-1.0,
,,,I shall do what,2023-02-23T17:23:39.380-08:00,2023-02-23T17:23:40.790-08:00,student,student A,2,,-1.0,
,,,exactly,2023-02-23T17:23:40.930-08:00,2023-02-23T17:23:42.020-08:00,tutor,tutor,2,,-1.0,
