problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488 (A2),,1.0,"All right. So we're gonna give everybody else a few minutes to come on here. We'll start, probably like 4 0r 5 or whenever you get to",2023-02-14T13:00:14.630-08:00,2023-02-14T13:00:24.710-08:00,tutor,tutor,1,,,
,,,"alright. Well, let's get started. Welcome back to everyone who is here on Sunday and welcome If this is your first time i'm gonna have to start by asking all of you to turn on your cameras, please.",2023-02-14T13:04:23.659-08:00,2023-02-14T13:04:36.960-08:00,tutor,tutor,1,,,
,,,All right. So,2023-02-14T13:04:48.560-08:00,2023-02-14T13:04:51.330-08:00,tutor,tutor,1,,,
,,,"yeah, it's really it.",2023-02-14T13:04:52.340-08:00,2023-02-14T13:04:53.810-08:00,tutor,tutor,1,,,
,,,We're going to start by going over our plan for today.,2023-02-14T13:04:56.970-08:00,2023-02-14T13:05:01.870-08:00,tutor,tutor,1,,,
,,,So i'm going to.,2023-02-14T13:05:06.550-08:00,2023-02-14T13:05:11.340-08:00,tutor,tutor,1,,,
,,,"So we fun day, too.",2023-02-14T13:05:15.960-08:00,2023-02-14T13:05:18.220-08:00,tutor,tutor,1,,,
,,,Post checks.,2023-02-14T13:05:20.760-08:00,2023-02-14T13:05:21.810-08:00,tutor,tutor,1,,,
,,,So we have a little wealth complexion here.,2023-02-14T13:05:22.850-08:00,2023-02-14T13:05:25.450-08:00,tutor,tutor,1,,,
,,,What is one word to describe how you're feeling about the math portion of the sat.,2023-02-14T13:05:25.920-08:00,2023-02-14T13:05:30.570-08:00,tutor,tutor,1,,,
,,,Would anyone like to volunteer to go first?,2023-02-14T13:05:31.780-08:00,2023-02-14T13:05:35.230-08:00,tutor,tutor,1,,,
,,,"All right. [STUDENT_6], Would you like to go first?",2023-02-14T13:05:47.100-08:00,2023-02-14T13:05:50.540-08:00,tutor,tutor,1,,,
,,,Sure.,2023-02-14T13:05:51.620-08:00,2023-02-14T13:05:52.990-08:00,tutor,tutor,1,,,
,,,So. One word,2023-02-14T13:05:53.290-08:00,2023-02-14T13:05:55.940-08:00,student,student A,1,,,
,,,i'm not nervous about it necessarily.,2023-02-14T13:05:57.910-08:00,2023-02-14T13:06:01.860-08:00,student,student A,1,,,
,,,I'm not sure. I'm sorry,2023-02-14T13:06:07.200-08:00,2023-02-14T13:06:08.660-08:00,student,student A,1,,,
,,,"that No, that's totally fine. It's hard to describe.",2023-02-14T13:06:08.760-08:00,2023-02-14T13:06:11.390-08:00,tutor,tutor,1,,,
,,,"I think it's okay to be nervous is what I would say. It's a big test, and it's going to be a big part of your life. But just remember it is only a test. It's not a life or death situation for",2023-02-14T13:06:11.840-08:00,2023-02-14T13:06:24.280-08:00,tutor,tutor,1,,,
,,,"anywhere, anyone here or anyone at all. So it's gonna be okay, no matter what happens, even through this point where you get.",2023-02-14T13:06:24.440-08:00,2023-02-14T13:06:32.380-08:00,tutor,tutor,1,,,
,,,But,2023-02-14T13:06:33.510-08:00,2023-02-14T13:06:34.200-08:00,tutor,tutor,1,,,
,,,let's move on to the next part.,2023-02-14T13:06:34.550-08:00,2023-02-14T13:06:36.690-08:00,tutor,tutor,1,,,
,,,"So today we're going to refuse some. I it testing types always good to know. Then follow with some targeted group practice, and then do a practice test of the calculator portion today, and then we're going to review the test for the last 20 min.",2023-02-14T13:06:37.640-08:00,2023-02-14T13:06:52.060-08:00,tutor,tutor,1,,,
,,,So that's the schedule for today. So let's obviously start with some testing tips.,2023-02-14T13:06:54.320-08:00,2023-02-14T13:07:00.460-08:00,tutor,tutor,1,,,
,,,So there's a lot. Some people say that the Sat only tests your ability to take the sit.,2023-02-14T13:07:17.160-08:00,2023-02-14T13:07:24.550-08:00,tutor,tutor,1,,,
,,,"and why? I think that's not completely correct. There's definitely an element of that in it, so it's always good to have the tips for the test taking.",2023-02-14T13:07:24.660-08:00,2023-02-14T13:07:32.690-08:00,tutor,tutor,1,,,
,,,"So we're going to go through this presentation real quick, and talk about what are some of the better ways, Some of the better specific ways to",2023-02-14T13:07:32.930-08:00,2023-02-14T13:07:41.230-08:00,tutor,tutor,1,,,
,,,"do, we? Well, on this test.",2023-02-14T13:07:42.610-08:00,2023-02-14T13:07:44.510-08:00,tutor,tutor,1,,,
,,,"So first of all, you want to get as many points as you can. Right? That's the goal of any test. S0 0ne of the ways you're going to want to do that is, if you answer all the question. If you don't answer any questions. You're losing a 25% chance to get them correct every single one you don't answer.",2023-02-14T13:07:45.810-08:00,2023-02-14T13:08:00.770-08:00,tutor,tutor,1,,,
,,,even if you're just picking at random.,2023-02-14T13:08:00.980-08:00,2023-02-14T13:08:02.910-08:00,tutor,tutor,1,,,
,,,it is still,2023-02-14T13:08:03.360-08:00,2023-02-14T13:08:05.560-08:00,tutor,tutor,1,,,
,,,"it is, you're still getting points, so it's always important to a lot like the last minute or so of each section of the sat to fill out the rest of the bubbles, and throw out a guess whether or not",2023-02-14T13:08:06.800-08:00,2023-02-14T13:08:19.310-08:00,tutor,tutor,1,,,
,,,"you have any confidence in the answer whatsoever it's important to make sure you Haven't answered down, and not lose that",2023-02-14T13:08:19.420-08:00,2023-02-14T13:08:24.900-08:00,tutor,tutor,1,,,
,,,one in 4 chance. You know,2023-02-14T13:08:25.070-08:00,2023-02-14T13:08:26.920-08:00,tutor,tutor,1,,,
,,,"I am a big C guy myself, so that's what I would advice",2023-02-14T13:08:30.070-08:00,2023-02-14T13:08:34.490-08:00,tutor,tutor,1,,,
,,,there.,2023-02-14T13:08:35.600-08:00,2023-02-14T13:08:36.730-08:00,tutor,tutor,1,,,
,,,all in also all the questions are with the same value. So I would focus on when you're taking the test a lot of time to the questions you're confident on,2023-02-14T13:08:37.040-08:00,2023-02-14T13:08:46.260-08:00,tutor,tutor,1,,,
,,,Now.,2023-02-14T13:08:46.830-08:00,2023-02-14T13:08:48.070-08:00,tutor,tutor,1,,,
,,,"each question is same worth the same amount. So it's not like. If you get an extra difficult, correct question correct while wasting time when you could have gotten 2 more easy ones correct. You're going to get any extra credit for that.",2023-02-14T13:08:49.140-08:00,2023-02-14T13:08:59.870-08:00,tutor,tutor,1,,,
,,,You will have gotten more points for just answering the 2 simple ones. So it's best to look through the section.,2023-02-14T13:09:00.320-08:00,2023-02-14T13:09:07.320-08:00,tutor,tutor,1,,,
,,,"Answer ones that you know you could do quickly. Skip ones that you can't and then return and do those on the if you have extra time, and if you don't",2023-02-14T13:09:07.380-08:00,2023-02-14T13:09:15.590-08:00,tutor,tutor,1,,,
,,,fill them out randomly and,2023-02-14T13:09:15.720-08:00,2023-02-14T13:09:17.880-08:00,tutor,tutor,1,,,
,,,you will. Odds are get more points that way.,2023-02-14T13:09:18.610-08:00,2023-02-14T13:09:22.010-08:00,tutor,tutor,1,,,
,,,So the way the test is structured.,2023-02-14T13:09:25.100-08:00,2023-02-14T13:09:29.550-08:00,tutor,tutor,1,,,
,,,"the beginning of each section of the test, whether it be the multiple choice portion of either the calculator or no calculator",2023-02-14T13:09:30.020-08:00,2023-02-14T13:09:37.620-08:00,tutor,tutor,1,,,
,,,portion. or the,2023-02-14T13:09:38.040-08:00,2023-02-14T13:09:41.120-08:00,tutor,tutor,1,,,
,,,fill in the answers which I'm. Assuming each of you have taken the S. Of 80 S. It before.,2023-02-14T13:09:41.460-08:00,2023-02-14T13:09:48.090-08:00,tutor,tutor,1,,,
,,,Those are the ones where you have to fill in your answer. So you don't have choices.,2023-02-14T13:09:48.440-08:00,2023-02-14T13:09:54.060-08:00,tutor,tutor,1,,,
,,,"So it goes from easy to hard in the multiple choice, and then the first few grid-ins are easy, and then the last few are difficult. So it's best to start and do. Maybe the first half of the multiple choice, and then the first half of the grid in to ensure you can get maximum points on all of those easy questions. You know you can get correct.",2023-02-14T13:09:54.140-08:00,2023-02-14T13:10:10.440-08:00,tutor,tutor,1,,,
,,,and then you can come back to the other ones.,2023-02-14T13:10:10.670-08:00,2023-02-14T13:10:13.130-08:00,tutor,tutor,1,,,
,,,"So another way you can end up with more points are, and on the test is to minimize the lost points.",2023-02-14T13:10:14.940-08:00,2023-02-14T13:10:22.400-08:00,tutor,tutor,1,,,
,,,You always want to want to use process,2023-02-14T13:10:26.970-08:00,2023-02-14T13:10:30.330-08:00,tutor,tutor,1,,,
,,,elimination.,2023-02-14T13:10:30.400-08:00,2023-02-14T13:10:31.540-08:00,tutor,tutor,1,,,
,,,"and I don't know for those of you who remember on Sunday we also talked about the guess and check way of doing things, even if you don't know how to answer a question. Oftentimes there will be a way to sub in",2023-02-14T13:10:32.340-08:00,2023-02-14T13:10:44.200-08:00,tutor,tutor,1,,,
,,,the possible for solutions they gave you on a multiple choice question,2023-02-14T13:10:44.210-08:00,2023-02-14T13:10:48.570-08:00,tutor,tutor,1,,,
,,,"to find out which one of them works, and which ones of them, Don't and that on that is usually a very good way to narrow it down hopefully. The correct answer. So any answer that is obviously like. For example, if you're just",2023-02-14T13:10:48.830-08:00,2023-02-14T13:11:03.070-08:00,tutor,tutor,1,,,
,,,taking this square root of something.,2023-02-14T13:11:03.130-08:00,2023-02-14T13:11:05.150-08:00,tutor,tutor,1,,,
,,,It'll never be another negative number. Right? So that would just be one thing that you could immediately cross out. Some answers.,2023-02-14T13:11:05.530-08:00,2023-02-14T13:11:12.720-08:00,tutor,tutor,1,,,
,,,and also.,2023-02-14T13:11:14.120-08:00,2023-02-14T13:11:15.700-08:00,tutor,tutor,1,,,
,,,"if there are 2 answers that are very similar. You can cross out one of them at first glance, because they can't both be correct.",2023-02-14T13:11:17.020-08:00,2023-02-14T13:11:25.950-08:00,tutor,tutor,1,,,
,,,"You also need to remember that, even though it is a time test. And you're going to",2023-02-14T13:11:28.130-08:00,2023-02-14T13:11:32.920-08:00,tutor,tutor,1,,,
,,,"you, are not. You Don't, have infinite time, and you have to focus on",2023-02-14T13:11:33.230-08:00,2023-02-14T13:11:37.610-08:00,tutor,tutor,1,,,
,,,not wasting that time.,2023-02-14T13:11:38.570-08:00,2023-02-14T13:11:40.450-08:00,tutor,tutor,1,,,
,,,"Double checking your answers is not always wasting your time. because just rushing through, and even if you have time to work more on that one extra difficult problem.",2023-02-14T13:11:42.200-08:00,2023-02-14T13:11:53.110-08:00,tutor,tutor,1,,,
,,,"you still might not get it. It's much better to go back through and have double checked all your answers, and be sure they're right. Instead of making a stupid mistake.",2023-02-14T13:11:53.260-08:00,2023-02-14T13:12:02.660-08:00,tutor,tutor,1,,,
,,,"On my first sat I said, 2 plus 2 equals 5. That is not a joke. It was",2023-02-14T13:12:02.800-08:00,2023-02-14T13:12:08.430-08:00,tutor,tutor,1,,,
,,,unfortunate when I look back at what I had gotten wrong. So make sure you check for easier like that. Also make sure your close reading question. You should always focus on,2023-02-14T13:12:08.600-08:00,2023-02-14T13:12:21.500-08:00,tutor,tutor,1,,,
,,,paying attention to exactly what it's saying.,2023-02-14T13:12:21.750-08:00,2023-02-14T13:12:24.400-08:00,tutor,tutor,1,,,
,,,"and it's it's not always as straightforward as it may seem, so it helps to",2023-02-14T13:12:25.410-08:00,2023-02-14T13:12:30.130-08:00,tutor,tutor,1,,,
,,,"circle keywords, and especially underline what is actually being asked. because it sometimes you might be one step short of getting the right answer, or g0 0ne step too far, because you assumed what you what they actually wanted.",2023-02-14T13:12:30.560-08:00,2023-02-14T13:12:42.020-08:00,tutor,tutor,1,,,
