problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495 (A4),,1.0,I'm just gonna wait a few more minutes for some more people to join.,2023-02-22T16:45:30.880-08:00,2023-02-22T16:45:34.770-08:00,tutor,tutor,1,,,
,,,"Okay, Hi! Everybody Welcome to week to day. 2 0f the schoolhouse sat boot camps.",2023-02-22T16:47:38.890-08:00,2023-02-22T16:47:46.370-08:00,tutor,tutor,1,,,
,,,"S0 0ur welcome question for today is, what feedback do you have for the sat boot camp? So far.",2023-02-22T16:47:48.400-08:00,2023-02-22T16:47:55.370-08:00,tutor,tutor,1,,,
,,,so like you can share a favorite moment as well as an area that we can improve in.,2023-02-22T16:47:55.450-08:00,2023-02-22T16:48:01.370-08:00,tutor,tutor,1,,,
,,,Sorry. Can you repeat the question.,2023-02-22T16:48:10.130-08:00,2023-02-22T16:48:12.040-08:00,student,student A,1,,,
,,,"Yeah, what feedback do you have for the Sct. Boot camp so far.",2023-02-22T16:48:13.260-08:00,2023-02-22T16:48:17.410-08:00,tutor,tutor,1,,,
,,,Oh.,2023-02-22T16:48:22.950-08:00,2023-02-22T16:48:23.790-08:00,student,student A,1,,,
,,,I I can't think of anything. I I think it,2023-02-22T16:48:29.200-08:00,2023-02-22T16:48:31.880-08:00,student,student A,1,,,
,,,pretty efficient. I know systems nice.,2023-02-22T16:48:31.890-08:00,2023-02-22T16:48:34.780-08:00,student,student A,1,,,
,,,"Okay, great. Does anyone else want to answer",2023-02-22T16:48:36.110-08:00,2023-02-22T16:48:39.830-08:00,tutor,tutor,1,,,
,,,"the question is, what feedback we have. Yeah, like, you can share like a favorite moment",2023-02-22T16:48:41.950-08:00,2023-02-22T16:48:47.840-08:00,student,student B,1,,,
,,,as well as like an area that maybe we can improve in.,2023-02-22T16:48:47.920-08:00,2023-02-22T16:48:51.630-08:00,tutor,tutor,1,,,
,,,"Okay. I like, think that the practice tests are pretty great.",2023-02-22T16:48:52.720-08:00,2023-02-22T16:48:57.600-08:00,student,student B,1,,,
,,,and I guess one thing that would be cool is like to have like,2023-02-22T16:48:57.860-08:00,2023-02-22T16:49:00.900-08:00,student,student B,1,,,
,,,optional practice outside of the boot camps that are like on the schoolhouse website that we can try doing.,2023-02-22T16:49:01.000-08:00,2023-02-22T16:49:05.950-08:00,student,student B,1,,,
,,,I think that's all.,2023-02-22T16:49:06.170-08:00,2023-02-22T16:49:07.650-08:00,student,student B,1,,,
,,,"Yeah, it's a good idea",2023-02-22T16:49:07.770-08:00,2023-02-22T16:49:09.480-08:00,tutor,tutor,1,,,
,,,Anyone else want to answer,2023-02-22T16:49:14.310-08:00,2023-02-22T16:49:16.350-08:00,tutor,tutor,1,,,
,,,"All right, so we can move on to the curriculum for the day. So first we'll do a targeted group practice, then a practice test on it's a calculator test.",2023-02-22T16:49:27.810-08:00,2023-02-22T16:49:39.250-08:00,tutor,tutor,1,,,
,,,and then what we can review the practice test.,2023-02-22T16:49:39.450-08:00,2023-02-22T16:49:42.450-08:00,tutor,tutor,1,,,
,,,Okay. So let's start with the targeted group practice.,2023-02-22T16:49:44.810-08:00,2023-02-22T16:49:48.730-08:00,tutor,tutor,1,,,
,,,Can everyone see my screen.,2023-02-22T16:49:57.240-08:00,2023-02-22T16:49:59.290-08:00,tutor,tutor,1,,,
,,,No.,2023-02-22T16:50:02.340-08:00,2023-02-22T16:50:07.140-08:00,student,student A,1,,,
,,,yeah.,2023-02-22T16:50:07.250-08:00,2023-02-22T16:50:07.930-08:00,student,student A,1,,,
,,,okay. I'll try re-sharing.,2023-02-22T16:50:08.880-08:00,2023-02-22T16:50:10.920-08:00,tutor,tutor,1,,,
,,,Can you see it now?,2023-02-22T16:50:33.800-08:00,2023-02-22T16:50:35.070-08:00,tutor,tutor,1,,,
,,,Yes.,2023-02-22T16:50:37.220-08:00,2023-02-22T16:50:38.220-08:00,student,student C,1,,,
,,,great. So today we'll be going over solving systems of linear equations.,2023-02-22T16:50:40.520-08:00,2023-02-22T16:50:45.720-08:00,tutor,tutor,1,,,
,,,So linear equations make up for one t0 3 questions. On the sat,2023-02-22T16:50:46.760-08:00,2023-02-22T16:50:52.560-08:00,tutor,tutor,1,,,
,,,A system of linear equations is usually a set of 2 linear equations with 2 variables.,2023-02-22T16:50:53.150-08:00,2023-02-22T16:50:59.730-08:00,tutor,tutor,1,,,
,,,So examples would be x plus y equals 5 and 2 x minus y equals one.,2023-02-22T16:51:00.130-08:00,2023-02-22T16:51:06.460-08:00,tutor,tutor,1,,,
,,,They're both linear equations with 2 variables.,2023-02-22T16:51:06.660-08:00,2023-02-22T16:51:10.200-08:00,tutor,tutor,1,,,
,,,and when you consider them together they form a system of linear equations.,2023-02-22T16:51:10.260-08:00,2023-02-22T16:51:15.160-08:00,tutor,tutor,1,,,
,,,"So a linear equation with 2 variables has infinite number of solutions. So, for example, like, if you have a line, then it would have infinite number of points on it.",2023-02-22T16:51:15.820-08:00,2023-02-22T16:51:26.350-08:00,tutor,tutor,1,,,
,,,But if you have a system of 2 linear equations.,2023-02-22T16:51:27.060-08:00,2023-02-22T16:51:30.830-08:00,tutor,tutor,1,,,
,,,then they can have a single solution that satisfies both.,2023-02-22T16:51:30.880-08:00,2023-02-22T16:51:35.890-08:00,tutor,tutor,1,,,
,,,"So, for example, 2 comma 3 is the only solution to both. X plus y equals 5 and 2 x minus y equals one.",2023-02-22T16:51:37.940-08:00,2023-02-22T16:51:48.120-08:00,tutor,tutor,1,,,
