problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491 (B2),,1.0,"Hi, everyone! So welcome back to the final week of the boot camp. I hope you're all doing well if you guys liked it, I done on your videos? That'd be great.",2023-03-04T11:02:06.340-08:00,2023-03-04T11:02:15.300-08:00,tutor,tutor,1,,,
,,,But,2023-03-04T11:02:16.060-08:00,2023-03-04T11:02:17.260-08:00,tutor,tutor,1,,,
,,,i'm sorry for my voice. Today I am a bit sick. So,2023-03-04T11:02:19.470-08:00,2023-03-04T11:02:23.840-08:00,tutor,tutor,1,,,
,,,"if you have trouble on designing what i'm saying, Don't hesitate to ask me to repeat.",2023-03-04T11:02:24.070-08:00,2023-03-04T11:02:28.210-08:00,tutor,tutor,1,,,
,,,But,2023-03-04T11:02:28.550-08:00,2023-03-04T11:02:30.040-08:00,tutor,tutor,1,,,
,,,so the format for today is going to be the same as what we've been doing so far. Today's topic that i'll be going over.,2023-03-04T11:02:31.100-08:00,2023-03-04T11:02:36.790-08:00,tutor,tutor,1,,,
,,,It's gonna be all about tables and reading table data. So that's the concept we'll be going over.,2023-03-04T11:02:36.890-08:00,2023-03-04T11:02:43.070-08:00,tutor,tutor,1,,,
,,,And after that we'd be doing a package test and then going over the question from that.,2023-03-04T11:02:43.310-08:00,2023-03-04T11:02:48.760-08:00,tutor,tutor,1,,,
,,,So i'm gonna go ahead and share my screen here.,2023-03-04T11:02:49.500-08:00,2023-03-04T11:02:51.540-08:00,tutor,tutor,1,,,
,,,And so,2023-03-04T11:02:51.860-08:00,2023-03-04T11:02:53.730-08:00,tutor,tutor,1,,,
,,,the first thing that we're going to start off with,2023-03-04T11:02:56.070-08:00,2023-03-04T11:02:58.340-08:00,tutor,tutor,1,,,
,,,is this concept of frequency tables.,2023-03-04T11:02:58.580-08:00,2023-03-04T11:03:01.000-08:00,tutor,tutor,1,,,
,,,And so what i'm what I've been given here,2023-03-04T11:03:03.160-08:00,2023-03-04T11:03:06.440-08:00,tutor,tutor,1,,,
,,,on screen right now is a frequency table. And this is a two-way frequency table.,2023-03-04T11:03:06.780-08:00,2023-03-04T11:03:13.620-08:00,tutor,tutor,1,,,
,,,So you have information about 2 different variables given to you,2023-03-04T11:03:13.660-08:00,2023-03-04T11:03:18.310-08:00,tutor,tutor,1,,,
,,,and the first table,2023-03-04T11:03:18.610-08:00,2023-03-04T11:03:21.590-08:00,tutor,tutor,1,,,
,,,is whether or not. Someone is attended a concert.,2023-03-04T11:03:21.700-08:00,2023-03-04T11:03:25.060-08:00,tutor,tutor,1,,,
,,,and you can see the data for that is given on top here.,2023-03-04T11:03:25.810-08:00,2023-03-04T11:03:29.340-08:00,tutor,tutor,1,,,
,,,And the second variability given data for is whose class someone is in.,2023-03-04T11:03:29.400-08:00,2023-03-04T11:03:35.760-08:00,tutor,tutor,1,,,
,,,And so you have 2 different,2023-03-04T11:03:36.340-08:00,2023-03-04T11:03:38.860-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-04T11:03:39.050-08:00,2023-03-04T11:03:40.430-08:00,tutor,tutor,1,,,
,,,And so I think to start off. I'm going to try and try to explain exactly how you should interpret every part of this table because this table form that's important for the Sd. You should know exactly what's given to you.,2023-03-04T11:03:40.480-08:00,2023-03-04T11:03:53.060-08:00,tutor,tutor,1,,,
,,,so you'll notice that,2023-03-04T11:03:53.780-08:00,2023-03-04T11:03:56.820-08:00,tutor,tutor,1,,,
,,,there are these 2.,2023-03-04T11:03:58.090-08:00,2023-03-04T11:03:59.670-08:00,tutor,tutor,1,,,
,,,This is row and this column total on each of the extremities.,2023-03-04T11:04:00.240-08:00,2023-03-04T11:04:04.490-08:00,tutor,tutor,1,,,
,,,"And so this is simply this column, for total is not always given to you. Sometimes they may just give you the table with the first 2 rows in the first 2 columns. but all the stable is telling you is",2023-03-04T11:04:04.990-08:00,2023-03-04T11:04:17.550-08:00,tutor,tutor,1,,,
,,,how many students attended the concert and are in Dr. Ml's class. and so far that what you need to do is,2023-03-04T11:04:17.990-08:00,2023-03-04T11:04:25.100-08:00,tutor,tutor,1,,,
,,,"you need to identify the correct rule, which is this one. You need to identify the correct column, which is this one. And look at the number that's given to you. So that's how you identify data for these 4 values right here.",2023-03-04T11:04:25.140-08:00,2023-03-04T11:04:37.990-08:00,tutor,tutor,1,,,
,,,"Now, the total is fairly simple as well.",2023-03-04T11:04:38.030-08:00,2023-03-04T11:04:40.480-08:00,tutor,tutor,1,,,
,,,"If I have this total right here, if I want to look at this. All this is telling me is this is the role is total, and the column is attended concert.",2023-03-04T11:04:40.640-08:00,2023-03-04T11:04:51.480-08:00,tutor,tutor,1,,,
,,,So all this number 40 is telling me is that the total number of people that attended the concert is 40. So that's how you identify what these 4 values are telling you.,2023-03-04T11:04:51.560-08:00,2023-03-04T11:05:03.680-08:00,tutor,tutor,1,,,
,,,"If I look at 31, for example. the role of 31 is doctor and s class, and the total is then the column is to",2023-03-04T11:05:03.840-08:00,2023-03-04T11:05:12.080-08:00,tutor,tutor,1,,,
,,,so what this number 31 is telling me is the total number of students in doctor room house class.,2023-03-04T11:05:12.650-08:00,2023-03-04T11:05:19.160-08:00,tutor,tutor,1,,,
,,,"Now, this final value",2023-03-04T11:05:19.430-08:00,2023-03-04T11:05:21.190-08:00,tutor,tutor,1,,,
,,,64 is a bit trickier.,2023-03-04T11:05:22.890-08:00,2023-03-04T11:05:25.400-08:00,tutor,tutor,1,,,
,,,This just tells me the total number of students in the entire population are like the in the context of this.,2023-03-04T11:05:25.410-08:00,2023-03-04T11:05:32.430-08:00,tutor,tutor,1,,,
,,,"In the context of this table the total number of students available are present. So that just means the total number of students that attended or did not attend the concert, and that area in doctor and mouse, class or doctor you, which is class just every student available for this table. That's what this Number 64 is.",2023-03-04T11:05:32.600-08:00,2023-03-04T11:05:49.070-08:00,tutor,tutor,1,,,
,,,So I hope that you guys understand now exactly how frequency tables work. Do you have any questions about this,2023-03-04T11:05:49.990-08:00,2023-03-04T11:05:57.140-08:00,tutor,tutor,1,,,
,,,before we move on to some actual questions?,2023-03-04T11:05:57.330-08:00,2023-03-04T11:05:59.600-08:00,tutor,tutor,1,,,
,-1.0,1.0,"Okay? Then, i'm gonna go ahead and show you guys this question.",2023-03-04T11:06:02.840-08:00,2023-03-04T11:06:07.000-08:00,tutor,tutor,2,,-1.0,
,,,So there are 3 parts to it.,2023-03-04T11:06:07.350-08:00,2023-03-04T11:06:09.240-08:00,tutor,tutor,2,,-1.0,
,,,"But you'll notice that this tables given in the exact format as what we just went over. So if you guys would like to try doing these 3 questions and messing me the answers on Zoom, chat that' be great.",2023-03-04T11:06:09.290-08:00,2023-03-04T11:06:19.210-08:00,tutor,tutor,2,,-1.0,
,,,"even if you guys can't do all the parts. If there's maybe if you don't have some, maybe one of the parts just still send me the other 2.",2023-03-04T11:07:35.950-08:00,2023-03-04T11:07:41.700-08:00,tutor,tutor,2,,-1.0,
,,,"Okay, i'm seeing some on their side to come in.",2023-03-04T11:08:11.450-08:00,2023-03-04T11:08:14.140-08:00,tutor,tutor,2,,-1.0,
,,,so i'll go ahead and start with a.,2023-03-04T11:08:16.050-08:00,2023-03-04T11:08:18.930-08:00,tutor,tutor,2,,-1.0,
,,,"So it is asking me how many students, how many classmates",2023-03-04T11:08:19.340-08:00,2023-03-04T11:08:24.020-08:00,tutor,tutor,2,,-1.0,
,,,on both a bike and a skateboard.,2023-03-04T11:08:24.150-08:00,2023-03-04T11:08:27.480-08:00,tutor,tutor,2,,-1.0,
,,,"So now that we're given this, I want to look at the table, and I want to identify which row and which column I should be looking at.",2023-03-04T11:08:27.760-08:00,2023-03-04T11:08:34.150-08:00,tutor,tutor,2,,-1.0,
,,,"So if I consider all the rules, the questions telling me that the classmates have to own a bike. So this is a road that i'm interested in.",2023-03-04T11:08:34.760-08:00,2023-03-04T11:08:42.000-08:00,tutor,tutor,2,,-1.0,
,,,And similarly it's also telling me that it's it's asked me for the number of classmates that own a skateboard as well.,2023-03-04T11:08:42.200-08:00,2023-03-04T11:08:47.280-08:00,tutor,tutor,2,,-1.0,
,,,so on the columns. This is the column that I'm interested in.,2023-03-04T11:08:47.320-08:00,2023-03-04T11:08:50.790-08:00,tutor,tutor,2,,-1.0,
,,,"And so now that I know the row and column, I just look at the data value that's there, and I get to know that there are 4 students or 4 classmates that own both a bike and a skateboard. So that's going to be my answer for it",2023-03-04T11:08:50.980-08:00,2023-03-04T11:09:02.410-08:00,tutor,tutor,2,,-1.0,
,,,"now, if I move on to B. So this is",2023-03-04T11:09:03.100-08:00,2023-03-04T11:09:06.870-08:00,tutor,tutor,2,,-1.0,
,,,"slightly trickier. So it's asking me how many classmates own skateboard, but it has not told me anything about Bikes right? And so it's not asking me how many students, how many classmates own a skateboard and a bike. It's not asking me how many students own a skateboard.",2023-03-04T11:09:06.880-08:00,2023-03-04T11:09:26.270-08:00,tutor,tutor,2,,-1.0,
,,,And so because of this.,2023-03-04T11:09:26.360-08:00,2023-03-04T11:09:28.350-08:00,tutor,tutor,2,,-1.0,
,,,"I have to look at the total row when it comes to bikes, and i'll look at the skateboard column when it comes to the columns. and the data value represented by that row in that column is 7.",2023-03-04T11:09:28.620-08:00,2023-03-04T11:09:41.820-08:00,tutor,tutor,2,,-1.0,
