problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485 (A1),,1.0,"Hi, are you, Austin?",2023-02-10T13:50:22.510-08:00,2023-02-10T13:50:24.149-08:00,tutor,tutor,1,,,
,,,"Oh, yeah, there we go. Yeah, I'm. [STUDENT_8].",2023-02-10T13:50:36.610-08:00,2023-02-10T13:50:39.310-08:00,student,student A,1,,,
,,,It was muted.,2023-02-10T13:50:39.480-08:00,2023-02-10T13:50:40.750-08:00,student,student A,1,,,
,,,"Yeah, that's fine.",2023-02-10T13:50:41.330-08:00,2023-02-10T13:50:42.299-08:00,tutor,tutor,1,,,
,,,Anyone else doing it.,2023-02-10T13:50:47.560-08:00,2023-02-10T13:50:49.030-08:00,student,student A,1,,,
,,,"Yeah, there should be",2023-02-10T13:50:49.320-08:00,2023-02-10T13:50:51.000-08:00,tutor,tutor,1,,,
,,,"almost a dozen, I think, and we'll wait for them to roll in",2023-02-10T13:50:51.230-08:00,2023-02-10T13:50:55.920-08:00,tutor,tutor,1,,,
,,,bye.,2023-02-10T13:50:56.540-08:00,2023-02-10T13:50:57.210-08:00,student,student A,1,,,
,,,you know.,2023-02-10T13:51:10.090-08:00,2023-02-10T13:51:10.670-08:00,student,student A,1,,,
,,,Steve.,2023-02-10T13:51:13.710-08:00,2023-02-10T13:51:14.340-08:00,student,student A,1,,,
,,,just to,2023-02-10T13:51:20.230-08:00,2023-02-10T13:51:20.890-08:00,student,student A,1,,,
,,,if,2023-02-10T13:52:52.160-08:00,2023-02-10T13:52:52.750-08:00,student,student A,1,,,
,,,"no, actually.",2023-02-10T13:53:09.450-08:00,2023-02-10T13:53:10.440-08:00,student,student A,1,,,
,,,"I just want to apologize. If you hear any other voices, I'm: at a I'm as a college, because I've sworn practice like right after this. So",2023-02-10T13:53:34.530-08:00,2023-02-10T13:53:42.839-08:00,student,student A,1,,,
,,,"okay, yeah.",2023-02-10T13:53:44.000-08:00,2023-02-10T13:53:45.180-08:00,tutor,tutor,1,,,
,,,no problem.,2023-02-10T13:53:45.820-08:00,2023-02-10T13:53:46.540-08:00,tutor,tutor,1,,,
,,,sharing it should just be like a,2023-02-10T13:53:46.860-08:00,2023-02-10T13:53:51.589-08:00,tutor,tutor,1,,,
,,,yeah. I can see it.,2023-02-10T13:53:52.840-08:00,2023-02-10T13:53:54.009-08:00,student,student A,1,,,
,,,"Okay, School House S. A. T. Boot camps. That's right.",2023-02-10T13:53:54.080-08:00,2023-02-10T13:53:57.690-08:00,tutor,tutor,1,,,
,,,Can you see a different slide right now?,2023-02-10T13:54:16.310-08:00,2023-02-10T13:54:18.840-08:00,tutor,tutor,1,,,
,,,"Now, I see a different slide.",2023-02-10T13:54:44.330-08:00,2023-02-10T13:54:45.559-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-10T13:56:09.640-08:00,2023-02-10T13:56:10.260-08:00,student,student A,1,,,
,,,"Okay, there we go. Okay, Hi, [STUDENT_7] and Toakota. Is that how you say that?",2023-02-10T13:56:43.460-08:00,2023-02-10T13:56:48.159-08:00,tutor,tutor,1,,,
,,,Yep.,2023-02-10T13:56:48.230-08:00,2023-02-10T13:56:49.180-08:00,student,student B,1,,,
,,,All right. Great,2023-02-10T13:56:49.560-08:00,2023-02-10T13:56:50.670-08:00,tutor,tutor,1,,,
,,,Nice to see you guys.,2023-02-10T13:56:50.750-08:00,2023-02-10T13:56:52.089-08:00,tutor,tutor,1,,,
,,,Okay?,2023-02-10T14:01:34.630-08:00,2023-02-10T14:01:35.660-08:00,tutor,tutor,1,,,
,,,Hello to those of you who just joined,2023-02-10T14:01:36.830-08:00,2023-02-10T14:01:39.049-08:00,tutor,tutor,1,,,
,,,We'll give it a couple more minutes here before starting to let some other people come in.,2023-02-10T14:01:39.560-08:00,2023-02-10T14:01:44.469-08:00,tutor,tutor,1,,,
,,,"All right. Hi, everybody!",2023-02-10T14:02:33.250-08:00,2023-02-10T14:02:34.890-08:00,tutor,tutor,1,,,
,,,Let's give it,2023-02-10T14:02:36.630-08:00,2023-02-10T14:02:38.350-08:00,tutor,tutor,1,,,
,,,just one more minute. See if anybody else will join.,2023-02-10T14:02:38.780-08:00,2023-02-10T14:02:41.790-08:00,tutor,tutor,1,,,
,,,All right. I think we're gonna get started now. Can everybody hear me?,2023-02-10T14:04:08.080-08:00,2023-02-10T14:04:11.349-08:00,tutor,tutor,1,,,
,,,Yep.,2023-02-10T14:04:13.290-08:00,2023-02-10T14:04:13.980-08:00,student,student A,1,,,
,,,All right. Great.,2023-02-10T14:04:14.550-08:00,2023-02-10T14:04:15.580-08:00,tutor,tutor,1,,,
,,,And I should be screen sharing. Can you all see that?,2023-02-10T14:04:15.620-08:00,2023-02-10T14:04:19.020-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-10T14:04:21.220-08:00,2023-02-10T14:04:21.970-08:00,student,student A,1,,,
,,,Okay.,2023-02-10T14:04:22.630-08:00,2023-02-10T14:04:23.550-08:00,tutor,tutor,1,,,
,,,"Well, let's get started. I'm. [STUDENT_5]. I am from Minnesota, and i'm really excited to be here with all of you guys, this is going to be really fun. 4 weeks here.",2023-02-10T14:04:23.790-08:00,2023-02-10T14:04:34.360-08:00,tutor,tutor,1,,,
,,,and we're going to do some introductions.,2023-02-10T14:04:35.150-08:00,2023-02-10T14:04:38.330-08:00,tutor,tutor,1,,,
,,,"So can you see that screen, too?",2023-02-10T14:04:39.910-08:00,2023-02-10T14:04:42.370-08:00,tutor,tutor,1,,,
,,,"Okay. So you are going to introduce yourself with your name, and either the State or the country you're from. If you're not inside the Us. And then you can add in something that you hopefully get out of this sat Boot camp.",2023-02-10T14:04:44.190-08:00,2023-02-10T14:04:57.010-08:00,tutor,tutor,1,,,
,,,so would any volunteers like to start.,2023-02-10T14:04:57.270-08:00,2023-02-10T14:05:00.300-08:00,tutor,tutor,1,,,
,,,I'll start.,2023-02-10T14:05:04.339-08:00,2023-02-10T14:05:05.710-08:00,student,student A,1,,,
,,,"My name is [STUDENT_8] White. I'm, from Oakland, West Virginia, and I hope to get my sat score above a 720 to a I'm. 40.",2023-02-10T14:05:06.210-08:00,2023-02-10T14:05:13.739-08:00,student,student A,1,,,
,,,Great.,2023-02-10T14:05:16.130-08:00,2023-02-10T14:05:17.339-08:00,tutor,tutor,1,,,
