problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488 (A2),,1.0,All right. Welcome guys.,2023-02-15T15:59:25.370-08:00,2023-02-15T15:59:28.240-08:00,tutor,tutor,1,,,
,,,Just hang in here for a few seconds or a few minutes while everyone else joins. and then we get started.,2023-02-15T15:59:28.580-08:00,2023-02-15T15:59:35.070-08:00,tutor,tutor,1,,,
,,,"Alright, Can you guys see my screen?",2023-02-15T16:01:29.810-08:00,2023-02-15T16:01:31.540-08:00,tutor,tutor,1,,,
,,,"Yeah, we can.",2023-02-15T16:01:33.700-08:00,2023-02-15T16:01:34.740-08:00,student,student A,1,,,
,,,"Okay, cool. Thank you. We'll get started in another minute.",2023-02-15T16:01:35.180-08:00,2023-02-15T16:01:39.940-08:00,tutor,tutor,1,,,
,,,I think there's still a few people missing. So give me another minute.,2023-02-15T16:01:40.560-08:00,2023-02-15T16:01:44.530-08:00,tutor,tutor,1,,,
,,,All right.,2023-02-15T16:02:25.230-08:00,2023-02-15T16:02:26.140-08:00,tutor,tutor,1,,,
,,,I guess we'll go ahead and get started.,2023-02-15T16:02:26.180-08:00,2023-02-15T16:02:27.840-08:00,tutor,tutor,1,,,
,,,I don't think anyone else is joining. alright. So,2023-02-15T16:02:28.120-08:00,2023-02-15T16:02:31.810-08:00,tutor,tutor,1,,,
,,,welcome back everyone,2023-02-15T16:02:31.990-08:00,2023-02-15T16:02:34.460-08:00,tutor,tutor,1,,,
,,,"again, if you guys can. I'd like to. I'd like for you guys to have your cameras on",2023-02-15T16:02:34.630-08:00,2023-02-15T16:02:39.540-08:00,tutor,tutor,1,,,
,,,if you can't I get it. But it would just make it more interactive for all of us.,2023-02-15T16:02:39.770-08:00,2023-02-15T16:02:45.120-08:00,tutor,tutor,1,,,
,,,"So yeah, welcome back. Stay, too. Now we're gonna start off with a pulse check.",2023-02-15T16:02:47.020-08:00,2023-02-15T16:02:52.330-08:00,tutor,tutor,1,,,
,,,So,2023-02-15T16:02:53.580-08:00,2023-02-15T16:02:54.690-08:00,tutor,tutor,1,,,
,,,"your welcome question is, what is one word to describe how you're feeling about? The math sat?",2023-02-15T16:02:54.700-08:00,2023-02-15T16:03:00.770-08:00,tutor,tutor,1,,,
,,,Would anyone like to share?,2023-02-15T16:03:01.660-08:00,2023-02-15T16:03:02.880-08:00,tutor,tutor,1,,,
,,,"Okay, [STUDENT_1], Would you like to share?",2023-02-15T16:03:11.520-08:00,2023-02-15T16:03:14.610-08:00,tutor,tutor,1,,,
,,,"Yeah, sure. I would just say the one word would be better.",2023-02-15T16:03:16.240-08:00,2023-02-15T16:03:20.500-08:00,tutor,tutor,1,,,
,,,You know. The last session was definitely helpful.,2023-02-15T16:03:20.840-08:00,2023-02-15T16:03:24.050-08:00,student,student B,1,,,
,,,"Okay, alright, thank you.",2023-02-15T16:03:24.910-08:00,2023-02-15T16:03:26.620-08:00,tutor,tutor,1,,,
,,,Anyone else.,2023-02-15T16:03:29.180-08:00,2023-02-15T16:03:30.260-08:00,tutor,tutor,1,,,
,,,[STUDENT_7]. Would you like to share.,2023-02-15T16:03:34.400-08:00,2023-02-15T16:03:36.320-08:00,tutor,tutor,1,,,
,,,Sure.,2023-02-15T16:03:41.320-08:00,2023-02-15T16:03:42.120-08:00,student,student C,1,,,
,,,"I think i'm feeling a bit, maybe a bit nervous about the",2023-02-15T16:03:46.920-08:00,2023-02-15T16:03:51.470-08:00,student,student C,1,,,
,,,"Hmm. That's okay. I felt really nervous whenever I first take it to. But as you keep practicing, it will get a lot better.",2023-02-15T16:03:53.560-08:00,2023-02-15T16:04:02.420-08:00,tutor,tutor,1,,,
,,,"I feel excited to teach you guys, and kind of encourage to see your progress on the sat.",2023-02-15T16:04:04.360-08:00,2023-02-15T16:04:11.320-08:00,tutor,tutor,1,,,
,,,All right. Another question. How do you hope that changes over the course of this sat Boot camp?,2023-02-15T16:04:12.000-08:00,2023-02-15T16:04:18.990-08:00,tutor,tutor,1,,,
,,,"Well, I hope to like build more confidence in the math section. I just wanted to say hi because",2023-02-15T16:04:24.290-08:00,2023-02-15T16:04:29.840-08:00,student,student D,1,,,
,,,"my session I was in previously. They like canceled the whole series, and I try to find a new one so, but I took him the previous assessment. So I just wanted to let you know.",2023-02-15T16:04:29.890-08:00,2023-02-15T16:04:38.470-08:00,student,student D,1,,,
,,,"0 0kay, nice welcome to you.",2023-02-15T16:04:38.630-08:00,2023-02-15T16:04:41.860-08:00,tutor,tutor,1,,,
,,,"Actually, I was doing intra Tory, since you need here, I think you could share this your name. And what do you like to do for fun?",2023-02-15T16:04:44.250-08:00,2023-02-15T16:04:55.570-08:00,tutor,tutor,1,,,
,,,"Well, my name is Toy, and I like to play soccer for phone.",2023-02-15T16:04:56.660-08:00,2023-02-15T16:05:00.610-08:00,student,student D,1,,,
,,,That's cool.,2023-02-15T16:05:00.900-08:00,2023-02-15T16:05:01.890-08:00,tutor,tutor,1,,,
,,,You play for the school team.,2023-02-15T16:05:03.180-08:00,2023-02-15T16:05:04.850-08:00,tutor,tutor,1,,,
,,,"Yeah, I play for a high school and my club team here in San Antonio. So that's cool.",2023-02-15T16:05:05.120-08:00,2023-02-15T16:05:10.710-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-15T16:05:12.540-08:00,2023-02-15T16:05:13.290-08:00,tutor,tutor,1,,,
,,,we'll move on,2023-02-15T16:05:13.390-08:00,2023-02-15T16:05:15.290-08:00,tutor,tutor,1,,,
,,,all right. The curriculum for the day. So first we're going to g0 0ver a powerpoint,2023-02-15T16:05:16.460-08:00,2023-02-15T16:05:21.090-08:00,tutor,tutor,1,,,
,,,that it's just reviewing,2023-02-15T16:05:21.100-08:00,2023-02-15T16:05:23.120-08:00,tutor,tutor,1,,,
,,,sat testing tips. I think these will be really helpful.,2023-02-15T16:05:23.190-08:00,2023-02-15T16:05:26.270-08:00,tutor,tutor,1,,,
,,,"And then we're going to have targeted group practice, which is pretty much all of us as a group.",2023-02-15T16:05:26.690-08:00,2023-02-15T16:05:31.600-08:00,tutor,tutor,1,,,
,,,I gonna basically see what we struggled on like as a group on the assessment that we took last time. And we're going to answer your problems and kind of walk through problems based on that.,2023-02-15T16:05:31.870-08:00,2023-02-15T16:05:44.830-08:00,tutor,tutor,1,,,
,,,And then we'll take another 15 min practices and then at the end we'll review the practice test.,2023-02-15T16:05:45.370-08:00,2023-02-15T16:05:50.470-08:00,tutor,tutor,1,,,
,,,Is that good?,2023-02-15T16:05:50.860-08:00,2023-02-15T16:05:51.680-08:00,tutor,tutor,1,,,
,,,Okay. So,2023-02-15T16:05:53.720-08:00,2023-02-15T16:05:56.190-08:00,tutor,tutor,1,,,
,,,let me get the testing tips. Powerpoint out.,2023-02-15T16:05:57.220-08:00,2023-02-15T16:06:00.510-08:00,tutor,tutor,1,,,
,,,hey? You'll see it.,2023-02-15T16:06:25.220-08:00,2023-02-15T16:06:26.860-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-15T16:06:30.640-08:00,2023-02-15T16:06:31.360-08:00,tutor,tutor,1,,,
,,,So these are the sat math testing tips brought to you by schoolhouse,2023-02-15T16:06:33.280-08:00,2023-02-15T16:06:39.480-08:00,tutor,tutor,1,,,
,,,"Alright, so I think this is 3 sections. This first section is about maximizing the possible points you can get on the Sd map.",2023-02-15T16:06:40.900-08:00,2023-02-15T16:06:47.720-08:00,tutor,tutor,1,,,
,,,First 2 is to answer every question. There is no penalty for guessing on the sat. So,2023-02-15T16:06:49.760-08:00,2023-02-15T16:06:57.170-08:00,tutor,tutor,1,,,
,,,you kind of miss out by leaving a question blank rather than just guessing randomly,2023-02-15T16:06:57.420-08:00,2023-02-15T16:07:02.490-08:00,tutor,tutor,1,,,
,,,"if you're really out of time, or it completely stuck like on some section or some part of the map test. then just guess the same letter. On average, you'll get 25% correct.",2023-02-15T16:07:03.620-08:00,2023-02-15T16:07:15.260-08:00,tutor,tutor,1,,,
,,,"which is better than usually guessing like a. B C D Abcd just gets the same lady I prefer, c.",2023-02-15T16:07:15.490-08:00,2023-02-15T16:07:22.280-08:00,tutor,tutor,1,,,
,,,"But I mean hopefully, you don't get stuck. But this is just an emergency tip",2023-02-15T16:07:23.790-08:00,2023-02-15T16:07:28.950-08:00,tutor,tutor,1,,,
,,,to to go for the money.,2023-02-15T16:07:29.720-08:00,2023-02-15T16:07:32.840-08:00,tutor,tutor,1,,,
,,,All questions are worth the same.,2023-02-15T16:07:33.210-08:00,2023-02-15T16:07:35.520-08:00,tutor,tutor,1,,,
,,,So focus on the easy questions for us to get the most amount of points you can in that section.,2023-02-15T16:07:35.630-08:00,2023-02-15T16:07:41.960-08:00,tutor,tutor,1,,,
,,,"Don't be afraid to skip any questions, because",2023-02-15T16:07:42.650-08:00,2023-02-15T16:07:46.780-08:00,tutor,tutor,1,,,
,,,if it takes a really long time for you to get it,2023-02-15T16:07:48.010-08:00,2023-02-15T16:07:50.200-08:00,tutor,tutor,1,,,
,,,like more than one t0 2 min. You can just come back to it later and,2023-02-15T16:07:50.560-08:00,2023-02-15T16:07:54.880-08:00,tutor,tutor,1,,,
,,,"go ahead and look for easier problems in the test. And then, yeah, at the end, you'll probably have time left over to work on the harder questions.",2023-02-15T16:07:54.920-08:00,2023-02-15T16:08:03.240-08:00,tutor,tutor,1,,,
,,,"All right, Tip number 3.",2023-02-15T16:08:04.670-08:00,2023-02-15T16:08:06.030-08:00,tutor,tutor,1,,,
,,,The difficulty overview.,2023-02-15T16:08:06.260-08:00,2023-02-15T16:08:08.510-08:00,tutor,tutor,1,,,
