problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488 (A2),,1.0,Okay?,2023-02-14T14:57:49.840-08:00,2023-02-14T14:57:51.190-08:00,tutor,tutor,1,,,
,,,Good afternoon. Would that be the right time? Zone,2023-02-14T14:58:04.720-08:00,2023-02-14T14:58:09.920-08:00,tutor,tutor,1,,,
,,,Branch?,2023-02-14T14:58:14.550-08:00,2023-02-14T14:58:15.550-08:00,tutor,tutor,1,,,
,,,Hello!,2023-02-14T14:58:16.780-08:00,2023-02-14T14:58:17.790-08:00,student,student A,1,,,
,,,How are you,2023-02-14T14:58:19.230-08:00,2023-02-14T14:58:20.440-08:00,tutor,tutor,1,,,
,,,doing? Good! How are you?,2023-02-14T14:58:21.480-08:00,2023-02-14T14:58:23.070-08:00,student,student A,1,,,
,,,I'm doing? I'm doing fine. Thank you. We're gonna start this session in about 7 min time. But before. But before that you feel free to ask,2023-02-14T14:58:24.500-08:00,2023-02-14T14:58:38.280-08:00,tutor,tutor,1,,,
,,,anything.,2023-02-14T14:58:38.310-08:00,2023-02-14T14:58:39.220-08:00,tutor,tutor,1,,,
,,,Okay?,2023-02-14T14:58:40.290-08:00,2023-02-14T14:58:41.390-08:00,student,student A,1,,,
,,,How was your week,2023-02-14T14:58:46.040-08:00,2023-02-14T14:58:47.840-08:00,tutor,tutor,1,,,
,,,it's been tiring a lot of homework.,2023-02-14T14:58:48.960-08:00,2023-02-14T14:58:51.740-08:00,student,student A,1,,,
,,,Oh.,2023-02-14T14:58:55.440-08:00,2023-02-14T14:58:56.610-08:00,tutor,tutor,1,,,
,,,"hi, shre!",2023-02-14T14:58:58.210-08:00,2023-02-14T14:58:59.470-08:00,tutor,tutor,1,,,
,,,"0 0kay, I's coming in.",2023-02-14T14:59:02.330-08:00,2023-02-14T14:59:05.290-08:00,tutor,tutor,1,,,
,,,"Hi, Bailey!",2023-02-14T14:59:06.060-08:00,2023-02-14T14:59:07.470-08:00,tutor,tutor,1,,,
,,,How have all of you been?,2023-02-14T14:59:07.560-08:00,2023-02-14T14:59:10.110-08:00,tutor,tutor,1,,,
,,,Strand Bailey?,2023-02-14T14:59:10.290-08:00,2023-02-14T14:59:11.450-08:00,tutor,tutor,1,,,
,,,I'm. Good. How are you? I'm doing well.,2023-02-14T14:59:13.500-08:00,2023-02-14T14:59:17.060-08:00,student,student B,1,,,
,,,"[STUDENT_7]. Hi, [STUDENT_7]!",2023-02-14T14:59:21.780-08:00,2023-02-14T14:59:24.290-08:00,tutor,tutor,1,,,
,,,I don't think you in the Are you in our first session? Why are you?,2023-02-14T14:59:25.950-08:00,2023-02-14T14:59:30.020-08:00,tutor,tutor,1,,,
,,,"Hi, [STUDENT_4]? Okay.",2023-02-14T14:59:38.730-08:00,2023-02-14T14:59:42.890-08:00,tutor,tutor,1,,,
,,,let me. Just check here.,2023-02-14T14:59:44.410-08:00,2023-02-14T14:59:46.289-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-14T14:59:47.350-08:00,2023-02-14T14:59:48.280-08:00,tutor,tutor,1,,,
,,,"welcome back, [STUDENT_6].",2023-02-14T14:59:56.930-08:00,2023-02-14T14:59:58.560-08:00,tutor,tutor,1,,,
