problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492 (B3),,1.0,"Okay, I think it once here. So let's get started.",2023-03-05T18:01:58.040-08:00,2023-03-05T18:02:01.300-08:00,tutor,tutor,1,,,
,,,"Okay, this is our final meeting for the Ct. To ring.",2023-03-05T18:02:12.460-08:00,2023-03-05T18:02:16.750-08:00,tutor,tutor,1,,,
,,,So,2023-03-05T18:02:18.230-08:00,2023-03-05T18:02:19.700-08:00,tutor,tutor,1,,,
,,,"how are we? My watch, your eyes says Test day. But how you? How do you guys feel going into the test?",2023-03-05T18:02:20.280-08:00,2023-03-05T18:02:26.090-08:00,tutor,tutor,1,,,
,,,You just set it in chat. If you want,2023-03-05T18:02:29.740-08:00,2023-03-05T18:02:31.740-08:00,tutor,tutor,1,,,
,,,feel more paired.,2023-03-05T18:02:34.130-08:00,2023-03-05T18:02:35.690-08:00,tutor,tutor,1,,,
,,,Feel better. Nice?,2023-03-05T18:02:43.340-08:00,2023-03-05T18:02:44.950-08:00,tutor,tutor,1,,,
,,,"Okay? Well, here.",2023-03-05T18:02:47.100-08:00,2023-03-05T18:02:48.730-08:00,tutor,tutor,1,,,
,,,"Well, these are some general tips on what you should do that for the test. You should get a good night's sleep.",2023-03-05T18:02:49.100-08:00,2023-03-05T18:02:54.330-08:00,tutor,tutor,1,,,
,,,"Yeah, it could breakfast. Good food is a good brain and get the to side early in case there's any",2023-03-05T18:02:54.690-08:00,2023-03-05T18:03:00.310-08:00,tutor,tutor,1,,,
,,,issues that happen. But,2023-03-05T18:03:00.760-08:00,2023-03-05T18:03:03.640-08:00,tutor,tutor,1,,,
,,,"birthday. We're gonna have a 30 min practice test with the calculator. and we have a 30 min session where we review that, and then we're gonna have a nice 10 min session at the end, where we do some wrap up and some encouragement. So",2023-03-05T18:03:04.170-08:00,2023-03-05T18:03:17.410-08:00,tutor,tutor,1,,,
,,,let me. Yeah.,2023-03-05T18:03:18.750-08:00,2023-03-05T18:03:21.410-08:00,tutor,tutor,1,,,
,,,"First of all, it's. Pull up the timer",2023-03-05T18:03:22.720-08:00,2023-03-05T18:03:24.450-08:00,tutor,tutor,1,,,
,,,and timers up.,2023-03-05T18:03:31.710-08:00,2023-03-05T18:03:33.360-08:00,tutor,tutor,1,,,
,,,I will start to test as a way I should go this a different way,2023-03-05T18:03:35.300-08:00,2023-03-05T18:03:40.420-08:00,tutor,tutor,1,,,
,,,whatever.,2023-03-05T18:03:42.080-08:00,2023-03-05T18:03:42.880-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-05T18:03:46.110-08:00,2023-03-05T18:03:46.880-08:00,tutor,tutor,1,,,
,,,"it's been started as always. If you have any questions message, green tat. But you guys will have 30 min.",2023-03-05T18:03:48.230-08:00,2023-03-05T18:03:53.890-08:00,tutor,tutor,1,,,
,,,You can start now.,2023-03-05T18:03:54.250-08:00,2023-03-05T18:03:55.650-08:00,tutor,tutor,1,,,
,,,"Oh, since everyone isn't done yet, i'm be waiting a little bit longer. Just we get all the responses in",2023-03-05T18:34:42.530-08:00,2023-03-05T18:34:46.790-08:00,tutor,tutor,1,,,
,,,"[STUDENT_3], Are you there?",2023-03-05T18:40:15.700-08:00,2023-03-05T18:40:17.390-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-05T18:40:18.540-08:00,2023-03-05T18:40:19.320-08:00,student,student A,1,,,
,,,Are you there? [STUDENT_3]?,2023-03-05T18:40:42.800-08:00,2023-03-05T18:40:44.080-08:00,tutor,tutor,1,,,
,,,"Oh, yeah, I missed her.",2023-03-05T18:40:44.970-08:00,2023-03-05T18:40:46.370-08:00,student,student A,1,,,
,,,"Okay? Well, we're gonna start reviewing. Oh, let me up some questions.",2023-03-05T18:40:59.270-08:00,2023-03-05T18:41:05.080-08:00,tutor,tutor,1,,,
,,,Share my screen.,2023-03-05T18:41:13.480-08:00,2023-03-05T18:41:14.780-08:00,tutor,tutor,1,,,
,,,Okay. So leave someone asked over some questions specifically. So,2023-03-05T18:41:20.870-08:00,2023-03-05T18:41:26.170-08:00,tutor,tutor,1,,,
,,,question 17 to one side,2023-03-05T18:41:27.350-08:00,2023-03-05T18:41:29.880-08:00,tutor,tutor,1,,,
,35.0,1.0,35. So let's have a look.,2023-03-05T18:41:34.090-08:00,2023-03-05T18:41:36.150-08:00,tutor,tutor,2,,35.0,
,,,"So in the equation above and your constants, if the equation has infinitely many solutions for X. What is the value of the",2023-03-05T18:41:45.350-08:00,2023-03-05T18:41:52.530-08:00,tutor,tutor,2,,35.0,
,,,okay?,2023-03-05T18:41:55.560-08:00,2023-03-05T18:41:56.500-08:00,tutor,tutor,2,,35.0,
,,,This,2023-03-05T18:42:10.760-08:00,2023-03-05T18:42:11.370-08:00,tutor,tutor,2,,35.0,
,,,"very sorry, guys. 1 s.",2023-03-05T18:42:18.600-08:00,2023-03-05T18:42:21.320-08:00,tutor,tutor,2,,35.0,
,,,"Okay. Yeah, Sorry.",2023-03-05T18:42:55.790-08:00,2023-03-05T18:42:57.600-08:00,tutor,tutor,2,,35.0,
,,,"Exactly. We're just going over some of the test questions. So first step, let's. It should be this out. We have a x plus a",2023-03-05T18:43:02.480-08:00,2023-03-05T18:43:12.340-08:00,tutor,tutor,2,,35.0,
,,,B. It's gonna equal to 4 x plus 10.,2023-03-05T18:43:13.040-08:00,2023-03-05T18:43:18.040-08:00,tutor,tutor,2,,35.0,
,,,"So you want to find what a value or my my, what the value we should use it. This has infinitely many solutions, so you don't know a B is, but we know that a. X and Fourx has to match, and so the ones I have. X.",2023-03-05T18:43:19.310-08:00,2023-03-05T18:43:32.140-08:00,tutor,tutor,2,,35.0,
,,,Therefore a is equal to 4 right.,2023-03-05T18:43:32.310-08:00,2023-03-05T18:43:35.040-08:00,tutor,tutor,2,,35.0,
,,,"I've no age to the 4, then this term that becomes 4 B. It equals 10. Now we divide both sides by 4. You get B equals",2023-03-05T18:43:36.080-08:00,2023-03-05T18:43:44.930-08:00,tutor,tutor,2,,35.0,
,,,5 over. 2. Okay. Any questions on this one,2023-03-05T18:43:45.950-08:00,2023-03-05T18:43:50.500-08:00,tutor,tutor,2,,35.0,
,,,and not,2023-03-05T18:44:03.830-08:00,2023-03-05T18:44:05.280-08:00,tutor,tutor,2,,35.0,
,28.0,1.0,question 28.,2023-03-05T18:44:05.320-08:00,2023-03-05T18:44:06.850-08:00,tutor,tutor,3,,28.0,
,,,"The function F is defined above. If K. Is a positive integer, which is the line, represent the graph of Y. Equals F. Of X in the Xy plane",2023-03-05T18:44:35.300-08:00,2023-03-05T18:44:42.150-08:00,tutor,tutor,3,,28.0,
,,,right tonight? K. Asked you a positive integer.,2023-03-05T18:44:46.270-08:00,2023-03-05T18:44:49.500-08:00,tutor,tutor,3,,28.0,
,,,So let's see.,2023-03-05T18:44:50.050-08:00,2023-03-05T18:44:52.020-08:00,tutor,tutor,3,,28.0,
,,,Okay. So,2023-03-05T18:44:52.150-08:00,2023-03-05T18:44:53.220-08:00,tutor,tutor,3,,28.0,
,,,"we know. First of all, we're gonna have a 0 at negative 3. So let's have a look down here",2023-03-05T18:44:54.420-08:00,2023-03-05T18:45:00.700-08:00,tutor,tutor,3,,28.0,
,,,so we know it can be.,2023-03-05T18:45:03.000-08:00,2023-03-05T18:45:05.230-08:00,tutor,tutor,3,,28.0,
,,,Can't we see? So our only other options are D and a right.,2023-03-05T18:45:06.810-08:00,2023-03-05T18:45:14.220-08:00,tutor,tutor,3,,28.0,
,,,"so we can't be V or c. Since our intercepts are in the wrong place. So let's look at a and D, so of y equals x plus 3",2023-03-05T18:45:21.660-08:00,2023-03-05T18:45:35.440-08:00,tutor,tutor,3,,28.0,
,,,x minus K.,2023-03-05T18:45:36.760-08:00,2023-03-05T18:45:39.800-08:00,tutor,tutor,3,,28.0,
,,,Now the only difference between these 2 graphs is what direction it opens in. So this means that this graph is that wins down. Some have a negative. X squared,2023-03-05T18:45:40.680-08:00,2023-03-05T18:45:48.750-08:00,tutor,tutor,3,,28.0,
,,,"this craft since it opens up, it's gonna have a positive expert. And when you do out this, you see that your first term is going to just be positive. X squared This one's me d",2023-03-05T18:45:49.360-08:00,2023-03-05T18:45:59.200-08:00,tutor,tutor,3,,28.0,
,,,all good on this one.,2023-03-05T18:46:00.300-08:00,2023-03-05T18:46:01.440-08:00,tutor,tutor,3,,28.0,
,,,Okay.,2023-03-05T18:46:12.480-08:00,2023-03-05T18:46:13.240-08:00,tutor,tutor,3,,28.0,
,,,it on,2023-03-05T18:46:14.940-08:00,2023-03-05T18:46:15.840-08:00,tutor,tutor,3,,28.0,
,29.0,1.0,question 11,2023-03-05T18:46:17.840-08:00,2023-03-05T18:46:20.130-08:00,tutor,tutor,4,,29.0,
,,,for me. Both can be used to approximate the height in inches of an adult male based on the length l in inches of its femur.,2023-03-05T18:46:25.170-08:00,2023-03-05T18:46:31.780-08:00,tutor,tutor,4,,29.0,
,,,What is the correct? What is the meeting of 1.8 in this context.,2023-03-05T18:46:34.250-08:00,2023-03-05T18:46:40.010-08:00,tutor,tutor,4,,29.0,
,,,Okay.,2023-03-05T18:46:41.050-08:00,2023-03-05T18:46:41.980-08:00,tutor,tutor,4,,29.0,
,,,that's how we look.,2023-03-05T18:46:44.000-08:00,2023-03-05T18:46:45.710-08:00,tutor,tutor,4,,29.0,
,,,"So the approximation of your length is in inches, for matter, with the height of",2023-03-05T18:46:45.860-08:00,2023-03-05T18:46:50.310-08:00,tutor,tutor,4,,29.0,
,,,with the height of white. What?,2023-03-05T18:46:51.010-08:00,2023-03-05T18:46:53.280-08:00,tutor,tutor,4,,29.0,
,,,So it's? Not this one.,2023-03-05T18:46:56.090-08:00,2023-03-05T18:46:58.020-08:00,tutor,tutor,4,,29.0,
,,,"because this 3, 2 point. One is your initial like. If you have no length, and this is going to be. How tall you are, I suppose, but no.",2023-03-05T18:46:58.670-08:00,2023-03-05T18:47:07.450-08:00,tutor,tutor,4,,29.0,
,,,The approximate increase in immense femur length and inches for each of the each. Increase it through 32 by all. One again. No. it's not what this is saying.,2023-03-05T18:47:07.910-08:00,2023-03-05T18:47:16.800-08:00,tutor,tutor,4,,29.0,
,,,"Oh, yeah. So these 2 are basically the same, except this is height, and this is length. That variable. Being used here is length. So it's not gonna be. See? It's gonna be d for this one. All right. We all got on this one.",2023-03-05T18:47:22.070-08:00,2023-03-05T18:47:34.330-08:00,tutor,tutor,4,,29.0,
,,,Okay.,2023-03-05T18:47:43.020-08:00,2023-03-05T18:47:43.790-08:00,tutor,tutor,4,,29.0,
,30.0,1.0,"now, question 12, so that should be this one as well.",2023-03-05T18:47:45.430-08:00,2023-03-05T18:47:48.880-08:00,tutor,tutor,5,,30.0,
,,,and the quadrilateral abcd above AD. Is,2023-03-05T18:47:54.140-08:00,2023-03-05T18:48:01.670-08:00,tutor,tutor,5,,30.0,
,,,parallel to B. C.,2023-03-05T18:48:02.150-08:00,2023-03-05T18:48:03.950-08:00,tutor,tutor,5,,30.0,
,,,"And CD. Is one. Half a B was a measure of angle. B: that's this hand over here. CD is one half a B, right? So this is going to be",2023-03-05T18:48:04.290-08:00,2023-03-05T18:48:14.540-08:00,tutor,tutor,5,,30.0,
,,,okay. Okay. X: this can be one half X:,2023-03-05T18:48:15.340-08:00,2023-03-05T18:48:20.030-08:00,tutor,tutor,5,,30.0,
,,,"Yeah, a. D. And B. C are.",2023-03-05T18:48:23.160-08:00,2023-03-05T18:48:25.670-08:00,tutor,tutor,5,,30.0,
,,,Hello.,2023-03-05T18:48:27.040-08:00,2023-03-05T18:48:28.370-08:00,tutor,tutor,5,,30.0,
,,,"Yeah, okay.",2023-03-05T18:48:30.270-08:00,2023-03-05T18:48:31.530-08:00,tutor,tutor,5,,30.0,
,,,I,2023-03-05T18:48:32.870-08:00,2023-03-05T18:48:34.090-08:00,tutor,tutor,5,,30.0,
,,,look.,2023-03-05T18:48:38.060-08:00,2023-03-05T18:48:38.770-08:00,tutor,tutor,5,,30.0,
,,,"Yeah, make sense. Okay. So right now, what's that?",2023-03-05T18:49:04.940-08:00,2023-03-05T18:49:08.830-08:00,tutor,tutor,5,,30.0,
