problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490 (B1),,1.0,"Hello, everybody!",2023-03-01T12:02:19.650-08:00,2023-03-01T12:02:20.790-08:00,tutor,tutor,1,,,
,,,My voice sounds really weird.,2023-03-01T12:02:23.690-08:00,2023-03-01T12:02:25.300-08:00,tutor,tutor,1,,,
,,,because i'm losing it because i'm getting a little sick.,2023-03-01T12:02:25.700-08:00,2023-03-01T12:02:28.050-08:00,tutor,tutor,1,,,
,,,But i'll live hopefully,2023-03-01T12:02:28.480-08:00,2023-03-01T12:02:31.320-08:00,tutor,tutor,1,,,
,,,before we begin today. I would like to ask,2023-03-01T12:02:31.840-08:00,2023-03-01T12:02:35.840-08:00,tutor,tutor,1,,,
,,,all of you all. So please turn your camera on,2023-03-01T12:02:36.070-08:00,2023-03-01T12:02:39.060-08:00,tutor,tutor,1,,,
,,,unless it's broken.,2023-03-01T12:02:39.130-08:00,2023-03-01T12:02:40.480-08:00,tutor,tutor,1,,,
,,,"If your camera is not on, you're going to assume it's broken.",2023-03-01T12:02:40.790-08:00,2023-03-01T12:02:44.470-08:00,tutor,tutor,1,,,
,,,so turn it on. If it's not. that would be fantastic.,2023-03-01T12:02:46.560-08:00,2023-03-01T12:02:50.540-08:00,tutor,tutor,1,,,
,,,Aiden.,2023-03-01T12:02:51.040-08:00,2023-03-01T12:02:53.620-08:00,tutor,tutor,1,,,
,,,please turn your cameras on.,2023-03-01T12:02:54.230-08:00,2023-03-01T12:02:55.670-08:00,tutor,tutor,1,,,
,,,Thank you,2023-03-01T12:02:56.700-08:00,2023-03-01T12:02:57.810-08:00,tutor,tutor,1,,,
,,,all right. So in that case. Let's begin,2023-03-01T12:02:59.550-08:00,2023-03-01T12:03:06.130-08:00,tutor,tutor,1,,,
,,,all right. Can you all see my screen,2023-03-01T12:03:10.890-08:00,2023-03-01T12:03:12.740-08:00,tutor,tutor,1,,,
,,,fantastic?,2023-03-01T12:03:14.280-08:00,2023-03-01T12:03:15.970-08:00,tutor,tutor,1,,,
,,,So we come to our daily dose of,2023-03-01T12:03:16.740-08:00,2023-03-01T12:03:20.120-08:00,tutor,tutor,1,,,
,,,schoolhouse provide slides.,2023-03-01T12:03:20.130-08:00,2023-03-01T12:03:22.130-08:00,tutor,tutor,1,,,
,,,And here's our question.,2023-03-01T12:03:23.600-08:00,2023-03-01T12:03:26.340-08:00,tutor,tutor,1,,,
,,,What is the biggest challenge you faced. and how did you overcome it? So you guys either answer this question. make up a question and answer it.,2023-03-01T12:03:27.100-08:00,2023-03-01T12:03:37.810-08:00,tutor,tutor,1,,,
,,,or,2023-03-01T12:03:38.500-08:00,2023-03-01T12:03:39.610-08:00,tutor,tutor,1,,,
,,,"tell a riddle, or I will tell you a riddle. You get to choose.",2023-03-01T12:03:40.590-08:00,2023-03-01T12:03:44.390-08:00,tutor,tutor,1,,,
,,,All right. [STUDENT_1] votes for riddle.,2023-03-01T12:04:01.060-08:00,2023-03-01T12:04:03.300-08:00,tutor,tutor,1,,,
,,,because no one else is turning on your mic. I'm gonna assume that. That means you all want a brittle.,2023-03-01T12:04:04.320-08:00,2023-03-01T12:04:11.000-08:00,tutor,tutor,1,,,
,,,"I don't know how commonly while this riddle is known. But if you know the answer, because you've heard it before Don't spit it out.",2023-03-01T12:04:12.090-08:00,2023-03-01T12:04:19.360-08:00,tutor,tutor,1,,,
,,,But let's commence with the riddle all right.,2023-03-01T12:04:21.480-08:00,2023-03-01T12:04:25.490-08:00,tutor,tutor,1,,,
,,,"because I was going to St. Dives. I saw a man 7 once. Each wife had 7 sacks. Each sack had 7 cats. Each cat had 7 kits, kit's, cat sacks, wives. How many were going to St. Dives?",2023-03-01T12:04:27.200-08:00,2023-03-01T12:04:40.070-08:00,tutor,tutor,1,,,
,,,All right. Did you all get that?,2023-03-01T12:04:50.330-08:00,2023-03-01T12:04:51.950-08:00,tutor,tutor,1,,,
,,,So? Does anyone know the answer?,2023-03-01T12:04:55.080-08:00,2023-03-01T12:04:57.530-08:00,tutor,tutor,1,,,
,,,"I've heard it before, but I don't remember the answer.",2023-03-01T12:05:02.880-08:00,2023-03-01T12:05:05.970-08:00,student,student A,1,,,
,,,It's fair.,2023-03-01T12:05:09.130-08:00,2023-03-01T12:05:10.010-08:00,tutor,tutor,1,,,
,,,"I I have her to port, and I also know the answer.",2023-03-01T12:05:13.060-08:00,2023-03-01T12:05:16.100-08:00,student,student B,1,,,
,,,Oh. needs that from real skills.,2023-03-01T12:05:17.950-08:00,2023-03-01T12:05:20.980-08:00,tutor,tutor,1,,,
,,,Figure out a next one for next course it's harder.,2023-03-01T12:05:23.600-08:00,2023-03-01T12:05:27.100-08:00,tutor,tutor,1,,,
,,,and if it comes from the habit. Don't tell anyone. Okay.,2023-03-01T12:05:27.660-08:00,2023-03-01T12:05:30.620-08:00,tutor,tutor,1,,,
,,,All right.,2023-03-01T12:05:31.470-08:00,2023-03-01T12:05:32.310-08:00,tutor,tutor,1,,,
,,,"You can have one hint for the riddle, and the hint is that the answer has nothing to do with math. I mean. Yes, it's a numerical value, but you won't have to do any math to figure out the answer.",2023-03-01T12:05:33.790-08:00,2023-03-01T12:05:44.450-08:00,tutor,tutor,1,,,
,,,You can guess. You put a random number in the chat. And guess.,2023-03-01T12:05:52.290-08:00,2023-03-01T12:05:55.890-08:00,tutor,tutor,1,,,
,,,"unless you've all heard this riddle, and in that case that's on me that's by bad.",2023-03-01T12:05:56.940-08:00,2023-03-01T12:06:01.720-08:00,tutor,tutor,1,,,
,,,I need better riddles.,2023-03-01T12:06:02.160-08:00,2023-03-01T12:06:04.050-08:00,tutor,tutor,1,,,
,,,Can't think of any right now.,2023-03-01T12:06:06.960-08:00,2023-03-01T12:06:08.410-08:00,tutor,tutor,1,,,
,,,All right.,2023-03-01T12:06:10.640-08:00,2023-03-01T12:06:11.430-08:00,tutor,tutor,1,,,
,,,"Well, I'm going to assume that none of you know the answer. You've all heard this riddle before, and you're not telling me. That's annoying, all right.",2023-03-01T12:06:11.960-08:00,2023-03-01T12:06:19.790-08:00,tutor,tutor,1,,,
,,,"The answer is one because the riddle says as I was going to same dives I saw, and then it lists a Gazillion people.",2023-03-01T12:06:20.120-08:00,2023-03-01T12:06:27.010-08:00,tutor,tutor,1,,,
,,,"So that is the answer. That is the answer to the riddle. It is is one person, it is you.",2023-03-01T12:06:27.560-08:00,2023-03-01T12:06:34.800-08:00,tutor,tutor,1,,,
,,,You're the person in the middle. All right? Fantastic.,2023-03-01T12:06:35.160-08:00,2023-03-01T12:06:38.190-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-01T12:06:40.130-08:00,2023-03-01T12:06:41.240-08:00,tutor,tutor,1,,,
,,,"let's move on. This is our schedule for today. For some reason they have decided to change up the schedule on us. So it's not targeted practice. First, it is a review test first.",2023-03-01T12:06:41.670-08:00,2023-03-01T12:06:54.910-08:00,tutor,tutor,1,,,
,,,So we're just going. We're going to review a test,2023-03-01T12:06:55.000-08:00,2023-03-01T12:06:58.100-08:00,tutor,tutor,1,,,
,,,and then we are going,2023-03-01T12:06:58.190-08:00,2023-03-01T12:07:00.220-08:00,tutor,tutor,1,,,
,,,to,2023-03-01T12:07:00.430-08:00,2023-03-01T12:07:01.660-08:00,tutor,tutor,1,,,
,,,review a practice test.,2023-03-01T12:07:02.580-08:00,2023-03-01T12:07:05.570-08:00,tutor,tutor,1,,,
,,,and then we're going to do targeted group practice.,2023-03-01T12:07:05.700-08:00,2023-03-01T12:07:10.990-08:00,tutor,tutor,1,,,
,,,All right. You,2023-03-01T12:07:12.470-08:00,2023-03-01T12:07:14.010-08:00,tutor,tutor,1,,,
,,,so,2023-03-01T12:07:15.030-08:00,2023-03-01T12:07:16.070-08:00,tutor,tutor,1,,,
,,,give me,2023-03-01T12:07:17.260-08:00,2023-03-01T12:07:18.710-08:00,tutor,tutor,1,,,
