problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485 (A1),,1.0,So I guess we'll give the others,2023-02-11T10:00:28.190-08:00,2023-02-11T10:00:30.000-08:00,tutor,tutor,1,,,
,,,a couple of minutes to join,2023-02-11T10:00:30.210-08:00,2023-02-11T10:00:32.020-08:00,tutor,tutor,1,,,
,,,There's only 2 0f you.,2023-02-11T10:00:33.480-08:00,2023-02-11T10:00:34.850-08:00,tutor,tutor,1,,,
,,,"and if you guys want to turn your cameras, you can. You don't want to.",2023-02-11T10:01:10.440-08:00,2023-02-11T10:01:13.560-08:00,tutor,tutor,1,,,
,,,It's not like it.,2023-02-11T10:01:13.840-08:00,2023-02-11T10:01:14.470-08:00,tutor,tutor,1,,,
,,,"Hi, Can you hear me? I want to make sure everything is working.",2023-02-11T10:02:30.320-08:00,2023-02-11T10:02:32.920-08:00,student,student A,1,,,
,,,"Yeah, I can hear you.",2023-02-11T10:02:35.780-08:00,2023-02-11T10:02:36.730-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-11T10:02:37.010-08:00,2023-02-11T10:02:37.640-08:00,student,student A,1,,,
,,,I think my wife has a little back. I'm like,2023-02-11T10:02:40.510-08:00,2023-02-11T10:02:43.330-08:00,student,student A,1,,,
,,,"in the middle of nowhere, so we'll see",2023-02-11T10:02:44.150-08:00,2023-02-11T10:02:47.220-08:00,student,student A,1,,,
,,,it's fine if you need to turn off your camera because it takes up to much bandwidth. That's fine.,2023-02-11T10:02:47.700-08:00,2023-02-11T10:02:52.480-08:00,tutor,tutor,1,,,
,,,"all right, thank you.",2023-02-11T10:02:53.060-08:00,2023-02-11T10:02:54.270-08:00,student,student A,1,,,
,,,So I guess we'll get started. I don't know n0 0ne's.,2023-02-11T10:02:56.870-08:00,2023-02-11T10:03:00.180-08:00,tutor,tutor,1,,,
,,,"It's only 30, but I guess we can start",2023-02-11T10:03:00.330-08:00,2023-02-11T10:03:02.840-08:00,tutor,tutor,1,,,
,,,so we'll kinda just start with,2023-02-11T10:03:03.150-08:00,2023-02-11T10:03:04.510-08:00,tutor,tutor,1,,,
,,,some like getting to know you questions like,2023-02-11T10:03:04.570-08:00,2023-02-11T10:03:06.780-08:00,tutor,tutor,1,,,
,,,"just there was like your name where you're from, and",2023-02-11T10:03:07.320-08:00,2023-02-11T10:03:10.930-08:00,tutor,tutor,1,,,
,,,what you're kind of hoping from. I'm [STUDENT_3]. i'm from Massachusetts and i'm kind of just here to try to help you guys,2023-02-11T10:03:11.010-08:00,2023-02-11T10:03:20.520-08:00,tutor,tutor,1,,,
,,,if someone wants to,2023-02-11T10:03:22.270-08:00,2023-02-11T10:03:23.480-08:00,tutor,tutor,1,,,
