problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485 (A1),,1.0,Hmm.,2023-02-12T12:45:35.100-08:00,2023-02-12T12:45:35.730-08:00,tutor,tutor,1,,,
,,,"hey, [STUDENT_2]. when the session starts, i'm gonna ask you to turn your camera on if you want to turn it on right now, if you want t0 0r you can wait till that time.",2023-02-12T12:48:24.050-08:00,2023-02-12T12:48:34.060-08:00,tutor,tutor,1,,,
,,,"Hey? [STUDENT_5]. when the meeting starts, i'm gonna ask you to turn your camera on. So if you want to do it now, you can, or you can wait till then.",2023-02-12T12:50:26.790-08:00,2023-02-12T12:50:34.640-08:00,tutor,tutor,1,,,
,,,I'll go ahead. And,2023-02-12T12:50:35.630-08:00,2023-02-12T12:50:37.000-08:00,student,student A,1,,,
,,,yeah.,2023-02-12T12:50:37.810-08:00,2023-02-12T12:50:38.380-08:00,tutor,tutor,1,,,
,,,"is the camera working, or am I just looking at my desk right now",2023-02-12T12:50:56.780-08:00,2023-02-12T12:51:00.280-08:00,student,student B,1,,,
,,,I can see your camera.,2023-02-12T12:51:04.090-08:00,2023-02-12T12:51:05.950-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-12T12:51:07.300-08:00,2023-02-12T12:51:08.140-08:00,student,student B,1,,,
,,,"I see some of you just joined. I think [STUDENT_8] [STUDENT_9] is coming, and shante.",2023-02-12T12:52:23.300-08:00,2023-02-12T12:52:30.350-08:00,tutor,tutor,1,,,
,,,"I already told [STUDENT_2] and [STUDENT_5]. But before the meeting starts, or just when the meeting starts, i'm gonna ask you guys to turn on your camera so you can either turn him on now, or you can turn him on",2023-02-12T12:52:30.710-08:00,2023-02-12T12:52:43.350-08:00,tutor,tutor,1,,,
,,,when the session starts.,2023-02-12T12:52:43.380-08:00,2023-02-12T12:52:44.960-08:00,tutor,tutor,1,,,
,,,Also make sure everybody has a paper and a pencil or some writing utensil for today.,2023-02-12T13:03:03.830-08:00,2023-02-12T13:03:09.950-08:00,tutor,tutor,1,,,
,,,"so we're about 5 min in, so I think we can start.",2023-02-12T13:05:07.850-08:00,2023-02-12T13:05:13.660-08:00,tutor,tutor,1,,,
,,,"and if learners just keep in coming, then they can just catch on.",2023-02-12T13:05:13.950-08:00,2023-02-12T13:05:18.440-08:00,tutor,tutor,1,,,
,,,So,2023-02-12T13:05:18.900-08:00,2023-02-12T13:05:20.500-08:00,tutor,tutor,1,,,
,,,"welcome to your sat boot camp here at School House. This is the first, the first session of about 8.",2023-02-12T13:05:20.590-08:00,2023-02-12T13:05:28.660-08:00,tutor,tutor,1,,,
,,,They will be working through sat math to help you guys get better scores on the sat.,2023-02-12T13:05:28.820-08:00,2023-02-12T13:05:36.600-08:00,tutor,tutor,1,,,
,,,So,2023-02-12T13:05:39.260-08:00,2023-02-12T13:05:40.200-08:00,tutor,tutor,1,,,
,,,"So I I want everyone to just look at this kind of template, and",2023-02-12T13:05:41.160-08:00,2023-02-12T13:05:48.820-08:00,tutor,tutor,1,,,
,,,"either you guys, will. You guys can volunteer to answer these 3 questions, or I'll just cold. Call you guys",2023-02-12T13:05:48.980-08:00,2023-02-12T13:05:56.110-08:00,tutor,tutor,1,,,
,,,"as I choose, if nobody is answering. So",2023-02-12T13:05:57.990-08:00,2023-02-12T13:06:03.720-08:00,tutor,tutor,1,,,
,,,if anybody is willing to go first.,2023-02-12T13:06:04.320-08:00,2023-02-12T13:06:07.570-08:00,tutor,tutor,1,,,
,,,They can go ahead and answer.,2023-02-12T13:06:08.200-08:00,2023-02-12T13:06:10.730-08:00,tutor,tutor,1,,,
,,,"I'm teaching here and my goal for this boot camp is that you guys will learn something from it, and hopefully use it to get better scores on the sat, and maybe release some anxiety.",2023-02-12T13:06:21.690-08:00,2023-02-12T13:06:32.780-08:00,tutor,tutor,1,,,
,,,All right. Anybody else want to answer these questions.,2023-02-12T13:06:33.680-08:00,2023-02-12T13:06:37.500-08:00,tutor,tutor,1,,,
,,,I can go next.,2023-02-12T13:06:40.420-08:00,2023-02-12T13:06:41.630-08:00,student,student C,1,,,
,,,"All right, go ahead.",2023-02-12T13:06:41.770-08:00,2023-02-12T13:06:43.320-08:00,tutor,tutor,1,,,
,,,"So my name is [STUDENT_10]. I'm. From Delaware, and my hope for the",2023-02-12T13:06:43.800-08:00,2023-02-12T13:06:52.740-08:00,student,student C,1,,,
,,,to become successful in it.,2023-02-12T13:06:52.810-08:00,2023-02-12T13:06:55.020-08:00,student,student C,1,,,
,,,All right. Great [STUDENT_10]. Anybody else.,2023-02-12T13:06:56.000-08:00,2023-02-12T13:06:59.050-08:00,tutor,tutor,1,,,
,,,"Hi! My name is [STUDENT_5], I'm from California, and my hope for",2023-02-12T13:07:02.130-08:00,2023-02-12T13:07:09.420-08:00,student,student A,1,,,
,,,all right.,2023-02-12T13:07:10.450-08:00,2023-02-12T13:07:11.240-08:00,tutor,tutor,1,,,
