problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491 (B2),,1.0,"Hi, everybody! We're ready to get started shortly, but",2023-03-03T14:59:12.760-08:00,2023-03-03T14:59:17.820-08:00,tutor,tutor,1,,,
,,,"for today's session we we are going to take a practice test that requires a calculator. So if you don't have one already nearby, I would recommend you. Go and go wrap it real quick before we get started.",2023-03-03T14:59:17.920-08:00,2023-03-03T14:59:31.070-08:00,tutor,tutor,1,,,
,,,"Okay, so we're gonna go ahead and get started.",2023-03-03T15:01:16.910-08:00,2023-03-03T15:01:21.300-08:00,tutor,tutor,1,,,
,,,So welcome to our second class session of this boot camp. I can't believe it's been 3 weeks already.,2023-03-03T15:01:21.740-08:00,2023-03-03T15:01:29.980-08:00,tutor,tutor,1,,,
,,,"but for our walk, our welcome question today would be.",2023-03-03T15:01:30.500-08:00,2023-03-03T15:01:34.870-08:00,tutor,tutor,1,,,
,,,"It is going to be, what is a topic or interest that deeply",2023-03-03T15:01:35.840-08:00,2023-03-03T15:01:39.940-08:00,tutor,tutor,1,,,
,,,interest you? What is the subject or topic,2023-03-03T15:01:40.200-08:00,2023-03-03T15:01:42.800-08:00,tutor,tutor,1,,,
,,,that deeply interest you. and then we're gonna go around and share.,2023-03-03T15:01:43.190-08:00,2023-03-03T15:01:47.990-08:00,tutor,tutor,1,,,
,,,So would anyone like to volunteer to go first,2023-03-03T15:01:48.250-08:00,2023-03-03T15:01:51.910-08:00,tutor,tutor,1,,,
,,,for this question?,2023-03-03T15:01:55.350-08:00,2023-03-03T15:01:56.780-08:00,tutor,tutor,1,,,
,,,I guess the way that,2023-03-03T15:02:06.510-08:00,2023-03-03T15:02:10.300-08:00,student,student A,1,,,
,,,"Yeah, let me",2023-03-03T15:02:10.880-08:00,2023-03-03T15:02:11.990-08:00,student,student A,1,,,
,,,"are educated, I guess. Topic education.",2023-03-03T15:02:12.280-08:00,2023-03-03T15:02:15.920-08:00,student,student A,1,,,
,,,"Oh, that's interesting.",2023-03-03T15:02:18.119-08:00,2023-03-03T15:02:20.250-08:00,student,student A,1,,,
,,,"Oh, yeah, If you don't feel comfortable sharing out loud, you can always",2023-03-03T15:02:20.760-08:00,2023-03-03T15:02:24.380-08:00,tutor,tutor,1,,,
,,,type it out in the chat.,2023-03-03T15:02:24.520-08:00,2023-03-03T15:02:26.400-08:00,tutor,tutor,1,,,
,,,Does anyone else medicine? Okay. just like medicine in general?,2023-03-03T15:02:31.089-08:00,2023-03-03T15:02:39.050-08:00,tutor,tutor,1,,,
,,,Or can it be anything?,2023-03-03T15:02:40.340-08:00,2023-03-03T15:02:41.650-08:00,student,student B,1,,,
,,,"Yeah, it can be anything",2023-03-03T15:02:42.880-08:00,2023-03-03T15:02:44.620-08:00,tutor,tutor,1,,,
,,,who shares his manifestation.,2023-03-03T15:02:49.650-08:00,2023-03-03T15:02:52.650-08:00,tutor,tutor,1,,,
,,,I believe you can manifest almost anything. If you have a positive mindset.,2023-03-03T15:02:52.970-08:00,2023-03-03T15:02:56.340-08:00,tutor,tutor,1,,,
,,,I I would agree to actually,2023-03-03T15:02:56.620-08:00,2023-03-03T15:02:59.100-08:00,tutor,tutor,1,,,
,,,that's a great,2023-03-03T15:03:02.710-08:00,2023-03-03T15:03:03.810-08:00,tutor,tutor,1,,,
,,,subject or topic.,2023-03-03T15:03:04.040-08:00,2023-03-03T15:03:06.160-08:00,tutor,tutor,1,,,
,,,Is anyone interested in like astrology like,2023-03-03T15:03:06.630-08:00,2023-03-03T15:03:10.490-08:00,tutor,tutor,1,,,
,,,"i'll probably say, I was saying, i'm thinking like I would say, any sort of unit on hip, hop, music, or hip hop.",2023-03-03T15:03:12.860-08:00,2023-03-03T15:03:18.760-08:00,student,student B,1,,,
,,,Hmm. Nice.,2023-03-03T15:03:19.470-08:00,2023-03-03T15:03:22.350-08:00,tutor,tutor,1,,,
,,,"Yeah, I would say, I also listen to a lot of hip, hop, music.",2023-03-03T15:03:22.860-08:00,2023-03-03T15:03:27.380-08:00,tutor,tutor,1,,,
,,,Anyone else have anything they'd like to share before we move on,2023-03-03T15:03:29.800-08:00,2023-03-03T15:03:34.770-08:00,tutor,tutor,1,,,
,,,dance. That's fun. I wish I could dance.,2023-03-03T15:03:37.520-08:00,2023-03-03T15:03:41.120-08:00,tutor,tutor,1,,,
,,,I'm not very good on my feet.,2023-03-03T15:03:41.630-08:00,2023-03-03T15:03:44.670-08:00,tutor,tutor,1,,,
,,,Last chance for anyone who wants to put anything in the chat.,2023-03-03T15:03:48.250-08:00,2023-03-03T15:03:51.900-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-03T15:03:59.440-08:00,2023-03-03T15:04:00.580-08:00,tutor,tutor,1,,,
,,,So,2023-03-03T15:04:02.390-08:00,2023-03-03T15:04:03.830-08:00,tutor,tutor,1,,,
,,,"Basically, If you guys are interested at all",2023-03-03T15:04:03.840-08:00,2023-03-03T15:04:07.540-08:00,tutor,tutor,1,,,
,,,"in tutoring, or if you need like volunteer hours, you can actually become a tutor on schoolhouse.",2023-03-03T15:04:07.800-08:00,2023-03-03T15:04:15.570-08:00,tutor,tutor,1,,,
,,,"It takes around like 2 h to get certified and like, do a training.",2023-03-03T15:04:15.630-08:00,2023-03-03T15:04:22.970-08:00,tutor,tutor,1,,,
,,,"And then basically you can like, create your own schedule and like host sessions",2023-03-03T15:04:24.460-08:00,2023-03-03T15:04:28.490-08:00,tutor,tutor,1,,,
,,,"whenever you'd like. And this can be in any subject such as like, sat prep like math. There's biology like chemistry.",2023-03-03T15:04:28.550-08:00,2023-03-03T15:04:36.680-08:00,tutor,tutor,1,,,
,,,"like literally any kind of subject that you want to like, tutor, and you can.",2023-03-03T15:04:36.910-08:00,2023-03-03T15:04:42.810-08:00,tutor,tutor,1,,,
,,,"and it's a really great way to give back to the community and help other students. And you can also get like community service hours for, like high school and college. And it looks good on, resumes",2023-03-03T15:04:42.830-08:00,2023-03-03T15:04:54.290-08:00,tutor,tutor,1,,,
,,,"the more importantly it you can basically join a community and meet over 4,000 plus volunteers around the world, and it's getting bigger and bigger like all the time.",2023-03-03T15:04:54.490-08:00,2023-03-03T15:05:07.600-08:00,tutor,tutor,1,,,
,,,Does anyone have any questions on how to start volunteering,2023-03-03T15:05:08.380-08:00,2023-03-03T15:05:13.240-08:00,tutor,tutor,1,,,
,,,through School House or volunteering in general.,2023-03-03T15:05:13.430-08:00,2023-03-03T15:05:17.820-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-03T15:05:25.670-08:00,2023-03-03T15:05:26.450-08:00,tutor,tutor,1,,,
,,,"So now we're going to get started with our practice test. We're going to do practice, test B 2.",2023-03-03T15:05:28.130-08:00,2023-03-03T15:05:35.570-08:00,tutor,tutor,1,,,
,,,"So if you guys go to the assessments tab on the schoolhouse dashboard, you should be able to find it there.",2023-03-03T15:05:35.910-08:00,2023-03-03T15:05:44.580-08:00,tutor,tutor,1,,,
,,,Does anyone have any questions or is unable to find it?,2023-03-03T15:05:47.320-08:00,2023-03-03T15:05:51.130-08:00,tutor,tutor,1,,,
,,,"Oh, we're doing practice. Test B: 2.",2023-03-03T15:06:10.640-08:00,2023-03-03T15:06:13.460-08:00,student,student C,1,,,
,,,"Yes, thank you.",2023-03-03T15:06:13.730-08:00,2023-03-03T15:06:16.020-08:00,tutor,tutor,1,,,
,,,Okay. Does everybody have it pulled up and ready to go?,2023-03-03T15:06:31.740-08:00,2023-03-03T15:06:35.950-08:00,tutor,tutor,1,,,
,,,Yes.,2023-03-03T15:06:38.310-08:00,2023-03-03T15:06:39.370-08:00,student,student A,1,,,
,,,"Okay, awesome. So just like a reminder. Make sure you guys do like your work on a separate piece of paper.",2023-03-03T15:06:39.810-08:00,2023-03-03T15:06:47.260-08:00,tutor,tutor,1,,,
,,,So when we go over it's easier to refer back to.,2023-03-03T15:06:47.380-08:00,2023-03-03T15:06:51.060-08:00,tutor,tutor,1,,,
,,,"I'll give you guys like a 5 min time morning. We have 5 min left. If you have any questions, feel free to send a chat my way like privately",2023-03-03T15:06:51.120-08:00,2023-03-03T15:07:01.420-08:00,tutor,tutor,1,,,
,,,"And yeah, and if nobody has any objections to the starting, we are going to start now. You have 25 min.",2023-03-03T15:07:01.660-08:00,2023-03-03T15:07:12.330-08:00,tutor,tutor,1,,,
,,,Good luck.,2023-03-03T15:07:12.360-08:00,2023-03-03T15:07:13.230-08:00,tutor,tutor,1,,,
,,,"Okay, guys. This is like your 5 min warning. You guys have 5 min left.",2023-03-03T15:27:16.160-08:00,2023-03-03T15:27:21.370-08:00,tutor,tutor,1,,,
,,,"Okay, everybody. That is time. So if you could stop working",2023-03-03T15:32:21.080-08:00,2023-03-03T15:32:26.040-08:00,tutor,tutor,1,,,
,,,and then submit,2023-03-03T15:32:26.170-08:00,2023-03-03T15:32:27.720-08:00,tutor,tutor,1,,,
,,,whatever you have.,2023-03-03T15:32:27.740-08:00,2023-03-03T15:32:29.330-08:00,tutor,tutor,1,,,
,,,so we can go over the questions.,2023-03-03T15:32:29.920-08:00,2023-03-03T15:32:32.870-08:00,tutor,tutor,1,,,
,,,"Okay, awesome. I have everybody's. Does anyone want to share how they were like feeling about the test? Was it good? Not so good.",2023-03-03T15:32:58.190-08:00,2023-03-03T15:33:09.580-08:00,tutor,tutor,1,,,
,,,"[STUDENT_1] says, pretty good.",2023-03-03T15:33:11.850-08:00,2023-03-03T15:33:13.740-08:00,tutor,tutor,1,,,
,,,Do I see? Like thumbs up agreement?,2023-03-03T15:33:14.040-08:00,2023-03-03T15:33:17.650-08:00,tutor,tutor,1,,,
,,,"Yeah, it was. It was fine.",2023-03-03T15:33:18.110-08:00,2023-03-03T15:33:19.840-08:00,student,student A,1,,,
,,,"Okay, awesome.",2023-03-03T15:33:20.460-08:00,2023-03-03T15:33:22.010-08:00,student,student A,1,,,
,,,"Okay, to say, he's got thumbs up. Okay, good, awesome.",2023-03-03T15:33:28.730-08:00,2023-03-03T15:33:32.740-08:00,tutor,tutor,1,,,
,,,"So i'm gonna go ahead and share my screen with you guys, so we can go over some questions.",2023-03-03T15:33:33.100-08:00,2023-03-03T15:33:41.160-08:00,tutor,tutor,1,,,
,,,"Okay, Can everybody see my screen? Okay.",2023-03-03T15:33:56.870-08:00,2023-03-03T15:34:00.330-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-03T15:34:07.070-08:00,2023-03-03T15:34:07.690-08:00,tutor,tutor,1,,,
,,,I can see it.,2023-03-03T15:34:07.920-08:00,2023-03-03T15:34:09.110-08:00,tutor,tutor,1,,,
,,,"Okay, awesome.",2023-03-03T15:34:09.730-08:00,2023-03-03T15:34:11.470-08:00,tutor,tutor,1,,,
