problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491 (B2),,1.0,Hmm.,2023-03-04T07:00:14.650-08:00,2023-03-04T07:00:15.360-08:00,tutor,tutor,1,,,
,,,"no, I",2023-03-04T07:00:19.090-08:00,2023-03-04T07:00:20.070-08:00,tutor,tutor,1,,,
,,,"alright, guys, i'm going to go ahead and start sharing my screen. Just so we wait for a few more people.",2023-03-04T07:01:44.680-08:00,2023-03-04T07:01:50.910-08:00,tutor,tutor,1,,,
,,,It's not what I want.,2023-03-04T07:01:58.720-08:00,2023-03-04T07:02:02.490-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-04T07:02:02.590-08:00,2023-03-04T07:02:03.270-08:00,tutor,tutor,1,,,
,,,just well.,2023-03-04T07:02:06.360-08:00,2023-03-04T07:02:08.200-08:00,tutor,tutor,1,,,
,,,we wait.,2023-03-04T07:02:10.260-08:00,2023-03-04T07:02:11.840-08:00,tutor,tutor,1,,,
,,,"Oh, can everyone go ahead and turn on their cameras, please.",2023-03-04T07:02:14.170-08:00,2023-03-04T07:02:18.850-08:00,tutor,tutor,1,,,
,,,I'll turn them on to. I should be doing that.,2023-03-04T07:02:22.300-08:00,2023-03-04T07:02:24.790-08:00,tutor,tutor,1,,,
,,,Oops.,2023-03-04T07:02:25.470-08:00,2023-03-04T07:02:26.220-08:00,tutor,tutor,1,,,
,,,"All right. Well, we wait for people to turn their cameras on.",2023-03-04T07:02:48.610-08:00,2023-03-04T07:02:53.340-08:00,tutor,tutor,1,,,
,,,Sorry for the confusion about the change in sessions. I had a last minute,2023-03-04T07:02:53.730-08:00,2023-03-04T07:02:59.690-08:00,tutor,tutor,1,,,
,,,"issue pop up so I didn't end up competing this weekend. So i'm here, and we are doing this last week all right",2023-03-04T07:03:01.840-08:00,2023-03-04T07:03:11.660-08:00,tutor,tutor,1,,,
,,,week. 4 day one,2023-03-04T07:03:12.810-08:00,2023-03-04T07:03:15.220-08:00,tutor,tutor,1,,,
,,,What subjects or topics deeply interest you?,2023-03-04T07:03:16.610-08:00,2023-03-04T07:03:21.160-08:00,tutor,tutor,1,,,
,,,Hmm.,2023-03-04T07:03:21.920-08:00,2023-03-04T07:03:22.920-08:00,tutor,tutor,1,,,
,,,I like art. I'm a big fan of part.,2023-03-04T07:03:24.450-08:00,2023-03-04T07:03:27.390-08:00,tutor,tutor,1,,,
,,,"I like it, but i'm a good, transparent.",2023-03-04T07:03:27.570-08:00,2023-03-04T07:03:32.840-08:00,tutor,tutor,1,,,
,,,maybe some chemistry.,2023-03-04T07:03:32.980-08:00,2023-03-04T07:03:34.690-08:00,tutor,tutor,1,,,
,,,Us: history,2023-03-04T07:03:35.890-08:00,2023-03-04T07:03:37.670-08:00,tutor,tutor,1,,,
,,,so weirdly specific. I don't really found like fifth grade teacher.,2023-03-04T07:03:38.300-08:00,2023-03-04T07:03:43.040-08:00,tutor,tutor,1,,,
,,,But yeah. definitely are,2023-03-04T07:03:43.460-08:00,2023-03-04T07:03:46.190-08:00,tutor,tutor,1,,,
