problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490 (B1),,1.0,"Okay, hey? Welcome, everyone. This is week, 3 day. 2 of the sed boot count today. We will just start off by doing a",2023-02-27T13:02:49.130-08:00,2023-02-27T13:03:00.980-08:00,tutor,tutor,1,,,
,,,practice test. Then we will. We will review the practice test. And then there is some time up to the end for any additional questions you guys might have.,2023-02-27T13:03:01.160-08:00,2023-02-27T13:03:10.170-08:00,tutor,tutor,1,,,
,,,"so i'm gonna wait a few more minutes to see if anyone else is gonna come. But I will get the practices. Yeah, I I'll work on opening it in just a sec, and then after that we'll have 25 min to work on it.",2023-02-27T13:03:11.520-08:00,2023-02-27T13:03:25.150-08:00,tutor,tutor,1,,,
,,,"Okay. So I opened the practice test B one in about a minute, or so i'm going to start the timer. You guys will have 25 min to complete it. It's called practice Test B one, and you're not is a calculator on it. Sorry. That's my daughter.",2023-02-27T13:05:05.780-08:00,2023-02-27T13:05:23.260-08:00,tutor,tutor,1,,,
,,,But yeah.,2023-02-27T13:05:23.390-08:00,2023-02-27T13:05:25.080-08:00,tutor,tutor,1,,,
,,,you can get start to work on that. Just a Sec.,2023-02-27T13:05:25.320-08:00,2023-02-27T13:05:28.240-08:00,tutor,tutor,1,,,
,,,Okay. I'm: going to start the timer. Now,2023-02-27T13:05:50.420-08:00,2023-02-27T13:05:52.530-08:00,tutor,tutor,1,,,
,,,25 min. I'll give you guys a 5 min warning. But just begin working.,2023-02-27T13:05:52.920-08:00,2023-02-27T13:05:57.580-08:00,tutor,tutor,1,,,
,,,"Hey, Ashby, thanks. For joining. We're just working on the B one practice test.",2023-02-27T13:08:08.460-08:00,2023-02-27T13:08:14.450-08:00,tutor,tutor,1,,,
,,,"Yeah, I",2023-02-27T13:08:15.440-08:00,2023-02-27T13:08:19.160-08:00,tutor,tutor,1,,,
,,,Okay. Thank you.,2023-02-27T13:08:19.750-08:00,2023-02-27T13:08:20.740-08:00,student,student A,1,,,
,,,"Hello, [STUDENT_7]. Thanks for joining. We're just working on the B One practice test. So you can get started on that.",2023-02-27T13:13:25.120-08:00,2023-02-27T13:13:32.830-08:00,tutor,tutor,1,,,
,,,"Okay, Guys time is just about up. If you joined a little late i'll give you like a minute or 2 to work on it still. But",2023-02-27T13:31:05.540-08:00,2023-02-27T13:31:13.120-08:00,tutor,tutor,1,,,
,,,for most most people kind of wrap it up. Smell what you have,2023-02-27T13:31:13.280-08:00,2023-02-27T13:31:19.320-08:00,tutor,tutor,1,,,
,,,"to have the last few blank. If you didn't get to them, just make an educated guess and submit it so we can go over it.",2023-02-27T13:31:19.400-08:00,2023-02-27T13:31:27.260-08:00,tutor,tutor,1,,,
