problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488 (A2),,1.0,"Hey? Hello, everyone! Yes, we'll get started",2023-02-15T17:00:47.040-08:00,2023-02-15T17:00:51.720-08:00,tutor,tutor,1,,,
,,,in the session in just a minute,2023-02-15T17:00:52.420-08:00,2023-02-15T17:00:55.480-08:00,tutor,tutor,1,,,
,,,as we wait for a few more people to enter.,2023-02-15T17:00:55.510-08:00,2023-02-15T17:00:58.230-08:00,tutor,tutor,1,,,
,,,"And yeah, we can get started after that.",2023-02-15T17:00:59.450-08:00,2023-02-15T17:01:02.160-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-15T17:02:00.880-08:00,2023-02-15T17:02:02.070-08:00,tutor,tutor,1,,,
,,,I guess we can get started. If you can. Please definitely turn on your camera and try to be an active participant.,2023-02-15T17:02:03.370-08:00,2023-02-15T17:02:12.980-08:00,tutor,tutor,1,,,
,,,"And yeah, okay, we'll get started.",2023-02-15T17:02:20.180-08:00,2023-02-15T17:02:22.870-08:00,tutor,tutor,1,,,
,,,So I wanted to start off today with a few test tips for my,2023-02-15T17:02:23.380-08:00,2023-02-15T17:02:30.810-08:00,tutor,tutor,1,,,
,,,that will help you in.,2023-02-15T17:02:35.080-08:00,2023-02-15T17:02:37.100-08:00,tutor,tutor,1,,,
,,,I think we'll help you in gaining more points,2023-02-15T17:02:39.950-08:00,2023-02-15T17:02:43.460-08:00,tutor,tutor,1,,,
,,,in the,2023-02-15T17:02:43.980-08:00,2023-02-15T17:02:45.110-08:00,tutor,tutor,1,,,
,,,map section. So,2023-02-15T17:02:45.350-08:00,2023-02-15T17:02:47.410-08:00,tutor,tutor,1,,,
,,,I still present my screen to,2023-02-15T17:02:47.850-08:00,2023-02-15T17:02:49.860-08:00,tutor,tutor,1,,,
,,,Okay. So,2023-02-15T17:02:53.450-08:00,2023-02-15T17:02:54.990-08:00,tutor,tutor,1,,,
,,,there's some not testing tips that will definitely improve your score.,2023-02-15T17:02:55.530-08:00,2023-02-15T17:03:00.010-08:00,tutor,tutor,1,,,
,,,"S0 0ne of the main things you want to do in the sat math section is maximize, obviously the amount of possible points that you can gain",2023-02-15T17:03:02.720-08:00,2023-02-15T17:03:12.120-08:00,tutor,tutor,1,,,
,,,good.,2023-02-15T17:03:13.520-08:00,2023-02-15T17:03:14.650-08:00,tutor,tutor,1,,,
,,,It's best to try to solve every problem.,2023-02-15T17:03:15.570-08:00,2023-02-15T17:03:18.480-08:00,tutor,tutor,1,,,
,,,"and if you're not able to solve a problem, just leave it, and then",2023-02-15T17:03:19.530-08:00,2023-02-15T17:03:24.640-08:00,tutor,tutor,1,,,
,,,come back to it towards the end.,2023-02-15T17:03:24.840-08:00,2023-02-15T17:03:26.850-08:00,tutor,tutor,1,,,
,,,and if you happen to be running short on time.,2023-02-15T17:03:28.060-08:00,2023-02-15T17:03:32.210-08:00,tutor,tutor,1,,,
,,,it's best to guess.,2023-02-15T17:03:32.780-08:00,2023-02-15T17:03:35.040-08:00,tutor,tutor,1,,,
,,,like if you're,2023-02-15T17:03:35.610-08:00,2023-02-15T17:03:37.140-08:00,tutor,tutor,1,,,
,,,"if you have one t0 2 min left, and you're not able to solve the problem. It's best to just guess as",2023-02-15T17:03:37.600-08:00,2023-02-15T17:03:43.350-08:00,tutor,tutor,1,,,
,,,"there's no penalty for or not. There's there's no penalty. and it's actually worse, if you forget to answer questions rather than getting them wrong.",2023-02-15T17:03:43.520-08:00,2023-02-15T17:03:58.510-08:00,tutor,tutor,1,,,
,,,because you don't have the 25% chance of getting it right?,2023-02-15T17:03:59.250-08:00,2023-02-15T17:04:02.480-08:00,tutor,tutor,1,,,
,,,So,2023-02-15T17:04:03.730-08:00,2023-02-15T17:04:04.660-08:00,tutor,tutor,1,,,
,,,"all the questions on the test will be worth the same amount. So it's better that you go through the test, and you do the questions that you know how to do",2023-02-15T17:04:05.460-08:00,2023-02-15T17:04:15.520-08:00,tutor,tutor,1,,,
,,,you do those first. Then you come back to all difficult questions,2023-02-15T17:04:16.050-08:00,2023-02-15T17:04:22.090-08:00,tutor,tutor,1,,,
,,,that you may not be able to do,2023-02-15T17:04:22.880-08:00,2023-02-15T17:04:25.080-08:00,tutor,tutor,1,,,
,,,as they may take longer,2023-02-15T17:04:25.090-08:00,2023-02-15T17:04:26.960-08:00,tutor,tutor,1,,,
,,,if you're able to finish the easier questions first.,2023-02-15T17:04:27.420-08:00,2023-02-15T17:04:31.280-08:00,tutor,tutor,1,,,
,,,then you can come back and take more time on the longer questions. And this way You know that you'll be getting more correct than if you,2023-02-15T17:04:31.860-08:00,2023-02-15T17:04:41.000-08:00,tutor,tutor,1,,,
,,,went in order. So,2023-02-15T17:04:41.039-08:00,2023-02-15T17:04:42.539-08:00,tutor,tutor,1,,,
,,,"do whatever problems you find easiest first, and then go to the hardware ones.",2023-02-15T17:04:43.030-08:00,2023-02-15T17:04:47.600-08:00,tutor,tutor,1,,,
,,,"Yeah, the same concept here",2023-02-15T17:04:50.460-08:00,2023-02-15T17:04:52.840-08:00,tutor,tutor,1,,,
,,,doing the easier ones. You'll know that you,2023-02-15T17:04:54.880-08:00,2023-02-15T17:04:58.020-08:00,tutor,tutor,1,,,
,,,that you're getting the correct,2023-02-15T17:04:59.270-08:00,2023-02-15T17:05:00.830-08:00,tutor,tutor,1,,,
,,,that you're getting the correct one. Therefore you'll increase your score.,2023-02-15T17:05:02.390-08:00,2023-02-15T17:05:05.860-08:00,tutor,tutor,1,,,
,,,And the way the sat Math section works is,2023-02-15T17:05:07.180-08:00,2023-02-15T17:05:11.580-08:00,tutor,tutor,1,,,
,,,from the beginning of the 20 questions. It will be,2023-02-15T17:05:12.440-08:00,2023-02-15T17:05:16.970-08:00,tutor,tutor,1,,,
,,,it'll start off easy. But as you go in it'll be get harder and harder.,2023-02-15T17:05:17.270-08:00,2023-02-15T17:05:21.710-08:00,tutor,tutor,1,,,
,,,and you should definitely focus on getting the multiple choice ones correct,2023-02-15T17:05:22.660-08:00,2023-02-15T17:05:27.500-08:00,tutor,tutor,1,,,
,,,before you move towards the free response questions. Because,2023-02-15T17:05:27.640-08:00,2023-02-15T17:05:33.470-08:00,tutor,tutor,1,,,
,,,many of the multiple choice ones are,2023-02-15T17:05:36.960-08:00,2023-02-15T17:05:39.700-08:00,tutor,tutor,1,,,
,,,"easier to solve than having to put in your own answer, but definitely try to go with multiple choice first.",2023-02-15T17:05:41.420-08:00,2023-02-15T17:05:48.810-08:00,tutor,tutor,1,,,
,,,"Oh, it's also good that when you're doing",2023-02-15T17:05:51.900-08:00,2023-02-15T17:05:54.600-08:00,tutor,tutor,1,,,
,,,that when you're doing a test.,2023-02-15T17:05:55.700-08:00,2023-02-15T17:05:58.530-08:00,tutor,tutor,1,,,
,,,"you look at the 4 0ptions, and you eliminate things that you that you know will not be the answer this way. Oh.",2023-02-15T17:05:59.330-08:00,2023-02-15T17:06:08.050-08:00,tutor,tutor,1,,,
,,,this way. You can improve your also guessing. If you don't exactly know the answer.,2023-02-15T17:06:09.570-08:00,2023-02-15T17:06:13.770-08:00,tutor,tutor,1,,,
,,,"If you know something is false, or it's like",2023-02-15T17:06:13.850-08:00,2023-02-15T17:06:16.870-08:00,tutor,tutor,1,,,
,,,"very far away from what the real answer could be. You can eliminate it, and therefore you'll increase your odds of getting the question correct.",2023-02-15T17:06:16.980-08:00,2023-02-15T17:06:25.710-08:00,tutor,tutor,1,,,
,,,It's also good that when you're doing any math questions. there may be some questions that like have long paragraphs that you may have to read. and then on this,2023-02-15T17:06:29.470-08:00,2023-02-15T17:06:41.070-08:00,tutor,tutor,1,,,
,,,and understand what's going on.,2023-02-15T17:06:42.560-08:00,2023-02-15T17:06:45.030-08:00,tutor,tutor,1,,,
,,,So it's,2023-02-15T17:06:45.050-08:00,2023-02-15T17:06:46.590-08:00,tutor,tutor,1,,,
,,,It's the main goal is to understand what the question is asking you to do so that way. You can work towards solving it.,2023-02-15T17:06:47.360-08:00,2023-02-15T17:06:56.840-08:00,tutor,tutor,1,,,
,,,and make sure if you have time.,2023-02-15T17:06:59.410-08:00,2023-02-15T17:07:02.080-08:00,tutor,tutor,1,,,
,,,double check your answers after after each question.,2023-02-15T17:07:03.300-08:00,2023-02-15T17:07:08.440-08:00,tutor,tutor,1,,,
,,,to make sure that you answered what the question really wanted you to answer.,2023-02-15T17:07:09.310-08:00,2023-02-15T17:07:15.290-08:00,tutor,tutor,1,,,
,,,"It's very. It's easier to do your work on paper, because then you're able to look back at all your steps and see how everything worked out. and this will all so minimize the amount of errors compared to doing it in like your head.",2023-02-15T17:07:17.690-08:00,2023-02-15T17:07:32.360-08:00,tutor,tutor,1,,,
,,,So,2023-02-15T17:07:33.710-08:00,2023-02-15T17:07:34.780-08:00,tutor,tutor,1,,,
,,,it will definitely help you improve your score by stopping,2023-02-15T17:07:36.290-08:00,2023-02-15T17:07:40.130-08:00,tutor,tutor,1,,,
,,,errors that could occur.,2023-02-15T17:07:41.110-08:00,2023-02-15T17:07:42.820-08:00,tutor,tutor,1,,,
,,,And then it's also good to prepare a lot for the sat,2023-02-15T17:07:43.930-08:00,2023-02-15T17:07:47.550-08:00,tutor,tutor,1,,,
,,,"one of the best sources that I and many others have found helpful is Khan Academy, as they have. Like",2023-02-15T17:07:48.330-08:00,2023-02-15T17:07:55.340-08:00,tutor,tutor,1,,,
,,,many.,2023-02-15T17:07:56.080-08:00,2023-02-15T17:07:57.070-08:00,tutor,tutor,1,,,
,,,"they have many sections where you can practice the the types of questions that will g0 0n the sat, and you can keep practicing the same type if you're struggling with it.",2023-02-15T17:07:58.390-08:00,2023-02-15T17:08:07.740-08:00,tutor,tutor,1,,,
,,,And there are videos as well.,2023-02-15T17:08:08.060-08:00,2023-02-15T17:08:09.860-08:00,tutor,tutor,1,,,
,,,It's always good that whenever you do,2023-02-15T17:08:10.900-08:00,2023-02-15T17:08:14.100-08:00,tutor,tutor,1,,,
,,,"a test or any practice that you review, why you got it wrong, and how you can fix the question",2023-02-15T17:08:14.130-08:00,2023-02-15T17:08:21.180-08:00,tutor,tutor,1,,,
,,,that way. You will know how to solve a similar question in the future.,2023-02-15T17:08:21.700-08:00,2023-02-15T17:08:25.300-08:00,tutor,tutor,1,,,
,,,And one thing that definitely helps is taking a full time test,2023-02-15T17:08:26.930-08:00,2023-02-15T17:08:32.970-08:00,tutor,tutor,1,,,
,,,to make sure that you'll be able to solve the problems with within the time that's given.,2023-02-15T17:08:33.140-08:00,2023-02-15T17:08:38.330-08:00,tutor,tutor,1,,,
,,,"So it's good to take some tests where you like, timing yourself so that way you are able to keep",2023-02-15T17:08:39.040-08:00,2023-02-15T17:08:46.130-08:00,tutor,tutor,1,,,
,,,ace with.,2023-02-15T17:08:46.600-08:00,2023-02-15T17:08:48.070-08:00,tutor,tutor,1,,,
,,,Keep pace the math questions with the test. And so you don't run out of time.,2023-02-15T17:08:48.520-08:00,2023-02-15T17:08:53.250-08:00,tutor,tutor,1,,,
,,,"A lot of questions are basic algebra and data analysis skills. And if you're able to master these simple, these are",2023-02-15T17:08:56.720-08:00,2023-02-15T17:09:05.240-08:00,tutor,tutor,1,,,
,,,basic algebraic concepts. You'll be able to increase your score. and it'll also help you towards working on harder questions.,2023-02-15T17:09:05.460-08:00,2023-02-15T17:09:13.880-08:00,tutor,tutor,1,,,
,,,Some of the main skills are like knowing ratios and percents.,2023-02-15T17:09:15.450-08:00,2023-02-15T17:09:20.160-08:00,tutor,tutor,1,,,
,,,drawing.,2023-02-15T17:09:21.020-08:00,2023-02-15T17:09:22.120-08:00,tutor,tutor,1,,,
,,,being able to understand tables and graphs,2023-02-15T17:09:22.770-08:00,2023-02-15T17:09:26.800-08:00,tutor,tutor,1,,,
,,,"and working with linear equations. such as analyzing, solving, and roughing them.",2023-02-15T17:09:27.350-08:00,2023-02-15T17:09:34.350-08:00,tutor,tutor,1,,,
,,,There's also some the sat math formula page that they give you in the beginning isn't all,2023-02-15T17:09:37.100-08:00,2023-02-15T17:09:44.870-08:00,tutor,tutor,1,,,
,,,it doesn't have all the formulas that will you show up on the test?,2023-02-15T17:09:45.410-08:00,2023-02-15T17:09:49.120-08:00,tutor,tutor,1,,,
,,,There are some formulas such as the quadratic formula which is,2023-02-15T17:09:49.670-08:00,2023-02-15T17:09:54.240-08:00,tutor,tutor,1,,,
,,,which is used in many linear inflation as a distance formula,2023-02-15T17:09:56.540-08:00,2023-02-15T17:10:01.160-08:00,tutor,tutor,1,,,
,,,which can be used towards solving circle equations or triangles. And then there's midpoint which is used with circles and averages which can be found in like tables and graphs.,2023-02-15T17:10:01.200-08:00,2023-02-15T17:10:15.000-08:00,tutor,tutor,1,,,
,,,and you also want to know your way around the calculator. So that way you'll be able to use all its features best for the actual test.,2023-02-15T17:10:15.440-08:00,2023-02-15T17:10:24.170-08:00,tutor,tutor,1,,,
,,,I'm sorry those were a few of the tips that,2023-02-15T17:10:30.070-08:00,2023-02-15T17:10:33.030-08:00,tutor,tutor,1,,,
,,,"I wanted to share with you guys, and then",2023-02-15T17:10:34.290-08:00,2023-02-15T17:10:37.630-08:00,tutor,tutor,1,,,
,,,"I guess we'll move on to the next thing, which",2023-02-15T17:10:38.140-08:00,2023-02-15T17:10:41.490-08:00,tutor,tutor,1,,,
,,,was,2023-02-15T17:10:41.670-08:00,2023-02-15T17:10:42.720-08:00,tutor,tutor,1,,,
,,,okay. based on,2023-02-15T17:10:50.610-08:00,2023-02-15T17:10:54.230-08:00,tutor,tutor,1,,,
,,,the test that we took last time. I,2023-02-15T17:10:55.930-08:00,2023-02-15T17:10:59.330-08:00,tutor,tutor,1,,,
,,,"found a few questions. I will go through one of the questions with you, and then",2023-02-15T17:11:01.610-08:00,2023-02-15T17:11:07.200-08:00,tutor,tutor,1,,,
,,,and then you guys can. Then you guys can work together towards trying one on your own.,2023-02-15T17:11:09.240-08:00,2023-02-15T17:11:14.620-08:00,tutor,tutor,1,,,
,,,"Okay, so let me share my screen.",2023-02-15T17:11:15.810-08:00,2023-02-15T17:11:19.900-08:00,tutor,tutor,1,,,
,-1.0,1.0,"Okay. So I mean, I think you guys have all done this one before, as it was on yesterday's test.",2023-02-15T17:11:28.780-08:00,2023-02-15T17:11:36.050-08:00,tutor,tutor,2,,-1.0,
,,,So,2023-02-15T17:11:37.170-08:00,2023-02-15T17:11:38.050-08:00,tutor,tutor,2,,-1.0,
,,,I wanted to help you guys with like working towards solving this problem.,2023-02-15T17:11:38.290-08:00,2023-02-15T17:11:43.090-08:00,tutor,tutor,2,,-1.0,
,,,"So, as one of the test tips I had shown you was.",2023-02-15T17:11:45.000-08:00,2023-02-15T17:11:50.310-08:00,tutor,tutor,2,,-1.0,
,,,first figure out what they want us to find,2023-02-15T17:11:50.460-08:00,2023-02-15T17:11:54.050-08:00,tutor,tutor,2,,-1.0,
,,,it says.,2023-02-15T17:11:54.650-08:00,2023-02-15T17:11:55.790-08:00,tutor,tutor,2,,-1.0,
,,,What is the value of x plus y.,2023-02-15T17:11:56.070-08:00,2023-02-15T17:11:59.340-08:00,tutor,tutor,2,,-1.0,
,,,In order to tell you,2023-02-15T17:11:59.930-08:00,2023-02-15T17:12:01.540-08:00,tutor,tutor,2,,-1.0,
,,,"to find this value? We need to know X and Y, and then we can add them together.",2023-02-15T17:12:02.610-08:00,2023-02-15T17:12:07.570-08:00,tutor,tutor,2,,-1.0,
,,,And the main way for solving these,2023-02-15T17:12:12.510-08:00,2023-02-15T17:12:15.020-08:00,tutor,tutor,2,,-1.0,
,,,is using,2023-02-15T17:12:15.580-08:00,2023-02-15T17:12:16.520-08:00,tutor,tutor,2,,-1.0,
,,,the elimination tactic that I've shown you you guys in previous lessons.,2023-02-15T17:12:16.540-08:00,2023-02-15T17:12:21.100-08:00,tutor,tutor,2,,-1.0,
,,,Does anyone know the first step towards solving this equation?,2023-02-15T17:12:21.270-08:00,2023-02-15T17:12:25.270-08:00,tutor,tutor,2,,-1.0,
,,,[STUDENT_2].,2023-02-15T17:12:27.440-08:00,2023-02-15T17:12:29.280-08:00,tutor,tutor,2,,-1.0,
,,,multiply one value by another value to make each side equal?,2023-02-15T17:12:31.390-08:00,2023-02-15T17:12:35.900-08:00,student,student A,2,,-1.0,
,,,Yeah. So what which you would be.,2023-02-15T17:12:36.750-08:00,2023-02-15T17:12:40.930-08:00,student,student A,2,,-1.0,
,,,"I multiply the top fraction, or I multiply the top equation by 2.",2023-02-15T17:12:41.040-08:00,2023-02-15T17:12:45.590-08:00,student,student A,2,,-1.0,
,,,"Okay, that is correct. That is, yeah, that is one of",2023-02-15T17:12:46.130-08:00,2023-02-15T17:12:50.000-08:00,tutor,tutor,2,,-1.0,
,,,That's one of the better ways to solve it.,2023-02-15T17:12:50.040-08:00,2023-02-15T17:12:52.640-08:00,tutor,tutor,2,,-1.0,
,,,"If we multiply the top value by 2,",2023-02-15T17:12:53.110-08:00,2023-02-15T17:12:56.310-08:00,tutor,tutor,2,,-1.0,
,,,this will make it 4 x minus 2 y,2023-02-15T17:12:57.390-08:00,2023-02-15T17:13:01.280-08:00,tutor,tutor,2,,-1.0,
,,,"equals 16,",2023-02-15T17:13:02.300-08:00,2023-02-15T17:13:04.160-08:00,tutor,tutor,2,,-1.0,
,,,and then the bottom will be x. That bottom will say the same x plus 2 y,2023-02-15T17:13:07.440-08:00,2023-02-15T17:13:13.319-08:00,tutor,tutor,2,,-1.0,
,,,"equals 4,",2023-02-15T17:13:14.170-08:00,2023-02-15T17:13:15.660-08:00,tutor,tutor,2,,-1.0,
,,,and then we add this whole equation. We add both these equations together,2023-02-15T17:13:18.510-08:00,2023-02-15T17:13:23.670-08:00,tutor,tutor,2,,-1.0,
,,,"so that way, why will cancel out? Because positive.",2023-02-15T17:13:24.190-08:00,2023-02-15T17:13:27.610-08:00,tutor,tutor,2,,-1.0,
,,,"plus 2 y and minus 2, I will cancel out, and then we'll get 5 X",2023-02-15T17:13:28.040-08:00,2023-02-15T17:13:32.360-08:00,tutor,tutor,2,,-1.0,
,,,equals 20.,2023-02-15T17:13:33.630-08:00,2023-02-15T17:13:35.270-08:00,tutor,tutor,2,,-1.0,
,,,Then divide both sides by 5,2023-02-15T17:13:37.520-08:00,2023-02-15T17:13:40.200-08:00,tutor,tutor,2,,-1.0,
,,,"X equals 4,",2023-02-15T17:13:41.730-08:00,2023-02-15T17:13:43.680-08:00,tutor,tutor,2,,-1.0,
,,,"and then the way we can find why is, we can just substitute it back in.",2023-02-15T17:13:46.820-08:00,2023-02-15T17:13:51.710-08:00,tutor,tutor,2,,-1.0,
,,,"Yeah, okay. If we substitute x into this equation. It'll be x. 3 4, plus 2, y.",2023-02-15T17:13:56.510-08:00,2023-02-15T17:14:05.120-08:00,tutor,tutor,2,,-1.0,
,,,"because we know x 4 plus 2, y",2023-02-15T17:14:05.380-08:00,2023-02-15T17:14:07.900-08:00,tutor,tutor,2,,-1.0,
