problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490 (B1),,1.0,Hi! Everyone,2023-03-02T12:20:28.200-08:00,2023-03-02T12:20:30.340-08:00,tutor,tutor,1,,,
,,,just to start for today.,2023-03-02T12:20:30.490-08:00,2023-03-02T12:20:32.460-08:00,tutor,tutor,1,,,
,,,We're starting off with a no calculator practice test. So,2023-03-02T12:20:32.890-08:00,2023-03-02T12:20:38.300-08:00,tutor,tutor,1,,,
,,,i'm gonna wait a couple more minutes to see if anyone else joins. But in the meantime,2023-03-02T12:20:38.610-08:00,2023-03-02T12:20:44.170-08:00,tutor,tutor,1,,,
,,,you guys can go ahead and pull that up. It's gonna be,2023-03-02T12:20:44.400-08:00,2023-03-02T12:20:48.490-08:00,tutor,tutor,1,,,
,,,"practice task. B: One. No calculator. So. and a couple of minutes we'll get that started, and you guys will have 25 min for that assessment so don't use a calculator, and then i'd recommend having some scratch paper",2023-03-02T12:20:49.550-08:00,2023-03-02T12:21:05.570-08:00,tutor,tutor,1,,,
,,,just to work out any map.,2023-03-02T12:21:06.070-08:00,2023-03-02T12:21:08.230-08:00,tutor,tutor,1,,,
,,,But i'm just going to go ahead and post the assessment on my.,2023-03-02T12:23:11.280-08:00,2023-03-02T12:23:16.030-08:00,tutor,tutor,1,,,
,,,"You should be able to see the 25,",2023-03-02T12:23:17.080-08:00,2023-03-02T12:23:20.130-08:00,tutor,tutor,1,,,
,,,so let me post it,2023-03-02T12:23:21.780-08:00,2023-03-02T12:23:24.480-08:00,tutor,tutor,1,,,
,,,"all right. So to be accepting It's about this. Now let me know if you're having any trouble, and that",2023-03-02T12:23:26.500-08:00,2023-03-02T12:23:34.450-08:00,tutor,tutor,1,,,
,,,"I give you 25 min. Is anyone having trouble getting it up, or are we all good to go",2023-03-02T12:23:36.230-08:00,2023-03-02T12:23:42.760-08:00,tutor,tutor,1,,,
,,,"alright, i'm going to go ahead and start the timer. I'll let you guys know when you have a couple of minutes left. Good luck, Everyone do your best.",2023-03-02T12:23:48.800-08:00,2023-03-02T12:23:56.900-08:00,tutor,tutor,1,,,
,,,All right. You guys have just under 5 min left,2023-03-02T12:44:03.450-08:00,2023-03-02T12:44:06.180-08:00,tutor,tutor,1,,,
,,,"alright, guys. That was the full 25 min. So if you haven't already, go ahead and submit your test, and then we can start for viewing.",2023-03-02T12:49:08.230-08:00,2023-03-02T12:49:19.300-08:00,tutor,tutor,1,,,
,,,"All right. So like always. if you have any questions that you'd like to go over, just go ahead and send them to me in the chat.",2023-03-02T12:50:25.900-08:00,2023-03-02T12:50:36.670-08:00,tutor,tutor,1,,,
,,,and i'm just gonna start with the most missed questions and then work our way from there. So,2023-03-02T12:50:36.950-08:00,2023-03-02T12:50:47.380-08:00,tutor,tutor,1,,,
,,,i'll send you guys the ones that will be starting with,2023-03-02T12:50:48.900-08:00,2023-03-02T12:50:53.440-08:00,tutor,tutor,1,,,
,,,1 s.,2023-03-02T12:50:54.900-08:00,2023-03-02T12:50:56.520-08:00,tutor,tutor,1,,,
,,,"All right. So we're going to start with 1518, 19, and 20, and then see which ones we want to look at after that. So",2023-03-02T12:51:36.490-08:00,2023-03-02T12:51:47.470-08:00,tutor,tutor,1,,,
,,,"let me get Number 15, and then outside of those, If there are anyone you guys want to go over.",2023-03-02T12:51:48.130-08:00,2023-03-02T12:51:56.020-08:00,tutor,tutor,1,,,
