problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489 (A3),,1.0,"Hey, [STUDENT_5], how's it going?",2023-02-18T17:00:09.580+00:00,2023-02-18T17:00:10.910+00:00,tutor,tutor,1,,,
,,,Hello!,2023-02-18T17:00:15.300+00:00,2023-02-18T17:00:16.450+00:00,student,student A,1,,,
,,,"Oh, I can't see your screen. Not sure if that's intentional.",2023-02-18T17:00:20.790+00:00,2023-02-18T17:00:25.110+00:00,student,student A,1,,,
,,,"The the slides, or",2023-02-18T17:00:26.950+00:00,2023-02-18T17:00:29.170+00:00,student,student A,1,,,
,,,this one right?,2023-02-18T17:00:29.870+00:00,2023-02-18T17:00:30.760+00:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-18T17:00:31.380+00:00,2023-02-18T17:00:32.580+00:00,student,student A,1,,,
,,,Perfect,2023-02-18T17:00:32.720+00:00,2023-02-18T17:00:33.620+00:00,student,student A,1,,,
,,,Bye.,2023-02-18T17:00:34.950+00:00,2023-02-18T17:00:35.590+00:00,tutor,tutor,1,,,
,,,"How's it going? Well, this is great. How are you guys?",2023-02-18T17:00:56.620+00:00,2023-02-18T17:00:59.610+00:00,tutor,tutor,1,,,
,,,Good! How are you?,2023-02-18T17:01:01.090+00:00,2023-02-18T17:01:02.180+00:00,student,student B,1,,,
,,,I I guess guess we've got,2023-02-18T17:02:19.100+00:00,2023-02-18T17:02:22.000+00:00,tutor,tutor,1,,,
,,,enough people to start everyone you're doing Well.,2023-02-18T17:02:22.140+00:00,2023-02-18T17:02:26.780+00:00,tutor,tutor,1,,,
,,,to start with this little presentation I the question. What is your favorite subject,2023-02-18T17:02:27.540+00:00,2023-02-18T17:02:36.020+00:00,tutor,tutor,1,,,
,,,"at school? I'll start, and then someone else, and then I guess we'll g0 0n from there. I like math. I think",2023-02-18T17:02:36.410+00:00,2023-02-18T17:02:44.760+00:00,tutor,tutor,1,,,
,,,I think that makes sense.,2023-02-18T17:02:45.400+00:00,2023-02-18T17:02:46.850+00:00,tutor,tutor,1,,,
,,,Start with Amy.,2023-02-18T17:02:46.980+00:00,2023-02-18T17:02:50.070+00:00,tutor,tutor,1,,,
,,,I also like math and history,2023-02-18T17:02:52.310+00:00,2023-02-18T17:02:55.520+00:00,tutor,tutor,1,,,
,,,"nice. I just kick someone else, and I guess we can go with that",2023-02-18T17:03:05.670+00:00,2023-02-18T17:03:10.680+00:00,tutor,tutor,1,,,
,,,[STUDENT_1].,2023-02-18T17:03:12.790+00:00,2023-02-18T17:03:14.110+00:00,tutor,tutor,1,,,
,,,"Oh, my favorite subject! I think it's like physics.",2023-02-18T17:03:16.030+00:00,2023-02-18T17:03:20.930+00:00,student,student C,1,,,
,,,and I pass it to Mary.,2023-02-18T17:03:22.200+00:00,2023-02-18T17:03:25.180+00:00,student,student C,1,,,
,,,Hi! My favorite subject is English.,2023-02-18T17:03:29.220+00:00,2023-02-18T17:03:34.620+00:00,student,student D,1,,,
,,,and i'll pass it on to,2023-02-18T17:03:35.750+00:00,2023-02-18T17:03:39.680+00:00,student,student D,1,,,
,,,I'm. Not really sure like who already went.,2023-02-18T17:03:39.770+00:00,2023-02-18T17:03:43.290+00:00,student,student D,1,,,
,,,So,2023-02-18T17:03:43.450+00:00,2023-02-18T17:03:44.620+00:00,student,student D,1,,,
,,,"can you pick on? And said. because, like I joined a little bit.",2023-02-18T17:03:45.900+00:00,2023-02-18T17:03:49.790+00:00,student,student D,1,,,
,,,I sure I die. You there.,2023-02-18T17:03:53.810+00:00,2023-02-18T17:03:57.519+00:00,tutor,tutor,1,,,
,,,"Hi! I don't think I have a favorite subject, even though i'm good.",2023-02-18T17:04:02.770+00:00,2023-02-18T17:04:07.500+00:00,student,student E,1,,,
,,,But it's everything. Let's say.,2023-02-18T17:04:07.690+00:00,2023-02-18T17:04:09.610+00:00,student,student E,1,,,
