problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495 (A4),,1.0,All right. I'm gonna wait a couple more minutes before we start.,2023-02-22T14:59:45.180-08:00,2023-02-22T14:59:49.720-08:00,tutor,tutor,1,,,
,,,So you guys know,2023-02-22T14:59:49.990-08:00,2023-02-22T14:59:51.690-08:00,tutor,tutor,1,,,
,,,"you don't have to spend your on now, but once a second.",2023-02-22T14:59:51.720-08:00,2023-02-22T14:59:54.410-08:00,tutor,tutor,1,,,
,,,if you could. That'd be nice.,2023-02-22T14:59:54.710-08:00,2023-02-22T14:59:56.230-08:00,tutor,tutor,1,,,
,,,I think I'm just gonna get started.,2023-02-22T15:01:29.160-08:00,2023-02-22T15:01:31.750-08:00,tutor,tutor,1,,,
,,,5 people's like half the people,2023-02-22T15:01:32.910-08:00,2023-02-22T15:01:35.670-08:00,tutor,tutor,1,,,
,,,"well less than half. But I think people come in, and i'm not really saying anything too important right now. So",2023-02-22T15:01:37.180-08:00,2023-02-22T15:01:42.230-08:00,tutor,tutor,1,,,
,,,"yeah, if you guys could turn on your cameras that'd be great. If not this whatever. But I do prefer it on.",2023-02-22T15:01:42.800-08:00,2023-02-22T15:01:48.860-08:00,tutor,tutor,1,,,
,,,Yeah. So all right. So,2023-02-22T15:01:53.510-08:00,2023-02-22T15:01:56.840-08:00,tutor,tutor,1,,,
,,,share my screen again.,2023-02-22T15:01:58.890-08:00,2023-02-22T15:02:00.770-08:00,tutor,tutor,1,,,
,,,So so,2023-02-22T15:02:03.480-08:00,2023-02-22T15:02:07.810-08:00,tutor,tutor,1,,,
,,,"all right. What feedback do you have for I guess me like the sat boot camp, but like",2023-02-22T15:02:09.090-08:00,2023-02-22T15:02:14.940-08:00,tutor,tutor,1,,,
,,,"like what feedback do you have for so far like. what? What? How can we improve? How can I improve as a teacher? I guess I don't know. Does anyone have anything they'd like to say, or",2023-02-22T15:02:15.690-08:00,2023-02-22T15:02:28.340-08:00,tutor,tutor,1,,,
,,,it's not a really fun question to ask.,2023-02-22T15:02:31.670-08:00,2023-02-22T15:02:34.440-08:00,tutor,tutor,1,,,
,,,"Yeah, no.",2023-02-22T15:02:35.610-08:00,2023-02-22T15:02:36.740-08:00,tutor,tutor,1,,,
,,,you guys can hear me right.,2023-02-22T15:02:41.070-08:00,2023-02-22T15:02:42.480-08:00,tutor,tutor,1,,,
,,,Can you hear me?,2023-02-22T15:02:46.950-08:00,2023-02-22T15:02:47.820-08:00,tutor,tutor,1,,,
,,,Hold on? I All right. Thank you. Thank you.,2023-02-22T15:02:48.970-08:00,2023-02-22T15:02:51.600-08:00,tutor,tutor,1,,,
,,,At,2023-02-22T15:02:54.860-08:00,2023-02-22T15:02:55.950-08:00,tutor,tutor,1,,,
,,,That's it. We got practice for 25 min and then the test. And then we just review the test,2023-02-22T15:02:56.410-08:00,2023-02-22T15:03:04.280-08:00,tutor,tutor,1,,,
,,,again.,2023-02-22T15:03:04.640-08:00,2023-02-22T15:03:05.850-08:00,tutor,tutor,1,,,
,,,"We're doing this 3 days in a row. I imagine. You guys don't, wanna.",2023-02-22T15:03:06.560-08:00,2023-02-22T15:03:10.529-08:00,tutor,tutor,1,,,
,,,"you know, really have anything too intense.",2023-02-22T15:03:10.779-08:00,2023-02-22T15:03:13.070-08:00,tutor,tutor,1,,,
,,,"I got a snow day tomorrow, so i'm just trying to relax after this. So i'm i'm probably gonna go a little quicker than normal.",2023-02-22T15:03:14.860-08:00,2023-02-22T15:03:19.510-08:00,tutor,tutor,1,,,
,,,We should be out before 7 15 like probably 7. Ish.,2023-02-22T15:03:21.390-08:00,2023-02-22T15:03:25.730-08:00,tutor,tutor,1,,,
,,,"I can't promise anything, but you know All right. So",2023-02-22T15:03:27.350-08:00,2023-02-22T15:03:31.580-08:00,tutor,tutor,1,,,
,,,see.,2023-02-22T15:03:37.240-08:00,2023-02-22T15:03:38.240-08:00,tutor,tutor,1,,,
,,,let's talk about some some more of the last test. I see a 3.,2023-02-22T15:03:43.430-08:00,2023-02-22T15:03:51.460-08:00,tutor,tutor,1,,,
,,,All right.,2023-02-22T15:03:55.090-08:00,2023-02-22T15:03:55.890-08:00,tutor,tutor,1,,,
,,,I don't think,2023-02-22T15:03:57.140-08:00,2023-02-22T15:03:58.940-08:00,tutor,tutor,1,,,
,,,this one,2023-02-22T15:03:59.110-08:00,2023-02-22T15:04:00.140-08:00,tutor,tutor,1,,,
,,,"all right. Okay, let's do this.",2023-02-22T15:04:14.030-08:00,2023-02-22T15:04:16.590-08:00,tutor,tutor,1,,,
,,,So i'm 20. Does anyone have any insight on? Why.,2023-02-22T15:04:16.790-08:00,2023-02-22T15:04:23.470-08:00,tutor,tutor,1,,,
,,,"what is here is wrong, or should I just? I can do it myself if you want? But I, you know",2023-02-22T15:04:24.260-08:00,2023-02-22T15:04:28.660-08:00,tutor,tutor,1,,,
,,,if you guys want to participate.,2023-02-22T15:04:28.910-08:00,2023-02-22T15:04:31.800-08:00,tutor,tutor,1,,,
,,,that'd be nice and makes my life each year who got this right just for starters?,2023-02-22T15:04:33.540-08:00,2023-02-22T15:04:39.880-08:00,tutor,tutor,1,,,
,,,No.,2023-02-22T15:04:41.840-08:00,2023-02-22T15:04:42.620-08:00,tutor,tutor,1,,,
,,,all right. Well.,2023-02-22T15:04:43.810-08:00,2023-02-22T15:04:46.320-08:00,tutor,tutor,1,,,
,,,okay.,2023-02-22T15:04:50.640-08:00,2023-02-22T15:04:51.770-08:00,tutor,tutor,1,,,
