problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495 (A4),,1.0,Yeah.,2023-02-21T15:02:35.650+00:00,2023-02-21T15:02:36.360+00:00,tutor,tutor,1,,,
,,,it's just 3 people today.,2023-02-21T15:06:25.200+00:00,2023-02-21T15:06:27.140+00:00,tutor,tutor,1,,,
,,,We keep losing them.,2023-02-21T15:06:31.440+00:00,2023-02-21T15:06:33.440+00:00,student,student A,1,,,
,,,It's fine.,2023-02-21T15:06:39.210+00:00,2023-02-21T15:06:40.350+00:00,tutor,tutor,1,,,
,,,"If you're coming, then you might. You will benefit. So",2023-02-21T15:06:41.170+00:00,2023-02-21T15:06:45.280+00:00,tutor,tutor,1,,,
,,,"yeah, fine. Let's just",2023-02-21T15:06:46.250+00:00,2023-02-21T15:06:48.650+00:00,tutor,tutor,1,,,
,,,start.,2023-02-21T15:06:48.840+00:00,2023-02-21T15:06:49.670+00:00,tutor,tutor,1,,,
,,,Okay. So,2023-02-21T15:07:09.030+00:00,2023-02-21T15:07:11.630+00:00,tutor,tutor,1,,,
,,,do you guys know what the fact that it is?,2023-02-21T15:07:14.420+00:00,2023-02-21T15:07:17.080+00:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-21T15:07:21.230+00:00,2023-02-21T15:07:22.020+00:00,tutor,tutor,1,,,
,,,"I know what factoring is, but I haven't heard of of the factor, Theorem.",2023-02-21T15:07:25.680+00:00,2023-02-21T15:07:30.480+00:00,tutor,tutor,1,,,
,,,Okay.,2023-02-21T15:07:33.520+00:00,2023-02-21T15:07:34.580+00:00,tutor,tutor,1,,,
,,,fine. I let's say we have a function,2023-02-21T15:07:36.290+00:00,2023-02-21T15:07:41.050+00:00,tutor,tutor,1,,,
,,,like this.,2023-02-21T15:07:42.480+00:00,2023-02-21T15:07:44.090+00:00,tutor,tutor,1,,,
,,,So we have a function like this.,2023-02-21T15:07:50.930+00:00,2023-02-21T15:07:52.990+00:00,tutor,tutor,1,,,
,,,So what's the function?,2023-02-21T15:08:04.250+00:00,2023-02-21T15:08:05.680+00:00,tutor,tutor,1,,,
,,,This is a quadratic.,2023-02-21T15:08:08.250+00:00,2023-02-21T15:08:09.870+00:00,tutor,tutor,1,,,
,,,Can you? Can you repeat,2023-02-21T15:08:23.040+00:00,2023-02-21T15:08:24.490+00:00,tutor,tutor,1,,,
,,,"X squared minus 2,",2023-02-21T15:08:24.850+00:00,2023-02-21T15:08:26.540+00:00,student,student B,1,,,
,,,no,2023-02-21T15:08:28.370+00:00,2023-02-21T15:08:29.980+00:00,student,student B,1,,,
,,,x plus 3 times x minus 2. Is that what she said? I don't know.,2023-02-21T15:08:51.140+00:00,2023-02-21T15:08:55.760+00:00,student,student A,1,,,
,,,"Yeah, that's right. It's x plus t",2023-02-21T15:08:57.120+00:00,2023-02-21T15:08:59.740+00:00,tutor,tutor,1,,,
,,,times x. One is 2.,2023-02-21T15:09:00.590+00:00,2023-02-21T15:09:02.270+00:00,tutor,tutor,1,,,
,,,So,2023-02-21T15:09:12.280+00:00,2023-02-21T15:09:13.680+00:00,tutor,tutor,1,,,
,,,"so basically express 3, and x minus 2 are factors of",2023-02-21T15:09:15.590+00:00,2023-02-21T15:09:20.350+00:00,tutor,tutor,1,,,
,,,"this function, and if we expand it out it'll come to me.",2023-02-21T15:09:20.480+00:00,2023-02-21T15:09:25.750+00:00,tutor,tutor,1,,,
,,,X squared,2023-02-21T15:09:29.740+00:00,2023-02-21T15:09:31.220+00:00,tutor,tutor,1,,,
,,,less x minus 6. Yeah.,2023-02-21T15:09:31.580+00:00,2023-02-21T15:09:35.550+00:00,tutor,tutor,1,,,
,,,"if we expand it, this is what it will come to be. So the function is X square plus x minus 6, and in fact, it form. We can write X plus 3 times x minus 2.",2023-02-21T15:09:35.920+00:00,2023-02-21T15:09:46.620+00:00,tutor,tutor,1,,,
,,,"So what we see is what what we need to see is that we see the X interse. S0 0ver here it's minus, c.",2023-02-21T15:09:46.810+00:00,2023-02-21T15:09:54.980+00:00,tutor,tutor,1,,,
,,,"So you take x plus 3, and that's a factor. And",2023-02-21T15:09:55.080+00:00,2023-02-21T15:10:00.690+00:00,tutor,tutor,1,,,
,,,over here the eccentric service 2. So you take X minus 2.,2023-02-21T15:10:01.780+00:00,2023-02-21T15:10:06.540+00:00,tutor,tutor,1,,,
,,,Okay.,2023-02-21T15:10:08.130+00:00,2023-02-21T15:10:08.710+00:00,tutor,tutor,1,,,
,,,"So if the function is X squared, plus x minus 6 and x plus 3 is a factor. That means that",2023-02-21T15:10:08.810+00:00,2023-02-21T15:10:16.440+00:00,tutor,tutor,1,,,
,,,when I,2023-02-21T15:10:16.960+00:00,2023-02-21T15:10:17.950+00:00,tutor,tutor,1,,,
,,,divide,2023-02-21T15:10:18.920+00:00,2023-02-21T15:10:20.200+00:00,tutor,tutor,1,,,
,,,"this by x plus 2,",2023-02-21T15:10:20.960+00:00,2023-02-21T15:10:22.770+00:00,tutor,tutor,1,,,
,,,then I get,2023-02-21T15:10:24.900+00:00,2023-02-21T15:10:27.620+00:00,tutor,tutor,1,,,
,,,remain. There is 0.,2023-02-21T15:10:28.820+00:00,2023-02-21T15:10:30.550+00:00,tutor,tutor,1,,,
,,,So that's what factor means. and the fact that hit him says that,2023-02-21T15:10:38.760+00:00,2023-02-21T15:10:46.830+00:00,tutor,tutor,1,,,
,,,if F. Of,2023-02-21T15:10:48.419+00:00,2023-02-21T15:10:51.380+00:00,tutor,tutor,1,,,
,,,"A is equal t0 0,",2023-02-21T15:10:51.390+00:00,2023-02-21T15:10:54.060+00:00,tutor,tutor,1,,,
,,,then,2023-02-21T15:10:59.040+00:00,2023-02-21T15:11:00.060+00:00,tutor,tutor,1,,,
,,,X minus a,2023-02-21T15:11:01.180+00:00,2023-02-21T15:11:03.270+00:00,tutor,tutor,1,,,
,,,is a factor,2023-02-21T15:11:04.900+00:00,2023-02-21T15:11:07.270+00:00,tutor,tutor,1,,,
,,,of F. Of X.,2023-02-21T15:11:08.920+00:00,2023-02-21T15:11:11.090+00:00,tutor,tutor,1,,,
