problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491 (B2),,1.0,"Hello, everyone! There's something a couple of people. But I wanted to get started with a couple questions from the last test that",2023-03-04T08:00:12.320-08:00,2023-03-04T08:00:19.380-08:00,tutor,tutor,1,,,
,,,some people ask me to go over so,2023-03-04T08:00:20.770-08:00,2023-03-04T08:00:22.500-08:00,tutor,tutor,1,,,
,,,I I could start with that.,2023-03-04T08:00:22.550-08:00,2023-03-04T08:00:24.840-08:00,tutor,tutor,1,,,
,-1.0,1.0,"I didn't get a chance to go over these, because I was more concerned about going over the ones that most people got wrong last time, but not thinking. Alright, so I want to show Number 13 here",2023-03-04T08:00:27.460-08:00,2023-03-04T08:00:37.890-08:00,tutor,tutor,2,,-1.0,
,,,because it's pretty important. You're gonna see questions structured like this very often on the on the test.,2023-03-04T08:00:39.280-08:00,2023-03-04T08:00:44.980-08:00,tutor,tutor,2,,-1.0,
,,,And it's really not a difficult,2023-03-04T08:00:46.530-08:00,2023-03-04T08:00:48.220-08:00,tutor,tutor,2,,-1.0,
,,,concept like in in terms of,2023-03-04T08:00:49.580-08:00,2023-03-04T08:00:52.450-08:00,tutor,tutor,2,,-1.0,
,,,"solving the actual problem. There is not really a complicated procedure behind it. Basically, they give you a function, usually some sort of a polynomial. They tell you it has 2 X intercepts, and they ask you to find a distance between.",2023-03-04T08:00:52.570-08:00,2023-03-04T08:01:04.590-08:00,tutor,tutor,2,,-1.0,
,,,Questions like these are like the most typical sat questions.,2023-03-04T08:01:06.360-08:00,2023-03-04T08:01:10.150-08:00,tutor,tutor,2,,-1.0,
,,,So I mean in this case it's pretty straightforward. They give you the function. So our first,2023-03-04T08:01:10.190-08:00,2023-03-04T08:01:15.280-08:00,tutor,tutor,2,,-1.0,
,,,object it would be to factor it out. Now. how you prefer to do that is up to you.,2023-03-04T08:01:15.510-08:00,2023-03-04T08:01:21.500-08:00,tutor,tutor,2,,-1.0,
,,,"I personally, for for something like this I would just use like a guess and check.",2023-03-04T08:01:21.790-08:00,2023-03-04T08:01:26.940-08:00,tutor,tutor,2,,-1.0,
,,,"But if if you're ever in doubt, you can always do the quadratic formula, that's never gonna never going to fail.",2023-03-04T08:01:27.050-08:00,2023-03-04T08:01:33.730-08:00,tutor,tutor,2,,-1.0,
,,,so I I can show you how you know we would do that in this case.,2023-03-04T08:01:35.540-08:00,2023-03-04T08:01:38.680-08:00,tutor,tutor,2,,-1.0,
,,,"But let me start with with the guess and check. So in this case, right, we have",2023-03-04T08:01:39.770-08:00,2023-03-04T08:01:43.170-08:00,tutor,tutor,2,,-1.0,
,,,"no leading term here right in this in this equation, right? So we we know that there's no factor on the outside of the X,",2023-03-04T08:01:43.220-08:00,2023-03-04T08:01:50.770-08:00,tutor,tutor,2,,-1.0,
,,,"or in this case the X squared right, and so we know that",2023-03-04T08:01:51.390-08:00,2023-03-04T08:01:54.630-08:00,tutor,tutor,2,,-1.0,
,,,"our our constant is for right. So if we, if we if we think back to our polynomial",2023-03-04T08:01:55.460-08:00,2023-03-04T08:02:01.300-08:00,tutor,tutor,2,,-1.0,
,,,"format right usually for a binomial, it's something like this: right. We have X.",2023-03-04T08:02:02.000-08:00,2023-03-04T08:02:07.490-08:00,tutor,tutor,2,,-1.0,
,,,"In this case i'm gonna say plus something. And then X. Well, given that both of these signs are positive.",2023-03-04T08:02:07.910-08:00,2023-03-04T08:02:16.600-08:00,tutor,tutor,2,,-1.0,
,,,i'll say it's positive and positive.,2023-03-04T08:02:16.950-08:00,2023-03-04T08:02:19.100-08:00,tutor,tutor,2,,-1.0,
