problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491 (B2),,1.0,We,2023-03-05T09:52:03.280-08:00,2023-03-05T09:52:07.090-08:00,tutor,tutor,1,,,
,,,hey? True. What's up?,2023-03-05T09:53:43.720-08:00,2023-03-05T09:53:45.380-08:00,tutor,tutor,1,,,
,,,And then I'm: Good.,2023-03-05T09:53:49.400-08:00,2023-03-05T09:53:51.570-08:00,student,student A,1,,,
,,,"Hey, Green, how was your week been?",2023-03-05T09:53:55.200-08:00,2023-03-05T09:53:58.060-08:00,tutor,tutor,1,,,
,,,Was it fine?,2023-03-05T09:54:00.230-08:00,2023-03-05T09:54:01.340-08:00,tutor,tutor,1,,,
,,,"Yeah, it was Okay. Well.",2023-03-05T09:54:01.840-08:00,2023-03-05T09:54:04.040-08:00,student,student A,1,,,
,,,"Yeah. Mine, too. I guess it. It was fine that that.",2023-03-05T09:54:09.440-08:00,2023-03-05T09:54:14.640-08:00,tutor,tutor,1,,,
,,,So what do you plan on doing for college? Do you plan on going to America,2023-03-05T10:00:21.090-08:00,2023-03-05T10:00:26.850-08:00,tutor,tutor,1,,,
,,,"for university, I mean.",2023-03-05T10:00:32.299-08:00,2023-03-05T10:00:33.870-08:00,tutor,tutor,1,,,
,,,"which which, Major, you want to study.",2023-03-05T10:00:40.169-08:00,2023-03-05T10:00:43.330-08:00,tutor,tutor,1,,,
,,,"Is there any like States, or a specific State or a university that you want to? If you want to go to.",2023-03-05T10:01:00.450-08:00,2023-03-05T10:01:08.210-08:00,tutor,tutor,1,,,
,,,Is there any like specific state or university that you want to go to for?,2023-03-05T10:01:26.940-08:00,2023-03-05T10:01:33.100-08:00,tutor,tutor,1,,,
,,,Sorry. What's Aj: You.,2023-03-05T10:02:27.520-08:00,2023-03-05T10:02:30.170-08:00,tutor,tutor,1,,,
,,,"Okay, John Hopkins. Yeah.",2023-03-05T10:02:49.140-08:00,2023-03-05T10:02:51.510-08:00,tutor,tutor,1,,,
,,,"yeah, that seems that sounds really great. As a major. I i'm really interested in AI as well, but not so much with biology. I don't really like biology.",2023-03-05T10:02:55.410-08:00,2023-03-05T10:03:06.700-08:00,tutor,tutor,1,,,
,,,"Yeah, I mean Mit is really really hard to get into. From what I've heard. Fortunately, Stanford Doesn't give i'm not sure. But I don't think Stanford gives a lot of scholarships to international students.",2023-03-05T10:03:06.880-08:00,2023-03-05T10:03:22.290-08:00,tutor,tutor,1,,,
,,,but I don't know much about John John Hopkins University. I think I know one person who,2023-03-05T10:03:22.340-08:00,2023-03-05T10:03:28.590-08:00,tutor,tutor,1,,,
,,,"who got admitted into there, but I don't know their details. I don't know what they did or how they got admitted anything.",2023-03-05T10:03:28.650-08:00,2023-03-05T10:03:35.720-08:00,tutor,tutor,1,,,
,,,"But yeah, that that sounds great. I think",2023-03-05T10:03:36.620-08:00,2023-03-05T10:03:39.460-08:00,tutor,tutor,1,,,
,,,I think you'll have a real shop?,2023-03-05T10:03:40.380-08:00,2023-03-05T10:03:42.020-08:00,tutor,tutor,1,,,
,,,"No, yeah, I mean it. It's it's really difficult. It's a really difficult process. The I you applied to like a lot of universities this year as well.",2023-03-05T10:04:13.150-08:00,2023-03-05T10:04:24.450-08:00,tutor,tutor,1,,,
,,,"and it it's it's really hard, but I think I think you can do it. It's like it. It it it's doable. It's very doable if you have the will to do it, I guess if you really want to.",2023-03-05T10:04:24.510-08:00,2023-03-05T10:04:34.960-08:00,tutor,tutor,1,,,
,,,"Now. okay, i'm sharing welcome, Yari and welcome video as Well, how are you guys? How are you all?",2023-03-05T10:04:37.830-08:00,2023-03-05T10:04:46.130-08:00,tutor,tutor,1,,,
,,,It's good. How are you?,2023-03-05T10:04:48.780-08:00,2023-03-05T10:04:50.270-08:00,student,student B,1,,,
