problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495 (A4),,1.0,"Oh, that's",2023-02-19T22:18:09.590+00:00,2023-02-19T22:18:10.680+00:00,tutor,tutor,1,,,
,,,"Hi, guys. Are you able to hear me?",2023-02-19T22:32:29.540+00:00,2023-02-19T22:32:31.840+00:00,tutor,tutor,1,,,
,,,Okay. So this session layout will be the same thing as yesterday. We're just gonna do like a short review thing and then do the test.,2023-02-19T22:32:33.680+00:00,2023-02-19T22:32:44.170+00:00,tutor,tutor,1,,,
,,,"So yeah, let me send like the Google Docs and the form in the chat. And then you guys can get started most of the questions today on like the review, or like multiple choice like there's only one that's free response. So I think it should be like a little bit like less time that you guys need. But just like yesterday let me know.",2023-02-19T22:32:44.290+00:00,2023-02-19T22:33:03.960+00:00,tutor,tutor,1,,,
,,,So let me send,2023-02-19T22:33:04.030+00:00,2023-02-19T22:33:06.380+00:00,tutor,tutor,1,,,
,,,"it the document, and then the Google for",2023-02-19T22:33:06.830+00:00,2023-02-19T22:33:10.130+00:00,tutor,tutor,1,,,
,,,okay. So you guys can get started when you want. Just let me know when you guys are finished. I'll try to keep a session a little bit shorter today. But yeah.,2023-02-19T22:33:20.620+00:00,2023-02-19T22:33:29.640+00:00,tutor,tutor,1,,,
,,,"hmm, hi, guys, I think everybody should be close to getting done. Just type in the chat once you're done, and then we can g0 0ver it.",2023-02-19T22:47:19.540+00:00,2023-02-19T22:47:26.160+00:00,tutor,tutor,1,,,
,,,"Okay, guys. So I think we should g0 0ver it now. Does anybody have like any questions? They want me to g0 0ver right now",2023-02-19T22:49:20.360+00:00,2023-02-19T22:49:27.870+00:00,tutor,tutor,1,,,
,,,on the review.,2023-02-19T22:49:29.920+00:00,2023-02-19T22:49:30.860+00:00,tutor,tutor,1,,,
,-1.0,1.0,"Can you g0 0ver Question 6. I think it like 15. No, actually, I think it's 10 0n the review sheet.",2023-02-19T22:49:34.520+00:00,2023-02-19T22:49:41.660+00:00,student,student A,2,,-1.0,
