problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485 (A1),,1.0,Hello!,2023-02-13T15:49:42.880-08:00,2023-02-13T15:49:43.970-08:00,tutor,tutor,1,,,
,,,Can you hear me?,2023-02-13T15:49:46.480-08:00,2023-02-13T15:49:47.760-08:00,tutor,tutor,1,,,
,,,Hello! Hello!,2023-02-13T15:49:49.370-08:00,2023-02-13T15:49:50.950-08:00,student,student A,1,,,
,,,"Yeah. Hi, I is it? Nando? Is that you pronounce it? Yeah. And then okay, thank you.",2023-02-13T15:49:51.040-08:00,2023-02-13T15:49:57.850-08:00,student,student A,1,,,
,,,"So like when we start at like the like 6,",2023-02-13T15:49:58.430-08:00,2023-02-13T15:50:03.540-08:00,tutor,tutor,1,,,
,,,"if you can, you turn on your camera or is, if it's fine. Yeah.",2023-02-13T15:50:03.640-08:00,2023-02-13T15:50:08.360-08:00,tutor,tutor,1,,,
,,,hey? Hi!,2023-02-13T15:50:08.400-08:00,2023-02-13T15:50:10.030-08:00,tutor,tutor,1,,,
,,,I guess we just wait for more people to join.,2023-02-13T15:50:10.480-08:00,2023-02-13T15:50:13.100-08:00,student,student A,1,,,
,,,Yeah.,2023-02-13T15:50:13.380-08:00,2023-02-13T15:50:14.140-08:00,student,student A,1,,,
,,,Okay.,2023-02-13T15:50:15.740-08:00,2023-02-13T15:50:16.430-08:00,tutor,tutor,1,,,
,,,"hello, Alia. is how you say it.",2023-02-13T15:55:45.620-08:00,2023-02-13T15:55:48.280-08:00,tutor,tutor,1,,,
,,,"Yeah, Leah.",2023-02-13T15:55:49.240-08:00,2023-02-13T15:55:51.230-08:00,student,student B,1,,,
,,,So we should get started in a few minutes.,2023-02-13T15:55:52.130-08:00,2023-02-13T15:55:55.039-08:00,tutor,tutor,1,,,
,,,So until then we just wait until some people trickle in.,2023-02-13T15:55:56.340-08:00,2023-02-13T15:55:59.830-08:00,tutor,tutor,1,,,
,,,"Okay, I think you should be good to start now.",2023-02-13T16:00:10.130-08:00,2023-02-13T16:00:13.360-08:00,tutor,tutor,1,,,
,,,"We have 6 people out of 12 so far, but we'll see if more people want to come. Join.",2023-02-13T16:00:13.570-08:00,2023-02-13T16:00:20.360-08:00,tutor,tutor,1,,,
,,,"If you all want to turn on your cameras, you can.",2023-02-13T16:00:21.980-08:00,2023-02-13T16:00:24.710-08:00,tutor,tutor,1,,,
,,,if you have like a reason not t0 0r whatever you can just personally message me in the chat. I can,2023-02-13T16:00:24.830-08:00,2023-02-13T16:00:30.730-08:00,tutor,tutor,1,,,
