problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,Okay. So,2023-03-07T13:05:12.950-08:00,2023-03-07T13:05:14.460-08:00,tutor,tutor,1,,,
,,,"hello, everybody. Welcome to",2023-03-07T13:05:14.760-08:00,2023-03-07T13:05:18.250-08:00,tutor,tutor,1,,,
,,,our last day of Sat Boot Camp.,2023-03-07T13:05:18.350-08:00,2023-03-07T13:05:22.290-08:00,tutor,tutor,1,,,
,,,Today is,2023-03-07T13:05:23.730-08:00,2023-03-07T13:05:25.740-08:00,tutor,tutor,1,,,
,,,"day, 2 of week, Number 4, and our welcome skill will be prep for test day.",2023-03-07T13:05:26.330-08:00,2023-03-07T13:05:36.550-08:00,tutor,tutor,1,,,
,,,So,2023-03-07T13:05:37.720-08:00,2023-03-07T13:05:38.860-08:00,tutor,tutor,1,,,
,,,"the welcome question overall is, how are we feeling going into test day?",2023-03-07T13:05:39.820-08:00,2023-03-07T13:05:45.280-08:00,tutor,tutor,1,,,
,,,And if you can share something you learned during the boot camp that you'll be taking in the test date.,2023-03-07T13:05:45.570-08:00,2023-03-07T13:05:50.850-08:00,tutor,tutor,1,,,
,,,Same thing as always.,2023-03-07T13:05:51.010-08:00,2023-03-07T13:05:53.520-08:00,tutor,tutor,1,,,
,,,just.,2023-03-07T13:05:53.600-08:00,2023-03-07T13:05:54.830-08:00,tutor,tutor,1,,,
,,,"you know. Give your answer, and then just call on somebody else.",2023-03-07T13:05:55.760-08:00,2023-03-07T13:05:59.240-08:00,tutor,tutor,1,,,
,,,So let's start with [STUDENT_6].,2023-03-07T13:05:59.300-08:00,2023-03-07T13:06:03.690-08:00,tutor,tutor,1,,,
,,,I'm. Feeling like much better prepared than I was before I took this class definitely like.,2023-03-07T13:06:08.310-08:00,2023-03-07T13:06:14.570-08:00,student,student A,1,,,
,,,"I understand the questions more, and not only can answer them better, but, like",2023-03-07T13:06:15.130-08:00,2023-03-07T13:06:20.280-08:00,student,student A,1,,,
,,,"actually, I'm actually able to like read the question.",2023-03-07T13:06:20.290-08:00,2023-03-07T13:06:22.630-08:00,student,student A,1,,,
,,,I'm going to call on [STUDENT_4],2023-03-07T13:06:28.780-08:00,2023-03-07T13:06:32.540-08:00,student,student A,1,,,
,,,"[STUDENT_4] in the chat says, I feel more prepared and more confident.",2023-03-07T13:06:51.460-08:00,2023-03-07T13:06:56.799-08:00,tutor,tutor,1,,,
,,,"Yeah, going into the test date, which is really good to hear.",2023-03-07T13:06:58.850-08:00,2023-03-07T13:07:03.300-08:00,tutor,tutor,1,,,
,,,How about we get Tania to go next?,2023-03-07T13:07:06.300-08:00,2023-03-07T13:07:10.180-08:00,tutor,tutor,1,,,
,,,"I'm so nervous about test day. But Ashley, learning about the tips like when it tips like You have to skip the it's better for you to skip like the last multiple-choice clusters. See? It started doing the grid",2023-03-07T13:07:14.530-08:00,2023-03-07T13:07:30.400-08:00,student,student B,1,,,
,,,work that Ashley held me there. So yeah.,2023-03-07T13:07:30.540-08:00,2023-03-07T13:07:34.560-08:00,student,student B,1,,,
,,,and on [STUDENT_3] D:,2023-03-07T13:07:35.080-08:00,2023-03-07T13:07:37.880-08:00,student,student B,1,,,
,,,"So in the chat put a victoria put. I've learned and seen all my week spots regarding Matt, and now know what to study and review for the sat",2023-03-07T13:07:44.410-08:00,2023-03-07T13:07:54.160-08:00,tutor,tutor,1,,,
,,,that is always good to hear. And,2023-03-07T13:07:55.560-08:00,2023-03-07T13:08:00.400-08:00,tutor,tutor,1,,,
,,,and [STUDENT_3] calls on [STUDENT_1].,2023-03-07T13:08:02.680-08:00,2023-03-07T13:08:04.720-08:00,tutor,tutor,1,,,
,,,"I would say, I learned system of equations pretty good. Just some of the good core concepts we've been going over. Yeah.",2023-03-07T13:08:05.870-08:00,2023-03-07T13:08:13.220-08:00,student,student C,1,,,
,,,"yeah, that sounds good. I think that was everybody.",2023-03-07T13:08:16.350-08:00,2023-03-07T13:08:20.140-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-07T13:08:21.720-08:00,2023-03-07T13:08:23.910-08:00,tutor,tutor,1,,,
,,,"yes. that was everybody, I think. Okay. So to perform your best on test today. remember to",2023-03-07T13:08:24.810-08:00,2023-03-07T13:08:35.960-08:00,tutor,tutor,1,,,
,,,"get a good night's sleep, either healthy breakfast and get to the test site a little early.",2023-03-07T13:08:36.280-08:00,2023-03-07T13:08:41.800-08:00,tutor,tutor,1,,,
,,,"Yeah, these are all like",2023-03-07T13:08:44.700-08:00,2023-03-07T13:08:46.740-08:00,tutor,tutor,1,,,
,,,good things for the day of the test. It gives this link for here some other great tips. It's. It brings you to Khan Academy to the day before to relax avoid screen time.,2023-03-07T13:08:47.470-08:00,2023-03-07T13:09:01.570-08:00,tutor,tutor,1,,,
