problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489.0,,1.0,Hello!,2023-02-18T21:58:16.620+00:00,2023-02-18T21:58:17.810+00:00,tutor,tutor,1,,,
,,,How are you guys today?,2023-02-18T21:58:20.620+00:00,2023-02-18T21:58:22.230+00:00,tutor,tutor,1,,,
,,,Hi and I'm. Good.,2023-02-18T21:58:23.850+00:00,2023-02-18T21:58:25.840+00:00,student,student A,1,,,
,,,Nice!,2023-02-18T21:58:25.950+00:00,2023-02-18T21:58:26.860+00:00,tutor,tutor,1,,,
,,,"Hi, Rachel.",2023-02-18T21:58:37.630+00:00,2023-02-18T21:58:38.910+00:00,tutor,tutor,1,,,
,,,"Okay, we'll get started in a couple of minutes and just let some people join it.",2023-02-18T21:59:16.200+00:00,2023-02-18T21:59:21.920+00:00,tutor,tutor,1,,,
,,,"Okay, we'll go ahead and get started now. So firstly, Hello, everyone. I hope everyone's had a great week, and",2023-02-18T22:01:03.240+00:00,2023-02-18T22:01:11.910+00:00,tutor,tutor,1,,,
,,,"we'll go ahead and start once again. I just encourage you guys to turn on your cameras, and when we're reviewing or practicing, feel free to unmute at any time and interrupt me. You guys have any questions.",2023-02-18T22:01:13.770+00:00,2023-02-18T22:01:24.690+00:00,tutor,tutor,1,,,
,,,Okay?,2023-02-18T22:01:25.560+00:00,2023-02-18T22:01:26.230+00:00,tutor,tutor,1,,,
,,,So,2023-02-18T22:01:27.530+00:00,2023-02-18T22:01:28.810+00:00,tutor,tutor,1,,,
,,,"okay, welcome to week 2. So we have.",2023-02-18T22:01:32.490+00:00,2023-02-18T22:01:37.380+00:00,tutor,tutor,1,,,
,,,"This is our third session, and I want to start off with a little bit of an icebreaker. So",2023-02-18T22:01:37.640+00:00,2023-02-18T22:01:43.630+00:00,tutor,tutor,1,,,
,,,what's your guys's favorite subject in school? And if you guys can use the raise hand function on,2023-02-18T22:01:44.060+00:00,2023-02-18T22:01:51.810+00:00,tutor,tutor,1,,,
,,,on,2023-02-18T22:01:52.960+00:00,2023-02-18T22:01:54.260+00:00,tutor,tutor,1,,,
,,,"zoom, then go ahead and use that. And then.",2023-02-18T22:01:54.270+00:00,2023-02-18T22:01:57.690+00:00,tutor,tutor,1,,,
,,,"after your like kind of introduced your favorite subject in school, and maybe like a little bit about why you love it so much. Then you can go ahead and popcorn off to another. There.",2023-02-18T22:01:57.970+00:00,2023-02-18T22:02:07.370+00:00,tutor,tutor,1,,,
,,,hey? Any volunteers to go first?,2023-02-18T22:02:07.900+00:00,2023-02-18T22:02:09.760+00:00,tutor,tutor,1,,,
,,,Okay. Ch.,2023-02-18T22:02:16.420+00:00,2023-02-18T22:02:17.300+00:00,tutor,tutor,1,,,
,,,"Okay, [STUDENT_1]: do you want to go Budget.",2023-02-18T22:02:38.180+00:00,2023-02-18T22:02:41.250+00:00,tutor,tutor,1,,,
,,,"Yeah, I'd probably say I like physics.",2023-02-18T22:02:41.770+00:00,2023-02-18T22:02:45.470+00:00,student,student B,1,,,
,,,and for like,2023-02-18T22:02:45.880+00:00,2023-02-18T22:02:47.419+00:00,student,student B,1,,,
,,,"physics, one. But physics 2 kind of kills me right now. Okay, nice. Do you have a reason why you like physics so much, or",2023-02-18T22:02:47.600+00:00,2023-02-18T22:02:55.909+00:00,student,student B,1,,,
,,,I've always been interested in like,2023-02-18T22:02:56.909+00:00,2023-02-18T22:03:00.770+00:00,student,student B,1,,,
,,,astronomy. So I wanted to go into that career.,2023-02-18T22:03:01.220+00:00,2023-02-18T22:03:04.350+00:00,student,student B,1,,,
,,,"Oh, awesome",2023-02-18T22:03:04.730+00:00,2023-02-18T22:03:05.850+00:00,tutor,tutor,1,,,
