problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488.0,,1.0,"Hey, All come in, Everybody thanks for coming early. We'll start in about 5 min. Fully. Wait for everybody else to join.",2023-02-18T16:29:46.930+00:00,2023-02-18T16:29:54.670+00:00,tutor,tutor,1,,,
,,,"Hey? Welcome, and everybody. We're gonna start in just a bit. We're gonna wait couple of more minutes to let people come and join.",2023-02-18T16:32:31.600+00:00,2023-02-18T16:32:39.390+00:00,tutor,tutor,1,,,
,,,"Alright, that's good started. So today we're gonna be doing. I'm gonna be giving you guys something test taking tips, and then we'll go ahead and do another practice. Test.",2023-02-18T16:34:49.300+00:00,2023-02-18T16:35:02.660+00:00,tutor,tutor,1,,,
,,,This one will be a 3.,2023-02-18T16:35:03.140+00:00,2023-02-18T16:35:05.230+00:00,tutor,tutor,1,,,
,,,So first I wanted to give you guys this thing,2023-02-18T16:35:06.329+00:00,2023-02-18T16:35:10.960+00:00,tutor,tutor,1,,,
,,,a a warm up.,2023-02-18T16:35:11.099+00:00,2023-02-18T16:35:12.440+00:00,tutor,tutor,1,,,
,,,"Basically i'm just gonna try to do this every day. We have our tutoring sessions, and it'll just be some simple question, and then all you have to do is like, Give a quick answer, and then we'll try to popcorn to another learner.",2023-02-18T16:35:13.599+00:00,2023-02-18T16:35:28.850+00:00,tutor,tutor,1,,,
,,,"So today's question is. if you have the ability to transform back and forth from an animal form, what animal would you choose? And why.",2023-02-18T16:35:29.430+00:00,2023-02-18T16:35:38.550+00:00,tutor,tutor,1,,,
,,,so? I'll start so. When I made this question I was thinking of transforming into an Orca.,2023-02-18T16:35:39.660+00:00,2023-02-18T16:35:49.050+00:00,tutor,tutor,1,,,
,,,"because they are smart creatures, and also good swimmers, and i'm not that great of a swimmer. So it would be helpful if I could just like, swim somewhere and then transform back.",2023-02-18T16:35:49.180+00:00,2023-02-18T16:36:01.200+00:00,tutor,tutor,1,,,
,,,"Okay. And then next [STUDENT_1], do you want to share?",2023-02-18T16:36:01.560+00:00,2023-02-18T16:36:06.280+00:00,tutor,tutor,1,,,
,,,"Yeah, you can just unmute and talk or type if you're more comfortable with that.",2023-02-18T16:36:19.680+00:00,2023-02-18T16:36:26.460+00:00,tutor,tutor,1,,,
,,,"Oh, if you're not sure that's okay. A lion.",2023-02-18T16:36:49.270+00:00,2023-02-18T16:36:52.650+00:00,tutor,tutor,1,,,
,,,"I would like to be a bird, so I could see what it's like to fly. Yeah, that's pretty cool, too. And Chris, do you want to share.",2023-02-18T16:37:04.040+00:00,2023-02-18T16:37:14.510+00:00,tutor,tutor,1,,,
,,,"I'd probably be like a spoiled dog like a poodle, because they like, get taken care of, like.",2023-02-18T16:37:19.060+00:00,2023-02-18T16:37:24.790+00:00,student,student A,1,,,
,,,you know.,2023-02-18T16:37:25.730+00:00,2023-02-18T16:37:26.710+00:00,student,student A,1,,,
,,,"Oh, yeah, it's a pretty interesting. It's an interesting pick. I've never really heard that perspective before. But yeah, that sounds appealing.",2023-02-18T16:37:27.640+00:00,2023-02-18T16:37:37.030+00:00,tutor,tutor,1,,,
,,,Melanie. Do you want to share?,2023-02-18T16:37:40.840+00:00,2023-02-18T16:37:42.690+00:00,tutor,tutor,1,,,
,,,"Oh, yeah, I think I would be a shark. I don't know.",2023-02-18T16:37:43.910+00:00,2023-02-18T16:37:47.830+00:00,student,student B,1,,,
,,,"I like the ocean, and I think sharks are pretty cool.",2023-02-18T16:37:48.310+00:00,2023-02-18T16:37:50.920+00:00,student,student B,1,,,
,,,"It's Also, you guys after you share. You can just like call on somebody who hasn't gone yet.",2023-02-18T16:37:52.990+00:00,2023-02-18T16:37:58.680+00:00,tutor,tutor,1,,,
,,,[STUDENT_4].,2023-02-18T16:38:10.580+00:00,2023-02-18T16:38:11.720+00:00,tutor,tutor,1,,,
,,,I would choose like a mole or a groundhog. Something like that.,2023-02-18T16:38:14.360+00:00,2023-02-18T16:38:19.440+00:00,student,student C,1,,,
,,,Hmm. Go underground.,2023-02-18T16:38:20.950+00:00,2023-02-18T16:38:24.380+00:00,tutor,tutor,1,,,
,,,Yeah. Spanning control,2023-02-18T16:38:25.380+00:00,2023-02-18T16:38:28.260+00:00,student,student C,1,,,
,,,next Oscar.,2023-02-18T16:38:30.600+00:00,2023-02-18T16:38:32.830+00:00,tutor,tutor,1,,,
,,,I think maybe like a,2023-02-18T16:38:35.300+00:00,2023-02-18T16:38:38.070+00:00,student,student D,1,,,
,,,"that type of ape, or like a gorilla or something, because I think they're cool",2023-02-18T16:38:38.190+00:00,2023-02-18T16:38:41.710+00:00,student,student D,1,,,
,,,and they they're kind of chill. So I don't know.,2023-02-18T16:38:41.820+00:00,2023-02-18T16:38:44.810+00:00,student,student D,1,,,
,,,Yeah. Nice,2023-02-18T16:38:45.500+00:00,2023-02-18T16:38:46.660+00:00,tutor,tutor,1,,,
,,,next remy.,2023-02-18T16:38:48.180+00:00,2023-02-18T16:38:50.140+00:00,tutor,tutor,1,,,
,,,I'd probably also say a bird just so like I could plot,2023-02-18T16:38:53.140+00:00,2023-02-18T16:38:56.680+00:00,tutor,tutor,1,,,
,,,"Renee Also, if I pronounce your name is wrong. You can correct me.",2023-02-18T16:39:00.080+00:00,2023-02-18T16:39:04.820+00:00,tutor,tutor,1,,,
,,,Let's see. I would say,2023-02-18T16:39:06.540+00:00,2023-02-18T16:39:09.330+00:00,student,student E,1,,,
,,,I feel like a cheater. because.,2023-02-18T16:39:10.790+00:00,2023-02-18T16:39:14.240+00:00,student,student E,1,,,
,,,like i'm on the track and field team at my school.,2023-02-18T16:39:14.880+00:00,2023-02-18T16:39:17.570+00:00,student,student E,1,,,
,,,and i'd want to be the fastest. And so yeah.,2023-02-18T16:39:17.630+00:00,2023-02-18T16:39:20.950+00:00,student,student E,1,,,
,,,Hmm. Nice.,2023-02-18T16:39:21.670+00:00,2023-02-18T16:39:22.960+00:00,student,student E,1,,,
,,,"all right. And then so the and then, [STUDENT_6].",2023-02-18T16:39:23.980+00:00,2023-02-18T16:39:27.410+00:00,tutor,tutor,1,,,
,,,"I would be a parrot because I had parrots growing up, and I thought they were pretty cool.",2023-02-18T16:39:29.580+00:00,2023-02-18T16:39:35.290+00:00,tutor,tutor,1,,,
,,,Nice!,2023-02-18T16:39:36.440+00:00,2023-02-18T16:39:37.360+00:00,tutor,tutor,1,,,
,,,"I'd probably be a poodle like what person I have a poodle, and she's always happy. I love to be in a position.",2023-02-18T16:39:41.480+00:00,2023-02-18T16:39:47.810+00:00,student,student F,1,,,
,,,"Nice, nice, very cool. So a lot of",2023-02-18T16:39:50.070+00:00,2023-02-18T16:39:52.930+00:00,tutor,tutor,1,,,
,,,"flying, running and",2023-02-18T16:39:53.650+00:00,2023-02-18T16:39:57.010+00:00,tutor,tutor,1,,,
,,,bootles.,2023-02-18T16:39:57.080+00:00,2023-02-18T16:39:58.220+00:00,tutor,tutor,1,,,
,,,"Alright, so now let's move on t0 0ur",2023-02-18T16:40:00.550+00:00,2023-02-18T16:40:04.270+00:00,tutor,tutor,1,,,
,,,"test, taking tips.",2023-02-18T16:40:04.780+00:00,2023-02-18T16:40:06.720+00:00,tutor,tutor,1,,,
,,,"So the first tip is to answer every question. So some tests have this policy, where. if you like, guess a question and you get it wrong, then you like lose points for that. But the sat is not like that. So",2023-02-18T16:40:07.310+00:00,2023-02-18T16:40:23.340+00:00,tutor,tutor,1,,,
,,,"if you ever get stuck or you run out of time, then just like, guess every question. because there's like",2023-02-18T16:40:23.800+00:00,2023-02-18T16:40:30.560+00:00,tutor,tutor,1,,,
,,,there's like some chance that you get it right.,2023-02-18T16:40:30.740+00:00,2023-02-18T16:40:33.490+00:00,tutor,tutor,1,,,
,,,like even the,2023-02-18T16:40:34.250+00:00,2023-02-18T16:40:35.780+00:00,tutor,tutor,1,,,
,,,"even the grading questions. It's like a very, very small chance that you get it right, if you guess, but it's still worth guessing.",2023-02-18T16:40:36.270+00:00,2023-02-18T16:40:43.420+00:00,tutor,tutor,1,,,
,,,Okay.,2023-02-18T16:40:47.650+00:00,2023-02-18T16:40:48.360+00:00,tutor,tutor,1,,,
,,,And there's a strategy call letter of the day.,2023-02-18T16:40:48.910+00:00,2023-02-18T16:40:53.030+00:00,tutor,tutor,1,,,
,,,"And this is basically to just help you guess quickly. So you just guess, like the same letter for the rest of the question. So like a Aaa.",2023-02-18T16:40:53.260+00:00,2023-02-18T16:41:01.850+00:00,tutor,tutor,1,,,
,,,"or you could do B, or C or D, or whatever doesn't really matter. hey? Then the next tip",2023-02-18T16:41:02.210+00:00,2023-02-18T16:41:08.450+00:00,tutor,tutor,1,,,
,,,"is to go for the money. S0 0n the sat every question is worth the same amount of points. So if you have a really hard question, and you have a really easy question.",2023-02-18T16:41:08.790+00:00,2023-02-18T16:41:19.640+00:00,tutor,tutor,1,,,
,,,then it's always more work to to just do.,2023-02-18T16:41:19.790+00:00,2023-02-18T16:41:23.440+00:00,tutor,tutor,1,,,
,,,"or if you don't have time to do both of them, it's always worth to do the easy one, because they'll give you the same amount of points as doing the hard one. So if you feel like you're spending too long on something, feel free to just skip it and try to come back to it.",2023-02-18T16:41:23.580+00:00,2023-02-18T16:41:36.710+00:00,tutor,tutor,1,,,
,,,"A tip number 3 is difficulty overview. So like I said earlier, just do the easy questions first. and then usually",2023-02-18T16:41:39.450+00:00,2023-02-18T16:41:49.990+00:00,tutor,tutor,1,,,
,,,"the easy questions would be in the front, so you can do like one through like 20 0r something, and then",2023-02-18T16:41:50.090+00:00,2023-02-18T16:41:56.680+00:00,tutor,tutor,1,,,
,,,they'll look at the gradient if it's getting too difficult,2023-02-18T16:41:56.900+00:00,2023-02-18T16:41:59.940+00:00,tutor,tutor,1,,,
,,,right. The next section is about minimizing lost points. So the first way we can minimize our lost points is using the process of elimination.,2023-02-18T16:42:02.620+00:00,2023-02-18T16:42:14.290+00:00,tutor,tutor,1,,,
,,,So maybe you have a question. and you don't know the answer. But you know that one of the answers is definitely wrong. So if you know this.,2023-02-18T16:42:14.780+00:00,2023-02-18T16:42:26.100+00:00,tutor,tutor,1,,,
,,,"then when you guess if you eliminate one of the answers. Then now, there's only 3 answers left right, and if you guess, then you have a 33% chance of getting it right instead of a 25% chance.",2023-02-18T16:42:26.390+00:00,2023-02-18T16:42:38.260+00:00,tutor,tutor,1,,,
,,,So,2023-02-18T16:42:39.440+00:00,2023-02-18T16:42:40.610+00:00,tutor,tutor,1,,,
,,,"yeah, so many answers is pretty helpful. So you wanna eliminate false answers",2023-02-18T16:42:41.720+00:00,2023-02-18T16:42:47.810+00:00,tutor,tutor,1,,,
,,,and partially false answers. So if something is like even even like a little bit wrong. Then,2023-02-18T16:42:47.960+00:00,2023-02-18T16:42:55.950+00:00,tutor,tutor,1,,,
,,,"then, that one's like, not correct. And then, if there's 2 choices that are like",2023-02-18T16:42:57.200+00:00,2023-02-18T16:43:02.300+00:00,tutor,tutor,1,,,
,,,"the same number, for example, like 2, and like square root of 4. Then they're the same answer. Then they can both be correct. So both of them are probably wrong.",2023-02-18T16:43:02.380+00:00,2023-02-18T16:43:12.220+00:00,tutor,tutor,1,,,
,,,"Okay, the next tip prevent careless area. So this is a lot easier said than done, but with practice you can. All you do is more easily.",2023-02-18T16:43:13.610+00:00,2023-02-18T16:43:25.860+00:00,tutor,tutor,1,,,
,,,"So you want to make sure you slow down, but not too much, because you want to make sure you finish the test, but slow down enough so that you don't make silly mistakes.",2023-02-18T16:43:26.170+00:00,2023-02-18T16:43:36.590+00:00,tutor,tutor,1,,,
,,,Some people like to highlight keywords or underlying the question. or I guess not on the but some tests you can like highlight stuff if you need.,2023-02-18T16:43:37.020+00:00,2023-02-18T16:43:48.190+00:00,tutor,tutor,1,,,
,,,and then,2023-02-18T16:43:49.120+00:00,2023-02-18T16:43:50.400+00:00,tutor,tutor,1,,,
,,,"the the last part is double, checking the question before you move on. So you don't have to like, go through the whole thing, but at least look at some parts and make sure it's correct.",2023-02-18T16:43:51.480+00:00,2023-02-18T16:44:01.080+00:00,tutor,tutor,1,,,
,,,"Okay. And then last one is, do your work on paper.",2023-02-18T16:44:04.010+00:00,2023-02-18T16:44:07.480+00:00,tutor,tutor,1,,,
,,,"So you want to write down your steps. and especially in algebra, because if you try to do stuff in your head sometimes you'll get lost, or you mix up numbers, or you like accidentally",2023-02-18T16:44:07.510+00:00,2023-02-18T16:44:17.870+00:00,tutor,tutor,1,,,
,,,"mix up one in the numbers, so this can often confuse you.",2023-02-18T16:44:18.060+00:00,2023-02-18T16:44:22.080+00:00,tutor,tutor,1,,,
