problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,"Hey, Claudia, how are you doing",2023-02-13T15:22:58.030-08:00,2023-02-13T15:22:59.420-08:00,tutor,tutor,1,,,
,,,so? The session is going to start in about 7 min.,2023-02-13T15:23:05.880-08:00,2023-02-13T15:23:08.940-08:00,tutor,tutor,1,,,
,,,so just go and hang on site.,2023-02-13T15:23:09.220-08:00,2023-02-13T15:23:11.070-08:00,tutor,tutor,1,,,
,,,"Hey, guys, how's everyone doing here? How are we doing? Guys feel free to unmute? By the way.",2023-02-13T15:30:10.530-08:00,2023-02-13T15:30:15.660-08:00,tutor,tutor,1,,,
,,,or you just need to type in chat. How you guys doing today?,2023-02-13T15:30:18.900-08:00,2023-02-13T15:30:22.570-08:00,tutor,tutor,1,,,
,,,"Good. All right. Perfect guys. So it's 5 30. So we're going to get started doing okay, Great. I awesome guys. So we're gonna get started. You guys about 5 30, and people are trickling as you g0 0n. That's okay.",2023-02-13T15:30:30.920-08:00,2023-02-13T15:30:43.170-08:00,tutor,tutor,1,,,
,,,So let's see if i'm going to share my screen.,2023-02-13T15:30:43.780-08:00,2023-02-13T15:30:46.210-08:00,tutor,tutor,1,,,
,,,All right. Let's see.,2023-02-13T15:30:48.410-08:00,2023-02-13T15:30:49.620-08:00,tutor,tutor,1,,,
,,,Okay. So this is the school Sh boot camp. This is week. One day one of the sat march orientation. Let's see.,2023-02-13T15:30:50.980-08:00,2023-02-13T15:30:59.450-08:00,tutor,tutor,1,,,
,,,"So my name is Xian new science. I probably should have said my last name, but",2023-02-13T15:31:00.210-08:00,2023-02-13T15:31:05.990-08:00,tutor,tutor,1,,,
,,,it's okay. So I've been tutoring. This is my first time ever to doing the sat.,2023-02-13T15:31:06.010-08:00,2023-02-13T15:31:10.790-08:00,tutor,tutor,1,,,
,,,"But I've been tutoring, you know, Middle School elementary for a while now, so i'm looking forward to tutoring you guys for the sat",2023-02-13T15:31:10.850-08:00,2023-02-13T15:31:18.810-08:00,tutor,tutor,1,,,
,,,general interest. So,2023-02-13T15:31:20.250-08:00,2023-02-13T15:31:22.390-08:00,tutor,tutor,1,,,
,,,i'm into weight lifting.,2023-02-13T15:31:22.730-08:00,2023-02-13T15:31:24.240-08:00,tutor,tutor,1,,,
,,,I play some sports. Nothing too crazy.,2023-02-13T15:31:24.420-08:00,2023-02-13T15:31:27.150-08:00,tutor,tutor,1,,,
,,,"I'm sort of going to popcorn around, or i'm gonna talk about. You know our own interest where we're from. Go to follow the template just listed here.",2023-02-13T15:31:27.210-08:00,2023-02-13T15:31:34.010-08:00,tutor,tutor,1,,,
,,,I'm going too fast. Let me know. So let's see if anyone wants to start us unmute.,2023-02-13T15:31:34.560-08:00,2023-02-13T15:31:40.210-08:00,tutor,tutor,1,,,
,,,"Just introduce yourself where you're from, and what you hope from this bouquet",2023-02-13T15:31:40.750-08:00,2023-02-13T15:31:44.570-08:00,tutor,tutor,1,,,
,,,I can start first.,2023-02-13T15:31:51.660-08:00,2023-02-13T15:31:53.430-08:00,student,student A,1,,,
,,,My name is,2023-02-13T15:31:56.010-08:00,2023-02-13T15:31:58.170-08:00,student,student A,1,,,
,,,my name is Manuka.,2023-02-13T15:31:58.580-08:00,2023-02-13T15:32:00.140-08:00,student,student A,1,,,
,,,"I'm, from Florida, or like do you want to see, like where I'm from, or like where my family is from? You say both. It's okay. So you could say like, where you're located just like the general.",2023-02-13T15:32:00.250-08:00,2023-02-13T15:32:13.400-08:00,student,student A,1,,,
,,,"My family is from Haiti, so like i'm patient.",2023-02-13T15:32:13.650-08:00,2023-02-13T15:32:16.710-08:00,student,student A,1,,,
,,,and my hope for this boot yet,2023-02-13T15:32:16.980-08:00,2023-02-13T15:32:19.880-08:00,student,student A,1,,,
,,,is that I can increase by score because I'm trying to get at least a 35134013500n the ct.,2023-02-13T15:32:20.420-08:00,2023-02-13T15:32:31.180-08:00,student,student A,1,,,
,,,"Like overall. So I hope because math is what i'm struggling with, because I took the act before.",2023-02-13T15:32:31.330-08:00,2023-02-13T15:32:36.420-08:00,student,student A,1,,,
,,,and i'm hoping that,2023-02-13T15:32:36.500-08:00,2023-02-13T15:32:38.080-08:00,student,student A,1,,,
,,,by this I can increase my map so that my overall score me increase,2023-02-13T15:32:39.030-08:00,2023-02-13T15:32:43.260-08:00,student,student A,1,,,
,,,"alright, awesome. Thank you for introducing me. So first it takes a a lot of bravery. So do you want to go and call on anybody else? Go in and just call on someone random.",2023-02-13T15:32:44.960-08:00,2023-02-13T15:32:52.500-08:00,tutor,tutor,1,,,
,,,I have to call someone.,2023-02-13T15:32:55.920-08:00,2023-02-13T15:32:57.760-08:00,student,student A,1,,,
,,,"Yeah, You just call someone. It's okay.",2023-02-13T15:32:57.770-08:00,2023-02-13T15:32:59.730-08:00,tutor,tutor,1,,,
,,,Bye.,2023-02-13T15:33:01.730-08:00,2023-02-13T15:33:02.810-08:00,student,student A,1,,,
,,,I [STUDENT_2].,2023-02-13T15:33:04.760-08:00,2023-02-13T15:33:07.540-08:00,student,student A,1,,,
,,,"Okay, Hi. My name is [STUDENT_2].",2023-02-13T15:33:10.080-08:00,2023-02-13T15:33:12.910-08:00,student,student A,1,,,
,,,"I'm. From New Jersey, and my hope for the Sat boot camp",2023-02-13T15:33:12.980-08:00,2023-02-13T15:33:17.670-08:00,student,student B,1,,,
,,,"is to basically raise my score in the math section, because that is something I struggle with. So",2023-02-13T15:33:17.820-08:00,2023-02-13T15:33:24.630-08:00,student,student B,1,,,
,,,"yeah, I just hope to get back that",2023-02-13T15:33:24.910-08:00,2023-02-13T15:33:27.620-08:00,student,student B,1,,,
,,,"Alright, awesome thanks for sharing, do you? I go to calling someone else.",2023-02-13T15:33:29.330-08:00,2023-02-13T15:33:32.400-08:00,student,student B,1,,,
,,,We didn't go around until we call on everybody.,2023-02-13T15:33:32.870-08:00,2023-02-13T15:33:35.280-08:00,tutor,tutor,1,,,
