problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488.0,,1.0,Testing,2023-02-15T13:58:03.390-08:00,2023-02-15T13:58:04.750-08:00,tutor,tutor,1,,,
,,,one through,2023-02-15T13:58:05.000-08:00,2023-02-15T13:58:05.790-08:00,tutor,tutor,1,,,
,,,testing 1 2 1 2.,2023-02-15T13:58:08.900-08:00,2023-02-15T13:58:10.820-08:00,tutor,tutor,1,,,
,,,So,2023-02-15T13:58:13.570-08:00,2023-02-15T13:58:14.220-08:00,tutor,tutor,1,,,
,,,okay.,2023-02-15T13:59:30.250-08:00,2023-02-15T13:59:32.020-08:00,tutor,tutor,1,,,
,,,It's good for everyone else to join.,2023-02-15T13:59:33.900-08:00,2023-02-15T13:59:37.040-08:00,tutor,tutor,1,,,
,,,There should be 5 people today.,2023-02-15T13:59:41.040-08:00,2023-02-15T13:59:45.420-08:00,tutor,tutor,1,,,
,,,I'm up,2023-02-15T13:59:49.430-08:00,2023-02-15T13:59:50.650-08:00,tutor,tutor,1,,,
,,,right sure one on the top. That's fine.,2023-02-15T13:59:50.870-08:00,2023-02-15T13:59:54.660-08:00,tutor,tutor,1,,,
,,,because I know 2 people such and and just I mentioned plus last session. Well yesterday that they wouldn't be able to make it today. So i'll just,2023-02-15T13:59:55.030-08:00,2023-02-15T14:00:05.090-08:00,tutor,tutor,1,,,
,,,review,2023-02-15T14:00:05.860-08:00,2023-02-15T14:00:07.490-08:00,tutor,tutor,1,,,
,,,als0 0n the vide0 0f this class.,2023-02-15T14:00:09.090-08:00,2023-02-15T14:00:12.290-08:00,tutor,tutor,1,,,
,,,so they can view it themselves.,2023-02-15T14:00:13.330-08:00,2023-02-15T14:00:15.460-08:00,tutor,tutor,1,,,
,,,And then I i'll review their answers to you.,2023-02-15T14:00:20.430-08:00,2023-02-15T14:00:23.840-08:00,tutor,tutor,1,,,
,,,I I can hear you just fine.,2023-02-15T14:00:33.560-08:00,2023-02-15T14:00:35.390-08:00,student,student A,1,,,
,,,"Okay. Do you know, if you so, if you click on the microphone for yourself so soft the speaker. Can you see like, Can you try a different speaker and see if that works? Yeah, if you can't hear me.",2023-02-15T14:00:40.020-08:00,2023-02-15T14:00:52.950-08:00,tutor,tutor,1,,,
,,,sure,2023-02-15T14:01:25.290-08:00,2023-02-15T14:01:25.920-08:00,tutor,tutor,1,,,
,,,that's fine. Sorry about it. I have those moments as well.,2023-02-15T14:01:26.440-08:00,2023-02-15T14:01:29.660-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-15T14:01:30.210-08:00,2023-02-15T14:01:31.620-08:00,tutor,tutor,1,,,
,,,"So right now we're waiting on. Oh, trust us here. Okay.",2023-02-15T14:01:33.110-08:00,2023-02-15T14:01:38.780-08:00,tutor,tutor,1,,,
,,,Okay. So to my knowledge.,2023-02-15T14:01:42.840-08:00,2023-02-15T14:01:46.290-08:00,tutor,tutor,1,,,
,,,everyone who will be here today.,2023-02-15T14:01:47.650-08:00,2023-02-15T14:01:49.590-08:00,tutor,tutor,1,,,
,,,"so such, and I just got both mentioned to me that they were. I was attend this session, which is fine. They let me know ahead of time.",2023-02-15T14:01:49.960-08:00,2023-02-15T14:01:57.580-08:00,tutor,tutor,1,,,
,,,"So just to look if you guys are busy and can't make session, i'm i'm not a holiday, I think, against you, and just just let me know beforehand. So like I can tell you guys, what you guys need to d0 0kay.",2023-02-15T14:01:57.730-08:00,2023-02-15T14:02:07.779-08:00,tutor,tutor,1,,,
,,,So,2023-02-15T14:02:09.760-08:00,2023-02-15T14:02:10.470-08:00,tutor,tutor,1,,,
,,,okay.,2023-02-15T14:02:17.980-08:00,2023-02-15T14:02:18.590-08:00,tutor,tutor,1,,,
,,,there we g0 0kay.,2023-02-15T14:02:24.250-08:00,2023-02-15T14:02:26.410-08:00,tutor,tutor,1,,,
,,,alongside. So sorry,2023-02-15T14:02:33.400-08:00,2023-02-15T14:02:35.060-08:00,tutor,tutor,1,,,
,,,sometimes I hit Google.,2023-02-15T14:02:38.020-08:00,2023-02-15T14:02:39.340-08:00,tutor,tutor,1,,,
,,,"Alright. So to keep things off today, we're going to do it like a little bit of a check",2023-02-15T14:02:40.980-08:00,2023-02-15T14:02:47.610-08:00,tutor,tutor,1,,,
,,,from last week. So after this check,2023-02-15T14:02:47.800-08:00,2023-02-15T14:02:51.540-08:00,tutor,tutor,1,,,
,,,"Oh, this is awesome. All sorts of oops",2023-02-15T14:02:54.420-08:00,2023-02-15T14:02:57.060-08:00,tutor,tutor,1,,,
,,,after this check.,2023-02-15T14:02:59.200-08:00,2023-02-15T14:03:00.550-08:00,tutor,tutor,1,,,
,,,"All right. What? I'm. Still, i'm sorry.",2023-02-15T14:03:03.400-08:00,2023-02-15T14:03:07.330-08:00,tutor,tutor,1,,,
,,,"Oh, wait no, not i'm. I'm actually just I do something so stupid. Sorry we'll go back to reviewing",2023-02-15T14:03:10.910-08:00,2023-02-15T14:03:19.150-08:00,tutor,tutor,1,,,
,,,the questions that we missed last week.,2023-02-15T14:03:19.270-08:00,2023-02-15T14:03:21.790-08:00,tutor,tutor,1,,,
,,,because it's not I'm i'm tired. I'm sorry it's been a long. It's been a long day for me. I will go back to the questions that we missed or didn't get to g0 0ver last class or yesterday.,2023-02-15T14:03:22.080-08:00,2023-02-15T14:03:33.810-08:00,tutor,tutor,1,,,
,,,Okay. So,2023-02-15T14:03:33.890-08:00,2023-02-15T14:03:35.870-08:00,tutor,tutor,1,,,
,,,let me go back to sharing screen.,2023-02-15T14:03:37.350-08:00,2023-02-15T14:03:40.220-08:00,tutor,tutor,1,,,
,,,"So you guys see this right for next week, One day, 2,",2023-02-15T14:03:42.890-08:00,2023-02-15T14:03:46.590-08:00,tutor,tutor,1,,,
,,,"Yes, this",2023-02-15T14:03:46.610-08:00,2023-02-15T14:03:47.600-08:00,tutor,tutor,1,,,
,,,I see it,2023-02-15T14:03:47.680-08:00,2023-02-15T14:03:49.300-08:00,student,student A,1,,,
,,,great.,2023-02-15T14:03:49.480-08:00,2023-02-15T14:03:50.130-08:00,tutor,tutor,1,,,
,,,"So the welcome question, for today is. what's one word to describe how you feel about math. The maths at.",2023-02-15T14:03:50.660-08:00,2023-02-15T14:04:00.480-08:00,tutor,tutor,1,,,
,,,So just everyone just put one word you can either set out or just from the chat.,2023-02-15T14:04:01.840-08:00,2023-02-15T14:04:06.550-08:00,tutor,tutor,1,,,
,,,a lot of words.,2023-02-15T14:04:08.940-08:00,2023-02-15T14:04:11.030-08:00,tutor,tutor,1,,,
,,,"Okay, yeah, that's solid",2023-02-15T14:04:11.270-08:00,2023-02-15T14:04:13.180-08:00,tutor,tutor,1,,,
,,,stressed. First nervous. Okay.,2023-02-15T14:04:19.320-08:00,2023-02-15T14:04:22.400-08:00,tutor,tutor,1,,,
,,,i'm about to give an answer.,2023-02-15T14:04:29.350-08:00,2023-02-15T14:04:30.720-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-15T14:04:31.900-08:00,2023-02-15T14:04:33.850-08:00,tutor,tutor,1,,,
,,,And then how do you have to? This changes? I'm gonna give you some to say that you guys probably want to change something like a little bit more positive.,2023-02-15T14:04:35.100-08:00,2023-02-15T14:04:44.520-08:00,tutor,tutor,1,,,
,,,right.,2023-02-15T14:04:46.000-08:00,2023-02-15T14:04:46.770-08:00,tutor,tutor,1,,,
,,,So what would you guys like to have at the end of this per camp? Would you say,2023-02-15T14:04:47.190-08:00,2023-02-15T14:04:53.670-08:00,tutor,tutor,1,,,
,,,just each of you guys?,2023-02-15T14:05:04.080-08:00,2023-02-15T14:05:05.700-08:00,tutor,tutor,1,,,
,,,"And then, [STUDENT_2] like, how would you like that to change like we would like that's changed at the end of the cap.",2023-02-15T14:05:16.930-08:00,2023-02-15T14:05:22.270-08:00,tutor,tutor,1,,,
,,,I'm. I'm probably still gonna be in this. I don't think so.,2023-02-15T14:05:23.700-08:00,2023-02-15T14:05:26.580-08:00,student,student B,1,,,
,,,I disagree with that. Actually.,2023-02-15T14:05:34.090-08:00,2023-02-15T14:05:36.740-08:00,tutor,tutor,1,,,
,,,I think there's a disagree to where you you can.,2023-02-15T14:05:37.460-08:00,2023-02-15T14:05:40.990-08:00,tutor,tutor,1,,,
,,,if you can understand what questions that you definitely got right and wrong. And this is why I actually that part is,2023-02-15T14:05:41.870-08:00,2023-02-15T14:05:48.900-08:00,tutor,tutor,1,,,
,,,"mostly true of English. I I I hated taking an English section for this reason, because I thought I did fine, and then I got like.",2023-02-15T14:05:49.130-08:00,2023-02-15T14:06:01.790-08:00,tutor,tutor,1,,,
,,,and I think it's probably because I didn't pay too much attention in math class.,2023-02-15T14:06:01.920-08:00,2023-02-15T14:06:06.700-08:00,student,student B,1,,,
,,,"I think I had. Yeah, I I had tip on time on reading and math.",2023-02-15T14:06:11.880-08:00,2023-02-15T14:06:15.500-08:00,tutor,tutor,1,,,
,,,So I was just because I I I missed like a bunch of basic maths. I think I have like a 100 point difference between by mass. And,2023-02-15T14:06:15.510-08:00,2023-02-15T14:06:22.750-08:00,tutor,tutor,1,,,
,,,really I think,2023-02-15T14:06:23.049-08:00,2023-02-15T14:06:24.150-08:00,student,student B,1,,,
,,,"I think after 6 30, and my reading is like the 7 30.",2023-02-15T14:06:24.299-08:00,2023-02-15T14:06:28.640-08:00,student,student B,1,,,
,,,So yeah.,2023-02-15T14:06:28.960-08:00,2023-02-15T14:06:30.059-08:00,tutor,tutor,1,,,
,,,"reading yeah, it, it says last like 50 to it. It's the last like 7 50 t0 800 0n reading, though, that like really hurts",2023-02-15T14:06:31.179-08:00,2023-02-15T14:06:40.180-08:00,tutor,tutor,1,,,
,,,because,2023-02-15T14:06:40.280-08:00,2023-02-15T14:06:51.000-08:00,tutor,tutor,1,,,
,,,"English it's. I think this is right. But, math I I would like to so like when you feel anxious. I would say that's a result of like. Oh, I don't know i'm not sure all that.",2023-02-15T14:06:51.270-08:00,2023-02-15T14:07:02.260-08:00,tutor,tutor,1,,,
,,,"But I think in math, if you can know, because you can look over your answers and double-check them, and that that's what I Ironically, I don't do that good. I'm like the Math Calculator section actually probably like my worst part.",2023-02-15T14:07:02.460-08:00,2023-02-15T14:07:17.200-08:00,tutor,tutor,1,,,
,,,Oh.,2023-02-15T14:07:17.380-08:00,2023-02-15T14:07:24.880-08:00,tutor,tutor,1,,,
,,,honestly.,2023-02-15T14:07:25.340-08:00,2023-02-15T14:07:26.400-08:00,tutor,tutor,1,,,
,,,"the calculator section. There's a lot of questions in there that, like you don't need to use your calculator for",2023-02-15T14:07:26.660-08:00,2023-02-15T14:07:31.450-08:00,tutor,tutor,1,,,
,,,my very close to here.,2023-02-15T14:07:51.220-08:00,2023-02-15T14:07:52.900-08:00,tutor,tutor,1,,,
,,,There was a sampling methods question that I still disagree with.,2023-02-15T14:07:53.130-08:00,2023-02-15T14:07:56.180-08:00,tutor,tutor,1,,,
,,,"and I still remember it. But i'm i'm not going to bring it up. It's it's not appeared in any St. Since, so I think they've gotten rid of it. That type of question.",2023-02-15T14:07:56.190-08:00,2023-02-15T14:08:04.610-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-15T14:08:06.210-08:00,2023-02-15T14:08:06.920-08:00,tutor,tutor,1,,,
,,,"So for today we're going to be going to some tips. That's, I I guess I just did, but",2023-02-15T14:08:08.280-08:00,2023-02-15T14:08:15.330-08:00,tutor,tutor,1,,,
,,,"obviously like this, me a little bit more, and we're gonna so the target",2023-02-15T14:08:15.350-08:00,2023-02-15T14:08:20.810-08:00,tutor,tutor,1,,,
,,,group practice is just,2023-02-15T14:08:21.100-08:00,2023-02-15T14:08:23.720-08:00,tutor,tutor,1,,,
,,,"i'm going to g0 0ver the ones that we missed where we didn't get to last week, I supposed to say last week. Oh, my God! Sorry yesterday! And then we're gonna take another practice test. And then we're gonna g0 0ver some of the questions from this practice test.",2023-02-15T14:08:24.240-08:00,2023-02-15T14:08:36.180-08:00,tutor,tutor,1,,,
,,,And then,2023-02-15T14:08:36.230-08:00,2023-02-15T14:08:37.830-08:00,tutor,tutor,1,,,
,,,next week we'll review the ones that we don't get to this week.,2023-02-15T14:08:38.120-08:00,2023-02-15T14:08:42.260-08:00,tutor,tutor,1,,,
,,,So try to keep the ones in mind. Okay.,2023-02-15T14:08:43.620-08:00,2023-02-15T14:08:47.290-08:00,tutor,tutor,1,,,
,,,"So I'm: sorry for the time of myself. Actually, so. I remember",2023-02-15T14:08:47.540-08:00,2023-02-15T14:08:52.780-08:00,tutor,tutor,1,,,
,,,"we have what is it 35 min, which gives us to.",2023-02-15T14:08:53.530-08:00,2023-02-15T14:08:59.130-08:00,tutor,tutor,1,,,
,,,"Okay, I'll just tell myself 5 40 is how much start getting goes into your practice tests something like half an hour from now.",2023-02-15T14:08:59.770-08:00,2023-02-15T14:09:11.770-08:00,tutor,tutor,1,,,
,,,"Okay, but",2023-02-15T14:09:12.660-08:00,2023-02-15T14:09:15.070-08:00,tutor,tutor,1,,,
,,,let's go back into,2023-02-15T14:09:15.290-08:00,2023-02-15T14:09:17.080-08:00,tutor,tutor,1,,,
,,,"last Week's not. I say, Last week i'm so sorry, guys, and that that makes a difference. But yesterday",2023-02-15T14:09:17.400-08:00,2023-02-15T14:09:25.730-08:00,tutor,tutor,1,,,
,,,"yesterday's practice test, right?",2023-02-15T14:09:26.510-08:00,2023-02-15T14:09:29.430-08:00,tutor,tutor,1,,,
,,,So,2023-02-15T14:09:29.560-08:00,2023-02-15T14:09:30.590-08:00,tutor,tutor,1,,,
,,,we whatever,2023-02-15T14:09:32.870-08:00,2023-02-15T14:09:34.950-08:00,tutor,tutor,1,,,
,,,"yeah, can you do a 14 if you don't mind",2023-02-15T14:09:35.130-08:00,2023-02-15T14:09:38.750-08:00,student,student B,1,,,
,,,"14, Sure.",2023-02-15T14:09:38.780-08:00,2023-02-15T14:09:53.270-08:00,tutor,tutor,1,,,
,,,Just like a couple of things that I think we could improve on.,2023-02-15T14:09:53.500-08:00,2023-02-15T14:09:56.390-08:00,tutor,tutor,1,,,
,,,So let's see.,2023-02-15T14:09:56.840-08:00,2023-02-15T14:09:58.710-08:00,tutor,tutor,1,,,
,,,let me organize a little better. This is,2023-02-15T14:09:59.860-08:00,2023-02-15T14:10:04.640-08:00,tutor,tutor,1,,,
,,,right.,2023-02-15T14:10:11.950-08:00,2023-02-15T14:10:12.840-08:00,tutor,tutor,1,,,
,,,I'm not the most organized.,2023-02-15T14:10:14.200-08:00,2023-02-15T14:10:16.220-08:00,tutor,tutor,1,,,
,,,There we go. So last week.,2023-02-15T14:10:19.950-08:00,2023-02-15T14:10:22.690-08:00,tutor,tutor,1,,,
,,,"no, last. Yesterday we went over questions 19, which is the triangle 20, which was the graph",2023-02-15T14:10:22.770-08:00,2023-02-15T14:10:30.250-08:00,tutor,tutor,1,,,
,,,"15, which was the solution system.",2023-02-15T14:10:30.460-08:00,2023-02-15T14:10:35.500-08:00,tutor,tutor,1,,,
,,,"and then th. This let's g0 0ver this one first. Actually, before we g0 0ver.",2023-02-15T14:10:35.580-08:00,2023-02-15T14:10:41.520-08:00,tutor,tutor,1,,,
,,,let me share my screen.,2023-02-15T14:10:44.070-08:00,2023-02-15T14:10:45.190-08:00,tutor,tutor,1,,,
,,,See?,2023-02-15T14:10:46.950-08:00,2023-02-15T14:10:49.070-08:00,tutor,tutor,1,,,
,,,So,2023-02-15T14:10:52.290-08:00,2023-02-15T14:10:53.040-08:00,tutor,tutor,1,,,
,,,over this question,2023-02-15T14:10:53.530-08:00,2023-02-15T14:10:54.930-08:00,tutor,tutor,1,,,
,-1.0,1.0,"this might look similar to a lot of you guys, because this this question was. it seems like it was a little bit difficult for a lot of people which is fine. This question, like, I haven't done this question yet, cause i'll do it with you guys.",2023-02-15T14:11:04.190-08:00,2023-02-15T14:11:20.570-08:00,tutor,tutor,2,,-1.0,
,,,"But just looking at it, this looks really kind of unpleasant. So",2023-02-15T14:11:20.940-08:00,2023-02-15T14:11:26.210-08:00,tutor,tutor,2,,-1.0,
,,,the equation above is true for all X. Where and we are constants. What is the value of a. B.,2023-02-15T14:11:28.780-08:00,2023-02-15T14:11:33.390-08:00,tutor,tutor,2,,-1.0,
,,,"So we want to find a like. Obviously we want to find what a and B are first, that we can find the answer to what is a. Times P. Right?",2023-02-15T14:11:33.610-08:00,2023-02-15T14:11:42.460-08:00,tutor,tutor,2,,-1.0,
,,,So,2023-02-15T14:11:43.480-08:00,2023-02-15T14:11:44.370-08:00,tutor,tutor,2,,-1.0,
,,,it's like.,2023-02-15T14:11:45.350-08:00,2023-02-15T14:11:46.490-08:00,tutor,tutor,2,,-1.0,
,,,sure. Okay.,2023-02-15T14:11:46.790-08:00,2023-02-15T14:11:48.000-08:00,tutor,tutor,2,,-1.0,
,,,So a X,2023-02-15T14:11:49.070-08:00,2023-02-15T14:11:52.780-08:00,tutor,tutor,2,,-1.0,
,,,"plus 3, the way we can distribute this is actually.",2023-02-15T14:11:52.990-08:00,2023-02-15T14:11:56.790-08:00,tutor,tutor,2,,-1.0,
,,,Do you guys remember how to use foil?,2023-02-15T14:11:57.410-08:00,2023-02-15T14:11:59.260-08:00,tutor,tutor,2,,-1.0,
