problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,"Hello, [STUDENT_1], Can you hear me?",2023-02-13T17:11:45.800-08:00,2023-02-13T17:11:47.920-08:00,tutor,tutor,1,,,
,,,Hi.,2023-02-13T17:11:51.390-08:00,2023-02-13T17:11:52.260-08:00,student,student A,1,,,
,,,Hello!,2023-02-13T17:11:52.470-08:00,2023-02-13T17:11:53.390-08:00,tutor,tutor,1,,,
,,,Yeah. I can hear you again.,2023-02-13T17:11:55.570-08:00,2023-02-13T17:11:56.800-08:00,student,student A,1,,,
,,,Right?,2023-02-13T17:11:56.830-08:00,2023-02-13T17:11:57.400-08:00,tutor,tutor,1,,,
,,,"Hi, [STUDENT_3].",2023-02-13T17:11:59.550-08:00,2023-02-13T17:12:00.530-08:00,tutor,tutor,1,,,
,,,"So I think, for right now we're just gonna wait a little bit till everybody starts to show up, and then I have some slides for us to go through.",2023-02-13T17:12:13.220-08:00,2023-02-13T17:12:18.520-08:00,tutor,tutor,1,,,
,,,and I can you hear me all right.,2023-02-13T17:13:02.220-08:00,2023-02-13T17:13:03.690-08:00,tutor,tutor,1,,,
,,,"Yes, I can.",2023-02-13T17:13:06.340-08:00,2023-02-13T17:13:07.930-08:00,student,student B,1,,,
,,,All right. Great,2023-02-13T17:13:08.150-08:00,2023-02-13T17:13:09.000-08:00,tutor,tutor,1,,,
,,,"like, I said before, we're just gonna wait a little bit for everybody to start to show up, and then we can go ahead and get started.",2023-02-13T17:13:15.760-08:00,2023-02-13T17:13:20.590-08:00,tutor,tutor,1,,,
,,,"Hello! I mean, is that? Am I pronouncing your name all right?",2023-02-13T17:14:26.960-08:00,2023-02-13T17:14:30.000-08:00,tutor,tutor,1,,,
,,,"Yes, hello!",2023-02-13T17:14:31.460-08:00,2023-02-13T17:14:32.670-08:00,student,student C,1,,,
,,,Hello!,2023-02-13T17:14:32.910-08:00,2023-02-13T17:14:33.620-08:00,student,student C,1,,,
,,,"Hello! Is Sun. Is that how I pronounce your name, or, if not, please, correct me.",2023-02-13T17:15:07.430-08:00,2023-02-13T17:15:13.260-08:00,tutor,tutor,1,,,
,,,"Yeah, it's an I okay, great. Thank you.",2023-02-13T17:15:13.320-08:00,2023-02-13T17:15:16.310-08:00,tutor,tutor,1,,,
,,,"And now there's a few new people here. I was just saying, before we're gonna wait. I think a couple of minutes just some more people can show up, and then I have a slide, sure that we can go ahead and get started with.",2023-02-13T17:15:19.450-08:00,2023-02-13T17:15:27.870-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-13T17:15:28.320-08:00,2023-02-13T17:15:29.080-08:00,student,student D,1,,,
,,,Hello. So I think I might need some help. Is your name pronounced?,2023-02-13T17:15:54.840-08:00,2023-02-13T17:15:59.550-08:00,tutor,tutor,1,,,
,,,Height Date.,2023-02-13T17:16:00.820-08:00,2023-02-13T17:16:02.170-08:00,tutor,tutor,1,,,
,,,"It's. Tate. Hey? Okay, Thank you. Sorry about that.",2023-02-13T17:16:03.200-08:00,2023-02-13T17:16:06.560-08:00,tutor,tutor,1,,,
,,,"Hello, [STUDENT_5].",2023-02-13T17:16:29.720-08:00,2023-02-13T17:16:30.780-08:00,tutor,tutor,1,,,
,,,"Oh, hello!",2023-02-13T17:16:35.040-08:00,2023-02-13T17:16:37.120-08:00,student,student E,1,,,
,,,Okay. So we should have. I think there's supposed to be 7 more people trickling in.,2023-02-13T17:16:40.800-08:00,2023-02-13T17:16:47.090-08:00,tutor,tutor,1,,,
,,,"So I think i'm gonna give them, maybe like one or 2 more minutes, and then we can go ahead and get started.",2023-02-13T17:16:47.220-08:00,2023-02-13T17:16:51.810-08:00,tutor,tutor,1,,,
,,,"I guess. In the meantime i'll start screen sharing, and then we can start going through some of the introductions. I think",2023-02-13T17:17:22.600-08:00,2023-02-13T17:17:28.460-08:00,tutor,tutor,1,,,
,,,so. We don't run out of time.,2023-02-13T17:17:28.810-08:00,2023-02-13T17:17:31.240-08:00,tutor,tutor,1,,,
,,,"Share, and please let me know if this is, if there's any problems with the showing up correctly",2023-02-13T17:17:33.480-08:00,2023-02-13T17:17:37.770-08:00,tutor,tutor,1,,,
,,,is coming through all right.,2023-02-13T17:17:41.100-08:00,2023-02-13T17:17:42.450-08:00,tutor,tutor,1,,,
,,,Okay? Great.,2023-02-13T17:17:43.950-08:00,2023-02-13T17:17:45.190-08:00,student,student D,1,,,
,,,"So just sort of to get started, we have this little orientation. It starts off with just some some introductions, so i'll start off. and my name's [STUDENT_4] i'm from. I live in Virginia right now. I'm a High School senior.",2023-02-13T17:17:45.390-08:00,2023-02-13T17:17:58.310-08:00,tutor,tutor,1,,,
,,,but I did the first 3 years of high school in Spain.,2023-02-13T17:17:58.450-08:00,2023-02-13T17:18:01.180-08:00,tutor,tutor,1,,,
,,,and my hope for the Sat boot camp is.,2023-02-13T17:18:01.380-08:00,2023-02-13T17:18:04.240-08:00,tutor,tutor,1,,,
,,,"we can all sort of. Just improve in the math a little bit, maybe. Get a little more confident going into the sat, I mean. I know I always have lots of room to improve.",2023-02-13T17:18:04.320-08:00,2023-02-13T17:18:11.990-08:00,tutor,tutor,1,,,
,,,So,2023-02-13T17:18:12.150-08:00,2023-02-13T17:18:13.130-08:00,tutor,tutor,1,,,
,,,i'm hoping to grow right along with you guys.,2023-02-13T17:18:13.160-08:00,2023-02-13T17:18:16.050-08:00,tutor,tutor,1,,,
,,,"Maybe, [STUDENT_3], if you want to get us started, can you just",2023-02-13T17:18:16.230-08:00,2023-02-13T17:18:19.700-08:00,tutor,tutor,1,,,
,,,"give a quick response to each of the questions. Yes, my name is [STUDENT_3] and I'm. Also from Virginia, and my hope for",2023-02-13T17:18:19.900-08:00,2023-02-13T17:18:28.330-08:00,student,student B,1,,,
,,,this program is to grow,2023-02-13T17:18:28.660-08:00,2023-02-13T17:18:30.250-08:00,student,student B,1,,,
,,,in my Mathcore specifically algebra and,2023-02-13T17:18:30.520-08:00,2023-02-13T17:18:33.760-08:00,student,student B,1,,,
,,,kind of that heart of algebra thing that they talk about.,2023-02-13T17:18:33.960-08:00,2023-02-13T17:18:36.370-08:00,student,student B,1,,,
,,,[STUDENT_5]. Maybe if you want to go next.,2023-02-13T17:18:38.460-08:00,2023-02-13T17:18:40.140-08:00,tutor,tutor,1,,,
,,,"Yeah, hi! My name is [STUDENT_5] I'm. From Dallas.",2023-02-13T17:18:40.700-08:00,2023-02-13T17:18:44.090-08:00,student,student E,1,,,
,,,"Texas, and my hope for the Sat boot camp is just to improve, and any way I can",2023-02-13T17:18:44.120-08:00,2023-02-13T17:18:49.680-08:00,student,student E,1,,,
,,,to take the exam.,2023-02-13T17:18:49.970-08:00,2023-02-13T17:18:51.710-08:00,student,student E,1,,,
,,,"I mean, maybe if you want to go next.",2023-02-13T17:18:54.070-08:00,2023-02-13T17:18:55.800-08:00,tutor,tutor,1,,,
