problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488.0,,1.0,Hello.,2023-02-15T14:56:40.760-08:00,2023-02-15T14:56:41.600-08:00,tutor,tutor,1,,,
,,,hey! You hear me?,2023-02-15T14:56:43.030-08:00,2023-02-15T14:56:44.370-08:00,tutor,tutor,1,,,
,,,"Bye, bye. bottom! But I don't know.",2023-02-15T14:56:56.250-08:00,2023-02-15T14:57:00.740-08:00,tutor,tutor,1,,,
,,,I,2023-02-15T14:57:01.130-08:00,2023-02-15T14:57:01.990-08:00,tutor,tutor,1,,,
,,,welcome.,2023-02-15T14:59:08.320-08:00,2023-02-15T14:59:09.240-08:00,tutor,tutor,1,,,
,,,I'm gonna wait for a couple more people,2023-02-15T15:00:25.480-08:00,2023-02-15T15:00:27.360-08:00,tutor,tutor,1,,,
,,,to try and make up that.,2023-02-15T15:00:27.550-08:00,2023-02-15T15:00:30.150-08:00,tutor,tutor,1,,,
,,,"Oh, I appreciate your",2023-02-15T15:01:31.780-08:00,2023-02-15T15:01:36.580-08:00,tutor,tutor,1,,,
,,,Thank you.,2023-02-15T15:01:38.040-08:00,2023-02-15T15:01:38.910-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-15T15:01:44.510-08:00,2023-02-15T15:01:45.200-08:00,tutor,tutor,1,,,
,,,All right. Today we are going to do a full check. This is,2023-02-15T15:02:01.260-08:00,2023-02-15T15:02:08.390-08:00,tutor,tutor,1,,,
,,,the starting off. What's one word to describe how you're feeling what the maths at. Alright.,2023-02-15T15:02:08.880-08:00,2023-02-15T15:02:14.970-08:00,tutor,tutor,1,,,
,,,So like you put in the chat on mute. If you're scan.,2023-02-15T15:02:15.430-08:00,2023-02-15T15:02:19.230-08:00,tutor,tutor,1,,,
,,,"Yeah, someone Sorry, please.",2023-02-15T15:02:19.830-08:00,2023-02-15T15:02:22.330-08:00,tutor,tutor,1,,,
,,,"Okay. anxious. Yeah, the common feeling. But",2023-02-15T15:02:22.940-08:00,2023-02-15T15:02:27.000-08:00,tutor,tutor,1,,,
,,,"there is, yeah.",2023-02-15T15:02:27.170-08:00,2023-02-15T15:02:28.220-08:00,tutor,tutor,1,,,
,,,What else? What else?,2023-02-15T15:02:30.160-08:00,2023-02-15T15:02:31.200-08:00,tutor,tutor,1,,,
,,,Hopefully that the practices,2023-02-15T15:02:35.990-08:00,2023-02-15T15:02:37.680-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-15T15:02:38.160-08:00,2023-02-15T15:02:38.760-08:00,tutor,tutor,1,,,
,,,harvest again.,2023-02-15T15:02:38.850-08:00,2023-02-15T15:02:39.930-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-15T15:02:43.980-08:00,2023-02-15T15:02:44.840-08:00,tutor,tutor,1,,,
,,,the,2023-02-15T15:02:45.620-08:00,2023-02-15T15:02:47.790-08:00,tutor,tutor,1,,,
,,,"hopefully, it will change as you practice more and get custom to the I see. And yeah.",2023-02-15T15:02:48.350-08:00,2023-02-15T15:02:54.890-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-15T15:02:56.320-08:00,2023-02-15T15:02:57.080-08:00,tutor,tutor,1,,,
,,,alright.,2023-02-15T15:02:58.080-08:00,2023-02-15T15:02:58.860-08:00,tutor,tutor,1,,,
,,,So we're going to the day we're going to do a small review of it testing tips.,2023-02-15T15:02:59.830-08:00,2023-02-15T15:03:04.360-08:00,tutor,tutor,1,,,
,,,And then we were to target a group practice where we just,2023-02-15T15:03:04.430-08:00,2023-02-15T15:03:06.630-08:00,tutor,tutor,1,,,
,,,go for some concepts that we mess up on a lot on the last practice that,2023-02-15T15:03:06.880-08:00,2023-02-15T15:03:10.990-08:00,tutor,tutor,1,,,
,,,"take a short practice test with time here at this time, and then and then we'll review the practice test after.",2023-02-15T15:03:11.210-08:00,2023-02-15T15:03:17.410-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-15T15:03:18.350-08:00,2023-02-15T15:03:18.940-08:00,tutor,tutor,1,,,
