problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495.0,,1.0,All right. We'll wait about,2023-02-19T20:00:29.270+00:00,2023-02-19T20:00:31.150+00:00,tutor,tutor,1,,,
,,,3 more minutes until everyone joins the room. and we'll start in about 3 min.,2023-02-19T20:00:32.260+00:00,2023-02-19T20:00:38.800+00:00,tutor,tutor,1,,,
,,,Right? I think we will get started now with week. 2 day 2 0f our sat Math session.,2023-02-19T20:02:53.650+00:00,2023-02-19T20:03:00.780+00:00,tutor,tutor,1,,,
,,,"Oh, can you guys see that Powerpoint slide? See me like a chat, or like a dumps up if you can.",2023-02-19T20:03:07.460+00:00,2023-02-19T20:03:13.270+00:00,tutor,tutor,1,,,
,,,"Yeah, we could see",2023-02-19T20:03:18.640+00:00,2023-02-19T20:03:19.960+00:00,student,student A,1,,,
,,,"alright, alright, cool.",2023-02-19T20:03:20.290+00:00,2023-02-19T20:03:21.930+00:00,tutor,tutor,1,,,
,,,right? I think this slide is same as the last one before.,2023-02-19T20:03:24.660+00:00,2023-02-19T20:03:29.600+00:00,tutor,tutor,1,,,
,,,"If you guys have any feedback, you guys can post it anonymously",2023-02-19T20:03:29.790+00:00,2023-02-19T20:03:34.580+00:00,tutor,tutor,1,,,
,,,"in our session group chat, or just give it to me privately. And yeah, anything I can improve, please let me know.",2023-02-19T20:03:36.370+00:00,2023-02-19T20:03:45.240+00:00,tutor,tutor,1,,,
,,,"all right. And today we have our regular schedule, just some targeted group practice.",2023-02-19T20:03:48.480+00:00,2023-02-19T20:03:52.970+00:00,tutor,tutor,1,,,
,,,They will be looking at some exponent structures and even more quadratic equations.,2023-02-19T20:03:53.350+00:00,2023-02-19T20:03:58.920+00:00,tutor,tutor,1,,,
,,,polynomial expansions.,2023-02-19T20:03:58.930+00:00,2023-02-19T20:04:00.910+00:00,tutor,tutor,1,,,
,,,"and we'll have our calculator practice test, and then",2023-02-19T20:04:00.960+00:00,2023-02-19T20:04:04.800+00:00,tutor,tutor,1,,,
