problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,"Okay, everyone Can you turn on your cameras?",2023-03-08T17:02:19.820-08:00,2023-03-08T17:02:22.330-08:00,tutor,tutor,1,,,
,,,Thank you.,2023-03-08T17:02:31.850-08:00,2023-03-08T17:02:32.870-08:00,tutor,tutor,1,,,
,,,So how's everyone doing today?,2023-03-08T17:02:34.670-08:00,2023-03-08T17:02:37.270-08:00,tutor,tutor,1,,,
,,,Good. That's nice.,2023-03-08T17:02:39.260-08:00,2023-03-08T17:02:41.260-08:00,tutor,tutor,1,,,
,,,So today we're going to be taking a 30 min calculator test with,2023-03-08T17:02:42.360-08:00,2023-03-08T17:02:48.140-08:00,tutor,tutor,1,,,
,,,approximately 20 questions.,2023-03-08T17:02:48.330-08:00,2023-03-08T17:02:50.480-08:00,tutor,tutor,1,,,
,,,So let me open the test.,2023-03-08T17:02:55.790-08:00,2023-03-08T17:02:57.730-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-08T17:03:00.830-08:00,2023-03-08T17:03:01.620-08:00,tutor,tutor,1,,,
,,,You guys have about 5 min left.,2023-03-08T17:28:26.850-08:00,2023-03-08T17:28:29.620-08:00,tutor,tutor,1,,,
,,,"Okay, Everybody time is up. Can you please submit your tests?",2023-03-08T17:33:33.120-08:00,2023-03-08T17:33:37.640-08:00,tutor,tutor,1,,,
,,,I think there's,2023-03-08T17:33:54.540-08:00,2023-03-08T17:33:56.150-08:00,tutor,tutor,1,,,
,,,one more person Who? Hasn't submitted their tests.,2023-03-08T17:33:56.200-08:00,2023-03-08T17:33:59.710-08:00,tutor,tutor,1,,,
,,,"Okay, Looks like everyone submitted their test. So can everyone turn on their cameras?",2023-03-08T17:34:07.690-08:00,2023-03-08T17:34:13.090-08:00,tutor,tutor,1,,,
,,,Thank you.,2023-03-08T17:34:21.340-08:00,2023-03-08T17:34:22.410-08:00,tutor,tutor,1,,,
,,,How is this test for people?,2023-03-08T17:34:23.390-08:00,2023-03-08T17:34:25.750-08:00,tutor,tutor,1,,,
,,,"Was it. Okay, Was it hard?",2023-03-08T17:34:27.510-08:00,2023-03-08T17:34:30.220-08:00,tutor,tutor,1,,,
,,,I,2023-03-08T17:34:31.730-08:00,2023-03-08T17:34:32.470-08:00,student,student A,1,,,
,,,hard?,2023-03-08T17:34:33.810-08:00,2023-03-08T17:34:34.610-08:00,student,student A,1,,,
,,,Okay.,2023-03-08T17:34:35.660-08:00,2023-03-08T17:34:36.600-08:00,student,student A,1,,,
,,,So send me all the questions that you guys had trouble on.,2023-03-08T17:34:38.770-08:00,2023-03-08T17:34:42.180-08:00,tutor,tutor,1,,,
,,,"Okay, yeah.",2023-03-08T17:36:41.650-08:00,2023-03-08T17:36:43.540-08:00,tutor,tutor,1,,,
,,,this question or this test was definitely a lot,2023-03-08T17:36:45.500-08:00,2023-03-08T17:36:49.740-08:00,tutor,tutor,1,,,
,,,trickier in general.,2023-03-08T17:36:49.850-08:00,2023-03-08T17:36:52.040-08:00,tutor,tutor,1,,,
,,,"I find that calculator tests tend to be harder, especially with.",2023-03-08T17:36:52.370-08:00,2023-03-08T17:36:55.860-08:00,tutor,tutor,1,,,
,,,"So we're going over 2, then 3, then 5,",2023-03-08T17:36:59.240-08:00,2023-03-08T17:37:04.790-08:00,tutor,tutor,1,,,
,,,67910121517181920.,2023-03-08T17:37:06.420-08:00,2023-03-08T17:37:11.820-08:00,tutor,tutor,1,,,
,,,Okay. So,2023-03-08T17:37:12.720-08:00,2023-03-08T17:37:15.160-08:00,tutor,tutor,1,,,
,20.0,1.0,question 2 is the one with the data set.,2023-03-08T17:37:16.370-08:00,2023-03-08T17:37:21.320-08:00,tutor,tutor,2,,20.0,
,,,So,2023-03-08T17:37:24.820-08:00,2023-03-08T17:37:26.180-08:00,tutor,tutor,2,,20.0,
,,,okay.,2023-03-08T17:37:30.320-08:00,2023-03-08T17:37:31.140-08:00,tutor,tutor,2,,20.0,
,,,with the mean you.,2023-03-08T17:37:32.110-08:00,2023-03-08T17:37:34.470-08:00,tutor,tutor,2,,20.0,
,,,you can probably solve this one with process of elimination. So with the mean.,2023-03-08T17:37:35.250-08:00,2023-03-08T17:37:41.280-08:00,tutor,tutor,2,,20.0,
,,,your,2023-03-08T17:37:41.560-08:00,2023-03-08T17:37:42.700-08:00,tutor,tutor,2,,20.0,
,,,"not really sure what the mean is like, you can't calculate it.",2023-03-08T17:37:43.220-08:00,2023-03-08T17:37:46.970-08:00,tutor,tutor,2,,20.0,
,,,and same with the meeting.,2023-03-08T17:37:47.180-08:00,2023-03-08T17:37:48.850-08:00,tutor,tutor,2,,20.0,
,,,and so the range is like,2023-03-08T17:37:48.950-08:00,2023-03-08T17:37:52.290-08:00,tutor,tutor,2,,20.0,
,,,"You Take the largest number in this set, and you subtract it from the smallest number in this set, and let's just say the smallest number in the set is like",2023-03-08T17:37:52.690-08:00,2023-03-08T17:37:59.970-08:00,tutor,tutor,2,,20.0,
,,,X or something. So,2023-03-08T17:38:00.140-08:00,2023-03-08T17:38:03.600-08:00,tutor,tutor,2,,20.0,
,,,and then the largest number,2023-03-08T17:38:07.110-08:00,2023-03-08T17:38:09.250-08:00,tutor,tutor,2,,20.0,
,,,is in the 25 number set would be 84.,2023-03-08T17:38:11.180-08:00,2023-03-08T17:38:16.530-08:00,tutor,tutor,2,,20.0,
,,,So your range for this one is 84 minus x. This is for the one with 25 numbers.,2023-03-08T17:38:16.750-08:00,2023-03-08T17:38:21.490-08:00,tutor,tutor,2,,20.0,
,,,and for the one with 26 numbers.,2023-03-08T17:38:21.710-08:00,2023-03-08T17:38:24.140-08:00,tutor,tutor,2,,20.0,
,,,"This time your Max number has changed to 96, but we know that everything else stays the same.",2023-03-08T17:38:24.410-08:00,2023-03-08T17:38:30.020-08:00,tutor,tutor,2,,20.0,
,,,"So your minimum number is still going to be X,",2023-03-08T17:38:30.050-08:00,2023-03-08T17:38:33.000-08:00,tutor,tutor,2,,20.0,
,,,and so your range for this one is going to be 96 minus x.,2023-03-08T17:38:33.120-08:00,2023-03-08T17:38:36.830-08:00,tutor,tutor,2,,20.0,
,,,So if you compare the differences in them.,2023-03-08T17:38:37.010-08:00,2023-03-08T17:38:40.040-08:00,tutor,tutor,2,,20.0,
,,,"you're going to get 96, minus x, minus 84 minus x is equal to 96 minus x minus 84 plus x. The X's cancel out and when you subtract 84 from 96",2023-03-08T17:38:40.330-08:00,2023-03-08T17:38:53.720-08:00,tutor,tutor,2,,20.0,
,,,you get that? The differences in the range is 12.,2023-03-08T17:38:54.220-08:00,2023-03-08T17:38:58.730-08:00,tutor,tutor,2,,20.0,
,,,Are there any questions here?,2023-03-08T17:39:00.130-08:00,2023-03-08T17:39:01.970-08:00,tutor,tutor,2,,20.0,
,,,"Okay, cool?",2023-03-08T17:39:17.670-08:00,2023-03-08T17:39:19.270-08:00,tutor,tutor,2,,20.0,
,21.0,1.0,So the next question is question 3.,2023-03-08T17:39:21.140-08:00,2023-03-08T17:39:25.230-08:00,tutor,tutor,3,,21.0,
,,,So,2023-03-08T17:39:28.090-08:00,2023-03-08T17:39:29.530-08:00,tutor,tutor,3,,21.0,
,,,we get that X represents the 10% by mass,2023-03-08T17:39:30.500-08:00,2023-03-08T17:39:35.180-08:00,tutor,tutor,3,,21.0,
,,,solution. And why represents the 20% by mass solution.,2023-03-08T17:39:35.430-08:00,2023-03-08T17:39:40.220-08:00,tutor,tutor,3,,21.0,
,,,And we're giving you an equation. The other thing we know. Is that,2023-03-08T17:39:40.580-08:00,2023-03-08T17:39:45.770-08:00,tutor,tutor,3,,21.0,
,,,"Why, in this case is 100,",2023-03-08T17:39:46.100-08:00,2023-03-08T17:39:49.990-08:00,tutor,tutor,3,,21.0,
,,,And so we want to solve for X,2023-03-08T17:39:50.530-08:00,2023-03-08T17:39:52.780-08:00,tutor,tutor,3,,21.0,
,,,"Alternatively, you could just like start plugging in numbers",2023-03-08T17:39:55.920-08:00,2023-03-08T17:39:59.840-08:00,tutor,tutor,3,,21.0,
,,,"for X, and",2023-03-08T17:40:00.000-08:00,2023-03-08T17:40:02.290-08:00,tutor,tutor,3,,21.0,
,,,"whatever it gives you, the right solution",2023-03-08T17:40:02.540-08:00,2023-03-08T17:40:05.130-08:00,tutor,tutor,3,,21.0,
,,,is the right solution.,2023-03-08T17:40:06.760-08:00,2023-03-08T17:40:08.000-08:00,tutor,tutor,3,,21.0,
,,,But let's just try to solve it.,2023-03-08T17:40:09.280-08:00,2023-03-08T17:40:10.930-08:00,tutor,tutor,3,,21.0,
,,,"So we have 0 point, one x",2023-03-08T17:40:11.200-08:00,2023-03-08T17:40:14.030-08:00,tutor,tutor,3,,21.0,
,,,plus,2023-03-08T17:40:14.310-08:00,2023-03-08T17:40:15.300-08:00,tutor,tutor,3,,21.0,
,,,"0 point 20 times 100,",2023-03-08T17:40:15.700-08:00,2023-03-08T17:40:19.040-08:00,tutor,tutor,3,,21.0,
,,,"which is 20,",2023-03-08T17:40:19.170-08:00,2023-03-08T17:40:20.410-08:00,tutor,tutor,3,,21.0,
,,,"is equal to 0 point, 1 8",2023-03-08T17:40:21.610-08:00,2023-03-08T17:40:25.160-08:00,tutor,tutor,3,,21.0,
,,,times,2023-03-08T17:40:26.040-08:00,2023-03-08T17:40:27.530-08:00,tutor,tutor,3,,21.0,
