problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,Okay.,2023-02-11T09:00:38.710-08:00,2023-02-11T09:00:40.510-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-11T09:00:53.800-08:00,2023-02-11T09:00:54.840-08:00,tutor,tutor,1,,,
,,,but I think we have it back.,2023-02-11T09:01:21.860-08:00,2023-02-11T09:01:24.320-08:00,tutor,tutor,1,,,
,,,"Oh, great! And, Amy, how's it going? How are you guys?",2023-02-11T09:01:27.550-08:00,2023-02-11T09:01:30.500-08:00,tutor,tutor,1,,,
,,,Hello!,2023-02-11T09:01:33.090-08:00,2023-02-11T09:01:33.860-08:00,student,student A,1,,,
,,,"Well, you guys can hear me right?",2023-02-11T09:01:35.630-08:00,2023-02-11T09:01:37.090-08:00,tutor,tutor,1,,,
,,,"Yeah, we can hear you.",2023-02-11T09:01:37.390-08:00,2023-02-11T09:01:38.550-08:00,student,student A,1,,,
,,,It's all right.,2023-02-11T09:01:39.270-08:00,2023-02-11T09:01:40.150-08:00,tutor,tutor,1,,,
,,,My gosh!,2023-02-11T09:01:41.900-08:00,2023-02-11T09:01:42.680-08:00,tutor,tutor,1,,,
,,,"The audio, my laptop doesn't work so i'm having to use my phone so I can't turn the camera on. I know",2023-02-11T09:02:24.830-08:00,2023-02-11T09:02:33.050-08:00,student,student A,1,,,
,,,that's okay. No problem.,2023-02-11T09:02:33.750-08:00,2023-02-11T09:02:35.280-08:00,tutor,tutor,1,,,
,,,Sha and I died. How are you guys?,2023-02-11T09:02:38.410-08:00,2023-02-11T09:02:41.700-08:00,tutor,tutor,1,,,
,,,I think about 9 people,2023-02-11T09:02:45.170-08:00,2023-02-11T09:02:47.710-08:00,tutor,tutor,1,,,
,,,"times it, 8 0 2 0kay.",2023-02-11T09:02:49.020-08:00,2023-02-11T09:02:51.040-08:00,tutor,tutor,1,,,
,,,"it's like people are trying to roll in. I'm: Sure, it soon. All right.",2023-02-11T09:02:52.430-08:00,2023-02-11T09:02:56.670-08:00,tutor,tutor,1,,,
,,,You guys can see my screen right? The the presentation.,2023-02-11T09:03:19.300-08:00,2023-02-11T09:03:23.060-08:00,tutor,tutor,1,,,
,,,Yeah. Yeah.,2023-02-11T09:03:23.580-08:00,2023-02-11T09:03:25.100-08:00,student,student B,1,,,
,,,All right. Okay.,2023-02-11T09:03:25.580-08:00,2023-02-11T09:03:27.680-08:00,tutor,tutor,1,,,
,,,I sorry,2023-02-11T09:03:34.980-08:00,2023-02-11T09:03:36.120-08:00,tutor,tutor,1,,,
,,,"it's School House. ICT: Boot comes week one day, one the first day. All right, orientation. Let's go",2023-02-11T09:03:36.420-08:00,2023-02-11T09:03:42.230-08:00,tutor,tutor,1,,,
,,,all right. We we're just gonna start really quickly with the welcome question.,2023-02-11T09:03:44.200-08:00,2023-02-11T09:03:48.790-08:00,tutor,tutor,1,,,
,,,"Hi! My name is, you know you can give your name. I'm from you. Only want to give the country in the State.",2023-02-11T09:03:49.040-08:00,2023-02-11T09:03:55.990-08:00,tutor,tutor,1,,,
