problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,"Hello! It is 60'clock. I'm going to wait like one or 2 more minutes. See if anyone else comes in, and then i'll begin.",2023-03-07T18:00:32.000-08:00,2023-03-07T18:00:40.660-08:00,tutor,tutor,1,,,
,,,"Hello, welcome! I'm going to begin now and let's start off with Today's welcome slides. So today's today's welcome question is, how are we feeling going into testing.",2023-03-07T18:01:45.450-08:00,2023-03-07T18:01:58.640-08:00,tutor,tutor,1,,,
,,,"maybe share something you've learned in Boot camp, and that you'll be taking into testing. Would anyone like to begin?",2023-03-07T18:01:58.750-08:00,2023-03-07T18:02:05.100-08:00,tutor,tutor,1,,,
,,,I just like I don't know. I feel like I learned a lot of that,2023-03-07T18:02:08.720-08:00,2023-03-07T18:02:12.780-08:00,student,student A,1,,,
,,,like that's pretty basic. But,2023-03-07T18:02:12.900-08:00,2023-03-07T18:02:15.460-08:00,student,student B,1,,,
,,,I get math more.,2023-03-07T18:02:15.530-08:00,2023-03-07T18:02:17.670-08:00,student,student B,1,,,
,,,Would anyone else like to continue,2023-03-07T18:02:27.090-08:00,2023-03-07T18:02:30.360-08:00,tutor,tutor,1,,,
,,,"otherwise? I think i'll move on, because",2023-03-07T18:02:30.400-08:00,2023-03-07T18:02:33.350-08:00,tutor,tutor,1,,,
,,,"that's kind of cool. Why, you're here mostly to learn math.",2023-03-07T18:02:33.580-08:00,2023-03-07T18:02:37.450-08:00,tutor,tutor,1,,,
,,,It makes sense.,2023-03-07T18:02:37.640-08:00,2023-03-07T18:02:38.920-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-07T18:02:43.400-08:00,2023-03-07T18:02:44.210-08:00,tutor,tutor,1,,,
,,,move on now. So some tips for test day is make sure you get a good night's sleep.,2023-03-07T18:02:44.230-08:00,2023-03-07T18:02:50.190-08:00,tutor,tutor,1,,,
,,,Something I recommend is that even one night's sleep might not be enough. You should have,2023-03-07T18:02:50.540-08:00,2023-03-07T18:02:57.630-08:00,tutor,tutor,1,,,
,,,"2 good, nice sleep in a row. That's when you really start feeling the effects of having a good seat schedule. So not just one day, but try and do at least 2 days",2023-03-07T18:02:58.280-08:00,2023-03-07T18:03:07.670-08:00,tutor,tutor,1,,,
,,,eat a healthy breakfast.,2023-03-07T18:03:08.380-08:00,2023-03-07T18:03:10.670-08:00,tutor,tutor,1,,,
,,,Good food is good for your brain.,2023-03-07T18:03:10.680-08:00,2023-03-07T18:03:13.210-08:00,tutor,tutor,1,,,
,,,"even if you don't need breakfast. Maybe a small snack is good, and then get to the test site early.",2023-03-07T18:03:13.569-08:00,2023-03-07T18:03:19.609-08:00,tutor,tutor,1,,,
,,,just in case something happens. You should always,2023-03-07T18:03:19.829-08:00,2023-03-07T18:03:22.579-08:00,tutor,tutor,1,,,
,,,get there a little early to have to to leave a little room for error. Then,2023-03-07T18:03:23.819-08:00,2023-03-07T18:03:29.380-08:00,tutor,tutor,1,,,
,,,"some other great tits can be found. Here's some other great tips. I don't know where that's pointing. I'm going to move on. As for today, we will start with the practice test",2023-03-07T18:03:31.210-08:00,2023-03-07T18:03:40.440-08:00,tutor,tutor,1,,,
,,,"D 3. I should have allowed you to accept responses as of right now, if if not, just, tell me otherwise, we're going to be doing that for 30 min. We're going to review the practice test for 30 min, and then we'll just do some wrap up and encouragement.",2023-03-07T18:03:40.520-08:00,2023-03-07T18:03:56.150-08:00,tutor,tutor,1,,,
,,,and then we'll be done for today.,2023-03-07T18:03:56.180-08:00,2023-03-07T18:03:57.990-08:00,tutor,tutor,1,,,
,,,anyways. Can you all pull up? Test B 3. This one is with a calculator. I'm going to just set up the 30 min timer,2023-03-07T18:04:00.250-08:00,2023-03-07T18:04:10.070-08:00,tutor,tutor,1,,,
,,,"as always. I will give you a 5 min warning, and then",2023-03-07T18:04:12.870-08:00,2023-03-07T18:04:18.650-08:00,tutor,tutor,1,,,
,,,and then that is the only warning I will give you.,2023-03-07T18:04:19.120-08:00,2023-03-07T18:04:22.820-08:00,tutor,tutor,1,,,
,,,"And then, even if you're not done, just submit so that we can go over the test afterwards.",2023-03-07T18:04:23.440-08:00,2023-03-07T18:04:28.780-08:00,tutor,tutor,1,,,
,,,Is everybody ready?,2023-03-07T18:04:30.020-08:00,2023-03-07T18:04:32.350-08:00,tutor,tutor,1,,,
,,,"Yeah, yeah.",2023-03-07T18:04:35.530-08:00,2023-03-07T18:04:36.950-08:00,student,student C,1,,,
,,,"okay, You may begin in 3, 2, one.",2023-03-07T18:04:37.390-08:00,2023-03-07T18:04:42.020-08:00,tutor,tutor,1,,,
,,,5 min remaining.,2023-03-07T18:29:42.110-08:00,2023-03-07T18:29:43.670-08:00,tutor,tutor,1,,,
,,,"Okay, Everybody time's up.",2023-03-07T18:34:49.000-08:00,2023-03-07T18:34:50.990-08:00,tutor,tutor,1,,,
,,,and I will now begin reviewing the test. I'm going to first go over all of the,2023-03-07T18:34:51.630-08:00,2023-03-07T18:34:58.590-08:00,tutor,tutor,1,,,
,,,"once we have the most difficult time on, and then, after that, you can ask me to review a question that you personally have trouble on.",2023-03-07T18:34:58.960-08:00,2023-03-07T18:35:07.880-08:00,tutor,tutor,1,,,
,,,So give me one moment. I'm: going to share my screen. Are you all able to see my screen?,2023-03-07T18:35:09.240-08:00,2023-03-07T18:35:14.780-08:00,tutor,tutor,1,,,
,,,Yeah. Yeah.,2023-03-07T18:35:19.410-08:00,2023-03-07T18:35:20.970-08:00,student,student D,1,,,
,,,"Okay, Thank you.",2023-03-07T18:35:21.570-08:00,2023-03-07T18:35:22.650-08:00,tutor,tutor,1,,,
,,,We have to test.,2023-03-07T18:35:29.340-08:00,2023-03-07T18:35:31.200-08:00,tutor,tutor,1,,,
,30.0,1.0,"Okay, 6 or one. So that's about right. Let's start with Number 12 seems to number 12 and 18 seem to have been some of the hardest. So let's begin.",2023-03-07T18:35:32.270-08:00,2023-03-07T18:35:44.090-08:00,tutor,tutor,2,,30.0,
,,,Number 12 is Number 30. Okay.,2023-03-07T18:35:45.190-08:00,2023-03-07T18:35:48.010-08:00,tutor,tutor,2,,30.0,
,,,and it quadrilateral above Abcd,2023-03-07T18:35:50.140-08:00,2023-03-07T18:35:53.130-08:00,tutor,tutor,2,,30.0,
,,,AD. Is parallel to BC. A. D.,2023-03-07T18:35:53.340-08:00,2023-03-07T18:35:57.060-08:00,tutor,tutor,2,,30.0,
,,,Okay. So these 2 are parallel.,2023-03-07T18:35:57.070-08:00,2023-03-07T18:36:00.220-08:00,tutor,tutor,2,,30.0,
,,,and CD is one half that,2023-03-07T18:36:01.680-08:00,2023-03-07T18:36:06.050-08:00,tutor,tutor,2,,30.0,
,,,of a. B.,2023-03-07T18:36:06.220-08:00,2023-03-07T18:36:07.940-08:00,tutor,tutor,2,,30.0,
,,,What is a measure of angle? B:,2023-03-07T18:36:09.830-08:00,2023-03-07T18:36:11.760-08:00,tutor,tutor,2,,30.0,
,,,"Okay, Would anyone like to walk through this problem with me.",2023-03-07T18:36:14.650-08:00,2023-03-07T18:36:18.210-08:00,tutor,tutor,2,,30.0,
,,,[STUDENT_7]? Would you like to walk through this problem with me.,2023-03-07T18:36:29.680-08:00,2023-03-07T18:36:32.440-08:00,tutor,tutor,2,,30.0,
,,,Sorry my dogs are working. It's okay. Did I get 30 right? Which one number is this,2023-03-07T18:36:43.690-08:00,2023-03-07T18:36:51.860-08:00,student,student B,2,,30.0,
,,,number. This is number 30 on on.,2023-03-07T18:36:52.230-08:00,2023-03-07T18:36:56.970-08:00,tutor,tutor,2,,30.0,
,,,on the assessment category. It says it's number 12.,2023-03-07T18:36:57.260-08:00,2023-03-07T18:37:00.130-08:00,tutor,tutor,2,,30.0,
,,,"Okay, Sorry, my dot. And out of 6 responses. It does not look like anyone. Got this question correct? Oh, okay, then. Yes.",2023-03-07T18:37:00.710-08:00,2023-03-07T18:37:09.880-08:00,student,student B,2,,30.0,
,,,so I really didn't know where to go. I know that because they're parallel.,2023-03-07T18:37:11.060-08:00,2023-03-07T18:37:18.400-08:00,student,student B,2,,30.0,
,,,They're parallel. That's about it.,2023-03-07T18:37:21.860-08:00,2023-03-07T18:37:24.550-08:00,student,student B,2,,30.0,
,,,That wasn't really where to go. If I just kind of guessed text it.,2023-03-07T18:37:24.860-08:00,2023-03-07T18:37:28.400-08:00,student,student B,2,,30.0,
,,,Sorry.,2023-03-07T18:37:28.830-08:00,2023-03-07T18:37:29.960-08:00,student,student B,2,,30.0,
,,,So let's start with some basic.,2023-03-07T18:37:30.570-08:00,2023-03-07T18:37:34.150-08:00,tutor,tutor,2,,30.0,
,,,some basic information. Do you remember how how how many degrees,2023-03-07T18:37:34.220-08:00,2023-03-07T18:37:42.370-08:00,tutor,tutor,2,,30.0,
,,,"a four-sided the object, a four-sided shape must have no matter. no matter what the angles individually are. Do you remember what the total angle should be?",2023-03-07T18:37:42.550-08:00,2023-03-07T18:37:54.200-08:00,tutor,tutor,2,,30.0,
,,,In the 3 60.,2023-03-07T18:37:54.600-08:00,2023-03-07T18:37:56.250-08:00,student,student B,2,,30.0,
,,,That is correct. The interior ankles should be 360.,2023-03-07T18:37:56.580-08:00,2023-03-07T18:37:59.980-08:00,tutor,tutor,2,,30.0,
,,,"Yeah. The interior angles are 360, so let's begin. How? What what angle. Do we currently know?",2023-03-07T18:38:04.250-08:00,2023-03-07T18:38:11.760-08:00,tutor,tutor,2,,30.0,
,,,We know,2023-03-07T18:38:12.830-08:00,2023-03-07T18:38:14.740-08:00,student,student B,2,,30.0,
,,,"C, which is 90 degrees?",2023-03-07T18:38:14.950-08:00,2023-03-07T18:38:17.520-08:00,student,student B,2,,30.0,
,,,Okay. So let's just subtract that. So far we have 270 degrees left.,2023-03-07T18:38:17.770-08:00,2023-03-07T18:38:22.920-08:00,tutor,tutor,2,,30.0,
,,,Next stop,2023-03-07T18:38:25.770-08:00,2023-03-07T18:38:27.010-08:00,tutor,tutor,2,,30.0,
,,,"next up we subtract. Oh, actually we don't subtract. Not yet. Next up. Is there any other of the 3 angles we're going to ignore? B for now, because that's the one we're trying to find. But if a and D",2023-03-07T18:38:28.110-08:00,2023-03-07T18:38:39.800-08:00,tutor,tutor,2,,30.0,
,,,oh.,2023-03-07T18:38:40.110-08:00,2023-03-07T18:38:40.900-08:00,tutor,tutor,2,,30.0,
,,,"is it, d",2023-03-07T18:38:43.300-08:00,2023-03-07T18:38:44.470-08:00,student,student B,2,,30.0,
,,,It's it's 30 would be 90. Maybe I don't know D would also be 90. Do you know why you would also be 90?,2023-03-07T18:38:44.570-08:00,2023-03-07T18:38:51.270-08:00,student,student B,2,,30.0,
,,,Because they're parallel?,2023-03-07T18:38:51.690-08:00,2023-03-07T18:38:53.060-08:00,student,student B,2,,30.0,
,,,"Yes, that is correct when that is correct, because C and B C and AD. Are parallel.",2023-03-07T18:38:53.520-08:00,2023-03-07T18:38:59.990-08:00,tutor,tutor,2,,30.0,
,,,If a straight line runs through them. these angles are always parallel. or these angles are always the same.,2023-03-07T18:39:00.950-08:00,2023-03-07T18:39:08.440-08:00,tutor,tutor,2,,30.0,
,,,because,2023-03-07T18:39:09.860-08:00,2023-03-07T18:39:11.250-08:00,tutor,tutor,2,,30.0,
,,,this because it's line. This. This particular line right here intersects them at the same angle. It will create the same angles,2023-03-07T18:39:12.690-08:00,2023-03-07T18:39:21.920-08:00,tutor,tutor,2,,30.0,
,,,on both lines as the lines are parallel. Does that make sense?,2023-03-07T18:39:21.940-08:00,2023-03-07T18:39:26.380-08:00,tutor,tutor,2,,30.0,
,,,Yeah. I remember learning that.,2023-03-07T18:39:27.720-08:00,2023-03-07T18:39:29.340-08:00,student,student B,2,,30.0,
,,,Okay.,2023-03-07T18:39:30.030-08:00,2023-03-07T18:39:30.970-08:00,tutor,tutor,2,,30.0,
,,,So now,2023-03-07T18:39:32.120-08:00,2023-03-07T18:39:33.560-08:00,tutor,tutor,2,,30.0,
,,,we're left with,2023-03-07T18:39:35.010-08:00,2023-03-07T18:39:36.860-08:00,tutor,tutor,2,,30.0,
,,,we're left with 2 more,2023-03-07T18:39:38.400-08:00,2023-03-07T18:39:40.470-08:00,tutor,tutor,2,,30.0,
,,,and give me one moment. We're left with 2 angles.,2023-03-07T18:39:41.710-08:00,2023-03-07T18:39:49.060-08:00,tutor,tutor,2,,30.0,
,,,A. B. That means this is It'd be a CD here. How does that affect things?,2023-03-07T18:39:50.600-08:00,2023-03-07T18:39:56.710-08:00,tutor,tutor,2,,30.0,
,,,"Oh, I see what it's trying to do now? Okay. Okay, okay, I see what it's trying to do. Okay. So from here.",2023-03-07T18:40:00.180-08:00,2023-03-07T18:40:09.000-08:00,tutor,tutor,2,,30.0,
,,,what i'm going to do,2023-03-07T18:40:10.440-08:00,2023-03-07T18:40:11.940-08:00,tutor,tutor,2,,30.0,
,,,is I am going to,2023-03-07T18:40:12.320-08:00,2023-03-07T18:40:15.440-08:00,tutor,tutor,2,,30.0,
,,,"separate this into 2 2 2 shapes, for now. if I separate it at this line.",2023-03-07T18:40:15.600-08:00,2023-03-07T18:40:23.090-08:00,tutor,tutor,2,,30.0,
,,,now you have a triangle and a square.,2023-03-07T18:40:24.220-08:00,2023-03-07T18:40:27.950-08:00,tutor,tutor,2,,30.0,
,,,"So if I may, because I made this square we can. We obviously know this is 90 degrees.",2023-03-07T18:40:28.020-08:00,2023-03-07T18:40:33.820-08:00,tutor,tutor,2,,30.0,
,,,"I'm. Actually going to do this in below yeah, 90 degrees 90 degrees",2023-03-07T18:40:35.720-08:00,2023-03-07T18:40:39.970-08:00,tutor,tutor,2,,30.0,
