problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,"Hi, [STUDENT_8]! Hi, [STUDENT_10]! Hi, Sarah!",2023-03-05T19:00:47.420-08:00,2023-03-05T19:00:50.410-08:00,tutor,tutor,1,,,
,,,"Hi! [STUDENT_2]! Hi, [STUDENT_7]!",2023-03-05T19:02:11.510-08:00,2023-03-05T19:02:13.670-08:00,tutor,tutor,1,,,
,,,"Hi! [STUDENT_9]! Hi, [STUDENT_6].",2023-03-05T19:03:05.820-08:00,2023-03-05T19:03:08.100-08:00,tutor,tutor,1,,,
,,,Hello.,2023-03-05T19:03:09.210-08:00,2023-03-05T19:03:10.210-08:00,student,student A,1,,,
,,,"Okay, guys, Welcome back. Please turn on your cameras. If you can.",2023-03-05T19:05:05.790-08:00,2023-03-05T19:05:10.560-08:00,tutor,tutor,1,,,
,,,Okay. So this is the second to last session of the sat Math Boot. Cam. Hopefully. You've learned a lot throughout this series.,2023-03-05T19:05:27.230-08:00,2023-03-05T19:05:38.070-08:00,tutor,tutor,1,,,
,,,So for today's welcome question.,2023-03-05T19:05:38.280-08:00,2023-03-05T19:05:40.650-08:00,tutor,tutor,1,,,
,,,"Let's share a bit of our our future plans. What is our ultimate dream job, and why?",2023-03-05T19:05:40.830-08:00,2023-03-05T19:05:46.970-08:00,tutor,tutor,1,,,
,,,So I can start.,2023-03-05T19:05:47.300-08:00,2023-03-05T19:05:48.970-08:00,tutor,tutor,1,,,
,,,I am debating between medicine and computer science. I'm still going on through the process of deciding which one I want to major in and stuff like that.,2023-03-05T19:05:49.230-08:00,2023-03-05T19:05:59.600-08:00,tutor,tutor,1,,,
,,,"So i'll popcorn it to Sarah, who's looking really pretty today.",2023-03-05T19:05:59.980-08:00,2023-03-05T19:06:05.130-08:00,tutor,tutor,1,,,
,,,"Oh, thank you. I had a costume party. I was wearing some interesting makeup. My dream job is to be a doctor, a pediatric doctor for kids.",2023-03-05T19:06:05.310-08:00,2023-03-05T19:06:16.010-08:00,student,student B,1,,,
,,,"and I just really love medicine. I love how the human body works, and I also love kids. So not in a weird way, but like combining the 2 just like really makes me happy. And that's like what I really want to do. Also, maybe like a volleyball coach. But that's like a side job",2023-03-05T19:06:16.090-08:00,2023-03-05T19:06:32.470-08:00,student,student B,1,,,
,,,Popcorn [STUDENT_1].,2023-03-05T19:06:32.540-08:00,2023-03-05T19:06:34.970-08:00,student,student B,1,,,
,,,"I don't really have a dream job yet. I know that I want to do something related to biology, but I like the medical school Doesn't sound like my thing. It's a lot of a lot of tests.",2023-03-05T19:06:36.790-08:00,2023-03-05T19:06:47.700-08:00,student,student C,1,,,
,,,"So yeah, i'm not sure yet.",2023-03-05T19:06:48.030-08:00,2023-03-05T19:06:50.570-08:00,student,student C,1,,,
,,,Hmm. Justin.,2023-03-05T19:06:50.970-08:00,2023-03-05T19:06:52.250-08:00,student,student C,1,,,
,,,"I'm debating whether I want to be a business major or a journalism, Major, because I really like anything that has to do with business finances, economics, all that. But I also really really like writing.",2023-03-05T19:06:53.710-08:00,2023-03-05T19:07:07.940-08:00,student,student D,1,,,
,,,so i'll pop for 2 of our savings,2023-03-05T19:07:08.410-08:00,2023-03-05T19:07:11.260-08:00,student,student D,1,,,
,,,"for my future plans. I really like history and political science, so I hope to have a degree in that, and in the future I wish to hopefully",2023-03-05T19:07:15.190-08:00,2023-03-05T19:07:25.080-08:00,student,student A,1,,,
,,,"be, see, like a a city official or a conference room in for my region or state.",2023-03-05T19:07:26.160-08:00,2023-03-05T19:07:33.280-08:00,student,student A,1,,,
,,,Good.,2023-03-05T19:07:34.660-08:00,2023-03-05T19:07:35.570-08:00,tutor,tutor,1,,,
,,,"Oh, and i'll pop one to",2023-03-05T19:07:37.500-08:00,2023-03-05T19:07:39.710-08:00,student,student A,1,,,
,,,[STUDENT_7].,2023-03-05T19:07:42.750-08:00,2023-03-05T19:07:43.610-08:00,student,student A,1,,,
,,,"My dream career, I guess, would be somewhere in like the medical profession, either when either in like radiology, or like cardiology. I just like. There's like everyone in my family is like, somehow in the like medical profession.",2023-03-05T19:07:45.470-08:00,2023-03-05T19:08:03.890-08:00,student,student E,1,,,
,,,So it's just like something that. I like always kind of,2023-03-05T19:08:03.890-08:00,2023-03-05T19:08:06.780-08:00,student,student E,1,,,
,,,"then influence to do, and i'm going to pass this on to [STUDENT_10].",2023-03-05T19:08:06.890-08:00,2023-03-05T19:08:12.870-08:00,student,student E,1,,,
,,,"Oh, I want to be like some sort of engineer. I'm not sure what yet, though.",2023-03-05T19:08:14.420-08:00,2023-03-05T19:08:19.750-08:00,student,student F,1,,,
,,,Pop going to Jenna.,2023-03-05T19:08:21.960-08:00,2023-03-05T19:08:23.770-08:00,student,student F,1,,,
,,,I want to be like an entrepreneur when I grow up I want to like always follow my passions. I never want like my job to feel like a job.,2023-03-05T19:08:25.640-08:00,2023-03-05T19:08:34.450-08:00,student,student G,1,,,
,,,So yeah.,2023-03-05T19:08:35.820-08:00,2023-03-05T19:08:36.940-08:00,student,student G,1,,,
,,,i'll pop [STUDENT_8].,2023-03-05T19:08:37.390-08:00,2023-03-05T19:08:40.700-08:00,student,student G,1,,,
,,,"So [STUDENT_8] said in the chat. He wants to be a physical therapist, because I have a personal experience with sport injuries, and I love helping people improve.",2023-03-05T19:08:46.610-08:00,2023-03-05T19:08:57.340-08:00,tutor,tutor,1,,,
,,,"Cool. Did I miss anyone? I think? Oh, dark is",2023-03-05T19:08:57.550-08:00,2023-03-05T19:09:02.790-08:00,tutor,tutor,1,,,
,,,"my dream profession is to like study psychology. I want to be somewhere in, like the clinical psychology field.",2023-03-05T19:09:03.800-08:00,2023-03-05T19:09:13.520-08:00,student,student H,1,,,
,,,"cool. big goals for everyone. So today we are going to complete the rest of the practice. Test B 2 or reaching the new section, which is feed 3.",2023-03-05T19:09:14.120-08:00,2023-03-05T19:09:26.530-08:00,tutor,tutor,1,,,
,,,So when it's,2023-03-05T19:09:26.670-08:00,2023-03-05T19:09:28.930-08:00,tutor,tutor,1,,,
,,,"10,",2023-03-05T19:09:29.020-08:00,2023-03-05T19:09:30.130-08:00,tutor,tutor,1,,,
,,,"11, we'll get started.",2023-03-05T19:09:30.240-08:00,2023-03-05T19:09:32.870-08:00,tutor,tutor,1,,,
,,,"Okay, guys it's 1011. I'm gonna start.",2023-03-05T19:11:02.280-08:00,2023-03-05T19:11:05.410-08:00,tutor,tutor,1,,,
,,,"Okay, Guys Time's up. Please submit your tests.",2023-03-05T19:41:09.060-08:00,2023-03-05T19:41:12.860-08:00,tutor,tutor,1,,,
,,,I'm missing 2 more submissions.,2023-03-05T19:41:53.750-08:00,2023-03-05T19:41:56.560-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-05T19:42:13.810-08:00,2023-03-05T19:42:14.790-08:00,tutor,tutor,1,,,
,,,"Okay, okay. that's 2",2023-03-05T19:42:48.830-08:00,2023-03-05T19:42:51.970-08:00,tutor,tutor,1,,,
,,,36.,2023-03-05T19:43:09.850-08:00,2023-03-05T19:43:11.540-08:00,tutor,tutor,1,,,
,-1.0,1.0,How do I solve this problem,2023-03-05T19:43:28.470-08:00,2023-03-05T19:43:31.040-08:00,tutor,tutor,2,,-1.0,
,,,Is the parabola going up or down,2023-03-05T19:43:51.180-08:00,2023-03-05T19:43:53.780-08:00,tutor,tutor,2,,-1.0,
,,,down.,2023-03-05T19:43:54.910-08:00,2023-03-05T19:43:55.830-08:00,student,student B,2,,-1.0,
