problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488.0,,1.0,"Welcome, Lori, if you want to answer the welcome question in the chat.",2023-02-14T13:56:49.650-08:00,2023-02-14T13:56:53.210-08:00,tutor,tutor,1,,,
,,,"Hello, Gabby and Macy, If you guys want to answer the welcome question in the chat.",2023-02-14T13:57:38.020-08:00,2023-02-14T13:57:42.560-08:00,tutor,tutor,1,,,
,,,You can send the answer directly to me if you want t0 0r you can put it in just the general chat.,2023-02-14T13:58:17.120-08:00,2023-02-14T13:58:22.310-08:00,tutor,tutor,1,,,
,,,"Hi, Rachel and [STUDENT_4] Welcome. If you want to answer the welcome question in the chat, and you get a chance.",2023-02-14T13:59:45.839-08:00,2023-02-14T13:59:50.920-08:00,tutor,tutor,1,,,
,,,"[STUDENT_5]. Welcome, if you want to answer the welcome question in the chat.",2023-02-14T14:00:01.910-08:00,2023-02-14T14:00:05.680-08:00,tutor,tutor,1,,,
,,,Hello!,2023-02-14T14:00:09.320-08:00,2023-02-14T14:00:10.050-08:00,tutor,tutor,1,,,
,,,"Hello, Lisa! Welcome If you can answer the welcome question in the chat.",2023-02-14T14:00:15.230-08:00,2023-02-14T14:00:19.200-08:00,tutor,tutor,1,,,
,,,"All right. You got some good answers coming in. I'll give you another minute to get those in, and we'll get started.",2023-02-14T14:00:48.100-08:00,2023-02-14T14:00:53.010-08:00,tutor,tutor,1,,,
,,,"Okay, cool.",2023-02-14T14:01:17.050-08:00,2023-02-14T14:01:18.500-08:00,tutor,tutor,1,,,
,,,Just to g0 0ver what we're going to be doing today.,2023-02-14T14:01:18.840-08:00,2023-02-14T14:01:21.520-08:00,tutor,tutor,1,,,
,,,"First, we're going to talk about some tips for testing. Then we're just going to do some practice problem based on some of the concepts from the test we took on Sunday.",2023-02-14T14:01:22.040-08:00,2023-02-14T14:01:32.120-08:00,tutor,tutor,1,,,
,,,We're going to do a second test today that,2023-02-14T14:01:32.160-08:00,2023-02-14T14:01:35.140-08:00,tutor,tutor,1,,,
,,,"it does use a calculator. That'll be 15 min long, and then we'll use the final part of our session to g0 0ver that practice test.",2023-02-14T14:01:35.390-08:00,2023-02-14T14:01:42.680-08:00,tutor,tutor,1,,,
,,,So we want to go there. Let's go into testing tips.,2023-02-14T14:01:45.500-08:00,2023-02-14T14:01:50.240-08:00,tutor,tutor,1,,,
,,,i'm not sure.,2023-02-14T14:01:56.660-08:00,2023-02-14T14:01:57.420-08:00,tutor,tutor,1,,,
,,,And if at any point during the presentation. You have any questions you can go ahead and put it in the chat.,2023-02-14T14:01:59.250-08:00,2023-02-14T14:02:04.510-08:00,tutor,tutor,1,,,
,,,Okay. So first thing we want to do if we want to get the best score we possibly can on the sat.,2023-02-14T14:02:08.540-08:00,2023-02-14T14:02:14.280-08:00,tutor,tutor,1,,,
,,,And so to do that there are a few strategies we can do to make sure that we get the most that we're able to.,2023-02-14T14:02:14.320-08:00,2023-02-14T14:02:19.380-08:00,tutor,tutor,1,,,
,,,"So the first thing is just that you should answer every question. There's no penalty for guessing, and",2023-02-14T14:02:20.280-08:00,2023-02-14T14:02:27.260-08:00,tutor,tutor,1,,,
,,,"the strategy we say to use is Don't just put a random one on each question. Just pick a letter, and all the ones you don't know. Put that letter.",2023-02-14T14:02:27.700-08:00,2023-02-14T14:02:36.380-08:00,tutor,tutor,1,,,
,,,"For example, if you run out of time, there's a 5 questions off, just put, C for all of them.",2023-02-14T14:02:36.420-08:00,2023-02-14T14:02:41.020-08:00,tutor,tutor,1,,,
,,,"and you'll do better. You get more of those guesses correct. If you use the same number every time. Then if you go see a. D dB. Because when it's random, you're gonna get fewer correct than if you just go c. Ccc. It doesn't have to be. It can be any letter. So that's the first tip is just that one Guess",2023-02-14T14:02:41.160-08:00,2023-02-14T14:02:59.750-08:00,tutor,tutor,1,,,
,,,"don't leave any blank. And if you're gonna guess, just use the same letter every time.",2023-02-14T14:02:59.750-08:00,2023-02-14T14:03:03.790-08:00,tutor,tutor,1,,,
,,,"The second tip is that, remembering that every question is worth the same, an easy question that you can do in just 15 s is worth the exact same as a hard question that might take you up t0 10 min. So",2023-02-14T14:03:06.030-08:00,2023-02-14T14:03:17.070-08:00,tutor,tutor,1,,,
,,,"what you should do is focus on the easy questions First, if you get to a question, and it's taking you more than a minute or 2, skip it and come back, because there might be a question further on that you can get pretty quickly, and you want to get the points for that one first, and then go back to the hard questions.",2023-02-14T14:03:17.630-08:00,2023-02-14T14:03:32.350-08:00,tutor,tutor,1,,,
,,,"because you would rather answer 5 5 questions that take you 1 min, then answer one question that gives you 5 min, even if you get those ones right, because you get more points if you can answer more questions.",2023-02-14T14:03:32.350-08:00,2023-02-14T14:03:42.570-08:00,tutor,tutor,1,,,
,,,So skipping problems is always a good idea if they're taking you one.,2023-02-14T14:03:42.580-08:00,2023-02-14T14:03:46.390-08:00,tutor,tutor,1,,,
,,,"This is very similar, but",2023-02-14T14:03:49.240-08:00,2023-02-14T14:03:52.210-08:00,tutor,tutor,1,,,
,,,"and do the easier questions first. Usually they go from easier to harder, so they increase in difficulty.",2023-02-14T14:03:52.710-08:00,2023-02-14T14:03:58.770-08:00,tutor,tutor,1,,,
,,,"and remember that the grittens are kind of a separate section. So if the last, you multiple choice are really difficult, skip them and go to the grid in, because the first couple of those will be easier",2023-02-14T14:03:59.930-08:00,2023-02-14T14:04:09.440-08:00,tutor,tutor,1,,,
,,,"and spend if you there's a question you really don't think you can get rather than spending time working on it. Go back and check some of the easier ones, because you don't want to lose points on the questions you know how to do because of a",2023-02-14T14:04:10.070-08:00,2023-02-14T14:04:22.720-08:00,tutor,tutor,1,,,
,,,I have a question. Yeah.,2023-02-14T14:04:23.120-08:00,2023-02-14T14:04:25.660-08:00,student,student A,1,,,
,,,what's a greater?,2023-02-14T14:04:25.880-08:00,2023-02-14T14:04:27.110-08:00,student,student A,1,,,
,,,So if you remember doing the practice test. there were a couple where you'd like type in an answer rather than multiple choice.,2023-02-14T14:04:27.890-08:00,2023-02-14T14:04:35.320-08:00,tutor,tutor,1,,,
,,,"Those are the grid end. And on the paper sat You'll actually it'll be like a little box, and you'll like, write your number in it, and then kind of how you like. Fill in your name on standardized tests. If you write like 64, then you bubble in the sex, and you bubble in the 4.",2023-02-14T14:04:35.650-08:00,2023-02-14T14:04:49.960-08:00,tutor,tutor,1,,,
,,,Thank you.,2023-02-14T14:04:50.280-08:00,2023-02-14T14:04:51.650-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-14T14:04:51.730-08:00,2023-02-14T14:04:52.590-08:00,student,student A,1,,,
,,,Alright. The second part is that we want to minimize the number of points we lose. And,2023-02-14T14:04:54.880-08:00,2023-02-14T14:05:01.640-08:00,tutor,tutor,1,,,
,,,"so. if there's a question, say you don't really know how to do it.",2023-02-14T14:05:03.460-08:00,2023-02-14T14:05:08.400-08:00,tutor,tutor,1,,,
,,,What you can do is take out the ones you know are wrong.,2023-02-14T14:05:08.650-08:00,2023-02-14T14:05:12.220-08:00,tutor,tutor,1,,,
,,,"So if you remember last on Sunday, we did one where I was trying to solve this equation, that if you try to solve the equation it's really difficult. But you we talked about how you could just plug in the answered choices.",2023-02-14T14:05:12.320-08:00,2023-02-14T14:05:25.000-08:00,tutor,tutor,1,,,
,,,"And, for example, if there, if one option was like, the 2 solutions are 0 and 2, and you know 2 doesn't work. You can cross out that whole answer, because there's no way",2023-02-14T14:05:26.710-08:00,2023-02-14T14:05:35.250-08:00,tutor,tutor,1,,,
,,,"that answer could be correct, even if 0 works. So anything that just seems wrong, Anything that we're like, part of it is wrong. Those are both out. And then, if there are any 2 questions. Where the answers are really similar or equal.",2023-02-14T14:05:35.280-08:00,2023-02-14T14:05:47.280-08:00,tutor,tutor,1,,,
,,,"they can both be right, so they must both be wrong.",2023-02-14T14:05:47.460-08:00,2023-02-14T14:05:50.080-08:00,tutor,tutor,1,,,
,,,And the way it works is. If you have a question you know how to do. But you know 2 0f the answers Aren't. Right? That brings your chance of getting right up t0 50 rather than 25.,2023-02-14T14:05:50.500-08:00,2023-02-14T14:05:59.630-08:00,tutor,tutor,1,,,
,,,"So process of elimination is really good, and it helps you if you have to guess.",2023-02-14T14:06:00.030-08:00,2023-02-14T14:06:04.300-08:00,tutor,tutor,1,,,
,,,"We talked about this a little earlier, but just prevent careless errors. It would much better to take.",2023-02-14T14:06:06.140-08:00,2023-02-14T14:06:12.090-08:00,tutor,tutor,1,,,
,,,"you know, an extra 30 s minute, 2 min on the question that you know how to do, so that you don't get it wrong. And this doesn't just mean like adding incorrectly, You can also mean not totally reading the question, and like in the one we did on Sunday if you did it correctly. But you saw it for the circumference, and didn't realize that's not what they were asking for.",2023-02-14T14:06:12.170-08:00,2023-02-14T14:06:32.050-08:00,tutor,tutor,1,,,
,,,That would be a one. You don't want to get wrong because you knew what you were doing. So double check the question. Make sure you found what they were asking for and just check your mat theirs.,2023-02-14T14:06:32.100-08:00,2023-02-14T14:06:42.120-08:00,tutor,tutor,1,,,
,,,And then,2023-02-14T14:06:44.470-08:00,2023-02-14T14:06:45.710-08:00,tutor,tutor,1,,,
,,,"also, you want to do your You want to do your work on paper.",2023-02-14T14:06:45.810-08:00,2023-02-14T14:06:50.180-08:00,tutor,tutor,1,,,
,,,"and just like, write down every step. It can be tempting, because you want to go fast to try to do work in your head, but you'll reduce areas if you just write it down.",2023-02-14T14:06:50.970-08:00,2023-02-14T14:07:00.910-08:00,tutor,tutor,1,,,
,,,So that's just another tip. And then finally for preparing for the test,2023-02-14T14:07:01.760-08:00,2023-02-14T14:07:07.480-08:00,tutor,tutor,1,,,
,,,"just practice. So what we do during the campus we review wrong answers. So when we have a test we go for the ones that a lot of people got wrong, and if you got some wrong, then we didn't g0 0ver. You can always reach out, and i'll send you the solutions to those just so you can review them. I understand why you were wrong, and again. We",2023-02-14T14:07:08.420-08:00,2023-02-14T14:07:28.050-08:00,tutor,tutor,1,,,
,,,time you when we do the practice tests. But you want to also. If you do more practice on your own time yourself to make sure that you get used,2023-02-14T14:07:28.050-08:00,2023-02-14T14:07:37.220-08:00,tutor,tutor,1,,,
,,,to the time. That's a left.,2023-02-14T14:07:37.410-08:00,2023-02-14T14:07:38.990-08:00,tutor,tutor,1,,,
,,,"Another thing is to just work on the basics. So a lot of the questions have basic algebra skills, and if you mastered the basic skills it'll help you also work on the harder ones. So a few of these Well, all 3 0f these things we're going to keep working on throughout the 8 8 sessions for weeks.",2023-02-14T14:07:41.830-08:00,2023-02-14T14:07:59.890-08:00,tutor,tutor,1,,,
,,,"But if there's anything where you don't, remember it. But you know you learned it at some point in your math class. It can also be useful to go back and review on your own.",2023-02-14T14:07:59.900-08:00,2023-02-14T14:08:07.610-08:00,tutor,tutor,1,,,
,,,"And then, finally, our last tip is that just get used to what the test is going to ask you to do. So there's some formulas that might be useful, including the ones on the screen there that we can definitely talk about if you don't remember.",2023-02-14T14:08:09.330-08:00,2023-02-14T14:08:20.690-08:00,tutor,tutor,1,,,
,,,"and if you, whatever calcul you're using, make sure you're comfortable with it. You know where all the buttons are. You know how to find things you might need, so that you don't waste time during the test, trying to figure that out.",2023-02-14T14:08:21.130-08:00,2023-02-14T14:08:32.980-08:00,tutor,tutor,1,,,
,,,"And again, if you have any questions on this specific calculator you're using, and where to find things I can help with that as well.",2023-02-14T14:08:34.270-08:00,2023-02-14T14:08:40.210-08:00,tutor,tutor,1,,,
,,,So those are all the tips we have for today. We'll continue going over more throughout,2023-02-14T14:08:41.880-08:00,2023-02-14T14:08:47.690-08:00,tutor,tutor,1,,,
,,,our weeks together. But are there any initial questions on that?,2023-02-14T14:08:48.200-08:00,2023-02-14T14:08:52.890-08:00,tutor,tutor,1,,,
,,,Well.,2023-02-14T14:09:01.640-08:00,2023-02-14T14:09:02.210-08:00,tutor,tutor,1,,,
,,,"all right, so",2023-02-14T14:09:03.520-08:00,2023-02-14T14:09:05.020-08:00,tutor,tutor,1,,,
,,,"there are no questions. Just give me a minute to pull it up. We're going to start just with some practice problems. So I picked out some problems based on some concepts that are important, or that we missed on the last test.",2023-02-14T14:09:06.070-08:00,2023-02-14T14:09:18.360-08:00,tutor,tutor,1,,,
,,,"And the way it works is I'll put up the problem. We'll give you all a few minutes. When you have an answer or so, work on it by yourself. We have an answer. Send it private and a private message to me. So everyone doesn't see it. And once we've got answers in.",2023-02-14T14:09:18.370-08:00,2023-02-14T14:09:31.000-08:00,tutor,tutor,1,,,
,,,"i'll g0 0ver how to do it, and we'll do it together just so that we're not waiting a while. If you're not, it's totally okay. If you get stuck during a problem, just send me a message that you got stuck, so that I know when everyone is at a point where they want to g0 0ver it.",2023-02-14T14:09:32.540-08:00,2023-02-14T14:09:45.790-08:00,tutor,tutor,1,,,
,,,But let me share the first question. We're going to do,2023-02-14T14:09:47.170-08:00,2023-02-14T14:09:49.620-08:00,tutor,tutor,1,,,
