problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,"Okay, Hi! Every10, my gosh! It's our last session today, huh?",2023-03-08T15:03:00.170-08:00,2023-03-08T15:03:05.070-08:00,tutor,tutor,1,,,
,,,"Their last session today, and",2023-03-08T15:03:05.200-08:00,2023-03-08T15:03:08.399-08:00,tutor,tutor,1,,,
,,,"well, it's I mean, it's a big day",2023-03-08T15:03:09.290-08:00,2023-03-08T15:03:12.930-08:00,tutor,tutor,1,,,
,,,"we had what 8 sessions together for the last, like 3 sessions. I'm really. So I like, okay.",2023-03-08T15:03:13.690-08:00,2023-03-08T15:03:22.180-08:00,tutor,tutor,1,,,
,,,2 of 2 out of the 3. I was just,2023-03-08T15:03:22.340-08:00,2023-03-08T15:03:25.600-08:00,tutor,tutor,1,,,
,,,in India. and one out of the 3 I was in,2023-03-08T15:03:25.790-08:00,2023-03-08T15:03:31.810-08:00,tutor,tutor,1,,,
,,,"jet lag. So i'm really really sorry for that again. I you feel aside I from [STUDENT_6], but",2023-03-08T15:03:32.250-08:00,2023-03-08T15:03:39.350-08:00,tutor,tutor,1,,,
,,,"at least in one time, very last one. And okay, hold on. Let me share this slides, for today. We have 9 people into the 9 out of the 11, which is obviously pretty",2023-03-08T15:03:40.530-08:00,2023-03-08T15:03:50.500-08:00,tutor,tutor,1,,,
,,,a pretty boss.,2023-03-08T15:03:51.550-08:00,2023-03-08T15:03:52.880-08:00,tutor,tutor,1,,,
,,,Okay?,2023-03-08T15:03:54.460-08:00,2023-03-08T15:03:55.630-08:00,tutor,tutor,1,,,
,,,Okay. Sharing the slide week for day 2. We,2023-03-08T15:03:57.030-08:00,2023-03-08T15:04:02.210-08:00,tutor,tutor,1,,,
,,,have done so. Everyone has done so good. So far,2023-03-08T15:04:02.820-08:00,2023-03-08T15:04:06.440-08:00,tutor,tutor,1,,,
,,,"it's keeping up, and everything today is our I keep saying it's our last. I don't know what else to say. It's like. Okay, but You're right. I'm going to move on with the slides. People come in. I'll let them in. But",2023-03-08T15:04:06.700-08:00,2023-03-08T15:04:22.060-08:00,tutor,tutor,1,,,
,,,"okay. So a question for today is, how are we feeling going into testing.",2023-03-08T15:04:22.230-08:00,2023-03-08T15:04:28.640-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-08T15:04:34.120-08:00,2023-03-08T15:04:34.910-08:00,tutor,tutor,1,,,
,,,"So our question is, how are we feeling going into testing? Usually I end up answering the question with you guys to kind of like",2023-03-08T15:04:35.180-08:00,2023-03-08T15:04:42.180-08:00,tutor,tutor,1,,,
,,,easy all up.,2023-03-08T15:04:42.740-08:00,2023-03-08T15:04:44.000-08:00,tutor,tutor,1,,,
,,,But I don't know if I can. I can help with this one.,2023-03-08T15:04:44.060-08:00,2023-03-08T15:04:47.410-08:00,tutor,tutor,1,,,
,,,I hope you guys feel at least you it better than you did,2023-03-08T15:04:47.980-08:00,2023-03-08T15:04:52.970-08:00,tutor,tutor,1,,,
,,,"in the beginning of this whole session. I will. Oh, my God! I keep forgetting to post of. But",2023-03-08T15:04:55.280-08:00,2023-03-08T15:05:01.580-08:00,tutor,tutor,1,,,
,,,I have to post like one little guide,2023-03-08T15:05:01.710-08:00,2023-03-08T15:05:06.540-08:00,tutor,tutor,1,,,
,,,that I was supposed to last session. I'll do that. And then I and I also post the,2023-03-08T15:05:07.300-08:00,2023-03-08T15:05:15.920-08:00,tutor,tutor,1,,,
,,,"what should we call it? The practice test practices videos going over those questions, because I remember",2023-03-08T15:05:16.150-08:00,2023-03-08T15:05:22.070-08:00,tutor,tutor,1,,,
,,,I need to do that for,2023-03-08T15:05:22.130-08:00,2023-03-08T15:05:23.650-08:00,tutor,tutor,1,,,
,,,the practice test that you guys have been doing so far. So,2023-03-08T15:05:24.190-08:00,2023-03-08T15:05:27.300-08:00,tutor,tutor,1,,,
,,,how are we feeling? I need to test it. I'll just go down the list like we normally do. Starting off with sherry.,2023-03-08T15:05:28.070-08:00,2023-03-08T15:05:37.620-08:00,tutor,tutor,1,,,
,,,I'm feeling,2023-03-08T15:05:40.400-08:00,2023-03-08T15:05:42.990-08:00,student,student A,1,,,
,,,"just a little bit nervous, but not too much, because I know that I'll always have a not always. But I will have another chance to take it if I need to.",2023-03-08T15:05:43.140-08:00,2023-03-08T15:05:53.920-08:00,student,student A,1,,,
,,,So i'm just trying not to put too much pressure on myself.,2023-03-08T15:05:54.040-08:00,2023-03-08T15:05:57.960-08:00,student,student A,1,,,
,,,So yeah.,2023-03-08T15:05:58.360-08:00,2023-03-08T15:05:59.880-08:00,student,student A,1,,,
,,,hmm.,2023-03-08T15:06:00.070-08:00,2023-03-08T15:06:01.000-08:00,tutor,tutor,1,,,
,,,"Yes, that's what I did the first time, too. It's like",2023-03-08T15:06:01.310-08:00,2023-03-08T15:06:05.210-08:00,tutor,tutor,1,,,
,,,"you go in super nervous. It's like Honestly, I think I like almost cried on my I was driving to the sat place, but, like once you do it the first time. Actually, it gets easier like the second. I did it like what? 3 times the second time",2023-03-08T15:06:05.220-08:00,2023-03-08T15:06:21.640-08:00,tutor,tutor,1,,,
,,,"it was. The second and third time was a lot better because I knew what I was doing, and also like I was like, okay, You know, I have an extra time. I can go again. So it's like reassuring that kind of so",2023-03-08T15:06:22.470-08:00,2023-03-08T15:06:32.480-08:00,tutor,tutor,1,,,
,,,good luck.,2023-03-08T15:06:32.930-08:00,2023-03-08T15:06:34.450-08:00,student,student A,1,,,
,,,There's a good way to,2023-03-08T15:06:34.760-08:00,2023-03-08T15:06:37.950-08:00,tutor,tutor,1,,,
,,,not stress too much. So,2023-03-08T15:06:38.220-08:00,2023-03-08T15:06:40.300-08:00,tutor,tutor,1,,,
,,,"good luck to you, sir. Thank you.",2023-03-08T15:06:40.550-08:00,2023-03-08T15:06:42.920-08:00,student,student A,1,,,
,,,Okay. Now.,2023-03-08T15:06:44.600-08:00,2023-03-08T15:06:47.080-08:00,student,student A,1,,,
,,,[STUDENT_4],2023-03-08T15:06:47.820-08:00,2023-03-08T15:06:48.920-08:00,tutor,tutor,1,,,
,,,"a little bit anxious. But I'm: I'm feeling okay, like I've practiced a lot",2023-03-08T15:06:57.280-08:00,2023-03-08T15:07:01.500-08:00,student,student B,1,,,
,,,"that's good, as you guys have been doing a lot so far you have been doing a lot of practice tests and been practicing a lot. So",2023-03-08T15:07:02.850-08:00,2023-03-08T15:07:11.590-08:00,tutor,tutor,1,,,
,,,"I feel like going into the test. You know what's happening, and you're a lot more prepared. So",2023-03-08T15:07:12.620-08:00,2023-03-08T15:07:19.270-08:00,tutor,tutor,1,,,
,,,"I believe in you. Good luck, [STUDENT_4].",2023-03-08T15:07:20.270-08:00,2023-03-08T15:07:22.400-08:00,tutor,tutor,1,,,
,,,Okay. fignia.,2023-03-08T15:07:24.220-08:00,2023-03-08T15:07:27.080-08:00,tutor,tutor,1,,,
,,,I I feel I feel pretty all right. Going into test day. This will be my first time. So I don't really know what's going to happen.,2023-03-08T15:07:30.909-08:00,2023-03-08T15:07:37.980-08:00,student,student C,1,,,
,,,"Hmm. Okay. So like it's your first time, like i'm pretty sure, for most of you guys, it should",2023-03-08T15:07:38.550-08:00,2023-03-08T15:07:44.960-08:00,tutor,tutor,1,,,
,,,"probably be like first, your second time. So if you're if you don't know how it works, it's, actually, you don't bring much just calculator.",2023-03-08T15:07:45.130-08:00,2023-03-08T15:07:53.860-08:00,tutor,tutor,1,,,
,,,"And so it has to be wood, and it can be a lead pencil. So it asked me what, and you could find all this stuff on college board. They to give you all that information can bring a snack to. I just bring water because i'm always like too anxious to eat anything we'll have like a good hardy breakfast before you go in. That always helps, too, and make sure you get good amount of sleep before the night before, too.",2023-03-08T15:07:53.940-08:00,2023-03-08T15:08:13.440-08:00,tutor,tutor,1,,,
,,,So those are my tips just mainly,2023-03-08T15:08:13.490-08:00,2023-03-08T15:08:16.090-08:00,tutor,tutor,1,,,
,,,"calculator, sat like like the select to go in like you know how they like",2023-03-08T15:08:16.180-08:00,2023-03-08T15:08:22.590-08:00,tutor,tutor,1,,,
,,,"you have to bring, Id to. There's like a whole like list. It's only like 3 things you have to bring.",2023-03-08T15:08:23.000-08:00,2023-03-08T15:08:28.040-08:00,tutor,tutor,1,,,
,,,"or 4 things like 4 things you have to bring, but it's on college board website. So check that before you guys go, make sure you like, check off everything, and don't be too nervous, because",2023-03-08T15:08:28.470-08:00,2023-03-08T15:08:38.830-08:00,tutor,tutor,1,,,
,,,"if you're too nervous, then like you end up like getting anxious. And then, during the test, you end up being like, oh, my God, I can't do this! But you all got this in the bag, so",2023-03-08T15:08:40.080-08:00,2023-03-08T15:08:48.850-08:00,tutor,tutor,1,,,
,,,"don't be tuners. So good luck. Faith, Nia.",2023-03-08T15:08:48.880-08:00,2023-03-08T15:08:52.720-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-08T15:08:52.790-08:00,2023-03-08T15:08:54.550-08:00,tutor,tutor,1,,,
,,,[STUDENT_7].,2023-03-08T15:08:56.490-08:00,2023-03-08T15:08:57.830-08:00,tutor,tutor,1,,,
,,,I think i'm a little nervous. But I think I got this.,2023-03-08T15:09:01.770-08:00,2023-03-08T15:09:05.490-08:00,student,student D,1,,,
,,,you know.,2023-03-08T15:09:05.620-08:00,2023-03-08T15:09:06.410-08:00,student,student D,1,,,
