problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,And like when you're when you're self aware about what you're weird about,2023-03-05T16:08:45.710-08:00,2023-03-05T16:08:49.730-08:00,tutor,tutor,1,,,
,,,You're muted,2023-03-05T16:14:15.550-08:00,2023-03-05T16:14:16.460-08:00,student,student A,1,,,
,,,just talking with a friend. Sorry.,2023-03-05T16:14:44.830-08:00,2023-03-05T16:14:46.780-08:00,tutor,tutor,1,,,
,,,Sorry.,2023-03-05T16:14:50.760-08:00,2023-03-05T16:14:51.520-08:00,student,student A,1,,,
,,,"Well, no, I'm. Good",2023-03-05T16:14:52.770-08:00,2023-03-05T16:14:54.940-08:00,tutor,tutor,1,,,
,,,guys like sushi.,2023-03-05T16:15:02.830-08:00,2023-03-05T16:15:03.980-08:00,tutor,tutor,1,,,
,,,and I have this really good like i'm murdering it. So meeting with my fingers like a monster. But,2023-03-05T16:15:06.540-08:00,2023-03-05T16:15:15.460-08:00,tutor,tutor,1,,,
,,,"it's like spicy, crunchy salmon avocado",2023-03-05T16:15:15.750-08:00,2023-03-05T16:15:18.390-08:00,tutor,tutor,1,,,
,,,awesome.,2023-03-05T16:15:18.860-08:00,2023-03-05T16:15:19.840-08:00,tutor,tutor,1,,,
,,,cool. So only 3 people today.,2023-03-05T16:15:27.880-08:00,2023-03-05T16:15:30.420-08:00,tutor,tutor,1,,,
,,,No,2023-03-05T16:15:30.960-08:00,2023-03-05T16:15:31.690-08:00,tutor,tutor,1,,,
,,,"where things have happened. Oh, there's another",2023-03-05T16:15:37.760-08:00,2023-03-05T16:15:40.420-08:00,tutor,tutor,1,,,
,,,"looking, my vibe, for today",2023-03-05T16:15:44.980-08:00,2023-03-05T16:15:46.620-08:00,tutor,tutor,1,,,
,,,we have 2 sessions left,2023-03-05T16:15:48.630-08:00,2023-03-05T16:15:52.190-08:00,tutor,tutor,1,,,
,,,dose. So i'm thinking we,2023-03-05T16:15:52.430-08:00,2023-03-05T16:15:56.180-08:00,tutor,tutor,1,,,
,,,we don't go into the super hard stuff today.,2023-03-05T16:15:59.300-08:00,2023-03-05T16:16:02.250-08:00,tutor,tutor,1,,,
,,,We we talk more about the test as a concept. and more like strategic nonsense.,2023-03-05T16:16:03.510-08:00,2023-03-05T16:16:12.310-08:00,tutor,tutor,1,,,
,,,"All that good stuff. But yo, this is the this is the second to last course. You guys have made it",2023-03-05T16:16:12.320-08:00,2023-03-05T16:16:18.400-08:00,tutor,tutor,1,,,
,,,"this far, and then i'll never interact with any of you ever again in my life.",2023-03-05T16:16:18.960-08:00,2023-03-05T16:16:24.370-08:00,tutor,tutor,1,,,
,,,which is cool.,2023-03-05T16:16:25.470-08:00,2023-03-05T16:16:27.310-08:00,tutor,tutor,1,,,
,,,"Well, let's see. Okay. So we're starting off just with the practice test.",2023-03-05T16:16:29.340-08:00,2023-03-05T16:16:35.810-08:00,tutor,tutor,1,,,
,,,"and then and then we're just going to review it, and we're going to go for questions and all the good stuff.",2023-03-05T16:16:36.830-08:00,2023-03-05T16:16:41.770-08:00,tutor,tutor,1,,,
,,,But seems like we got some extra time to work with here.,2023-03-05T16:16:42.820-08:00,2023-03-05T16:16:47.740-08:00,tutor,tutor,1,,,
,,,So,2023-03-05T16:16:48.880-08:00,2023-03-05T16:16:49.680-08:00,tutor,tutor,1,,,
,,,"i'm not super concerned. Now, there's only for you right now",2023-03-05T16:16:51.100-08:00,2023-03-05T16:16:55.040-08:00,tutor,tutor,1,,,
,,,in due time.,2023-03-05T16:16:57.940-08:00,2023-03-05T16:16:59.090-08:00,tutor,tutor,1,,,
,,,"Oh, God!",2023-03-05T16:17:27.680-08:00,2023-03-05T16:17:30.470-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-05T16:17:31.500-08:00,2023-03-05T16:17:32.300-08:00,tutor,tutor,1,,,
,,,no!,2023-03-05T16:17:37.430-08:00,2023-03-05T16:17:38.110-08:00,tutor,tutor,1,,,
,,,"All right for those that are in the call. Right now. Go ahead and navigate to where the test would be, because that is what we're doing first.",2023-03-05T16:17:42.180-08:00,2023-03-05T16:17:49.980-08:00,tutor,tutor,1,,,
,,,and then after that we'll,2023-03-05T16:17:51.910-08:00,2023-03-05T16:17:53.630-08:00,tutor,tutor,1,,,
,,,We'll still. Wait. We're just to get ahead of the game a little bit.,2023-03-05T16:17:55.290-08:00,2023-03-05T16:17:58.950-08:00,tutor,tutor,1,,,
,,,Go ahead and make that happen.,2023-03-05T16:18:01.740-08:00,2023-03-05T16:18:03.170-08:00,tutor,tutor,1,,,
,,,I took an sat last week.,2023-03-05T16:18:07.990-08:00,2023-03-05T16:18:11.120-08:00,student,student A,1,,,
,,,What do you mean,2023-03-05T16:18:12.560-08:00,2023-03-05T16:18:13.510-08:00,tutor,tutor,1,,,
,,,"I did, an sat last week.",2023-03-05T16:18:14.970-08:00,2023-03-05T16:18:16.820-08:00,student,student A,1,,,
,,,You like like a mock one?,2023-03-05T16:18:18.040-08:00,2023-03-05T16:18:19.970-08:00,tutor,tutor,1,,,
,,,No like. an s a 2. I did the sat.,2023-03-05T16:18:20.300-08:00,2023-03-05T16:18:24.420-08:00,student,student A,1,,,
,,,Really.,2023-03-05T16:18:24.540-08:00,2023-03-05T16:18:25.340-08:00,tutor,tutor,1,,,
,,,I didn't know they had one. How did how to go?,2023-03-05T16:18:25.890-08:00,2023-03-05T16:18:28.610-08:00,tutor,tutor,1,,,
,,,I think it went pretty good.,2023-03-05T16:18:28.960-08:00,2023-03-05T16:18:30.670-08:00,student,student A,1,,,
,,,The computers around on the battery halfway through. But yeah.,2023-03-05T16:18:34.630-08:00,2023-03-05T16:18:38.540-08:00,student,student A,1,,,
,,,you feel decent on the on the math section.,2023-03-05T16:18:39.080-08:00,2023-03-05T16:18:43.290-08:00,tutor,tutor,1,,,
,,,"Yeah, yeah.",2023-03-05T16:18:43.570-08:00,2023-03-05T16:18:44.870-08:00,student,student A,1,,,
