problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,I. We go ahead and wait one more minute for all the stragglers to come in. Then we'll get going.,2023-03-06T19:00:09.400-08:00,2023-03-06T19:00:14.120-08:00,tutor,tutor,1,,,
,,,I think we're going to go ahead and get started. 701. So,2023-03-06T19:01:00.130-08:00,2023-03-06T19:01:04.980-08:00,tutor,tutor,1,,,
,,,"hello! Thank you for making it all the way through last session we got one more test, which was little",2023-03-06T19:01:05.160-08:00,2023-03-06T19:01:11.170-08:00,tutor,tutor,1,,,
,,,"longer than I thought it was, but with the way we have been performing I look forward to seeing how we do. I think we're going to knock this one out of the park. and then we can go over what we need to do, and then you guys will be on your merry way to take the sat.",2023-03-06T19:01:11.520-08:00,2023-03-06T19:01:25.080-08:00,tutor,tutor,1,,,
,,,It sounds exciting.,2023-03-06T19:01:25.130-08:00,2023-03-06T19:01:26.440-08:00,tutor,tutor,1,,,
,,,"I know it's not the most exciting thing in the world. But, thank you, guys have made very good progress over the last",2023-03-06T19:01:26.550-08:00,2023-03-06T19:01:33.250-08:00,tutor,tutor,1,,,
,,,"month or so, so alright, if we can all get to if we have to open it up",2023-03-06T19:01:33.360-08:00,2023-03-06T19:01:40.330-08:00,tutor,tutor,1,,,
,,,all right. Test B 3 is now open. So if you guys could all head on over there and give me a thumbs up once you have got that on your screen.,2023-03-06T19:01:43.990-08:00,2023-03-06T19:01:53.690-08:00,tutor,tutor,1,,,
,,,"1 2 3 4,",2023-03-06T19:01:56.620-08:00,2023-03-06T19:01:59.410-08:00,tutor,tutor,1,,,
,,,"5, 5,",2023-03-06T19:02:01.820-08:00,2023-03-06T19:02:03.760-08:00,tutor,tutor,1,,,
,,,surely got it.,2023-03-06T19:02:04.970-08:00,2023-03-06T19:02:06.900-08:00,tutor,tutor,1,,,
,,,"A landing. Yeah, okay.",2023-03-06T19:02:06.970-08:00,2023-03-06T19:02:09.040-08:00,tutor,tutor,1,,,
,,,I Everybody's got it so we could.,2023-03-06T19:02:10.080-08:00,2023-03-06T19:02:13.590-08:00,tutor,tutor,1,,,
