problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490.0,,1.0,Hello! Hello!,2023-02-25T17:48:10.040-08:00,2023-02-25T17:48:12.770-08:00,tutor,tutor,1,,,
,,,Nice! That's that's that's that's so great.,2023-02-25T17:48:13.770-08:00,2023-02-25T17:48:17.150-08:00,tutor,tutor,1,,,
,,,"Hello! Okay, microphone works.",2023-02-25T17:48:17.880-08:00,2023-02-25T17:48:21.600-08:00,tutor,tutor,1,,,
,,,video or,2023-02-25T17:48:21.680-08:00,2023-02-25T17:48:23.430-08:00,tutor,tutor,1,,,
,,,alright.,2023-02-25T17:55:20.130-08:00,2023-02-25T17:55:21.420-08:00,tutor,tutor,1,,,
,,,Fine.,2023-02-25T17:55:28.720-08:00,2023-02-25T17:55:29.500-08:00,tutor,tutor,1,,,
,,,Hello.,2023-02-25T17:56:09.330-08:00,2023-02-25T17:56:10.160-08:00,tutor,tutor,1,,,
,,,Hello!,2023-02-25T17:56:11.190-08:00,2023-02-25T17:56:11.910-08:00,tutor,tutor,1,,,
,,,Hello! Let me know.,2023-02-25T17:57:15.110-08:00,2023-02-25T17:57:16.620-08:00,tutor,tutor,1,,,
,,,Hello! Good evening. Let me know.,2023-02-25T17:57:26.370-08:00,2023-02-25T17:57:28.340-08:00,tutor,tutor,1,,,
,,,"Oh, man. hello, Female!",2023-02-25T17:58:34.020-08:00,2023-02-25T17:58:37.420-08:00,tutor,tutor,1,,,
,,,How are you?,2023-02-25T18:00:22.820-08:00,2023-02-25T18:00:23.970-08:00,tutor,tutor,1,,,
,,,Okay?,2023-02-25T18:01:38.810-08:00,2023-02-25T18:01:40.160-08:00,tutor,tutor,1,,,
,,,Alright. I think,2023-02-25T18:02:18.480-08:00,2023-02-25T18:02:19.960-08:00,tutor,tutor,1,,,
,,,we can start.,2023-02-25T18:02:20.050-08:00,2023-02-25T18:02:21.840-08:00,tutor,tutor,1,,,
,,,"Hello, everyone.",2023-02-25T18:02:23.060-08:00,2023-02-25T18:02:24.320-08:00,tutor,tutor,1,,,
,,,Can you see my presentation?,2023-02-25T18:02:24.900-08:00,2023-02-25T18:02:27.230-08:00,tutor,tutor,1,,,
,,,You should be able to.,2023-02-25T18:02:28.080-08:00,2023-02-25T18:02:29.910-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-25T18:02:32.460-08:00,2023-02-25T18:02:33.160-08:00,tutor,tutor,1,,,
