problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488.0,,1.0,"Mommy, i'm starting.",2023-02-16T15:41:12.330-08:00,2023-02-16T15:41:13.710-08:00,tutor,tutor,1,,,
,,,Alright.,2023-02-16T15:41:17.700-08:00,2023-02-16T15:41:18.830-08:00,tutor,tutor,1,,,
,,,"Hi, everybody.",2023-02-16T15:41:47.820-08:00,2023-02-16T15:41:49.640-08:00,tutor,tutor,1,,,
,,,Hello!,2023-02-16T15:41:50.910-08:00,2023-02-16T15:41:51.720-08:00,student,student A,1,,,
,,,Hello!,2023-02-16T15:41:51.810-08:00,2023-02-16T15:41:52.880-08:00,student,student B,1,,,
,,,"Okay. We got 4 min, and then we'll start off with some slide shows.",2023-02-16T15:41:53.610-08:00,2023-02-16T15:41:58.360-08:00,tutor,tutor,1,,,
,,,"Hi, Adam",2023-02-16T15:42:57.240-08:00,2023-02-16T15:42:58.620-08:00,tutor,tutor,1,,,
,,,Hi [STUDENT_2]! Hi! [STUDENT_5]!,2023-02-16T15:44:42.480-08:00,2023-02-16T15:44:44.740-08:00,tutor,tutor,1,,,
,,,"Hi, [STUDENT_7]!",2023-02-16T15:44:52.170-08:00,2023-02-16T15:44:53.450-08:00,tutor,tutor,1,,,
,,,Hi!,2023-02-16T15:44:54.910-08:00,2023-02-16T15:44:55.730-08:00,tutor,tutor,1,,,
,,,"Hi, [STUDENT_4]!",2023-02-16T15:45:10.100-08:00,2023-02-16T15:45:11.200-08:00,tutor,tutor,1,,,
,,,Hello!,2023-02-16T15:45:12.480-08:00,2023-02-16T15:45:13.440-08:00,student,student C,1,,,
,,,"Okay, we're just reading on 3 people. I'll give them a couple more minutes.",2023-02-16T15:45:29.920-08:00,2023-02-16T15:45:34.020-08:00,tutor,tutor,1,,,
,,,"Hi, Katie!",2023-02-16T15:46:27.350-08:00,2023-02-16T15:46:28.510-08:00,tutor,tutor,1,,,
,,,"Hi! So we're just having a little bit of difficulty. [STUDENT_3] is here. It looks like the screen is just turned the other way, and i'm trying to figure out how to get the camera to turn around.",2023-02-16T15:46:56.000-08:00,2023-02-16T15:47:06.540-08:00,tutor,tutor,1,,,
,,,"Okay, that's fine.",2023-02-16T15:47:07.010-08:00,2023-02-16T15:47:08.710-08:00,tutor,tutor,1,,,
,,,"Hey, [STUDENT_10]. Is it working, [STUDENT_3]?",2023-02-16T15:47:57.670-08:00,2023-02-16T15:48:01.330-08:00,tutor,tutor,1,,,
,,,It's not. We just went out and came back in. So,2023-02-16T15:48:04.310-08:00,2023-02-16T15:48:10.450-08:00,tutor,tutor,1,,,
,,,That's okay. You can still answer questions,2023-02-16T15:48:11.060-08:00,2023-02-16T15:48:15.190-08:00,tutor,tutor,1,,,
,,,or Ted them in the chat.,2023-02-16T15:48:15.230-08:00,2023-02-16T15:48:16.960-08:00,tutor,tutor,1,,,
,,,Okay. Thank you.,2023-02-16T15:48:17.520-08:00,2023-02-16T15:48:19.940-08:00,student,student D,1,,,
,,,Okay. We're gonna get started if everyone can turn their cameras on that'd be great.,2023-02-16T15:48:22.780-08:00,2023-02-16T15:48:28.550-08:00,tutor,tutor,1,,,
,,,and I'm going to share my screen.,2023-02-16T15:48:29.710-08:00,2023-02-16T15:48:32.420-08:00,tutor,tutor,1,,,
,,,"Okay, this is week. One day, 2,",2023-02-16T15:48:45.370-08:00,2023-02-16T15:48:47.980-08:00,tutor,tutor,1,,,
,,,"alright. Our welcome question is, what's one word to describe how you're feeling about. The math sat. And how do you hope that changes over the course of this sat Boot camp? You guys can share it in chat or out loud if you feel comfortable with that",2023-02-16T15:48:50.740-08:00,2023-02-16T15:49:03.450-08:00,tutor,tutor,1,,,
,,,up.,2023-02-16T15:49:11.790-08:00,2023-02-16T15:49:12.480-08:00,tutor,tutor,1,,,
,,,"Seems like a lot of you guys are feeling good, which i'm happy about. and the more we do practice the better you're gonna feel.",2023-02-16T15:49:38.700-08:00,2023-02-16T15:49:47.350-08:00,tutor,tutor,1,,,
,,,"Yeah, it's definitely a",2023-02-16T15:49:54.450-08:00,2023-02-16T15:49:56.080-08:00,tutor,tutor,1,,,
,,,"perfectly normal to feel anxious or not ready. We still have plenty more sessions, and you guys have so much time to practice.",2023-02-16T15:49:56.200-08:00,2023-02-16T15:50:03.370-08:00,tutor,tutor,1,,,
,,,and we're gonna g0 0ver some testing tips today.,2023-02-16T15:50:03.420-08:00,2023-02-16T15:50:05.980-08:00,tutor,tutor,1,,,
,,,"Okay, today we are like, I said, we're going to review some testing tips, and we're going to do some targeted group practice where we just review some of the topics based on last test.",2023-02-16T15:50:14.760-08:00,2023-02-16T15:50:26.710-08:00,tutor,tutor,1,,,
,,,And we're gonna do a practice test with the calculator and then review that practice test.,2023-02-16T15:50:26.960-08:00,2023-02-16T15:50:32.410-08:00,tutor,tutor,1,,,
,,,Okay. let me get,2023-02-16T15:50:37.650-08:00,2023-02-16T15:50:41.540-08:00,tutor,tutor,1,,,
