problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488.0,,1.0,"Hi, everyone.",2023-02-12T10:15:24.950-08:00,2023-02-12T10:15:26.280-08:00,tutor,tutor,1,,,
,,,Okay. So we get started for today. Let me just share my screen.,2023-02-12T10:15:26.840-08:00,2023-02-12T10:15:32.510-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-12T10:15:34.750-08:00,2023-02-12T10:15:35.370-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-12T10:15:44.980-08:00,2023-02-12T10:15:45.720-08:00,tutor,tutor,1,,,
,,,"So today's day, 2 0f this boot camp.",2023-02-12T10:15:48.460-08:00,2023-02-12T10:15:51.970-08:00,tutor,tutor,1,,,
,,,S0 0ur welcome question is like. What's your favorite subject at school? So,2023-02-12T10:15:52.180-08:00,2023-02-12T10:15:59.370-08:00,tutor,tutor,1,,,
,,,"everyone like say your answer, and then, like, say, the name of somebody else who's like",2023-02-12T10:15:59.960-08:00,2023-02-12T10:16:05.230-08:00,tutor,tutor,1,,,
,,,here for them to answer the question. I guess,2023-02-12T10:16:05.270-08:00,2023-02-12T10:16:07.850-08:00,tutor,tutor,1,,,
,,,so I can start. I'm [STUDENT_1]. My favorite subject in school is physics,2023-02-12T10:16:07.920-08:00,2023-02-12T10:16:14.190-08:00,tutor,tutor,1,,,
,,,and all popcorn to [STUDENT_3],2023-02-12T10:16:14.290-08:00,2023-02-12T10:16:18.300-08:00,tutor,tutor,1,,,
,,,I'm. [STUDENT_3]. and my favorite subject at school is probably English,2023-02-12T10:16:22.590-08:00,2023-02-12T10:16:30.880-08:00,student,student A,1,,,
,,,cool. Does [STUDENT_5] want to go?,2023-02-12T10:16:36.460-08:00,2023-02-12T10:16:39.680-08:00,student,student A,1,,,
,,,Which Which one?,2023-02-12T10:16:44.730-08:00,2023-02-12T10:16:46.220-08:00,student,student B,1,,,
,,,"What? Oh, sorry, [STUDENT_5] H. Do you want to go.",2023-02-12T10:16:47.250-08:00,2023-02-12T10:16:50.769-08:00,tutor,tutor,1,,,
,,,Okay. My favorite subject is,2023-02-12T10:16:52.870-08:00,2023-02-12T10:16:56.200-08:00,student,student C,1,,,
,,,chemistry.,2023-02-12T10:16:56.620-08:00,2023-02-12T10:16:58.610-08:00,student,student C,1,,,
,,,and then the other was with him. Go,2023-02-12T10:16:58.990-08:00,2023-02-12T10:17:00.880-08:00,student,student C,1,,,
,,,cool.,2023-02-12T10:17:01.300-08:00,2023-02-12T10:17:01.910-08:00,tutor,tutor,1,,,
,,,My favorite subject is biology.,2023-02-12T10:17:02.780-08:00,2023-02-12T10:17:07.080-08:00,student,student B,1,,,
,,,Catherine.,2023-02-12T10:17:07.920-08:00,2023-02-12T10:17:09.650-08:00,student,student B,1,,,
,,,My favorite subject is probably English. and then Kelly can go.,2023-02-12T10:17:11.430-08:00,2023-02-12T10:17:17.390-08:00,student,student D,1,,,
,,,"My name is actually Sonica. I don't know how to rename myself, but my favorite.",2023-02-12T10:17:19.150-08:00,2023-02-12T10:17:24.510-08:00,student,student E,1,,,
,,,and then,2023-02-12T10:17:25.970-08:00,2023-02-12T10:17:27.340-08:00,student,student E,1,,,
,,,Jordan can go.,2023-02-12T10:17:29.130-08:00,2023-02-12T10:17:30.520-08:00,student,student E,1,,,
,,,Hi! I'm: I'm. Jayben. And I guess my favorite subject with the go.,2023-02-12T10:17:34.090-08:00,2023-02-12T10:17:38.920-08:00,student,student F,1,,,
,,,Who else didn't go?,2023-02-12T10:17:42.590-08:00,2023-02-12T10:17:43.960-08:00,student,student F,1,,,
,,,I did it. My favorite subject in school is biology.,2023-02-12T10:17:45.810-08:00,2023-02-12T10:17:50.220-08:00,student,student G,1,,,
,,,"Okay, cool.",2023-02-12T10:17:52.540-08:00,2023-02-12T10:17:53.750-08:00,tutor,tutor,1,,,
,,,"good job guys. Okay. So for schoolhouse other than like this, like boot camp, they als0 0ffer like homework help and small group review sessions. So I've held like review sessions before that we're like for the sat.",2023-02-12T10:17:54.360-08:00,2023-02-12T10:18:10.260-08:00,tutor,tutor,1,,,
,,,You're all the subjects.,2023-02-12T10:18:10.860-08:00,2023-02-12T10:18:14.060-08:00,tutor,tutor,1,,,
,,,"So today, first we're gonna do some practice based off of like what questions we were wrong. The most during our practice test we did on Friday.",2023-02-12T10:18:14.610-08:00,2023-02-12T10:18:23.240-08:00,tutor,tutor,1,,,
,,,and then we're gonna do another practice test. So i'll pull up the questions.,2023-02-12T10:18:23.330-08:00,2023-02-12T10:18:29.390-08:00,tutor,tutor,1,,,
,,,So,2023-02-12T10:18:29.600-08:00,2023-02-12T10:18:30.750-08:00,tutor,tutor,1,,,
